Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0,0,0,0,0,0,0.0240829,0.00807662,0,0,0,0.0408789,0.0161153,0.0263927,0.0306388,0,0,0.00576897,0,0.0203485,0.00468277,0.0399457,0.0272399,0.0154807,0.0178519,0.015916,0.0119298,0.0268534,0.0239352,0.022206,0.0463609,0.0155661,0.021069,0.0160575,0.0206637,0.0493312,0.00489199,0.0113804,0.00226252,0.0296117,0.0149737,0.0191546,0.0508591,0.0270894,0,0,0.0344392,0,0.0116796,0.0218747,0.0418623,0.0312255,0.00754855,0.0331821,0.0193722,0.0161824,0.0402258,0.0225402,0.0600889,0.0525311,0.0149725,0.019005,0.0142629,0.0192509,0.0405285,0.0228739,0.00785261,0.00797695,0.011531,0.0238507,0,0,0,0
0,0,0,0,0,0,0,0.0202554,0.00667767,0,0,0,0.00448043,0.0158659,0.016177,0.0268678,0,0,0.00446388,0,0.0205742,0.00409411,0.0393351,0.0271136,0.0150858,0.0182321,0.0145994,0.0114924,0.0308403,0.0330008,0.028266,0.0448439,0.00955234,0.00881636,0.00642763,0.0226382,0.00674144,0.00424269,0.0111695,0.00239742,0.0232323,0.0148759,0.00926075,0.049282,0.0234551,0,0,0.0365201,0,0.011589,0.0221645,0.0414817,0.0178691,0.00669497,0.0314011,0.0115194,0.0109206,0.0409701,0.0205218,0.0560406,0.0523287,0.00772378,0.0204672,0.00867985,0.0119772,0.0374279,0.0203636,0.00737751,0.00775148,0.0109327,0.01957,0,0,0,0
1,0,0,0,0,0,0,0.0206553,0.00653671,0,0,0,0.00389224,0.0161382,0.0151096,0.0265656,0,0,0.00398825,0,0.0203663,0.0035905,0.0389954,0.0252647,0.0151778,0.0159749,0.0148986,0.0116957,0.0302,0.0317637,0.0270483,0.0444884,0.00818703,0.0070071,0.00686976,0.0216946,0.0067267,0.0035152,0.0112393,0.00246464,0.0225437,0.0148772,0.00919232,0.0500145,0.0238518,0,0,0.0363004,0,0.0116327,0.0221915,0.0411451,0.0174893,0.00654176,0.0323076,0.0117685,0.0114394,0.0410621,0.0206067,0.056592,0.052537,0.0077444,0.0201637,0.00860968,0.0119998,0.0362185,0.020636,0.0073418,0.00777899,0.0111784,0.0199292,0,0,0,0
2,0,0,0,0,0,0,0.0210226,0.00628642,0,0,0,0.0039626,0.016281,0.0145646,0.0264991,0,0,0.00416252,0,0.0203975,0.00355793,0.0389684,0.0240226,0.0148861,0.0143378,0.0151621,0.0118894,0.0297262,0.0307337,0.0262086,0.0441711,0.00766667,0.00604253,0.00752072,0.0212667,0.00667771,0.00346639,0.0112495,0.00256593,0.0216387,0.0148961,0.00908706,0.0506955,0.0241608,0,0,0.0360185,0,0.0116737,0.0222747,0.0408883,0.0161486,0.0064338,0.0333371,0.0118361,0.0117187,0.0413073,0.0208657,0.0572384,0.0528695,0.00776321,0.0198381,0.00876504,0.0116419,0.0345582,0.0207356,0.00728894,0.00765341,0.0112271,0.0202457,0,0,0,0
3,0,0,0,0,0,0,0.0212455,0.00601161,0,0,0,0.0038406,0.0163531,0.0142695,0.0265426,0,0,0.00434796,0,0.0204571,0.00355727,0.038935,0.0226413,0.01452,0.0124335,0.0154703,0.0120478,0.0292893,0.0295359,0.0254036,0.0438013,0.00717223,0.0053391,0.00824967,0.0207081,0.00612094,0.00359068,0.0112419,0.00257497,0.0205871,0.0149288,0.00887503,0.0514065,0.0242685,0,0,0.0358633,0,0.0117155,0.022135,0.0407059,0.0148165,0.00635885,0.0343711,0.0119596,0.0118065,0.0416691,0.0212801,0.0577644,0.0532564,0.00775656,0.0195361,0.00896311,0.0110189,0.0325466,0.0207211,0.00723178,0.00761199,0.0111701,0.0204418,0,0,0,0
4,0,0,0,0,0,0,0.021397,0.00567951,0,0,0,0.00376995,0.016406,0.0136338,0.0268132,0,0,0.00432782,0,0.0203095,0.00366835,0.0388376,0.0209263,0.0141305,0.0103607,0.0156578,0.0121726,0.0288793,0.0283059,0.0246901,0.0433425,0.00627257,0.00501114,0.0088236,0.0199463,0.00587711,0.00337688,0.0111602,0.00250567,0.0197644,0.0149566,0.00863517,0.0520411,0.0242897,0,0,0.0356835,0,0.0117422,0.0220645,0.0405392,0.0136152,0.00633852,0.0353985,0.0121741,0.0118096,0.0420923,0.0217718,0.0581083,0.0536481,0.00786646,0.0192633,0.00920434,0.0102114,0.0306227,0.0206485,0.00719314,0.0075479,0.011062,0.0206028,0,0,0,0
5,0,0,0,0,0,0,0.0214753,0.00566811,0,0,0,0.0031553,0.016481,0.0124811,0.027318,0,0,0.00416377,0,0.020252,0.00372792,0.0387406,0.0187112,0.0137613,0.00797282,0.0157587,0.012323,0.0284105,0.0269355,0.023867,0.042943,0.00561572,0.00516139,0.00952938,0.0191043,0.00560248,0.00332739,0.0110709,0.00251599,0.0189869,0.0149638,0.00836272,0.0527663,0.0242055,0,0,0.0355535,0,0.0117613,0.0220451,0.0403354,0.0123652,0.00648489,0.0364244,0.0124003,0.0116853,0.0423708,0.0220749,0.0585671,0.0539362,0.00808964,0.0189889,0.00947806,0.00924968,0.0288175,0.0204682,0.00720691,0.00745417,0.0108957,0.0207306,0,0,0,0
6,0,0,0,0,0,0,0.0214365,0.00568304,0,0,0,0.00204729,0.0165606,0.011468,0.0278296,0,0,0.0037923,0,0.0202861,0.00374979,0.0387126,0.016304,0.0134121,0.00528635,0.0157141,0.0123861,0.0279101,0.0255557,0.0229419,0.0427348,0.00593473,0.00575412,0.0103717,0.0181259,0.00489984,0.00350523,0.0109876,0.00263025,0.0181553,0.0149551,0.00819558,0.0535858,0.0240187,0,0,0.0355117,0,0.0117635,0.0219796,0.0401234,0.0109563,0.00666544,0.0373335,0.01257,0.0114564,0.0425088,0.0222002,0.0589804,0.0541374,0.0083948,0.018656,0.00982807,0.00825219,0.0269767,0.0202176,0.00722009,0.00746724,0.0106809,0.0207424,0,0,0,0
7,0,0,0,0,0,0,0.0211131,0.00577409,0,0,0,0.00128167,0.016618,0.0107546,0.0284836,0,0,0.00349095,0,0.0203434,0.0037339,0.0388198,0.0140512,0.0130347,0.0035351,0.0156067,0.0122606,0.02737,0.0244958,0.0221508,0.0424936,0.00765811,0.00766153,0.0116979,0.0168921,0.00392523,0.00383837,0.0110927,0.0026565,0.0173929,0.0149715,0.00818396,0.0545291,0.023563,0,0,0.0354759,0,0.0117757,0.0218838,0.0399189,0.00989491,0.00682168,0.0381889,0.01263,0.0110383,0.0426874,0.0224655,0.0593686,0.0543639,0.0088222,0.0183236,0.0102094,0.00748899,0.0252695,0.0199747,0.00724896,0.00749678,0.0104691,0.0205226,0,0,0,0
8,0,0,0,0,0,0,0.020604,0.00585837,0,0,0,0.00122798,0.0166215,0.010695,0.0293543,0,0,0.0036227,0,0.0202334,0.00359116,0.0391215,0.0125761,0.0126181,0.00691944,0.0155599,0.0120872,0.0268914,0.0245076,0.0216836,0.0422307,0.0110781,0.0114212,0.013628,0.0153093,0.00294638,0.00394209,0.0110873,0.00258796,0.016801,0.0149732,0.00836073,0.0555727,0.0229142,0,0,0.0354304,0,0.01177,0.0218033,0.0396943,0.00925444,0.0069442,0.0389746,0.012586,0.0104057,0.0429448,0.0228467,0.0599738,0.0546355,0.00922785,0.0179192,0.0104944,0.00697112,0.023746,0.0196274,0.00726442,0.00753302,0.0101829,0.0200905,0,0,0,0
