Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,RWRB,x73
All Timesteps RMSE,0,0,0,0,0,0,0.00536698,0.00379707,0,0,0,0.0352616,0.0140142,0.0173297,0.00647122,0,0,0.0343174,0,0.0231889,0.0204674,0.0179099,0.0332199,0.0197494,0.0312594,0.00628531,0.0184023,0.0166099,0.0305779,0.0204939,0.0406904,0.0242756,0.0276925,0.0111934,0.0282317,0.0450059,0.0287752,0.0114971,0.00766768,0.0256671,0.0182225,0.0218866,0.00666809,0.00493475,0,0,0.0116791,0,0.0146653,0.00671165,0.0831591,0.0285531,0.0489583,0.021297,0.00751333,0.00681503,0.0224217,0.0217936,0.0359031,0.0317453,0.0209171,0.0353141,0.0174299,0.0232848,0.0292997,0.00836149,0.0084346,0.00402667,0.00511898,0,0,0,0.00672156,0
0,0,0,0,0,0,0,0.0125556,0.00608526,0,0,0,0.0141587,0.0132413,0.0290582,0.00815317,0,0,0.039267,0,0.0241107,0.0217107,0.0106417,0.0580444,0.0210636,0.0410582,0.00251061,0.0212682,0.0252103,0.042643,0.0326709,0.0268146,0.0294858,0.0308126,0.00466749,0.0205333,0.0349708,0.0327362,0.0116289,0.00892746,0.0249783,0.0175485,0.0145112,0.00729743,0.0109335,0,0,0.0129586,0,0.0139111,0.00670677,0.0861672,0.0222783,0.0501419,0.0192177,0.00786735,0.00607963,0.0257011,0.0191105,0.0235686,0.0363396,0.0123715,0.0373125,0.00531287,0.0188219,0.0292432,0.00726235,0.00873207,0.00472993,0.0113287,0,0,0,0,0
1,0,0,0,0,0,0,0.0116119,0.00551083,0,0,0,0.0142215,0.0130933,0.0280539,0.0078017,0,0,0.039172,0,0.024201,0.0218329,0.0115178,0.0569441,0.0216636,0.0390602,0.00293497,0.0196424,0.0250483,0.0408954,0.0320756,0.0261578,0.02833,0.0295277,0.00590955,0.0193,0.0342047,0.0325288,0.0115325,0.00909887,0.0256634,0.0175236,0.0146541,0.00712754,0.0102828,0,0,0.0124558,0,0.013917,0.00629621,0.0861975,0.0230406,0.050098,0.0193699,0.0078158,0.00484321,0.0250926,0.0192156,0.0237446,0.0362694,0.0123919,0.0375191,0.00522749,0.0190212,0.0295944,0.00626905,0.0086444,0.00467127,0.0107524,0,0,0,0,0
2,0,0,0,0,0,0,0.0106012,0.00668036,0,0,0,0.00730766,0.0134307,0.0165397,0.00902078,0,0,0.039961,0,0.0240947,0.0223067,0.0272232,0.0300276,0.0143149,0.0436956,0.00727675,0.0180423,0.0286031,0.0469486,0.0310996,0.0370593,0.0302979,0.0282119,0.0176225,0.014253,0.00318478,0.0325677,0.0116752,0.00928002,0.0236728,0.0176121,0.0124728,0.00664716,0.00953401,0,0,0.0134724,0,0.0140635,0.00688706,0.0802217,0.0230413,0.046294,0.0170053,0.0138839,0.00619312,0.0259481,0.0206925,0.0253222,0.0356872,0.0115656,0.0378857,0.00549879,0.0187637,0.0298269,0.00679614,0.00889254,0.00605496,0.0102447,0,0,0,0,0
3,0,0,0,0,0,0,0.0102699,0.00653941,0,0,0,0.00517558,0.0134896,0.0168287,0.00907088,0,0,0.0400731,0,0.0240497,0.0224698,0.0279855,0.0300095,0.014198,0.0434822,0.00726717,0.0177232,0.0290676,0.0475189,0.0303515,0.035506,0.0309385,0.0296924,0.0190395,0.0124563,0.00596814,0.0326868,0.0117256,0.00926138,0.0239757,0.0176711,0.0124856,0.00671188,0.00933922,0,0,0.013305,0,0.0141527,0.00681525,0.0801506,0.0235349,0.0464943,0.0172493,0.0140358,0.00632601,0.0263437,0.0206154,0.025145,0.0359271,0.0119735,0.0380194,0.00568871,0.0192489,0.0309135,0.00679574,0.00880809,0.0060648,0.0100415,0,0,0,0,0
4,0,0,0,0,0,0,0.0100303,0.0063989,0,0,0,0.0043032,0.013655,0.0173303,0.00928684,0,0,0.040272,0,0.0240678,0.0227147,0.0286657,0.0295271,0.0141708,0.0431235,0.00730834,0.0175433,0.0293646,0.0480325,0.0295279,0.0342156,0.031498,0.0311462,0.0204267,0.0107795,0.00915375,0.0328473,0.0117447,0.00930949,0.0246596,0.0175712,0.0122233,0.00674388,0.0091843,0,0,0.0125789,0,0.0140448,0.00624697,0.0800269,0.02376,0.0466662,0.017415,0.0141286,0.00633897,0.0263961,0.0206544,0.0251306,0.0360108,0.0122436,0.0378593,0.00591748,0.0196755,0.0319012,0.00686077,0.00860784,0.00605396,0.00984451,0,0,0,0.00650243,0
5,0,0,0,0,0,0,0.00988997,0.00639924,0,0,0,0.00630537,0.0136396,0.0178398,0.00949616,0,0,0.0404107,0,0.0240775,0.0228318,0.0293566,0.0287388,0.0140774,0.0433235,0.00735527,0.0175373,0.0294406,0.0486786,0.0288393,0.0331866,0.032338,0.0328193,0.0216103,0.00929884,0.0124007,0.0329907,0.0117162,0.00908628,0.0255216,0.0175693,0.0120144,0.0069212,0.00905588,0,0,0.0129908,0,0.0140898,0.00654893,0.0798328,0.0236044,0.0468276,0.0177081,0.0142029,0.00637235,0.0263934,0.0206664,0.0252042,0.0359754,0.0124674,0.0377132,0.00615429,0.0199995,0.0324449,0.00692147,0.0089128,0.0060237,0.00956014,0,0,0,0,0
6,0,0,0,0,0,0,0.00981404,0.00627303,0,0,0,0.00911851,0.0133774,0.0183864,0.00958178,0,0,0.040286,0,0.0240661,0.0226774,0.0301442,0.0280558,0.0140084,0.0437487,0.00748187,0.0176,0.0294845,0.0495599,0.0283575,0.0324286,0.0334096,0.0342764,0.022634,0.00809633,0.0161785,0.0329472,0.011682,0.00855794,0.0264621,0.017568,0.0120336,0.00717822,0.00897504,0,0,0.0124731,0,0.0140593,0.0061746,0.079666,0.02336,0.0470339,0.0181166,0.0142521,0.00633877,0.0263927,0.0207831,0.0252801,0.0357959,0.0127678,0.037605,0.00623801,0.0203493,0.0331256,0.00692123,0.00871554,0.00595136,0.00939681,0,0,0,0.00668917,0
7,0,0,0,0,0,0,0.00962829,0.00619445,0,0,0,0.0118123,0.0132837,0.018899,0.00957664,0,0,0.0401821,0,0.024088,0.0226056,0.0311147,0.027796,0.0139371,0.0444543,0.00771853,0.0175759,0.0296823,0.0508329,0.0281644,0.0319606,0.0347175,0.0356961,0.0231941,0.00723519,0.0205748,0.0327763,0.0116983,0.00876624,0.0274955,0.0176665,0.0121177,0.00731859,0.0088099,0,0,0.0124713,0,0.0141461,0.00623983,0.0795355,0.0231377,0.0472679,0.0184997,0.0143285,0.00636346,0.0263595,0.0208609,0.0253676,0.0356959,0.013132,0.0375474,0.00641478,0.0206983,0.0340419,0.00697778,0.00869335,0.00582801,0.00921762,0,0,0,0.00669262,0
8,0,0,0,0,0,0,0.00939238,0.00613307,0,0,0,0.01552,0.0132903,0.0190474,0.0095477,0,0,0.0401972,0,0.0241022,0.0227196,0.0322792,0.0281217,0.0139038,0.0454799,0.00808213,0.0173239,0.030386,0.052478,0.0283622,0.0317899,0.0362253,0.0377316,0.0232687,0.00676424,0.0254961,0.0325335,0.0117261,0.0089493,0.02847,0.0177253,0.0119155,0.00731908,0.00862271,0,0,0.0124439,0,0.0142034,0.00622587,0.0794591,0.0227972,0.0474495,0.018911,0.0145314,0.00643081,0.0264,0.0208724,0.0253739,0.0358435,0.0135013,0.0373961,0.00659534,0.0209504,0.0353078,0.0070113,0.00865773,0.00574068,0.00908911,0,0,0,0.0066859,0
