Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0,0,0,0,0,0,0.024009,0.013574,0,0,0,0.0469566,0.0194,0.0273229,0.0312784,0,0,0.0106393,0,0.0184098,0.00476049,0.0406777,0.0280773,0.013917,0.015396,0.0130343,0.0171604,0.0213067,0.0113351,0.0131181,0.0407118,0.0151679,0.0218078,0.0151522,0.022209,0.0582154,0.0110655,0.00915796,0.00891408,0.0293288,0.0151169,0.0214609,0.0559872,0.027071,0,0,0.0332172,0,0.0117727,0.0203398,0.038726,0.0342617,0.0161733,0.0387975,0.0193466,0.0160132,0.0334945,0.0162614,0.0571853,0.0444542,0.0178975,0.0160584,0.0163849,0.0224235,0.03864,0.0194919,0.0103095,0.00978467,0.0124603,0.0234629,0,0,0
0,0,0,0,0,0,0,0.025317,0.0134538,0,0,0,0.0423122,0.0192842,0.0175465,0.0285596,0,0,0.00930204,0,0.0187307,0.00340481,0.0406265,0.0243932,0.00672249,0.00870032,0.00851034,0.017128,0.024176,0.0116737,0.0120876,0.0431877,0.0107928,0.0187136,0.00934022,0.0297011,0.0508352,0.0105253,0.00979885,0.00280111,0.0382733,0.015703,0.0245181,0.0549859,0.0297293,0,0,0.0370026,0,0.0118748,0.0217296,0.0396512,0.0287161,0.0109987,0.0453972,0.0195247,0.0183032,0.0356293,0.0142774,0.0577356,0.0450238,0.0242961,0.00417644,0.0260491,0.0226277,0.0447417,0.022467,0.0105077,0.0101836,0.012809,0.024221,0,0,0
1,0,0,0,0,0,0,0.0254407,0.0135235,0,0,0,0.0412296,0.019125,0.018833,0.0290599,0,0,0.00930561,0,0.0188177,0.00298798,0.0408341,0.0265158,0.00681422,0.010461,0.00855529,0.0169704,0.0230495,0.0114664,0.0107514,0.0419381,0.0116049,0.018984,0.00982117,0.0301225,0.0490251,0.0104445,0.00983392,0.00260448,0.0388563,0.0156634,0.0245126,0.055266,0.0299079,0,0,0.0368472,0,0.0118947,0.0217618,0.0392514,0.0302317,0.011472,0.0446212,0.0200229,0.0186751,0.0349188,0.0148106,0.0589955,0.0446473,0.0246927,0.00343552,0.0262525,0.0242252,0.0452052,0.0225981,0.0104332,0.0101999,0.0129658,0.0243341,0,0,0
2,0,0,0,0,0,0,0.0252265,0.0132002,0,0,0,0.0405046,0.0190574,0.0196557,0.0298183,0,0,0.00906323,0,0.0188249,0.00300315,0.040631,0.0270163,0.0069019,0.0114107,0.00852054,0.0166435,0.021657,0.0106349,0.0102064,0.0413614,0.0124208,0.0196937,0.010158,0.0301872,0.0478505,0.0101725,0.00979787,0.00249074,0.0383528,0.0156303,0.0246966,0.0554499,0.0297794,0,0,0.0364313,0,0.0119042,0.0215443,0.0390861,0.0327892,0.0111751,0.0438253,0.0198396,0.0186183,0.0341823,0.0157239,0.0605667,0.0444387,0.0249774,0.00300619,0.0263523,0.0256262,0.0455576,0.0222932,0.0102756,0.0100998,0.0126441,0.0241338,0,0,0
3,0,0,0,0,0,0,0.0248323,0.0126342,0,0,0,0.0395101,0.01917,0.0196825,0.030458,0,0,0.00898771,0,0.0188052,0.00289966,0.0400751,0.026654,0.00696756,0.0117901,0.00847528,0.0163177,0.0204305,0.0095841,0.00987927,0.0409825,0.0127657,0.0202369,0.0104351,0.0300582,0.0467886,0.0100758,0.00978415,0.00267427,0.0371385,0.0155979,0.0250205,0.0556649,0.0294538,0,0,0.0360073,0,0.0119106,0.0212661,0.0389396,0.0357254,0.0108231,0.042988,0.0192575,0.0182678,0.0335335,0.0168849,0.0622378,0.0445015,0.0252169,0.00277927,0.026139,0.0270188,0.0458889,0.0219431,0.0101583,0.00999215,0.0121194,0.0237699,0,0,0
4,0,0,0,0,0,0,0.0243542,0.0120157,0,0,0,0.038311,0.0192741,0.0190112,0.0308345,0,0,0.00887602,0,0.0188092,0.00270448,0.0392805,0.0257675,0.00696719,0.0119038,0.00845712,0.0159646,0.0196094,0.00864788,0.00955473,0.0407319,0.0128101,0.0201465,0.0105008,0.0297823,0.0462649,0.00987325,0.00975479,0.00281618,0.0359907,0.0155771,0.0252426,0.0557213,0.0290016,0,0,0.0356904,0,0.0119227,0.0210273,0.0386564,0.0385245,0.0106264,0.0420767,0.0185096,0.0178133,0.0330801,0.0180812,0.0637792,0.044794,0.0253934,0.00264313,0.0255923,0.0282399,0.0463491,0.0215971,0.0100061,0.00987944,0.011645,0.0233045,0,0,0
5,0,0,0,0,0,0,0.0237506,0.011479,0,0,0,0.0375995,0.0192274,0.0183123,0.0312037,0,0,0.00869384,0,0.0188004,0.00270138,0.0387601,0.0246064,0.00704183,0.0119929,0.00859311,0.0153667,0.0193222,0.00799261,0.00926791,0.0404953,0.0128329,0.0198755,0.0105949,0.0293756,0.0462602,0.00941845,0.00971573,0.00276987,0.0349155,0.015577,0.0254206,0.0558559,0.0283729,0,0,0.0354359,0,0.0119466,0.0208637,0.0383091,0.0412243,0.0103491,0.0410541,0.0178057,0.0173027,0.0328131,0.0192175,0.0650844,0.0452026,0.0252461,0.00259519,0.0248985,0.0290243,0.0470606,0.0213008,0.00986579,0.00980967,0.0111809,0.0227246,0,0,0
6,0,0,0,0,0,0,0.0230713,0.0110855,0,0,0,0.0373957,0.0192583,0.0177212,0.0315162,0,0,0.00848207,0,0.0187777,0.00290167,0.0384929,0.0233998,0.00714462,0.0122315,0.00884774,0.0147386,0.0193556,0.00747571,0.00908884,0.0402829,0.0127928,0.0196621,0.0106122,0.0288782,0.0461563,0.00904294,0.00971711,0.00287745,0.0350249,0.0155719,0.0254705,0.0560353,0.0276208,0,0,0.0352185,0,0.0119553,0.0207322,0.0380679,0.0429396,0.0100819,0.0397873,0.0171832,0.0167571,0.0326706,0.0201622,0.0661151,0.0456371,0.0248067,0.00276581,0.0241003,0.0294765,0.0471952,0.020923,0.00978435,0.00980627,0.0108113,0.0221138,0,0,0
7,0,0,0,0,0,0,0.0224094,0.010789,0,0,0,0.0374618,0.0192786,0.0172486,0.031837,0,0,0.00821433,0,0.018751,0.00312536,0.0384707,0.0223981,0.0073312,0.0124714,0.00924476,0.0141708,0.0194317,0.0070133,0.00905037,0.0402484,0.0126931,0.0195631,0.0106461,0.0284852,0.0460059,0.00864074,0.00970872,0.00289389,0.0354322,0.0155708,0.0254468,0.0562449,0.0268381,0,0,0.0350904,0,0.0119645,0.0206175,0.0379484,0.0439203,0.00996842,0.0382367,0.0166952,0.016175,0.0325884,0.0209167,0.0668631,0.0460213,0.0244197,0.00307157,0.0231889,0.0297735,0.0474517,0.020493,0.009744,0.00978453,0.0106306,0.0214893,0,0,0
8,0,0,0,0,0,0,0.0218183,0.0105521,0,0,0,0.0376043,0.0194199,0.0170367,0.0322118,0,0,0.00794989,0,0.0187182,0.00276252,0.0386213,0.0218531,0.00755368,0.0127495,0.00982601,0.0139286,0.0195044,0.00659304,0.00903053,0.0404912,0.012828,0.0198182,0.0107877,0.0283473,0.0459963,0.00849597,0.00972497,0.00311196,0.03583,0.0155626,0.0257807,0.0565042,0.0261104,0,0,0.0350756,0,0.0119651,0.0205649,0.0379869,0.044694,0.0100833,0.0366703,0.016491,0.0155488,0.032481,0.0214756,0.0673216,0.0462349,0.0241414,0.00347562,0.0221899,0.0299067,0.048305,0.0201125,0.00970571,0.00982182,0.0107534,0.0209336,0,0,0
