Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LASI
All Timesteps RMSE,0,0,0,0,0,0,0.0208323,0.010659,0,0,0,0.0453875,0.0189415,0.0254784,0,0,0.0109597,0,0.0190532,0.00572289,0.0368254,0.0272041,0.01374,0.0132777,0.0147968,0.0128391,0.0192865,0.0122795,0.0140843,0.0407912,0.0129041,0.0196335,0.0135934,0.0236148,0.0564928,0.0110947,0.00935948,0.00271485,0.0280402,0.0131757,0.0186608,0.0509995,0.0244552,0,0,0.0265445,0,0.0108338,0.0196362,0.0431282,0.0330386,0.011571,0.0348604,0.0178968,0.0171112,0.0325192,0.0148915,0.0540772,0.0431877,0.0167326,0.0195041,0.0140286,0.0219309,0.0403524,0.0194616,0.00805198,0.00724636,0.00961398,0.0205542,0,0,0,0,0.028164
0,0,0,0,0,0,0,0.0185853,0.0119062,0,0,0,0.0389336,0.0196928,0.018875,0,0,0.0119089,0,0.01843,0.00624385,0.0382504,0.0242218,0.00760212,0.00728476,0.00863897,0.0113782,0.0166011,0.00637236,0.00972846,0.0418849,0.0128391,0.0200644,0.0116097,0.0286099,0.0471322,0.0123176,0.00891863,0.00307124,0.0332549,0.0126591,0.0202732,0.0498695,0.0235214,0,0,0.025386,0,0.010535,0.0187452,0.0422753,0.0278147,0.00936914,0.0357967,0.0163077,0.0195054,0.0335972,0.0149259,0.0584264,0.0430815,0.0209944,0.00447435,0.0220993,0.0218307,0.0425506,0.0208051,0.00858082,0.00765759,0.0117541,0.0183088,0,0,0,0,0
1,0,0,0,0,0,0,0.0179243,0.0112999,0,0,0,0.0392339,0.0197041,0.0188527,0,0,0.0114402,0,0.0184432,0.00599303,0.0378799,0.0240443,0.00761214,0.00785565,0.00916229,0.0106778,0.0169752,0.00633563,0.00922776,0.0416642,0.0130549,0.0202574,0.011779,0.0284782,0.0474798,0.0116404,0.00890754,0.00302984,0.0333883,0.0126051,0.0206345,0.0497086,0.0228925,0,0,0.0251048,0,0.0105634,0.018584,0.0419112,0.0309966,0.00880148,0.0343583,0.0156853,0.019096,0.0328438,0.015985,0.059866,0.0430145,0.0218697,0.00407501,0.022423,0.0241655,0.0441563,0.0203452,0.00858475,0.00759101,0.0114669,0.0176426,0,0,0,0,0
2,0,0,0,0,0,0,0.017236,0.0107761,0,0,0,0.0400152,0.0198172,0.0191197,0,0,0.0111696,0,0.0184297,0.00601119,0.0377617,0.0235009,0.00772853,0.00862419,0.00989639,0.0101117,0.0169988,0.00601806,0.00898802,0.041696,0.0135889,0.0210271,0.0121861,0.0282272,0.0487503,0.0111913,0.00889627,0.00320981,0.0334735,0.0126455,0.0210595,0.0497373,0.0221925,0,0,0.0248362,0,0.0106091,0.0183984,0.0416495,0.0342763,0.00821942,0.0333783,0.015098,0.0186195,0.0320777,0.01715,0.0612946,0.0429798,0.022201,0.00402018,0.022082,0.0258687,0.0451834,0.0198576,0.00853103,0.00755174,0.0111662,0.0169547,0,0,0,0,0
3,0,0,0,0,0,0,0.0166094,0.0102589,0,0,0,0.0403979,0.0199256,0.0194957,0,0,0.0109685,0,0.0183974,0.00606962,0.0377164,0.0228065,0.00799243,0.00942526,0.0107845,0.00974427,0.0168078,0.00560934,0.00881182,0.0418035,0.0142105,0.0218485,0.0125752,0.0280354,0.0497398,0.0108338,0.00888151,0.00347142,0.034175,0.0127141,0.0214867,0.0498119,0.0215332,0,0,0.0246355,0,0.0106486,0.0182821,0.0415313,0.0367842,0.00769091,0.0322349,0.0147069,0.018116,0.0313875,0.018272,0.0624917,0.0430329,0.0223945,0.00424268,0.0216617,0.02721,0.045966,0.0194924,0.00840572,0.00756768,0.0108982,0.0163149,0,0,0,0,0
4,0,0,0,0,0,0,0.0161052,0.00983819,0,0,0,0.0409212,0.0200126,0.0196598,0,0,0.0108749,0,0.0183557,0.00612777,0.0376772,0.0222353,0.00834804,0.0102151,0.0116802,0.00942743,0.0165155,0.00515359,0.00881261,0.0419826,0.0148342,0.0227288,0.0128975,0.0279222,0.0507047,0.010586,0.00885567,0.00349418,0.0349493,0.0127617,0.02203,0.049936,0.0209404,0,0,0.0244604,0,0.0106688,0.0181847,0.041429,0.0387222,0.00722571,0.0308189,0.0144436,0.0176279,0.0307625,0.0192321,0.0634623,0.0430614,0.0225065,0.00461674,0.0212153,0.028198,0.0471306,0.0192268,0.00828038,0.00756408,0.0106703,0.0157645,0,0,0,0,0
5,0,0,0,0,0,0,0.0156977,0.00976411,0,0,0,0.0414057,0.0200846,0.0196688,0,0,0.0108413,0,0.0183198,0.00620827,0.0375736,0.0221451,0.00875456,0.0106653,0.0125425,0.00912383,0.0162064,0.00482477,0.00883339,0.0421724,0.0153056,0.0234667,0.0131896,0.0278457,0.0517425,0.0103809,0.0087907,0.0034231,0.0362454,0.0128312,0.0228658,0.0501853,0.0204749,0,0,0.0243925,0,0.0106902,0.018089,0.0413743,0.0404212,0.00689638,0.0294018,0.0143976,0.0172377,0.0302125,0.0200348,0.0640979,0.0429521,0.0224512,0.00509662,0.0206918,0.0287874,0.04957,0.0189157,0.0081623,0.0074867,0.0103963,0.0153403,0,0,0,0,0
6,0,0,0,0,0,0,0.0154739,0.00969778,0,0,0,0.0419564,0.0201472,0.0197151,0,0,0.0109057,0,0.0183241,0.0063527,0.037417,0.0221488,0.00911865,0.0110024,0.0132862,0.00898648,0.0159837,0.00451335,0.00885178,0.0423111,0.0155573,0.0238492,0.0134119,0.0276416,0.0525453,0.0102604,0.00874555,0.00349483,0.0382066,0.0128951,0.023701,0.0503813,0.0201739,0,0,0.024385,0,0.0107087,0.0180024,0.0414449,0.0419486,0.0067223,0.0281774,0.0145767,0.0169153,0.0296396,0.0206084,0.0643417,0.0426882,0.0222512,0.00568623,0.020144,0.028873,0.0530517,0.0187065,0.0080762,0.00739934,0.0100312,0.0150972,0,0,0,0,0
7,0,0,0,0,0,0,0.0154553,0.00953122,0,0,0,0.0425903,0.0202135,0.0199642,0,0,0.0110405,0,0.0183815,0.00652589,0.0373104,0.0220115,0.00944526,0.0113343,0.0138769,0.00905619,0.0158339,0.00416058,0.00882269,0.0423819,0.0156298,0.0239055,0.0136241,0.02723,0.0533511,0.0102135,0.00874737,0.003513,0.0403953,0.0129454,0.0239568,0.0504726,0.0200624,0,0,0.024422,0,0.0107141,0.0180036,0.0416537,0.042892,0.00673574,0.0271985,0.0149692,0.0166773,0.0292187,0.0209128,0.0642244,0.0423602,0.0221933,0.00634696,0.0197062,0.0286595,0.0562676,0.0186172,0.0080314,0.00738962,0.00960297,0.0150682,0,0,0,0,0
8,0,0,0,0,0,0,0.0155561,0.0093331,0,0,0,0.0431697,0.020202,0.0205967,0,0,0.0111222,0,0.0183938,0.00662146,0.0371853,0.0218479,0.0097634,0.0116096,0.0143204,0.00915086,0.0157678,0.00394591,0.00878114,0.0424389,0.015647,0.0239425,0.0139736,0.0266645,0.0544813,0.0101541,0.00874441,0.0034188,0.0423796,0.0129938,0.0242455,0.0504268,0.0200845,0,0,0.0244137,0,0.0107329,0.0180335,0.0419894,0.043047,0.00687436,0.0264097,0.0154774,0.0164701,0.0290591,0.0210431,0.0639691,0.0421367,0.0222481,0.00696079,0.0192662,0.0283918,0.058329,0.0184736,0.008022,0.00740029,0.00925734,0.015206,0,0,0,0,0
