Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,x73,STRN
All Timesteps RMSE,0,0,0,0,0,0,0.0206262,0.0158042,0,0,0,0.0356451,0.0216271,0.0243851,0.0244522,0,0,0.0100522,0,0.0183734,0.00531378,0.0385439,0.0289205,0.0187215,0.024927,0.00857601,0.0132561,0.0975608,0.0931956,0.071352,0.0849816,0.0179682,0.0165938,0.0139322,0.0173016,0.0384691,0.0108935,0.00932969,0.00492823,0.0366576,0.0133426,0.028587,0.0395063,0.0182896,0,0,0.0439154,0,0.0103585,0.0293565,0.0464677,0.0426324,0.00980446,0.048459,0.0208953,0.0177303,0.0798311,0.075465,0.0284574,0.0544263,0.0293775,0.0285074,0.0128452,0.0337033,0.0395141,0.0250532,0.0115575,0.014486,0.0191402,0,0,0,0,0.0128996
0,0,0,0,0,0,0,0.024038,0.0251951,0,0,0,0.0287537,0.0220544,0.0275184,0.0263958,0,0,0.0107001,0,0.0184004,0.00641404,0.037488,0.0346137,0.0207791,0.0278607,0.0110346,0.0180185,0.0862897,0.081831,0.0755019,0.0842839,0.0266249,0.0191868,0.0239621,0.00898905,0.0280894,0.0123755,0.00880875,0.00458817,0.0388648,0.0135567,0.0288299,0.04213,0.0193174,0,0,0.0465809,0,0.0102387,0.0320818,0.0469546,0.0350071,0.0123405,0.0571156,0.0137343,0.0219022,0.0796142,0.0775872,0.0290514,0.0523091,0.0334966,0.0250083,0.0118193,0.0288268,0.0317371,0.0281942,0.0120554,0.011928,0.0201164,0,0,0,0,0
1,0,0,0,0,0,0,0.0308355,0.0352111,0,0,0,0.0264835,0.0222339,0.0276523,0.0253687,0,0,0.0121406,0,0.0183644,0.00709433,0.0381066,0.0409755,0.0181104,0.0241869,0.00874726,0.0252417,0.0879574,0.0862697,0.0771894,0.0837201,0.0211776,0.0105755,0.0179691,0.00989613,0.0284156,0.0145989,0.00893867,0.00482879,0.0391913,0.0132107,0.0285487,0.0421065,0.0243324,0,0,0.0536831,0,0.00980259,0.0383102,0.0470651,0.0344404,0.0120118,0.056677,0.0146722,0.0329931,0.0793042,0.0770964,0.0287821,0.0528462,0.0332692,0.0250621,0.0118234,0.0288323,0.0322933,0.0377005,0.0137508,0.0130095,0.0241742,0,0,0,0,0
2,0,0,0,0,0,0,0.0303181,0.0349612,0,0,0,0.0264723,0.0221568,0.0275423,0.0249958,0,0,0.0124786,0,0.0183886,0.00740478,0.0387804,0.0437135,0.016808,0.0236752,0.00750175,0.0249251,0.0895255,0.0886656,0.0774488,0.0838188,0.0192379,0.00994788,0.0139833,0.0122812,0.0300799,0.0143772,0.00904491,0.00476264,0.039701,0.0132107,0.0289002,0.0421081,0.0238716,0,0,0.0534621,0,0.00986448,0.0380794,0.0470789,0.0346515,0.0117714,0.056824,0.0149959,0.0329737,0.0793754,0.0766556,0.0284861,0.0531375,0.0332649,0.0251314,0.0116009,0.028986,0.032852,0.0376933,0.0135964,0.0129582,0.0236189,0,0,0,0,0
3,0,0,0,0,0,0,0.0296217,0.0343656,0,0,0,0.0288656,0.0221026,0.0274132,0.0249601,0,0,0.0127114,0,0.0183914,0.00762029,0.0391086,0.0432966,0.0163728,0.023579,0.00665961,0.0245775,0.0913896,0.0896998,0.075673,0.0838761,0.0180794,0.0099087,0.0115866,0.014278,0.0312552,0.0142755,0.00902437,0.00481443,0.0401902,0.0132476,0.0291777,0.0419993,0.0231691,0,0,0.0529955,0,0.00994414,0.0375879,0.0470395,0.0348663,0.0115247,0.056845,0.0150909,0.0323733,0.0793906,0.0761964,0.0282555,0.0533982,0.0333328,0.0252097,0.0115246,0.0291487,0.0331106,0.0371496,0.0134067,0.0129207,0.022927,0,0,0,0,0
4,0,0,0,0,0,0,0.0287641,0.0334764,0,0,0,0.032275,0.022042,0.0274808,0.0250195,0,0,0.0129667,0,0.0183957,0.00779861,0.0392359,0.0414067,0.0160894,0.023567,0.00629118,0.0239983,0.0934572,0.0903569,0.072929,0.0840164,0.0168627,0.00971473,0.00983935,0.0160701,0.0328028,0.0142509,0.00899361,0.00485446,0.0406612,0.0132853,0.0295152,0.0416842,0.0223431,0,0,0.0523805,0,0.0100178,0.0370352,0.0470669,0.0350134,0.0112588,0.0569953,0.0154374,0.0313596,0.0794887,0.0757919,0.0279663,0.0537159,0.0334795,0.0252324,0.0115177,0.0293917,0.0334715,0.0363556,0.0132509,0.0128773,0.022084,0,0,0,0,0
5,0,0,0,0,0,0,0.0277797,0.0322734,0,0,0,0.0356882,0.0220153,0.0274586,0.0250738,0,0,0.0131868,0,0.0184159,0.00790351,0.039348,0.039025,0.0157285,0.0238471,0.0062258,0.0230641,0.0955172,0.0910382,0.0699072,0.0842759,0.0160576,0.0104709,0.00843098,0.0179231,0.0347654,0.0143129,0.00898154,0.00484427,0.0407575,0.0132626,0.0298247,0.0413461,0.0215685,0,0,0.051623,0,0.0100451,0.0363591,0.0471392,0.0349445,0.0109547,0.0570404,0.0160197,0.0300283,0.0795473,0.0753938,0.0278154,0.0540169,0.0334856,0.0252218,0.0114236,0.0295418,0.0338129,0.0353909,0.0130933,0.0127948,0.0211593,0,0,0,0,0
6,0,0,0,0,0,0,0.0269508,0.0309224,0,0,0,0.0393944,0.0219166,0.0273916,0.025214,0,0,0.0132302,0,0.0183157,0.00784198,0.0395608,0.0363933,0.0152628,0.0244191,0.00628482,0.0220537,0.0974801,0.091645,0.0670355,0.0847266,0.0159517,0.0122879,0.00738111,0.020016,0.0376562,0.0143071,0.00894945,0.00484723,0.0403441,0.0131778,0.0297502,0.0411463,0.0211265,0,0,0.0509779,0,0.0100162,0.0357671,0.0471647,0.0348235,0.010552,0.057092,0.0169586,0.0287005,0.0792094,0.0750314,0.0277385,0.0543723,0.0334771,0.025223,0.0113918,0.0295881,0.0336784,0.0345366,0.0130541,0.0127784,0.0204109,0,0,0,0,0
7,0,0,0,0,0,0,0.0263621,0.0298397,0,0,0,0.0432749,0.0218919,0.0279663,0.0249974,0,0,0.0130557,0,0.0182401,0.00763659,0.0399106,0.0340697,0.0149763,0.0249998,0.00474684,0.0213597,0.0992884,0.0923703,0.064344,0.0852346,0.0165526,0.0147877,0.00683732,0.0223186,0.0418033,0.0141779,0.00891874,0.00485001,0.0399627,0.0131748,0.0296751,0.041744,0.0208033,0,0,0.0503565,0,0.0100465,0.0351248,0.0472278,0.0347608,0.0109108,0.0572953,0.016374,0.0270878,0.078919,0.0747133,0.0276653,0.0545408,0.0334759,0.0251328,0.0114399,0.029633,0.0334956,0.0331994,0.0129716,0.0126924,0.0200708,0,0,0,0,0
8,0,0,0,0,0,0,0.0258024,0.0287025,0,0,0,0.0460406,0.0218369,0.0287749,0.0249857,0,0,0.0129415,0,0.0182047,0.00751114,0.0404832,0.0330188,0.0144164,0.0247957,0.00453033,0.0202823,0.101054,0.0931406,0.0619651,0.0859127,0.0172461,0.0170485,0.00735154,0.024283,0.0455173,0.0139785,0.00890419,0.0047827,0.0397186,0.0132141,0.0295177,0.0417471,0.0207384,0,0,0.0500358,0,0.0101093,0.0347394,0.047304,0.0349251,0.0110302,0.0574155,0.0171397,0.026074,0.0787964,0.074506,0.0275165,0.0546253,0.0333603,0.0249711,0.0115774,0.0295532,0.0334733,0.0326378,0.0129338,0.0126262,0.0196889,0,0,0,0,0
