Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
All Timesteps RMSE,0,0,0,0,0.0150717,0.00729518,0,0,0,0.0202644,0.014704,0.0120888,0.00526143,0,0,0.00775195,0,0.0257059,0.00299349,0.0526074,0.0104228,0.0152658,0.0134606,0.0178145,0.00677339,0.0080914,0.0083937,0.0100663,0.0230731,0.00668794,0.00321603,0.00235627,0.0217544,0.0235721,0.00626641,0.00514206,0.00217454,0.0129079,0.0166799,0.0117506,0.00682522,0.0119388,0,0,0.0102714,0,0.0198346,0.00674453,0.052126,0.0165166,0.023889,0.0167107,0.0207309,0.00823788,0.00713765,0.0150303,0.00855549,0.00880145,0.0150249,0.022408,0.0125694,0.0162176,0.0141296,0.0063583,0.0070615,0.00592595,0.00754193,0.0124869,0,0,0
0,0,0,0,0,0.0141197,0.0111254,0,0,0,0.0217086,0.0150199,0.0149785,0.00301391,0,0,0.0103911,0,0.0262468,0.00484258,0.0440326,0.0127552,0.0157102,0.0209631,0.0118001,0.00817489,0.0119569,0.0118699,0.0145674,0.029301,0.0102695,0.00508236,0.00330646,0.0141239,0.0246661,0.0117102,0.00426125,0.00108333,0.0118891,0.0206202,0.0145095,0.00328082,0.0100527,0,0,0.0128504,0,0.0226892,0.00718092,0.0456438,0.022118,0.0182802,0.0195087,0.0151934,0.00818471,0.00550674,0.0134769,0.00616758,0.00768563,0.0187588,0.0330853,0.0166872,0.0208752,0.0122761,0.00795801,0.00852239,0.0079805,0.00951164,0.0105342,0,0,0
1,0,0,0,0,0.014188,0.0110723,0,0,0,0.0216068,0.0150265,0.0148196,0.00295193,0,0,0.0103458,0,0.0261928,0.0048358,0.0440246,0.0126424,0.0156467,0.0207533,0.0115465,0.00801929,0.0118035,0.0117016,0.0143963,0.0291893,0.0101237,0.00495079,0.00318869,0.014175,0.0245848,0.0115827,0.00425731,0.00110926,0.0116166,0.0206256,0.013811,0.00315951,0.0101037,0,0,0.012719,0,0.0227137,0.00707926,0.0455877,0.021221,0.018161,0.0183994,0.0149567,0.00800574,0.00528262,0.013453,0.0066098,0.0071329,0.0182938,0.032503,0.0161653,0.0203512,0.0127453,0.00790656,0.00858395,0.0080114,0.0093828,0.0105858,0,0,0
2,0,0,0,0,0.0141785,0.0109948,0,0,0,0.0214949,0.0150181,0.0146561,0.00286866,0,0,0.0103111,0,0.0261599,0.0048278,0.0439918,0.012503,0.0156275,0.0204984,0.0113515,0.00791039,0.0116086,0.0114582,0.0142434,0.0290883,0.00998084,0.00482089,0.00311558,0.0142239,0.0244831,0.0114607,0.00425721,0.00116861,0.0112065,0.0205963,0.0138145,0.00313495,0.010191,0,0,0.0126816,0,0.0227419,0.00701196,0.0455673,0.0211483,0.0180995,0.018176,0.0147589,0.00786712,0.00522953,0.0133656,0.0066632,0.00682194,0.0181468,0.0323708,0.016199,0.0202265,0.0124313,0.0078781,0.00866475,0.00801743,0.00933107,0.0105882,0,0,0
3,0,0,0,0,0.0141074,0.0109025,0,0,0,0.0213614,0.0150235,0.0144564,0.00266933,0,0,0.0102315,0,0.0261366,0.00480484,0.0439591,0.0123464,0.0156304,0.0202417,0.0111954,0.00776752,0.0113872,0.0112039,0.0140799,0.0289811,0.009855,0.00468576,0.00304838,0.014289,0.0243558,0.0113184,0.00426795,0.001164,0.0109064,0.0205235,0.0139275,0.00315498,0.0103698,0,0,0.0126518,0,0.0227303,0.00697252,0.0455385,0.021185,0.0180032,0.0180097,0.0145972,0.00772284,0.00521895,0.0132527,0.00679916,0.00667459,0.0179987,0.0322896,0.0166825,0.0200808,0.0119941,0.00785841,0.00869798,0.00799745,0.00933486,0.0105878,0,0,0
4,0,0,0,0,0.0140298,0.0107982,0,0,0,0.0212368,0.0150413,0.0142407,0.002546,0,0,0.0101199,0,0.026118,0.00476169,0.0439346,0.0121837,0.015616,0.0199761,0.01104,0.00760246,0.0111303,0.0109162,0.0138976,0.0288928,0.00971492,0.00453898,0.00297948,0.0143668,0.0242314,0.0111689,0.00427191,0.00114869,0.0107295,0.0205092,0.0140178,0.00311314,0.0104911,0,0,0.0124802,0,0.0227479,0.00686269,0.0454636,0.0211213,0.0179272,0.0176231,0.0144708,0.00755874,0.00512482,0.0131805,0.00707649,0.00655931,0.0177512,0.0322079,0.0176285,0.0197395,0.0115419,0.00775431,0.00861092,0.00789338,0.00930127,0.0106121,0,0,0
5,0,0,0,0,0.0139659,0.0106919,0,0,0,0.0210909,0.0150633,0.0140456,0.00249462,0,0,0.010022,0,0.0261199,0.00471585,0.0439354,0.0120564,0.0155714,0.0196745,0.0108623,0.00744221,0.010864,0.0105981,0.0137093,0.0288285,0.00956299,0.00439837,0.00290679,0.0144438,0.0240805,0.011044,0.00428002,0.00114499,0.0105692,0.0205595,0.0141075,0.00297561,0.0105598,0,0,0.0122278,0,0.022801,0.0066758,0.0453183,0.0210644,0.0179283,0.0171976,0.0143428,0.00737887,0.0050342,0.0133772,0,0.00644955,0.0174372,0.0323359,0,0.019332,0.0109296,0.00756032,0.00845207,0.00775707,0.00921531,0.0106375,0,0,0
6,0,0,0,0,0.0139137,0.010589,0,0,0,0.0208984,0.0150587,0.0138075,0.00254486,0,0,0.00998906,0,0.0261441,0.00468121,0.0438892,0.011862,0.0155776,0.019274,0.0105943,0.00736021,0.0105554,0.0102073,0.0134754,0.0287205,0.00936611,0.00423218,0.00283562,0.0145019,0.0238917,0.0109765,0.00429143,0.00116692,0.0105174,0.0205483,0.0143613,0.00294716,0.0106367,0,0,0.0121222,0,0.0228062,0.00652897,0.0452639,0.0211297,0.0180005,0.0170913,0.0141376,0.00722409,0.00507454,0.0137097,0.00673766,0.00648028,0.0171111,0.0324531,0.0159592,0.0188712,0.00997943,0.00737287,0.00837644,0.00772391,0.00915449,0.010642,0,0,0
7,0,0,0,0,0.0138786,0.0105073,0,0,0,0.0206957,0.0150626,0.0135678,0.00267619,0,0,0.00999862,0,0.0261416,0.00465426,0.0438962,0.0117238,0.0155337,0.0188895,0.010261,0.00723837,0.0102899,0.00987137,0.0132673,0.0286073,0.00913964,0.00401305,0.00272714,0.0145931,0.0236704,0.0109114,0.00431316,0.00113773,0.0100099,0.020488,0.0141106,0.00299148,0.0107298,0,0,0.0121087,0,0.0227545,0.00641269,0.0452187,0.0206477,0.017939,0.016625,0.0139174,0.00703502,0.00498738,0.0139046,0.00709514,0.00627495,0.0168616,0.0321989,0.0153375,0.0184503,0.00942054,0.00712717,0.00841865,0.00779007,0.00906806,0.0106651,0,0,0
8,0,0,0,0,0.0138449,0.010441,0,0,0,0.0204966,0.0150413,0.0133215,0.00265195,0,0,0.0100701,0,0.0260979,0.00464461,0.043927,0.0116236,0.0155122,0.0185688,0.0100529,0.00708292,0.0100493,0.00958718,0.013067,0.0285623,0.00890875,0.00380285,0.0026068,0.014687,0.0234375,0.0108756,0.00431012,0.0010945,0.00977586,0.0205045,0.0139375,0.00309908,0.0108153,0,0,0.0118048,0,0.0227216,0.00629088,0.0452782,0.0201743,0.0178172,0.0162257,0.0138311,0.00685283,0.00484129,0.01398,0.00722986,0.00603494,0.0165512,0.0319741,0.0148822,0.0181592,0.00893869,0.00679779,0.00843446,0.0078486,0.00892348,0.010699,0,0,0
