Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,Briefcase:BCBT,,,Briefcase:BCFT,,,Briefcase:BCBTT,,,Briefcase:BCBB,,,Briefcase:BCBF,,,Briefcase:IMU_M,,,Briefcase:IMU_T,,,Briefcase:IMU_B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
13666,0,862.091064,1765.939941,1615.680542,780.802490,1758.022461,1611.781616,859.696533,1945.196533,1583.080811,741.715027,1932.773926,1584.027588,879.968689,1839.137695,1471.070068,740.840942,1821.801147,1475.337402,799.683228,1968.843628,1454.530396,797.508484,2046.689453,1207.986816,802.318604,1824.564575,1344.786865,801.565247,1784.664185,1232.049438,661.838989,2039.818237,1308.627075,1011.768921,1912.962280,1381.971924,1060.219604,1955.561768,1220.160645,1070.327271,1984.903320,1103.399658,,,,1082.376587,1913.185669,987.917969,1019.832275,1852.203735,893.838135,1076.278809,1897.488647,874.592224,1042.046875,1800.750610,787.826599,1077.659302,1873.525513,812.276428,579.546936,1886.122803,1382.294312,546.927185,1919.137695,1214.557617,548.114563,1967.916138,1100.700317,,,,504.102173,1918.636597,984.672058,527.251160,1847.995361,870.493652,500.593658,1918.649902,858.735046,497.987793,1850.630371,752.996521,489.001160,1918.479492,803.207642,873.201233,1833.849609,929.657532,650.028076,1827.137695,933.085510,837.885254,2050.141602,911.724609,713.971375,2053.161133,920.333252,935.394653,1903.747070,930.657715,595.538940,1899.653442,936.755554,958.696777,1866.477173,850.959290,953.815552,1784.035034,693.764526,937.056519,1717.664307,644.311584,938.205688,1770.849731,577.647644,946.523193,1840.022949,625.386719,934.556091,1724.640259,501.463776,,,,930.378845,1777.116089,383.649963,929.057373,1743.481323,328.834045,908.124329,1820.752808,287.116486,900.277527,1848.086182,339.510864,883.957642,1834.704102,130.578873,,,,820.151184,1901.400757,98.125580,868.378479,1661.083374,52.583366,577.087830,1877.670532,833.221191,922.506165,1729.833252,58.014870,,,,623.614319,1839.085571,636.326294,635.676758,1890.603027,566.703796,611.891663,1963.343994,616.861450,647.009521,1949.804688,456.534515,,,,,,,,,,,,,687.737610,2058.103271,317.656830,701.573303,2019.498169,85.177063,,,,754.695007,2077.796631,38.889072,713.293091,1826.276978,43.083988,661.466064,1887.066895,40.741096,,,,565.896301,1649.686768,587.287109,500.829987,2131.341553,607.288269,522.266541,2155.604004,394.171173,575.570618,1669.081543,427.055176,447.178131,1694.826416,646.120667,447.937714,1690.711670,685.120361,473.158691,1701.002808,613.979309
13667,0,862.924255,1756.172974,1614.193726,780.665894,1748.227173,1610.494385,860.323730,1935.517700,1581.855469,742.346436,1923.045898,1582.694336,880.629761,1829.656494,1469.772949,741.586060,1812.205933,1473.893311,800.364746,1959.279785,1453.283936,798.098267,2037.445557,1206.949463,802.962097,1815.025146,1343.293091,802.069641,1775.249023,1230.621826,662.461609,2030.433838,1307.681030,1012.470581,1903.511963,1380.484863,1060.594482,1946.922241,1218.837280,1070.621704,1976.873291,1102.152100,,,,1082.515137,1905.947632,986.322815,1020.682922,1845.668701,891.718201,1076.075562,1890.875854,872.905273,1042.091553,1794.466187,785.483704,1077.381470,1867.362183,810.333252,580.210693,1876.503906,1381.059326,547.395447,1909.980347,1213.363892,548.711060,1958.943970,1099.553711,,,,504.341766,1909.719849,983.640137,527.021851,1838.857056,869.488403,500.579895,1909.627563,857.765381,497.658600,1841.718140,752.172729,488.832611,1909.491943,802.278198,873.406555,1824.995728,928.356445,650.126526,1818.310669,931.683228,838.461853,2041.059448,910.753418,714.626648,2044.135864,919.737915,935.456055,1894.118530,929.331604,595.813232,1890.988770,935.720215,958.627136,1857.061035,849.266235,952.154846,1773.870728,691.495789,934.593018,1708.657104,642.371704,935.543213,1762.112793,575.766663,944.457458,1831.030273,623.550293,931.544617,1715.098022,499.969299,,,,928.222900,1761.208496,379.566498,927.683472,1724.274292,326.911072,906.545715,1798.599365,280.322357,898.828674,1829.941406,331.449005,884.284790,1802.875366,122.571693,,,,819.917664,1866.784180,85.690514,869.278015,1624.789429,54.365334,577.145569,1869.651611,832.231506,923.469238,1694.280396,56.069321,595.943726,1906.210815,680.412964,623.528503,1833.380859,634.966187,636.001160,1885.187988,566.062256,612.015686,1957.811157,616.766785,647.279297,1946.616699,456.276184,,,,,,,,,,,,,688.164856,2056.044922,318.366608,701.972046,2019.213867,85.420593,,,,754.677490,2077.830811,39.100830,713.749268,1826.093872,42.600632,661.462585,1887.007812,40.667408,,,,565.082642,1640.721436,586.068787,500.394165,2122.399414,606.412292,521.143127,2146.713379,393.170197,574.235718,1660.175415,425.779510,446.633911,1686.095581,645.456604,447.429779,1681.786011,684.296753,472.461121,1691.957642,613.048889
13668,0,863.721924,1746.420410,1612.704956,781.507629,1738.404785,1608.912720,861.023560,1925.804932,1580.502930,743.161133,1912.410889,1581.240967,881.510742,1820.063843,1468.106567,742.508057,1802.608398,1472.229980,801.207214,1949.638428,1451.969971,798.897949,2028.110474,1205.788086,804.005737,1805.544434,1341.558960,802.860413,1765.937134,1229.098267,663.244873,2021.092407,1306.589233,1013.256104,1894.034424,1378.911743,1061.114014,1938.238159,1217.357056,1070.649780,1968.670654,1100.813110,,,,1082.726196,1898.490234,984.492065,,,,1076.057251,1884.093506,870.929077,1042.192749,1788.216431,783.218689,1077.280029,1861.062744,808.335754,580.943848,1866.947998,1379.630615,548.123535,1900.845825,1212.023438,549.422363,1949.990845,1098.280884,,,,504.593658,1900.803345,982.522034,526.816772,1829.871094,868.410583,500.386536,1900.728271,856.721375,497.300934,1832.635986,751.026917,488.644409,1900.456665,801.246582,874.551758,1816.177246,926.976074,650.245789,1809.312988,930.310364,839.011414,2031.888306,909.681885,715.165955,2034.976929,919.019714,935.845886,1884.861328,927.656494,596.078369,1882.155273,934.777222,958.582275,1847.645142,847.280029,950.389709,1765.462158,689.019592,932.646729,1700.473755,639.845215,932.865967,1754.045288,573.370117,942.163147,1822.777832,621.352051,928.956055,1706.076416,498.222107,,,,926.626160,1745.634399,375.676971,926.115906,1705.195312,325.099915,905.460022,1776.742065,274.049683,897.114624,1810.962524,322.999237,884.288330,1770.906128,115.479408,,,,820.090576,1832.599976,74.659821,869.348755,1588.993896,58.048916,577.222534,1861.490479,831.192017,923.188049,1658.104126,55.126431,,,,623.924438,1827.629150,633.556885,636.270813,1879.859619,565.181580,612.077881,1952.049927,616.538147,647.613281,1943.218140,455.919037,,,,661.919067,2024.115112,362.984467,,,,,,,688.630310,2053.951660,319.056732,702.430725,2018.924438,85.723541,,,,754.929260,2077.511230,39.363441,713.158386,1826.050903,42.165577,661.247620,1886.760986,40.378109,,,,564.235535,1631.748535,584.746399,499.793762,2113.408936,605.268433,520.001526,2137.710205,392.029327,572.972473,1651.234131,424.521179,445.973877,1677.140137,644.464417,446.556244,1672.971069,683.364502,471.762268,1682.943115,611.979919
13669,0,864.666382,1736.588379,1611.129639,782.770569,1728.504395,1607.271118,861.884216,1915.925903,1578.990845,743.905273,1903.160522,1579.729736,882.476257,1810.448486,1466.631714,743.431091,1792.976562,1470.624756,802.140198,1939.876221,1450.603516,799.816467,2018.752563,1204.497314,804.611389,1795.631714,1340.195068,803.640259,1756.420776,1227.447144,664.252441,2011.645264,1305.322144,1014.160767,1884.339478,1377.196045,1061.706421,1929.361206,1215.740601,1071.053955,1960.366699,1099.269775,,,,1082.985352,1890.918701,982.602173,1020.864868,1831.217041,887.769836,1076.142090,1877.285156,869.091797,1042.077637,1781.671997,780.698181,1077.199951,1854.458008,806.189514,581.821106,1857.529297,1378.097778,548.926453,1891.748779,1210.605347,550.185791,1940.985352,1096.891113,,,,504.729401,1891.695679,981.338684,526.708435,1820.875488,867.228088,500.339630,1891.602051,855.561340,496.939423,1823.605957,749.886353,488.376343,1891.409668,800.188965,874.799133,1806.976807,925.360352,650.419434,1800.133667,928.852966,839.510559,2022.643799,908.438904,715.690063,2025.700317,918.155640,936.134949,1875.500244,925.926697,596.381836,1873.087646,933.734924,958.575562,1838.314819,845.054016,948.784363,1757.600342,686.151733,930.711548,1692.736694,636.651001,930.240051,1746.628174,570.441345,939.701050,1815.234131,618.795166,926.498230,1697.159180,495.910614,,,,925.155518,1729.876221,371.634003,925.000854,1686.803589,323.679962,904.652832,1755.040039,268.331818,895.280334,1791.392212,314.673492,884.319275,1739.122803,109.556900,,,,820.440247,1798.466187,64.574829,868.293701,1553.999878,63.669605,577.306702,1853.105347,830.072998,922.938293,1622.813843,56.450359,596.479675,1892.921265,679.691650,624.122742,1821.603882,632.053345,636.390320,1874.873413,564.474182,611.981018,1946.378174,616.432922,647.921143,1939.796021,455.708679,,,,,,,,,,,,,689.119690,2051.770996,319.840607,702.921082,2018.604736,86.095764,,,,754.965210,2077.424561,39.731831,714.868835,1825.692749,43.374378,661.351624,1886.941650,40.716480,,,,563.409485,1622.759033,583.425232,499.082001,2104.395508,603.979492,518.818909,2128.715332,390.694214,571.801331,1642.298950,423.078766,445.246307,1667.898315,643.048035,446.129547,1663.878174,682.218750,471.024994,1673.908081,610.779968
13670,0,865.147400,1726.444824,1609.524902,783.832153,1718.629150,1605.594604,862.868164,1906.026489,1577.354614,744.934937,1892.728638,1578.027222,883.216919,1800.611816,1464.933838,744.429504,1783.139771,1468.904175,803.202759,1930.021118,1449.147095,800.787598,2009.306396,1203.126465,805.655701,1785.975464,1338.140991,804.423523,1746.858032,1225.686523,665.364380,2002.226807,1303.938232,1015.139099,1874.658936,1375.169922,1062.443237,1920.423706,1214.041016,1071.518188,1952.057495,1097.709839,,,,1083.408936,1883.239624,980.556824,1021.309387,1824.114258,885.513611,1076.407715,1870.164429,866.881348,1042.491211,1775.209717,778.100342,1077.395386,1847.818970,803.976440,582.685669,1848.112183,1376.616211,549.654419,1882.652588,1209.161865,551.067383,1931.980713,1095.432007,,,,505.223938,1882.811890,979.986206,526.490906,1811.475342,865.889465,500.315186,1882.528564,854.334961,496.330597,1814.542114,748.682373,488.064148,1882.319092,799.077454,874.609070,1797.559814,923.325928,650.709656,1790.735107,927.209045,839.980408,2013.301392,907.069885,716.160583,2016.263062,917.143738,936.408691,1865.882446,923.954407,596.887756,1863.826538,932.465027,958.571228,1829.119263,842.658813,947.403870,1750.216187,682.764404,929.177734,1685.563354,632.942871,927.883179,1740.027344,567.138000,937.208191,1808.285645,615.947510,924.104004,1688.664795,493.283630,,,,923.926392,1714.381470,367.835358,923.648804,1668.578003,322.402283,904.542175,1733.999268,263.410706,895.127441,1772.933472,307.483032,884.370605,1707.632202,104.641571,,,,821.342529,1764.763794,55.697025,866.055420,1520.165649,70.663307,577.381287,1844.522339,828.930298,921.725281,1587.856812,59.027775,596.647888,1886.153809,679.356567,624.423096,1815.531006,630.464722,636.547058,1870.627075,563.088562,612.086792,1940.357300,616.188965,648.273376,1936.255737,455.496674,,,,662.727905,2016.450439,362.634827,,,,,,,689.774048,2049.615479,320.756805,703.373169,2018.320312,86.538071,,,,755.183105,2077.201904,40.141087,714.354919,1825.381958,43.178844,661.459534,1887.025513,40.812611,,,,562.506348,1613.693481,581.965088,498.320282,2095.426025,602.573669,517.628845,2119.648193,389.221313,570.707031,1633.277832,421.603851,444.512115,1659.147095,642.087830,445.488251,1654.825439,680.978210,470.230896,1664.813354,609.490479
13671,0,866.698914,1716.809937,1607.820312,785.112122,1708.872192,1603.774536,863.867249,1896.194336,1575.636841,745.982788,1882.820312,1576.313843,884.437683,1790.898438,1463.338013,745.484497,1773.250854,1467.166016,804.319214,1920.157349,1447.634644,801.830139,1999.709351,1201.666748,806.759460,1776.270264,1336.417358,805.333191,1737.428467,1223.816772,666.645264,1992.709595,1302.439087,1016.384338,1865.322388,1373.539307,1063.279785,1911.386719,1212.299316,1072.142700,1943.511475,1096.014771,,,,1083.896362,1875.433472,978.509583,1021.507263,1816.770508,883.062134,1076.778198,1862.938354,864.704163,1042.544556,1768.528564,775.503540,1077.889526,1841.421875,801.898376,583.651184,1838.695923,1375.068848,550.515503,1873.522339,1207.665527,551.949951,1922.892334,1093.895020,,,,505.649506,1873.731201,978.650818,526.385742,1802.319824,864.547729,500.277100,1873.335693,853.072571,495.903870,1805.466553,747.421936,487.834320,1873.198730,797.896362,875.520020,1788.296509,921.285461,651.158203,1781.297974,925.476807,840.422607,2003.873291,905.644165,716.618530,2006.754883,916.036865,936.780029,1856.408691,921.849243,597.140869,1854.098999,931.320801,958.487549,1820.186035,840.068237,946.310974,1743.122192,678.902710,927.958801,1678.863281,628.877258,925.493835,1733.716675,563.497009,935.052185,1801.865601,612.842957,921.363831,1680.755981,490.277954,,,,922.636902,1699.352661,364.475250,922.136658,1650.973267,321.634491,904.275635,1713.136841,258.913025,894.990662,1754.741943,300.699280,884.527771,1676.798096,100.902603,,,,822.483459,1731.795532,48.262005,863.408813,1487.935303,78.562431,577.510010,1835.772217,827.819580,920.325378,1553.677856,62.499969,596.808838,1879.067139,678.747070,624.713928,1809.526367,629.100098,636.359070,1863.775879,563.308716,612.337952,1934.377563,616.232300,648.537292,1932.703613,455.376495,,,,663.356812,2013.985352,363.312988,,,,,,,690.577026,2047.354004,321.738098,703.913940,2017.987671,86.930702,,,,755.649719,2076.744385,40.524075,714.102173,1825.190552,42.682789,661.370056,1886.927856,40.709965,,,,561.653442,1604.709106,580.459412,497.433502,2086.390381,600.974731,516.407104,2110.528076,387.608276,569.417297,1624.140137,420.060333,443.676270,1649.823608,640.539124,444.713867,1645.843506,679.705811,469.401886,1655.748291,608.161743
13672,0,867.884216,1706.846924,1605.971924,786.045776,1698.816406,1602.083496,865.074097,1886.229126,1573.844238,747.190979,1872.807007,1574.546997,885.430237,1780.651489,1461.330444,746.698914,1763.287842,1465.453125,805.558777,1910.337646,1446.046875,802.936401,1990.109741,1200.151367,807.612427,1766.129883,1334.798584,806.321960,1727.843872,1222.020142,667.990906,1983.179199,1300.863037,1017.532349,1855.497925,1371.559570,1064.170410,1902.102905,1210.422607,1073.049683,1934.853638,1094.274048,,,,1084.507446,1867.411499,976.393005,1022.235840,1809.508911,880.444031,1077.296753,1855.654053,862.515381,1043.080444,1761.726807,772.753723,1078.193848,1834.152832,799.388794,584.733032,1829.140259,1373.506104,551.441223,1864.355347,1206.202148,552.929688,1913.739990,1092.399170,,,,505.922974,1864.524414,977.396301,526.188538,1793.190063,863.311035,500.414856,1864.146240,851.776672,495.392883,1796.403931,746.133118,487.521881,1864.073730,796.675476,876.254395,1778.801025,919.244568,651.730408,1771.651367,923.738281,840.865967,1994.343262,904.115601,717.108826,1997.044312,914.871216,937.301147,1846.842407,919.584534,597.821716,1844.631470,930.046143,958.525269,1811.154785,837.241028,945.610168,1736.274902,674.884521,926.850647,1672.458740,624.341431,923.419556,1727.947998,559.628906,933.415833,1795.778442,609.512329,918.304810,1673.681763,487.178894,,,,921.110107,1684.944092,361.510468,920.535461,1634.332153,321.346069,903.747559,1692.909058,254.966553,894.683716,1737.006470,294.481262,884.633911,1647.022095,98.160217,,,,823.756348,1699.809204,42.247223,860.764160,1457.594971,87.094521,577.691284,1826.779907,826.599426,919.171936,1521.416870,66.853104,596.945068,1871.901001,678.090820,624.822144,1803.370361,627.612244,636.345703,1858.204102,562.569336,612.744141,1928.283203,616.229431,648.796936,1929.140015,455.390289,,,,663.725830,2013.130127,364.964783,,,,,,,691.436584,2044.934326,322.812042,704.437500,2017.650391,87.472786,,,,756.028870,2076.523682,41.074833,713.643494,1824.893677,42.422466,661.344727,1886.916138,40.692894,,,,560.734985,1595.641357,578.895508,496.630615,2077.353760,599.318359,515.221985,2101.369873,385.890625,568.185669,1614.998779,418.497986,442.885040,1641.039917,639.434570,443.978943,1636.743896,678.336487,468.568542,1646.627563,606.736877
13673,0,869.266663,1696.997803,1604.124146,787.400330,1688.912720,1600.313721,866.401611,1876.283081,1572.024048,748.428467,1863.496216,1572.889160,886.873657,1770.742065,1459.537964,747.978455,1753.235229,1463.689087,806.834900,1900.446289,1444.340576,804.066406,1980.304688,1198.508179,809.389221,1758.525391,1331.529785,807.437927,1718.180786,1220.048462,669.376038,1973.446045,1299.245361,1018.884033,1845.738281,1369.611084,1065.221924,1892.760498,1208.551636,1073.413330,1925.847412,1092.475830,,,,1085.243652,1859.240723,974.236511,1022.182922,1801.490234,878.491760,1078.005981,1848.247925,860.265381,1043.756104,1754.979858,770.069336,1079.014771,1827.310669,797.103027,585.969299,1819.549194,1371.909912,552.515686,1855.039185,1204.630127,553.960022,1904.470337,1090.890503,,,,506.505676,1855.524902,975.997192,526.071350,1784.009277,861.916687,500.195923,1855.024048,850.529602,494.981140,1787.377563,744.891235,487.273132,1854.913940,795.445740,877.355347,1769.156494,917.171387,652.387817,1761.919678,921.952515,841.316406,1984.744629,902.500427,717.621826,1987.232300,913.673645,938.000793,1837.344116,917.430603,598.562134,1834.763184,928.618408,958.827515,1802.324097,834.335632,945.399109,1729.513184,670.539917,925.781860,1666.129517,619.864685,921.440125,1722.292725,555.619263,932.101440,1789.670776,606.012024,914.937866,1666.962769,483.787537,,,,919.366821,1671.390503,359.035278,918.816040,1618.634888,321.369965,903.646301,1674.152954,252.121597,893.636414,1719.927612,288.922424,885.591980,1619.276855,96.814751,,,,825.312073,1669.688354,37.930279,858.972046,1429.675903,96.213203,577.969421,1817.584961,825.284790,918.331543,1491.162476,71.877571,597.255981,1864.900391,677.780212,625.000488,1796.917603,625.970215,636.464050,1853.469482,561.337097,612.948059,1921.988647,616.177490,649.113220,1925.153076,455.248962,,,,664.445496,2009.946289,365.640900,,,,659.667542,1987.828369,263.058441,692.296448,2042.210571,323.913849,704.958740,2017.272461,88.002899,,,,756.375610,2076.290283,41.626678,713.573547,1824.740356,42.300762,661.368286,1886.884766,40.665531,,,,559.735168,1586.462280,577.462830,495.847168,2068.241455,597.595032,514.012085,2092.085938,384.092224,566.929932,1605.767578,417.025818,442.146698,1631.719360,637.822144,443.250702,1627.729492,677.092773,467.734619,1637.544922,605.324707
13674,0,870.618469,1687.006470,1602.213379,788.811523,1679.124268,1598.375244,867.846130,1866.431519,1570.248779,749.950928,1853.085205,1571.069458,888.184448,1760.657959,1457.680786,749.380676,1743.344604,1461.910034,808.182922,1890.668945,1442.523804,805.207275,1970.559692,1196.798096,810.767395,1748.623413,1329.605835,808.581726,1708.464111,1218.107178,670.761597,1963.750244,1297.620850,1020.160217,1835.616821,1367.372803,1066.345337,1883.341919,1206.649658,1074.820679,1917.052246,1090.743042,,,,1086.133911,1850.973267,972.048706,1023.719299,1794.287964,875.550842,1078.933838,1840.759888,858.127197,1044.469116,1747.944336,767.134033,1079.794922,1820.100708,794.720520,587.230408,1809.812866,1370.265625,553.610901,1845.531860,1203.080688,555.003113,1895.089355,1089.361084,,,,506.957703,1846.392578,974.580627,525.838501,1774.755127,860.419861,500.293427,1845.670288,849.206055,494.602814,1778.269531,743.411011,486.980927,1845.801270,794.249756,878.235962,1759.191040,915.070374,653.301941,1752.113892,920.138611,841.839294,1975.065063,900.905457,718.116211,1977.376953,912.475952,938.870789,1827.490356,915.221497,599.246155,1824.888306,927.328430,959.519043,1793.183228,831.529114,945.357422,1722.561035,666.140442,924.758179,1659.663330,615.477661,919.363770,1716.368896,551.627319,931.125366,1783.411377,602.501160,911.922424,1660.420166,480.735535,,,,917.370239,1658.824219,356.969574,917.299561,1604.410645,321.695648,902.916199,1656.672363,249.847137,892.320312,1704.084229,284.443542,886.671692,1593.516724,96.433701,,,,826.722717,1640.723633,34.280529,858.163086,1404.418213,105.465530,578.177490,1808.442383,823.899719,918.655823,1463.916504,77.965538,597.633667,1857.440430,676.944458,625.233276,1790.289307,624.412354,636.629700,1847.818604,560.331116,613.207275,1915.509399,616.037598,649.405396,1920.595093,455.048370,,,,665.029785,2006.207520,366.251007,,,,659.911804,1984.661621,263.243866,693.059265,2039.119019,325.091766,705.470886,2016.794434,88.656471,,,,756.803345,2075.945557,42.250271,713.642151,1824.675903,41.848991,661.276123,1886.818604,40.689808,,,,558.843628,1577.295898,575.963623,495.173187,2059.201416,595.855164,512.842712,2082.838379,382.255768,565.755676,1596.592285,415.419250,441.322235,1622.876465,636.782410,442.609497,1618.652710,675.767151,466.905823,1628.372559,604.030273
