Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBA,RTIBI
All Timesteps RMSE,0,0,0,0,0.00821488,0.00768684,0,0,0,0.0428644,0.0219276,0.0218094,0.00714551,0,0,0.00677608,0,0.0152009,0.00462022,0.0406647,0.0202555,0.0180311,0.0133121,0.00598372,0.00797331,0.0097956,0.0173526,0.0132408,0.0325042,0.00982663,0.0167772,0.0085018,0.0102716,0.0509535,0.00476504,0.00402182,0.00278136,0.0264753,0.0190519,0.0249605,0.0095999,0.00755464,0,0,0.0408734,0,0.0108069,0.0202528,0.0374505,0.0326652,0.0283815,0.0196291,0.0106317,0.0195499,0.0139482,0.0183138,0.0172585,0.0169877,0.0185254,0.0261312,0.0325389,0.0147644,0.0130346,0.0104314,0.0101464,0.00733082,0,0,0,0.0254216,0.0175732
0,0,0,0,0,0.00944767,0.0056586,0,0,0,0.0919261,0.022398,0.040471,0.00864882,0,0,0.00808573,0,0.0145585,0.00562735,0.0371397,0.0221141,0.018276,0.0311692,0.0101915,0.00366808,0.0194718,0.0438023,0.0175939,0.0280273,0.0267572,0.0479149,0.0200516,0.0216402,0.121237,0.00548155,0.00367506,0.00296298,0.0138752,0.0197308,0.0245103,0.0128164,0.0117145,0,0,0.0334059,0,0.0116201,0.0170619,0.0352401,0.0296217,0.0260525,0.0191336,0.00694747,0.0173443,0.0157713,0.0155429,0.0197286,0.0239742,0.0234504,0.0324681,0.0132773,0.0153377,0.0100562,0.00815728,0.00907648,0.0117878,0,0,0,0,0
1,0,0,0,0,0.00929698,0.00589869,0,0,0,0.0897531,0.0224627,0.0398594,0.00803603,0,0,0.00788754,0,0.0145723,0.00534038,0.0369133,0.0206671,0.0178264,0.028316,0.00956797,0.00292065,0.0179535,0.0412877,0.0167297,0.0276479,0.0249097,0.0454443,0.0190552,0.0211137,0.11864,0.00543169,0.00364246,0.00272964,0.0130071,0.0197348,0.0228087,0.0119604,0.0108632,0,0,0.0341015,0,0.0115805,0.0171656,0.0354048,0.0268914,0.0260937,0.0186052,0.00598104,0.0171972,0.0158273,0.0156144,0.0204361,0.0238048,0.0225832,0.0315468,0.0129641,0.0148896,0.0101922,0.00834553,0.0090111,0.0115226,0,0,0,0,0
2,0,0,0,0,0.00907967,0.00602965,0,0,0,0.0873324,0.0224964,0.038727,0.00736398,0,0,0.00786445,0,0.0146157,0.00523693,0.0368286,0.0192473,0.0176382,0.0264961,0.00935222,0.00250781,0.0171326,0.0397598,0.0163976,0.0272049,0.023459,0.0431335,0.0181708,0.020584,0.115232,0.00552815,0.0036263,0.00254524,0.0132729,0.0195888,0.0222456,0.0112101,0.0102104,0,0,0.0347681,0,0.0114822,0.0173061,0.035459,0.0253401,0.0262202,0.0178291,0.00523851,0.0172699,0.0159633,0.0158947,0.0202737,0.0235553,0.0218924,0.0308682,0.0134274,0.0146356,0.010811,0.00857274,0.0092673,0.011203,0,0,0,0,0
3,0,0,0,0,0.00889461,0.00603324,0,0,0,0.0847498,0.0225077,0.0373688,0.00671739,0,0,0.00787839,0,0.0147001,0.00518683,0.0367127,0.0175835,0.0174179,0.0245086,0.00930585,0.0023753,0.0161932,0.0378588,0.0159968,0.0268022,0.02194,0.0406606,0.0171261,0.0199105,0.111213,0.00580775,0.00364052,0.00240111,0.0138828,0.0194334,0.0214965,0.0109198,0.00961483,0,0,0.035359,0,0.0113628,0.0175146,0.0353968,0.0235671,0.0264008,0.0169761,0.00455829,0.017529,0.0159963,0.016151,0.019897,0.023179,0.0209204,0.0298859,0.0141286,0.0144518,0.0112524,0.00879879,0.00943654,0.0108183,0,0,0,0,0
4,0,0,0,0,0.00877755,0.00597408,0,0,0,0.082081,0.0224778,0.0360134,0.00613738,0,0,0.00794342,0,0.0147479,0.00512021,0.0366598,0.0161003,0.0171574,0.022386,0.00935038,0.00247153,0.0151958,0.0356734,0.0156147,0.0264304,0.0203574,0.0381533,0.0160828,0.0192157,0.107249,0.0059781,0.00364854,0.00224907,0.0146272,0.0193954,0.0205759,0.0106922,0.00902954,0,0,0.0360082,0,0.0113097,0.0177592,0.0352681,0.0215341,0.0265884,0.0160363,0.00396575,0.0179358,0.0158189,0.0163284,0.0195609,0.0226269,0.0196561,0.0286234,0.0151376,0.0143228,0.0114097,0.00904378,0.00944683,0.0103517,0,0,0,0,0
5,0,0,0,0,0.00870068,0.0058311,0,0,0,0.0796211,0.0224215,0.03476,0.00576423,0,0,0.00800524,0,0.0147828,0.00504028,0.036779,0.0149678,0.0168437,0.0200474,0.00934101,0.00279606,0.014035,0.0332352,0.0152057,0.0260489,0.0185403,0.0355495,0.0149769,0.018546,0.103546,0.00595995,0.00362071,0.00220795,0.0154671,0.0193889,0.0195595,0.0103294,0.00850724,0,0,0.036681,0,0.0112713,0.0179571,0.0351736,0.0193095,0.0267727,0.014988,0.00348213,0.0184191,0.0155321,0.0164969,0.0190248,0.0218822,0.0182007,0.0271841,0.0164343,0.0142123,0.0116748,0.00925577,0.00937076,0.00980064,0,0,0,0,0
6,0,0,0,0,0.00862344,0.00573586,0,0,0,0.0774204,0.0223635,0.0337959,0.00576516,0,0,0.00793901,0,0.014792,0.00492402,0.0371051,0.0141259,0.0164703,0.0171555,0.00909871,0.00321885,0.0128387,0.0306432,0.0147422,0.025653,0.016388,0.032783,0.0137246,0.017947,0.100147,0.0060065,0.0036131,0.00225196,0.0161761,0.0193429,0.0184578,0.00999108,0.00807699,0,0,0.0373375,0,0.0111949,0.0181265,0.0351384,0.0171275,0.0269527,0.0146319,0.00296294,0.0189018,0.0158643,0.0167934,0.0186002,0.0216537,0.0171772,0.0261636,0.0175248,0.0141125,0.0119118,0.00942475,0.00929182,0.00925321,0,0,0,0,0
7,0,0,0,0,0.00812874,0.00579552,0,0,0,0.0755711,0.0224068,0.0348849,0.00509674,0,0,0.0075738,0,0.014754,0.00457168,0.0372051,0.0158314,0.0159946,0.0116082,0.00223938,0.00361521,0.0101016,0.0252688,0.0140387,0.0274728,0.0131799,0.0288039,0.0130136,0.0170223,0.0955451,0.00591353,0.00359075,0.00227158,0.0210316,0.0194029,0.0174981,0.00958939,0.00733081,0,0,0.0390989,0,0.0109797,0.0183829,0.0343695,0.0115088,0.030707,0.00969831,0.00415911,0.019806,0.0143794,0.018989,0.0149773,0.0162561,0.00394954,0.011808,0.0232759,0.0133273,0.0121601,0.00963842,0.00971463,0.00898542,0,0,0,0.0231252,0.00776265
8,0,0,0,0,0.0078843,0.00568562,0,0,0,0.073049,0.0223939,0.0351911,0.00646074,0,0,0.00707105,0,0.0148014,0.00417142,0.037668,0.019006,0.0149774,0.00683967,0.000935568,0.00398557,0.00834479,0.0204443,0.0141623,0.0269595,0.00968753,0.0243892,0.0112433,0.0164954,0.0910162,0.00570254,0.00358502,0.00219377,0.0216586,0.0194014,0.0169826,0.0103046,0.00729865,0,0,0.0403681,0,0.0109392,0.0186587,0.0344844,0.0105831,0.0304931,0.0101419,0.00598343,0.0204839,0.0143941,0.0192943,0.0154149,0.0160076,0.00325184,0.0110483,0.0237407,0.0130392,0.0122724,0.00979945,0.00927156,0.00865319,0,0,0,0.0222819,0.00801378
