Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIB,RTIBA,
All Timesteps RMSE,0,0,0,0,0.0101953,0.00960065,0,0,0,0.0420959,0.0219163,0.0224102,0.00645675,0,0,0.00712858,0,0.0151429,0.0047688,0.0390598,0.0228521,0.018696,0.0149983,0.00725823,0.00796428,0.0110376,0.0162919,0.01378,0.0336245,0.0112942,0.0177678,0.0102121,0.0128465,0.0513596,0.00543295,0.00418199,0.00308119,0.0404131,0.0179642,0.0385625,0.00895034,0.010994,0,0,0.0357707,0,0.0105258,0.0178764,0.0408087,0.0424884,0.0274066,0.0193566,0.00824169,0.0164368,0.00812279,0.0200584,0.012442,0.00890527,0.0361608,0.0341502,0.0406127,0.0142945,0.0137019,0.0108853,0.0121999,0.0112168,0,0,0,0.0245615,0.0355604,0
0,0,0,0,0,0.0088449,0.010934,0,0,0,0.0615874,0.023559,0.0318099,0.0101781,0,0,0.00887456,0,0.0138426,0.00536811,0.0378465,0.0208307,0.0142126,0.0118664,0.00651077,0.00467982,0.014315,0.0202248,0.0208746,0.0268305,0.00841904,0.019322,0.0102029,0.0197581,0.0757764,0.00514301,0.00393231,0.0032998,0.0426037,0.0189809,0.0381133,0.00878107,0.0125978,0,0,0.0410379,0,0.0104566,0.0187969,0.0396509,0.0406611,0.0247029,0.0136018,0.00834156,0.016735,0.00530777,0.0155034,0.0101008,0.00682484,0.0164832,0.0356821,0.0385185,0.0123196,0.011983,0.0109288,0.0123865,0.0124865,0,0,0,0,0,0
1,0,0,0,0,0.0089625,0.0110237,0,0,0,0.059788,0.0236406,0.0296008,0.0100386,0,0,0.0080944,0,0.0138465,0.00543942,0.0384637,0.0180542,0.0143655,0.0109255,0.00703098,0.00411614,0.0146838,0.0195861,0.0202928,0.0262152,0.00688177,0.0178491,0.00857357,0.0183774,0.0740018,0.00492436,0.0038544,0.00334362,0.0409951,0.0189116,0.0349906,0.00908166,0.0126874,0,0,0.0407945,0,0.0105193,0.0186487,0.0397654,0.0372296,0.0254566,0.0147572,0.00808321,0.0169512,0.00536107,0.0156076,0.0104539,0.00671705,0.0244853,0.0341051,0.0369914,0.0121418,0.0119299,0.0109621,0.0123336,0.012111,0,0,0,0,0,0
2,0,0,0,0,0.00878233,0.0108687,0,0,0,0.0583011,0.0233497,0.0273175,0.00998653,0,0,0.00773887,0,0.0141895,0.00532323,0.0388249,0.0150064,0.0146815,0.010084,0.00741608,0.00414658,0.0147497,0.0190011,0.0196925,0.0254301,0.00591682,0.0168468,0.0072867,0.0172468,0.0724254,0.00501857,0.00388258,0.00328391,0.0395594,0.0187922,0.0331869,0.00902889,0.0126975,0,0,0.0404891,0,0.0105318,0.018563,0.0400345,0.0347491,0.0253623,0.0139833,0.0082394,0.0173562,0.00594513,0.0150118,0.0108058,0.00722694,0,0.0335263,0.0361331,0.0119452,0.0121571,0.0110086,0.0121935,0.0118764,0,0,0,0,0,0
3,0,0,0,0,0.00871204,0.0107717,0,0,0,0.0565755,0.0230987,0.0254342,0.0102028,0,0,0.00753402,0,0.0143289,0.00519456,0.039002,0.0124256,0.0147989,0.00916624,0.00705781,0.00426123,0.0145516,0.018171,0.018909,0.0247993,0.0051133,0.0158404,0.00637708,0.0160838,0.0702503,0.0052089,0.00391124,0.00324529,0.0374353,0.0187451,0.0337935,0.00829039,0.0128413,0,0,0.0401977,0,0.0104885,0.0185414,0.0399457,0.0375573,0.025298,0.0153369,0.00866311,0.0177865,0.00606538,0.0150976,0.0118256,0.00771802,0.106739,0.034806,0.0346131,0.0117226,0.0123144,0.0109951,0.0123106,0.0117148,0,0,0,0,0,0
4,0,0,0,0,0.00849637,0.0104258,0,0,0,0.0544158,0.0228011,0.0233237,0,0,0,0.00711071,0,0.0143843,0.00500044,0.0401245,0.00988654,0.0147004,0.00808294,0.00758084,0.00456708,0.014826,0.0174657,0.0176694,0.0236642,0.00499871,0.0154879,0.00566392,0.0153694,0.0677895,0.00524432,0.00387788,0.00319746,0.0367779,0.0185949,0.0298295,0.00912467,0.0125002,0,0,0.0398749,0,0.0105431,0.0186474,0.0402008,0.0315984,0.0252537,0.014191,0.00810925,0.0177449,0.00597812,0.0149013,0.0106551,0.00703272,0,0.0325837,0.034076,0.0119679,0.0124384,0.0110683,0.0120561,0.0115556,0,0,0,0,0,0
5,0,0,0,0,0.00832072,0.0103587,0,0,0,0.0518242,0.0226082,0.0215077,0.00987612,0,0,0.00711678,0,0.0144869,0.00519376,0.0409795,0.00842507,0.0148336,0.00709244,0.00754667,0.00466047,0.0146123,0.0164257,0.0161565,0.0230319,0.00549961,0.0157847,0.00558821,0.0147452,0.0647695,0.00553881,0.00384833,0.00321605,0.0351306,0.0185009,0.0270379,0.00963857,0.0121611,0,0,0.0393507,0,0.0105292,0.0185598,0.0402551,0.0284424,0.0256001,0.0137947,0.00772078,0.0176511,0.00567131,0.0154795,0.0101812,0.00639471,0,0.0310696,0.0329145,0.0120671,0.0123937,0.0110327,0.0121291,0.0113078,0,0,0,0.0236566,0,0
6,0,0,0,0,0.00809566,0.0101361,0,0,0,0.0483628,0.0224865,0.0201505,0,0,0,0.00730323,0,0.0145954,0.00537965,0.0417451,0.00841347,0.0150226,0.00680858,0.00791912,0.00483695,0.0138017,0.014968,0.0143557,0.0224791,0.00664251,0.0162527,0.00591172,0.0142798,0.0605988,0.00591637,0.00375305,0.00326862,0.0344036,0.0184119,0.0262322,0.00970525,0.0118208,0,0,0.0388682,0,0.0105205,0.0184748,0.0404579,0.0277936,0.0255604,0.0137441,0.00752274,0.0175445,0.0054206,0.0157365,0.0102906,0.00625377,0,0.0309557,0.0326511,0.012255,0.0123441,0.0109758,0.0119763,0.0109946,0,0,0,0.0235641,0,0
7,0,0,0,0,0.00784855,0.0100136,0,0,0,0.0436025,0.0223994,0.0185422,0,0,0,0.00737943,0,0.0146535,0.00540009,0.0426675,0.00892136,0.0152906,0.00763525,0.00795666,0.00493034,0.012736,0.0133085,0.0122634,0.0222762,0.00803895,0.0170524,0.0065568,0.013864,0.0549463,0.00608877,0.00366697,0.00335714,0.0330582,0.0183769,0.0256595,0.00979231,0.0114936,0,0,0.038332,0,0.0105271,0.0183659,0.0404041,0.0276532,0.0255727,0.0138764,0.00730183,0.0173097,0.00508291,0.0160621,0.0103764,0.00602752,0.0248009,0.0307092,0.0315769,0.0123829,0.0123442,0.0109462,0.0118747,0.010733,0,0,0,0.0240568,0,0
8,0,0,0,0,0.00767177,0.0099883,0,0,0,0.0377253,0.0222797,0.0161921,0.00843927,0,0,0.0077456,0,0.0146754,0.0056029,0.0433444,0.00901641,0.0157946,0.00947544,0.00795808,0.00497948,0.0115324,0.0118838,0.0100361,0.0225395,0.0092112,0.017714,0.00689166,0.0133201,0.0481375,0.00634946,0.00359725,0.00352389,0.0338318,0.0183619,0.0265905,0.0100557,0.0110487,0,0,0.0379688,0,0.0105819,0.0183328,0.040547,0.0281698,0.0258245,0.0134593,0.00717041,0.017024,0.00540365,0.0157044,0.010647,0.00631759,0,0.0313107,0.032796,0.0125456,0.0122608,0.0109555,0.0118744,0.0103621,0,0,0,0.0249995,0,0
