Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI
All Timesteps RMSE,0,0,0,0,0,0.0125816,0.0106852,0,0,0,0.0429436,0.0212912,0.0264328,0.0111559,0,0,0.0119516,0,0.015882,0.00788318,0.0354352,0.0266356,0.0212099,0.0146086,0.0134889,0.0135018,0.0106007,0.0150184,0.0130308,0.0318342,0.0113441,0.0176058,0.0124701,0.0134802,0.051395,0.0107739,0.00451793,0.00483555,0.0582818,0.0175508,0.0472326,0.0127093,0.015011,0,0,0.0371308,0,0.0125164,0.0210407,0.044352,0.0491457,0.0257365,0.0371029,0.011829,0.0201195,0.0360238,0.0269903,0.0257202,0.0371785,0.0512503,0.0363045,0.0279628,0.0635465,0.0178961,0.0147157,0.0156973,0.00929516,0.0119882,0,0,0,0.0162411
0,0,0,0,0,0,0.012215,0.00663293,0,0,0,0.064902,0.0227806,0.0322529,0.0122195,0,0,0.00965373,0,0.014401,0.00597234,0.0362589,0.0200512,0.0148682,0.0100854,0.00878497,0.00288712,0.00962251,0.0190478,0.0211652,0.025907,0.00596015,0.0186835,0.00849325,0.0162897,0.0781021,0.00287727,0.00395354,0.00355833,0.0670214,0.0194826,0.0171441,0.0135067,0.0164648,0,0,0.0338708,0,0.0113361,0.0173562,0.038969,0.0273673,0.0257634,0.0370795,0.0154126,0.0144808,0.0477793,0.0217922,0.029862,0.0284878,0.0229686,0.0192443,0.022453,0.0883307,0.0126081,0.0133072,0.0144518,0.00757894,0.00272775,0,0,0,0
1,0,0,0,0,0,0.012456,0.00680527,0,0,0,0.0623397,0.022917,0.0307469,0.0123664,0,0,0.00962281,0,0.0145567,0.00602865,0.0369013,0.0196479,0.0147129,0.0101712,0.00893043,0.00271941,0.0110513,0.0189088,0.0212041,0.0251316,0.00388637,0.0162234,0.00658941,0.0155785,0.0755153,0.00292046,0.00396758,0.00368469,0.0679329,0.019413,0.0169946,0.013559,0.0159479,0,0,0.0342642,0,0.0113268,0.0174448,0.038993,0.0255099,0.0257032,0.0374408,0.015233,0.0145954,0.0477683,0.0227443,0.029732,0.0292281,0.0236737,0.0211992,0.0220752,0.0882628,0.0123738,0.0137621,0.0145065,0.00727476,0.0022516,0,0,0,0
2,0,0,0,0,0,0.0128764,0.00707446,0,0,0,0.0583176,0.0228932,0.0289939,0.0135276,0,0,0.00869369,0,0.0145677,0.00552774,0.037433,0.0193733,0.0145728,0.0112942,0.00973214,0.00273301,0.0126064,0.0200047,0.0215855,0.0248335,0.00285851,0.0131501,0.00547389,0.0150424,0.0701915,0.00235183,0.00396112,0.00351174,0.065596,0.0191466,0.0167861,0.0135304,0.0150128,0,0,0.0355553,0,0.0111877,0.0179828,0.038955,0.0271992,0.0253304,0.0351382,0.0157526,0.0154157,0.0490646,0.0211366,0.0280711,0.0279749,0.0215038,0.0188315,0.0227777,0.0865522,0.0119989,0.0145731,0.0148929,0.0072182,0.00163484,0,0,0,0
3,0,0,0,0,0,0.0129476,0.0071017,0,0,0,0.0538031,0.0228368,0.0266979,0.0140065,0,0,0.00831717,0,0.01455,0.0054672,0.0379736,0.0182739,0.0144556,0.0117713,0.00998569,0.00261286,0.0138554,0.0208645,0.0214593,0.0243388,0.00346322,0.0108238,0.00501356,0.0146165,0.0646156,0.00223089,0.00397487,0.00349397,0.0624484,0.0190628,0.018498,0.0134366,0.0146531,0,0,0.0357032,0,0.0111679,0.0180952,0.0390002,0.0318741,0.0250924,0.0313713,0.0156774,0.0157132,0.0509436,0.0184684,0.0257173,0.0260103,0.0185229,0.0142775,0.024798,0.085049,0.0117951,0.0143962,0.0149979,0.00679054,0.00128393,0,0,0,0
4,0,0,0,0,0,0.0128588,0.0071047,0,0,0,0.0485408,0.0227161,0.0241124,0.014136,0,0,0.0081846,0,0.0146231,0.00543339,0.0385634,0.0171094,0.0144142,0.0119615,0.0101713,0.0024543,0.0148536,0.0213555,0.0208653,0.0237019,0.00472107,0.00908379,0.00505334,0.0143478,0.0583287,0.00230394,0.00399943,0.00350391,0.0603147,0.0189688,0.0219943,0.0134391,0.0143891,0,0,0.0356708,0,0.0111849,0.0181562,0.0390839,0.036868,0.02489,0.0281566,0.0156168,0.0158714,0.0526085,0.0163005,0.0238766,0.0249906,0.0170393,0.0111226,0.0274874,0.0844146,0.0116444,0.0142069,0.0150567,0.00639176,0.00104937,0,0,0,0
5,0,0,0,0,0,0.0127579,0.0072332,0,0,0,0.0421657,0.0225237,0.0212451,0.0141816,0,0,0.00807071,0,0.0148423,0.00527927,0.0392524,0.016071,0.0146177,0.0116556,0.0103142,0.00238423,0.0153611,0.0215125,0.0195967,0.0231308,0.00585741,0.00761693,0.00521923,0.0140935,0.0507662,0.00239178,0.00399958,0.00345312,0.0588863,0.0189199,0.0264157,0.0134608,0.0141459,0,0,0.0356096,0,0.0112011,0.0182224,0.0391894,0.0418398,0.0246971,0.0254344,0.015487,0.0160118,0.0540197,0.0145235,0.022346,0.024767,0.017193,0.010129,0.0305107,0.084229,0.0114723,0.0141749,0.0151331,0.00596896,0.000841191,0,0,0,0
6,0,0,0,0,0,0.0126653,0.00750268,0,0,0,0.0344806,0.0224012,0.0178962,0.014176,0,0,0.00718411,0,0.0149132,0.00477588,0.0399838,0.0150099,0.0151071,0.0103428,0.0102554,0.00242108,0.0151091,0.0209627,0.0175002,0.0228398,0.00664795,0.00639042,0.00525902,0.0137145,0.0415505,0.00201928,0.00393177,0.00335581,0.0581689,0.0189006,0.030422,0.0136112,0.0135782,0,0,0.0354947,0,0.0111715,0.018276,0.0393679,0.0459678,0.0245277,0.0234882,0.0151246,0.0163702,0.0550912,0.0134139,0.0212359,0.0250309,0.0185994,0.0111844,0.0332271,0.0843243,0.0109659,0.0142592,0.0152716,0.00557708,0.000698898,0,0,0,0
7,0,0,0,0,0,0.0125856,0.00762864,0,0,0,0.0262274,0.0224345,0.0144541,0.0136196,0,0,0.006955,0,0.0147909,0.00473685,0.0406778,0.0138732,0.0155707,0.00822661,0.00981625,0.00246854,0.0138114,0.0191365,0.0144576,0.0227322,0.00683519,0.00540301,0.00496281,0.013043,0.0316808,0.00201818,0.00397973,0.00333962,0.0581374,0.0188328,0.0334694,0.0137726,0.0133333,0,0,0.0353664,0,0.0111596,0.0183787,0.0396053,0.0489241,0.0244798,0.0222143,0.0145001,0.0164106,0.0558426,0.0127926,0.0205335,0.0254733,0.0199931,0.0127509,0.0354357,0.0847751,0.0107248,0.0143445,0.0153637,0.00525095,0.00074101,0,0,0,0
8,0,0,0,0,0,0.0125365,0.00770977,0,0,0,0.0183687,0.0222847,0.011165,0.0126082,0,0,0.00701483,0,0.014831,0.00485652,0.0411372,0.0129045,0.0161172,0.00563387,0.00895803,0.00280567,0.0116423,0.0159856,0.0108056,0.0230828,0.00640206,0.00441926,0.00431468,0.0121381,0.0220032,0.00214394,0.00399725,0.00341843,0.0582955,0.0187372,0.0357255,0.0135075,0.0132159,0,0,0.0350248,0,0.0111498,0.0183949,0.0398597,0.0509727,0.0244756,0.0213768,0.0136301,0.0163971,0.0563062,0.0123474,0.0200514,0.0257478,0.0211636,0.0141016,0.036734,0.0851541,0.010524,0.014669,0.0154364,0.00495773,0.000721456,0,0,0,0
