Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI,RTIB,RTIBI,IMU_B,
All Timesteps RMSE,0,0,0,0,0.00517667,0.00364895,0,0,0.0411814,0.0214659,0.0216901,0.00516471,0,0,0.00416317,0,0.0158656,0.00239597,0.0398787,0.0205336,0.018721,0.0132856,0.00482368,0.00756623,0.008514,0.0150668,0.0127918,0.0297343,0.00920476,0.0153572,0.00821073,0.0114329,0.048672,0.00335476,0.00457426,0.00115149,0.0209498,0.0219349,0.0170196,0.00444016,0.00555869,0,0,0.00486757,0,0.0151402,0.00290756,0.0393964,0.0230842,0.023379,0.0157677,0.0077111,0.00440913,0.0207469,0.00568657,0.00588482,0.0282533,0.0482818,0.0233783,0.00467814,0.0041485,0.00249052,0.00604952,0.00502387,0,0,0,0.00557347,0.022063,0.0166308,0,0
0,0,0,0,0,0.00422127,0.00501895,0,0,0.0701168,0.0214785,0.0287856,0.00574985,0,0,0.00127652,0,0.0150405,0.00034379,0.0379635,0.00835609,0.0162171,0.0165106,0.00307571,0.0119419,0.0140804,0.0234577,0.0216926,0.0258511,0.0115723,0.0263428,0.0100998,0.0161391,0.0880007,0.00335318,0.00403216,0.000876167,0.0130403,0.0222459,0.00811308,0.0051606,0.00273763,0,0,0.00454958,0,0.015076,0.00328522,0.0379048,0.0102877,0.0222329,0.0123411,0.00730403,0.00553248,0.0203191,0.00213281,0.00245968,0.025882,0.0156599,0.015467,0.00495301,0.0053908,0.00250664,0.00686143,0.00236879,0,0,0,0,0,0,0,0
1,0,0,0,0,0.00382946,0.00480649,0,0,0.069139,0.0215381,0.027742,0.00584762,0,0,0.00154238,0,0.015415,0.000376309,0.0385163,0.00717663,0.0165153,0.0154589,0.00325225,0.0114791,0.0140875,0.0223816,0.0209567,0.0252947,0.0106816,0.0254017,0.00912803,0.0154957,0.086744,0.00330332,0.00405074,0.000739841,0.0131998,0.0222036,0.0081658,0.00527404,0.00285998,0,0,0.0050327,0,0.0152601,0.00343008,0.0380672,0.0101889,0.0223474,0.0125608,0.00674512,0.00562022,0.0205975,0.0020159,0.00225176,0.0258624,0.0158228,0.0159706,0.00486294,0.00515161,0.00226561,0.00624234,0.00204801,0,0,0,0.00193003,0,0,0,0
2,0,0,0,0,0.00421368,0.00526792,0,0,0.0665212,0.0213915,0.0263899,0.00635704,0,0,0.00194687,0,0.0156515,0.000440293,0.0390428,0.00653328,0.0164025,0.0133115,0.00333603,0.0121543,0.0137339,0.0204599,0.0197081,0.0248159,0.00968918,0.0232183,0.00836011,0.014825,0.0833382,0.00359359,0.0040356,0.000810242,0.0134207,0.0218938,0.00835865,0.00555184,0.00315091,0,0,0.00397487,0,0.0148542,0.00293704,0.0383448,0.0101268,0.0220795,0.0131691,0.0071773,0.00497718,0.0206144,0.00164496,0.00207635,0.025601,0.0157329,0.016591,0.00484703,0.00609177,0.00288881,0.00720216,0.00288373,0,0,0,0.00189143,0,0,0,0
3,0,0,0,0,0.00432168,0.00500806,0,0,0.0622051,0.0212295,0.0248096,0.00707167,0,0,0.00221319,0,0.0156406,0.000564446,0.0396111,0.00646035,0.0160906,0.0101224,0.00360795,0.0121239,0.0132463,0.0178938,0.0179659,0.0242649,0.00800813,0.0199749,0.00738952,0.014214,0.077627,0.00374942,0.00396774,0.000973032,0.0137217,0.0219088,0.00841904,0.0057116,0.00320351,0,0,0.00400587,0,0.0149428,0.00302274,0.0385663,0.00996151,0.0217605,0.0135778,0.00745817,0.00501587,0.0207092,0.00146154,0.00194761,0.0254489,0.0156552,0.0173009,0.00497108,0.00608213,0.0028127,0.00723607,0.00318252,0,0,0,0.00186331,0,0,0,0
4,0,0,0,0,0.00450964,0.00545252,0,0,0.0539047,0.0211582,0.0226585,0.00813554,0,0,0.00259052,0,0.0156915,0.000687999,0.04056,0.00893872,0.0154185,0.0073642,0.00396549,0.0120439,0.0136659,0.0157974,0.0163371,0.0237335,0.00529288,0.0133197,0.00585726,0.0141118,0.0662376,0.00379889,0.0039327,0.001102,0.013808,0.022002,0.00851043,0.0058443,0.00343784,0,0,0.00415495,0,0.0150405,0.00318106,0.0388343,0.00982446,0.0214301,0.013734,0.00792349,0.00509691,0.0208523,0.00143437,0.0020874,0.0253659,0.0155568,0.0176479,0.00519571,0.00601373,0.00279921,0.00714797,0.00371456,0,0,0,0,0,0,0,0
5,0,0,0,0,0.00439842,0.00567535,0,0,0.0460129,0.0210585,0.0199469,0.00881113,0,0,0.00334654,0,0.0158015,0.000719786,0.0415003,0.0102626,0.0153393,0.00896474,0.00443925,0.0117615,0.014407,0.0158567,0.0151085,0.0233263,0.00574826,0.00888587,0.00535494,0.014006,0.0559593,0.00396072,0.00390533,0.00125195,0.0145385,0.0220581,0.00805694,0.00587668,0.00337655,0,0,0.00409142,0,0.0150794,0.00302308,0.0389678,0.00973423,0.0211663,0.0136452,0.0078208,0.00484923,0.0209664,0.00145583,0.00233467,0.0253485,0.0155424,0.0194167,0.00501681,0.00559428,0.0028643,0.00685489,0.00398365,0,0,0,0.00597189,0,0,0,0
6,0,0,0,0,0.00440463,0.00571825,0,0,0.0407078,0.0197021,0.0174614,0.0094877,0,0,0.00320631,0,0.0172781,0.00226982,0.0430557,0.0103256,0.0157616,0.00893882,0.00673553,0.0124442,0.0147381,0.01517,0.0134737,0.0217396,0.00669546,0.00705127,0.00503997,0.0141517,0.0497609,0.00375246,0,0.00299376,0.0170375,0.0217769,0.0157222,0.0035119,0.00302598,0,0,0.00327668,0,0.0149934,0.0022434,0.0398005,0.0186965,0.0189086,0.0107712,0.00422451,0.00383005,0.0160793,0.0125856,0.012313,0,0.0298676,0.0211149,0.00377904,0.00531042,0.00307132,0.0071655,0.00483093,0,0,0,0.0124644,0,0,0,0
7,0,0,0,0,0.00407474,0.00558909,0,0,0.0330021,0.0195435,0.0145986,0.00945076,0,0,0.00422413,0,0.0172526,0.00262286,0.0440571,0.0106275,0.0160845,0.00915504,0.00801514,0.0122545,0.0140924,0.0140973,0.011248,0.0217239,0.00731017,0.00533186,0.00499972,0.0137214,0.0404601,0.00457757,0,0.00328924,0.0165463,0.0216567,0.017136,0.00357334,0.0024391,0,0,0.00308506,0,0.014967,0.0018914,0.0399227,0.0216824,0.0189874,0.0138277,0.00292933,0.00317969,0.0147827,0.0139325,0.013602,0,0.0323726,0.0201967,0.00300065,0.00532679,0.00310564,0.00747953,0.00506832,0,0,0,0.0127054,0.0711122,0,0,0
8,0,0,0,0,0.00401411,0.00945459,0,0,0.0255653,0.0192732,0.0119097,0.0123823,0,0,0.0114927,0,0.0167339,0.00490623,0.0447006,0.0111279,0.0167866,0.00894723,0.0174594,0.00971701,0.0130662,0.0130439,0.00900029,0.0217849,0.00765489,0.00443306,0.00487206,0.0132802,0.0315124,0.00821378,0.0039439,0.00332867,0.0158462,0.0208638,0.0167545,0.0023341,0.0016936,0,0,0.00841514,0,0.0146798,0.00378953,0.0401935,0.0214667,0.020123,0.0144018,0.00768722,0.00251822,0.014228,0.0137326,0.0132711,0,0.0324746,0.0189771,0.00333589,0.00395369,0.00325543,0.0116794,0.00759338,0,0,0,0.0115158,0.0765372,0.0235912,0,0
9,0,0,0,0,0.0050114,0.00627673,0,0,0.0169055,0.0211487,0.00932578,0,0,0,0.00422267,0,0.0155388,0.00129256,0.045666,0.011852,0.0165958,0.00915474,0.00344222,0.0119622,0.0105671,0.0124904,0.00698751,0.0222284,0.00812341,0.0040938,0.00445251,0.0127375,0.0205527,0.00454567,0.0039187,0.00140311,0.0159375,0.0223538,0.0164798,0.004125,0.00498927,0,0,0.00550366,0,0.0150835,0.00431121,0.0405557,0.0223086,0.0183789,0.0143175,0.00824833,0.00619117,0.01481,0.013694,0.0133043,0,0.0325018,0.0199423,0.00694549,0.0070266,0.00341212,0.00856067,0.00488099,0,0,0,0.0116934,0.0767986,0.0229113,0,0
10,0,0,0,0,0.00236697,0.0063791,0,0,0.0132409,0.0198043,0.00890348,0.00855466,0,0,0.00919141,0,0.0164199,0.00364455,0.0458792,0.0128293,0.0164609,0.00859245,0.00889759,0.0103202,0.00851273,0.0113992,0.00579645,0.022851,0.00821401,0.00454574,0.00414622,0.0125374,0.0152215,0.007309,0.00372419,0.00277247,0.0155393,0.021905,0.01633,0.00293351,0.00314202,0,0,0.00301783,0,0.0149703,0.00262188,0.0412465,0.0219409,0.0196039,0.0148245,0.00183219,0.00407057,0.0144831,0.0131399,0.0129593,0,0.0323741,0.0192352,0.00441756,0.00640906,0.0033464,0.00843897,0.00532238,0,0,0,0.01118,0.0539127,0.0228631,0,0
11,0,0,0,0,0.00401788,0.00617075,0,0,0.014035,0.019563,0.0103244,0.00844251,0,0,0.0103625,0,0.0165758,0.00519285,0.0461018,0.014934,0.0174093,0.00796507,0.0116807,0.00604748,0.00617606,0.00984846,0.00506595,0.0244081,0.00818447,0.00494466,0.00439452,0.0127456,0.0148861,0.00714406,0.00369952,0.00319195,0.0159931,0.022358,0.0164499,0.00237982,0.00619064,0,0,0.00444275,0,0.0155062,0.00331611,0.0416405,0.0211528,0.0196539,0.0136621,0.00152502,0.00675679,0.0148592,0.012255,0.0121037,0,0.0316636,0.0198289,0.00520145,0.00555024,0.00262309,0.00820426,0.00356131,0,0,0,0.0102219,0.0115082,0,0,0
12,0,0,0,0,0.00831391,0.00587129,0,0,0.0192714,0.0207048,0.0139525,0.00433288,0,0,0.00691517,0,0.0157764,0.00340838,0.0461752,0.0184471,0.0188805,0.00914124,0.00383516,0.00393547,0.00349076,0.00952972,0.006077,0.027698,0.00848265,0.00624619,0.00525926,0.012826,0.0196015,0.00577284,0.0035669,0.00216736,0.0159743,0.0235123,0.0119409,0.00548559,0.011118,0,0,0.00871646,0,0.0154216,0.00741282,0.0411542,0.0166679,0.0193893,0.0124535,0.00943735,0.0117248,0.0193568,0.0031893,0.00448232,0.028318,0.0199062,0.0224446,0.0123791,0.00745347,0.00382635,0.00708818,0.00521676,0,0,0,0.00436229,0.0166285,0.0104404,0,0
13,0,0,0,0,0.00465624,0.00535708,0,0,0.0222417,0.0209695,0.0161291,0.00415796,0,0,0.00595592,0,0.0157095,0.0019018,0.0457897,0.0212279,0.0193442,0.00839554,0.00408706,0.0095945,0.00345636,0.00702953,0.00736836,0.0291989,0.0076936,0.00578574,0.00507956,0.0135869,0.022849,0.00459193,0.00392054,0.00189865,0.0156779,0.0221066,0.0106636,0.00568444,0.00248946,0,0,0.00417363,0,0.0155642,0.00278996,0.0417499,0.0145923,0.0200744,0.0132731,0.00746719,0.00435034,0.0197666,0.00350007,0.00483721,0.0272788,0.018216,0.0222315,0.00429703,0.00562822,0.00261499,0.0062292,0.00361564,0,0,0,0.00467771,0.0151555,0.0089069,0,0
14,0,0,0,0,0.00394643,0.00556467,0,0,0.022908,0.0207729,0.0174116,0.00307324,0,0,0.00701003,0,0.0157696,0.00264345,0.0453778,0.0234581,0.0205564,0.00777442,0.00414827,0.00936516,0.00641219,0.00540667,0.00857278,0.030635,0.0068286,0.00565989,0.00562699,0.0147192,0.0241639,0.00590299,0.0037766,0.00221436,0.0162205,0.0224112,0.011671,0.00548127,0.00420826,0,0,0.00433013,0,0.0157533,0.0040862,0.0420407,0.0177655,0.0194069,0.0120471,0.00832908,0.00655422,0.0188266,0.00366645,0.00561116,0.0296271,0.0209196,0.0239652,0.00664335,0.00650443,0.00288667,0.00683217,0.0028755,0,0,0,0.00563855,0.0146738,0.0114389,0,0
15,0,0,0,0,0.00938413,0.00631966,0,0,0.0238564,0.0210246,0.0188448,0.00197818,0,0,0.00746131,0,0.0157028,0.00327376,0.0455889,0.0249702,0.0220976,0.00883889,0.00476972,0.00508275,0.00910575,0.00727614,0.0102302,0.0318705,0.00637274,0.00607404,0.00634852,0.0151926,0.0254848,0.00792141,0.00412531,0.0017089,0.0216568,0.0239894,0.0221976,0.00518407,0.0119921,0,0,0.00784806,0,0.0147348,0.00645549,0.0422284,0.0301973,0.0182069,0.0123058,0.0111757,0.0117021,0.0157211,0.00743593,0.0079527,0.036648,0.0301128,0.0294265,0.0117634,0.00661742,0.00373682,0.00690257,0.00668038,0,0,0,0.00814819,0.0212522,0.0207289,0,0
16,0,0,0,0,0.00442028,0.004403,0,0,0.0260543,0.0211708,0.0208052,0.00275275,0,0,0.00567406,0,0.0155285,0.00167756,0.0452647,0.0261112,0.0213581,0.0097332,0.00535261,0.00768584,0.00958936,0.00894043,0.0120107,0.0323877,0.0061651,0.00691874,0.00709876,0.0147385,0.0277254,0.00332389,0.00393277,0.0017257,0.0164254,0.0214977,0.0123101,0.00569576,0.00197594,0,0,0.00272296,0,0.0148864,0.00199809,0.0424556,0.0189008,0.0197738,0.0116805,0.00665365,0.00295258,0.0187933,0.00375104,0.00541012,0.0294901,0.0215713,0.024867,0.00270771,0.00619763,0.00353992,0.0050084,0.00307792,0,0,0,0.00605223,0.0142654,0.0121255,0,0
