Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI
All Timesteps RMSE,0,0,0,0,0.0158811,0.0151086,0,0,0,0.0446847,0.0210562,0.0206227,0.00677416,0,0,0.00978797,0,0.0159013,0.00735653,0.036063,0.0158102,0.0247652,0.0225427,0.0149689,0.0161562,0.0110375,0.0201053,0.0120197,0.0314619,0.0158228,0.0233407,0.0114762,0.00830097,0.0540675,0.00639747,0.00433666,0.00434465,0.0334435,0.0185471,0.0317875,0.00878105,0.00814831,0,0,0.0307445,0,0.0114302,0.0193206,0.0409869,0.0399508,0.0256217,0.0261848,0.0146985,0.0164828,0.022459,0.021278,0.018865,0.0221024,0.0230124,0.0194066,0.0287741,0.0390902,0.0159756,0.0118986,0.0118899,0.0188494,0.00841138,0,0,0,0.011151
0,0,0,0,0,0.0151153,0.0152177,0,0,0,0.0169027,0.020698,0.00495996,0.00764771,0,0,0.0139452,0,0.0159654,0.0102138,0.0408676,0.00790792,0.0264409,0.0277317,0.0119783,0.0134245,0.0204876,0.0240056,0.0170053,0.0369625,0.0178809,0.0211709,0.0104703,0.00871104,0.0210867,0.00842364,0.00440849,0.00528916,0.0729212,0.0186448,0.0236526,0.0170569,0.00865804,0,0,0.0249184,0,0.0116199,0.0186538,0.0472305,0.031233,0.0305679,0.0204462,0.00273961,0.0149251,0.0418463,0.0265398,0.0253814,0.0217585,0.0169699,0.0195588,0.0244928,0.0910171,0.0168219,0.0105287,0.0127888,0.0191797,0.0117619,0,0,0,0
1,0,0,0,0,0.0154887,0.0157789,0,0,0,0.0157312,0.0205534,0.0048599,0.0077205,0,0,0.0141115,0,0.0160757,0.0103438,0.0407265,0.0123092,0.0270164,0.0298176,0.0131455,0.0140529,0.0201441,0.0246826,0.0173162,0.0364498,0.018571,0.0207478,0.00956915,0.00879557,0.0199066,0.00846294,0.00443491,0.00527012,0.0704178,0.0185242,0.0219391,0.0169507,0.00860976,0,0,0.0250749,0,0.0117093,0.0187217,0.0472682,0.0322961,0.0305976,0.0203571,0.00372368,0.0150455,0.0419939,0.026365,0.0251385,0.0213814,0.0170486,0.0186688,0.0244309,0.0890807,0.0168722,0.0114998,0.0128785,0.0197737,0.0117193,0,0,0,0
2,0,0,0,0,0.0156877,0.0160468,0,0,0,0.0154781,0.0204757,0.00587486,0.0077036,0,0,0.0141274,0,0.0161215,0.0103154,0.0404466,0.0158374,0.0271567,0.0309599,0.0133888,0.01441,0.0197947,0.024832,0.0176232,0.0363651,0.0189027,0.0208331,0.00904989,0.00876452,0.0195892,0.00841863,0.004526,0.00533623,0.0686957,0.0184103,0.0212876,0.0170267,0.00856246,0,0,0.0250531,0,0.0116799,0.0186855,0.0472241,0.0339763,0.0304575,0.020622,0.00411185,0.0150663,0.0417349,0.0266681,0.0252941,0.0213766,0.0168666,0.0185311,0.0244842,0.0877289,0.0169149,0.0119951,0.0127888,0.0200562,0.011588,0,0,0,0
3,0,0,0,0,0.0157523,0.0162116,0,0,0,0.0160028,0.0204651,0.00611503,0.00773105,0,0,0.0140305,0,0.0161215,0.0102097,0.0400833,0.0172307,0.0271595,0.0313946,0.0132519,0.0145777,0.0195561,0.0244931,0.0177361,0.036401,0.0189364,0.0212404,0.00898559,0.00877341,0.0200849,0.00830614,0.00454755,0.00533108,0.0671601,0.0184137,0.0210367,0.0170804,0.00853601,0,0,0.0251043,0,0.0116854,0.018653,0.0471293,0.0357793,0.030216,0.0211302,0.00422662,0.0151598,0.0412519,0.0272165,0.0258019,0.0215167,0.0165278,0.0187335,0.0245086,0.0865018,0.0168697,0.0120678,0.0127771,0.0201243,0.0113876,0,0,0,0
4,0,0,0,0,0.0157896,0.016416,0,0,0,0.0168591,0.0204737,0.0054688,0.00759974,0,0,0.0138591,0,0.0161417,0.0101097,0.0397529,0.0158729,0.0270689,0.031279,0.0131316,0.0147042,0.0193967,0.0238367,0.0175917,0.0361984,0.018746,0.0218691,0.00928148,0.00877694,0.0209042,0.00816503,0.00450867,0.00522873,0.0636832,0.0183263,0.0199301,0.0170191,0.00851433,0,0,0.0251842,0,0.0116511,0.0187075,0.0469403,0.0388949,0.0300146,0.0209935,0.00428549,0.0153844,0.041261,0.0273935,0.0256964,0.0216458,0.0157769,0.0178615,0.0256603,0.0842172,0.0167974,0.0122097,0.0128415,0.0201853,0.0110648,0,0,0,0
5,0,0,0,0,0.0158688,0.0165418,0,0,0,0.017999,0.0205233,0.00539699,0.0073533,0,0,0.0137599,0,0.0161997,0.0100263,0.0394841,0.0131542,0.0268908,0.0305951,0.0130424,0.0148715,0.0191557,0.0232845,0.0171671,0.0355925,0.0183817,0.0224664,0.00966723,0.00874559,0.0220463,0.00808555,0.00446561,0.00517742,0.0593235,0.018275,0.0193803,0.0169446,0.00852328,0,0,0.0253241,0,0.0116331,0.0188947,0.0466185,0.0426946,0.0297945,0.0207555,0.0042284,0.0156662,0.0414676,0.0274467,0.0254439,0.0218305,0.0149279,0.0168043,0.0271769,0.0813636,0.0168601,0.0121824,0.0129337,0.0203257,0.0106858,0,0,0,0
6,0,0,0,0,0.0159387,0.016588,0,0,0,0.019493,0.0204776,0.00594297,0.00705437,0,0,0.0136207,0,0.0161942,0.00988797,0.0391946,0.0106292,0.0266523,0.0295814,0.0128905,0.0149783,0.0186738,0.0228051,0.0165352,0.0346596,0.0180071,0.0226267,0.0100585,0.00866028,0.023596,0.00796018,0.00442121,0.00516049,0.0553845,0.0182116,0.0202824,0.016849,0.00848605,0,0,0.0255371,0,0.0116006,0.0191304,0.0463363,0.0471825,0.0294992,0.0206855,0.00404158,0.0159697,0.041513,0,0.0253176,0.0221811,0.0142575,0.0161129,0.029024,0.0792888,0.0168739,0.0123018,0.0130249,0.0204712,0.0103094,0,0,0,0
7,0,0,0,0,0.0159638,0.0166696,0,0,0,0.0209587,0.0205224,0.00625721,0.00685681,0,0,0.0136805,0,0.0161891,0.00986371,0.0387909,0.00958497,0.0264368,0.0288129,0.0129314,0.0150533,0.0178845,0.0224036,0.0160239,0.0335661,0.0176308,0.0223218,0.0103562,0.00838533,0.0255255,0.00792827,0.00444372,0.00513546,0.0506959,0.01818,0.0220385,0.016767,0.00839386,0,0,0.0257309,0,0.0115876,0.0192409,0.0456933,0.0505706,0.0293653,0.0205893,0.00392237,0.0163393,0.0420573,0.0276586,0.0250174,0.0220587,0.0137697,0.0155738,0.0300229,0.0760691,0.0169069,0.0125827,0.0130779,0.0206787,0.00993195,0,0,0,0
8,0,0,0,0,0.0158664,0.0168274,0,0,0,0.0215114,0.020405,0.0064728,0.00677237,0,0,0.0138696,0,0.0161475,0.00994852,0.038318,0.0102277,0.0263146,0.0284774,0.0131062,0.0150469,0.0168459,0.021952,0.0157667,0.0325368,0.0172543,0.0217767,0.0104243,0.0079244,0.0268688,0.007981,0.00443371,0.00511832,0.0468477,0.0181051,0.0247382,0.016641,0.00828921,0,0,0.0258835,0,0.0115372,0.0193375,0.0452352,0.0540315,0.0291985,0.0205556,0.00381204,0.0167675,0.0424335,0.0277934,0.024797,0.021874,0.0139932,0.0154205,0.031045,0.0739354,0.0169948,0.0127609,0.0131232,0.020861,0.00951835,0,0,0,0
9,0,0,0,0,0.0157707,0.0170631,0,0,0,0.0214363,0.0203093,0.00711728,0.00684232,0,0,0.0141841,0,0.0161712,0.0101127,0.0380066,0.0120569,0.0264766,0.0282576,0.0135211,0.0150363,0.0157979,0.0214449,0.0154392,0.0318504,0.0171881,0.0215205,0.0102681,0.00747356,0.0271334,0.00811944,0.00444128,0.00510187,0.0434349,0.0180694,0.0274142,0.0165288,0.008287,0,0,0.026007,0,0.0115372,0.0194762,0.044942,0.0567496,0.0290879,0.0205589,0.00395516,0.0172045,0.0425625,0.0280048,0.0248971,0.0214689,0.0143525,0.0157243,0.0314152,0.0719022,0.0171898,0.0128579,0.0131845,0.0210567,0.00916544,0,0,0,0
10,0,0,0,0,0.0158257,0.0172735,0,0,0,0.0219789,0.0202257,0.0086479,0.00713368,0,0,0.0144551,0,0.0162268,0.0102831,0.0377908,0.014839,0.0269885,0.0281591,0.0140901,0.0150482,0.014924,0.0206297,0.0148142,0.031896,0.0174139,0.0211336,0.0102762,0.00771384,0.0271151,0.00824603,0.00449892,0.00504342,0.0406575,0.0180262,0.0301363,0.0165008,0.00850143,0,0,0.0260768,0,0.0115362,0.0196385,0.0449268,0.059292,0.0291123,0.0207804,0.00440407,0.0176463,0.0422996,0,0.0254814,0.0208416,0.0143898,0.0160217,0.0313375,0.0706535,0.0174992,0.0127938,0.0132377,0.0212953,0.00895896,0,0,0,0
11,0,0,0,0,0.0159716,0.017409,0,0,0,0.0237245,0.0202205,0.010939,0.00767998,0,0,0.0146929,0,0.0162171,0.0103756,0.0373252,0.0174884,0.0277383,0.0278482,0.0148188,0.015092,0.0144529,0.019671,0.0141902,0.0326208,0.0177178,0.0203611,0.0105275,0.00891238,0.0279708,0.00832316,0.00451415,0.00496033,0.0371937,0.017985,0.0314811,0.0164293,0.00887063,0,0,0.026131,0,0.0115053,0.019693,0.0447987,0.0592315,0.0291214,0.0210955,0.00503666,0.0180537,0.0424185,0.028619,0.0260037,0.0194506,0.0137392,0.0156654,0.0295983,0.0679983,0.0178184,0.012688,0.0132442,0.021488,0.0088401,0,0,0,0
12,0,0,0,0,0.0160902,0.0173683,0,0,0,0.0260268,0.0204129,0.0129951,0.00832081,0,0,0.014897,0,0.0160548,0.0104502,0.0365926,0.0192025,0.0283759,0.0269778,0.0154598,0.0150472,0.0144814,0.0187197,0.0135684,0.0335033,0.0178573,0.0194188,0.0108623,0.0101953,0.0295851,0.00830713,0.00446001,0.00492099,0.0341852,0.0179674,0.0320865,0.0162357,0.00928279,0,0,0.0261627,0,0.011452,0.0196464,0.044811,0.0582033,0.0290253,0.0219146,0.00572108,0.0182796,0.0419271,0.0294576,0.0269752,0.017788,0.0129673,0.0149242,0.0270862,0.0660257,0.0180175,0.0126404,0.0132139,0.0215277,0.00888061,0,0,0,0
13,0,0,0,0,0.0160189,0.0171075,0,0,0,0.0282649,0.0205497,0.0145242,0.00884485,0,0,0.0147529,0,0.0160371,0.0102644,0.0358176,0.0199598,0.0287561,0.0262211,0.0156767,0.014772,0.014156,0.0175625,0.0125585,0.0337312,0.0175224,0.0185015,0.011233,0.0106597,0.0315435,0.00821856,0.00446761,0.00476753,0.0313097,0.0180123,0.0310529,0.0157072,0.00955351,0,0,0.0261947,0,0.0114122,0.0194725,0.0447986,0.0553536,0.0287097,0.0230052,0.00615121,0.0183452,0.040865,0.0309706,0.0286503,0.0158155,0.0123133,0.0135657,0.0232836,0.063047,0.0179617,0.0125907,0.0131101,0.0212563,0.0091159,0,0,0,0
14,0,0,0,0,0.0158556,0.0167008,0,0,0,0.0296513,0.0205168,0.0153347,0.00915327,0,0,0.0141971,0,0.0161952,0.00972517,0.0353907,0.0198512,0.0288379,0.0261523,0.0151789,0.0143554,0.0128024,0.0162038,0.011542,0.0330534,0.0167505,0.0176413,0.0115065,0.0101869,0.0329725,0.00809376,0.00442834,0.00449372,0.0286133,0.0181279,0.0299764,0.0151982,0.00964835,0,0,0.0262047,0,0.0113892,0.0192395,0.0448345,0.0526051,0.0284961,0.0242758,0.0061682,0.0183826,0.039377,0,0.0313697,0.0143705,0.0122071,0.0119004,0.0194243,0.060218,0.0176068,0.0125955,0.0129039,0.0208275,0.00963691,0,0,0,0
15,0,0,0,0,0.0155176,0.0159845,0,0,0,0.0302279,0.020719,0.0156809,0.00917884,0,0,0.0134128,0,0.0161432,0.0091006,0.0351681,0.0193407,0.0287672,0.0264887,0.0140546,0.0135768,0.0106823,0.0147301,0.0109438,0.0317999,0.0160252,0.0169042,0.0115224,0.00934533,0.0335839,0.00779129,0.00429738,0.00419282,0.0236602,0.0183301,0.0254673,0.0143116,0.00951504,0,0,0.0265502,0,0.0113179,0.0189806,0.0447641,0.0462587,0.0278927,0.0264346,0.00541841,0.0181867,0.0380624,0.036315,0.034532,0.0146188,0.0133339,0.0108299,0.0137406,0.0537779,0.0168909,0.0125804,0.0126304,0.0200742,0.0102033,0,0,0,0
16,0,0,0,0,0.0149052,0.0149041,0,0,0,0.0301894,0.0210927,0.0157965,0.00931986,0,0,0.012562,0,0.0159683,0.00844268,0.0349002,0.0187609,0.0284776,0.0265718,0.0119266,0.012431,0.00878089,0.0138245,0.0107376,0.0307535,0.0156105,0.0162842,0.0111954,0.00857039,0.033222,0.00733628,0.0041561,0.00384183,0.0175729,0.0185338,0.0225696,0.0140534,0.00915411,0,0,0.0276215,0,0.0112142,0.0188417,0.0449284,0.0420493,0.027821,0.0294811,0.00386308,0.0177981,0.0365789,0.0393194,0.0379357,0.0169314,0.0159147,0.0109886,0.0104229,0.0481791,0.0158581,0.012572,0.012461,0.0188491,0.0109798,0,0,0,0
17,0,0,0,0,0.0148378,0.0144955,0,0,0,0.0297714,0.0213578,0.0157121,0.0087827,0,0,0.0122036,0,0.0158389,0.00824316,0.0346235,0.0181253,0.0279944,0.0255264,0.0110785,0.0118837,0.00805496,0.0136949,0.0105553,0.0302365,0.0151933,0.0159951,0.010627,0.00796655,0.0321235,0.00713804,0.00411162,0.00359909,0.0114738,0.0185642,0.0232994,0.0133954,0.00911545,0,0,0.0284681,0,0.0111784,0.0189746,0.0448061,0.0408473,0.0279069,0.0317108,0.00334747,0.0174947,0.0355837,0,0.0402784,0.0187209,0.0177354,0.00995227,0.0106774,0.0447984,0.0155469,0.0126489,0.0124737,0.0183918,0.0118221,0,0,0,0
