Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIB,LASI,RTIBI
All Timesteps RMSE,0,0,0,0,0.00377017,0.00409902,0,0,0,0.0384565,0.0213753,0.0212294,0,0,0.00263771,0,0.015555,0.00176153,0.0398001,0.0196052,0.0178343,0.0119542,0.00472719,0.00761504,0.00835095,0.0139167,0.0129257,0.0307243,0.00805001,0.0133004,0.00744121,0.0111014,0.0452155,0.0031803,0.00439621,0.00108282,0.0217858,0.0233086,0.0160823,0.00477229,0.00767971,0,0,0.00548386,0,0.0162574,0.00321549,0.0397843,0.0223186,0.0225978,0.0170983,0.00835891,0.00417735,0.00571862,0.0216764,0.00625245,0.00650131,0.0286369,0.0216231,0.0251033,0.00284516,0.00444599,0.00329656,0.00577279,0.00563298,0,0,0,0.0139059,0.00513582,0.0205297
0,0,0,0,0,0.00307572,0.0032784,0,0,0,0.0666207,0.0222286,0.0291191,0,0,0.00375678,0,0.0149236,0.00164185,0.0378266,0.0108169,0.0155275,0.0118172,0.00362808,0.00551475,0.013674,0.0221721,0.0207891,0.0249316,0.0114229,0.0251471,0.0106698,0.0156949,0.0837197,0.00264094,0.00396534,0.000630161,0.0156813,0.0233185,0.00847716,0.00493475,0.0057457,0,0,0.00291572,0,0.0155503,0.00219531,0.0393812,0.0119035,0.0212812,0.0127008,0.00872359,0.00452587,0.00491955,0.0218521,0.00446481,0.00491146,0.0259935,0.0156861,0.00960678,0.00207912,0.00307677,0.00211399,0.00651991,0.00194543,0,0,0,0,0,0
1,0,0,0,0,0.00304775,0.00277494,0,0,0,0.0651443,0.0221167,0.0276793,0,0,0.00268784,0,0.0149219,0.00118086,0.0384734,0.00941934,0.015514,0.0105329,0.00330033,0.00514128,0.0136815,0.0205231,0.0193514,0.0242543,0.0105759,0.0240758,0.00970831,0.0148636,0.0816016,0.00204778,0.00380402,0.000609315,0.0155109,0.0230254,0.00878125,0.00512401,0.00565978,0,0,0.0020186,0,0.0153184,0.00233431,0.039414,0.0118636,0.0214063,0.0127504,0.00804927,0.00394412,0.00474418,0.0217317,0.00406024,0.00489151,0.0259202,0.0155959,0.0098211,0.00270878,0.00283203,0.00193695,0.00618793,0.00192053,0,0,0,0.00918545,0,0
2,0,0,0,0,0.00327325,0.0027974,0,0,0,0.0614596,0.0217807,0.0258727,0,0,0.00259572,0,0.0148651,0.0012707,0.0390999,0.00932566,0.0154518,0.00824093,0.00327416,0.00506428,0.0129629,0.0179451,0.0173386,0.0236677,0.00947838,0.0220479,0.00852782,0.0140402,0.0768734,0.00207857,0.00389163,0.000680386,0.0156163,0.0230269,0.00885295,0.00543956,0.00562086,0,0,0.0017888,0,0.0154044,0.00243224,0.0396004,0.011941,0.0212035,0.0130304,0.00842594,0.00414639,0.00465131,0.0216633,0.00391289,0.00501872,0.0257687,0.0155405,0.0104133,0.00279077,0.00295302,0.00195552,0.00653012,0.00160001,0,0,0,0.00937577,0.00820295,0
3,0,0,0,0,0.00368943,0.00310982,0,0,0,0.0541773,0.020075,0.0236589,0,0,0.00510741,0,0.0168602,0.00227984,0.0399479,0.0111028,0.0148446,0.00400656,0.00382276,0.0057022,0.0122146,0.0147877,0.0147826,0.022994,0.00751723,0.0175637,0.00700629,0.0133821,0.0673895,0.00362438,0,0.00152019,0.0159836,0.0229546,0.00872305,0.00554322,0.00587141,0,0,0.00203477,0,0.0154585,0.00218333,0.0399159,0.0120243,0.0209315,0.01326,0.00893515,0.0035309,0.00457047,0.0215566,0.00387164,0.00518165,0.0256144,0.0155188,0.0117013,0.00224659,0.00298479,0.00180115,0.00668472,0.00173213,0,0,0,0.00950479,0,0
4,0,0,0,0,0.00410382,0.00279061,0,0,0,0.0403251,0.0218833,0.0201936,0,0,0.00276707,0,0.0149147,0.00126069,0.041605,0.0147291,0.0141447,0.0076729,0.0047984,0.00516317,0.014032,0.0161935,0.0142439,0.0225705,0.00624517,0.00883411,0.00491691,0.0134382,0.0489752,0.0020506,0.00411638,0.000554702,0.0161512,0.0231054,0.0085876,0.00572453,0.00516805,0,0,0.00189558,0,0.0154823,0.0031341,0.0403532,0.0123595,0.0205858,0.0137027,0.0103266,0.00410662,0.00458848,0.0214465,0.00392555,0.00545212,0.0253456,0.0155692,0.013064,0.00333067,0.0033096,0.00211214,0.00698013,0.00186458,0,0,0,0.00985567,0.00922211,0.00569404
5,0,0,0,0,0.0043116,0.00226758,0,0,0,0.0327811,0.0218552,0.0174435,0,0,0.00184946,0,0.0149016,0.00091747,0.0434768,0.0150167,0.0142519,0.00960554,0.00510477,0.00461705,0.014028,0.0155855,0.0124026,0.0210104,0.00737383,0.00679561,0.00449339,0.0134541,0.0395831,0.00130818,0.00405587,0.000618161,0.0206087,0.0228952,0.0157711,0.00414445,0.00502457,0,0,0.0025409,0,0.0154212,0.00284001,0.0414836,0.0215713,0.0184755,0.00813228,0.00778618,0.0035896,0.00722931,0.0168524,0.0100518,0.00880939,0,0.0276981,0.0140002,0.00302055,0.00307305,0.00196924,0.0062741,0.00262379,0,0,0,0.0188061,0.00959691,0.0175293
6,0,0,0,0,0.00411615,0.00229753,0,0,0,0.0211886,0.0217038,0.0130243,0,0,0.00164459,0,0.0149321,0.000858943,0.0435073,0.0143011,0.0143326,0.0111425,0.00493385,0.00433068,0.0124106,0.0147962,0.00970453,0.0224026,0.00756276,0.00415933,0.00415048,0.0121792,0.0245089,0.00123254,0.00393559,0.000633645,0.015286,0.0229446,0.00828381,0.00556057,0.00516794,0,0,0.00270756,0,0.0153548,0.00283526,0.0409607,0.0128338,0.0203499,0.0136986,0.0101582,0.00339115,0.00444869,0.0214499,0.00352385,0.00542807,0.0253119,0.0156685,0.0141721,0.00288305,0.00296275,0.00196169,0.00623847,0.00234859,0,0,0,0.0104761,0,0.0057771
7,0,0,0,0,0.00431063,0.00247645,0,0,0,0.0133596,0.0217296,0.00951953,0,0,0.0015095,0,0.0150669,0.000865575,0.0441455,0.0130534,0.0148175,0.0126417,0.00447833,0.00434293,0.0105845,0.0136354,0.0076152,0.0232235,0.00781461,0.00421541,0.00361946,0.0114472,0.0137934,0.00126253,0.00399863,0.000606172,0.0157175,0.0229284,0.00867743,0.00566896,0.00510465,0,0,0.00306278,0,0.0154401,0.00308281,0.0412683,0.0128428,0.0202496,0.0140046,0.01054,0.00338065,0.00433074,0.0213866,0.00346765,0.00550438,0.0251681,0.0156097,0.0138657,0.00305954,0.00302583,0.00186334,0.00659007,0.00243289,0,0,0,0.0108536,0.00784256,0.00559332
8,0,0,0,0,0.00423905,0.00238625,0,0,0,0.012323,0.021665,0.00837538,0,0,0.00135743,0,0.0151564,0.000813627,0.0446275,0.0122347,0.0152498,0.0143239,0.00381695,0.00418262,0.00815548,0.012754,0.00702854,0.0246755,0.00815117,0.00603089,0.0033265,0.0109657,0.0112341,0.00115036,0.00397579,0.000586518,0.015775,0.022888,0.00876289,0.00580961,0.00524114,0,0,0.00329431,0,0.0154393,0.00308934,0.0415677,0.0130072,0.0201915,0.0137297,0.0103093,0.00321484,0.00416627,0.0212611,0.00324725,0.00553572,0.0252127,0.0156531,0.0140086,0.00304698,0.00297884,0.00181817,0.00648912,0.00267041,0,0,0,0.0109234,0.00692394,0.00545385
