Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI,IMU_B,
All Timesteps RMSE,0,0,0,0,0.0105677,0.0104561,0,0,0.0343891,0.0228776,0.0184929,0.00790157,0,0,0.00699803,0,0.0145937,0.00385119,0.0393867,0.0184178,0.0192696,0.0123377,0.0057183,0.0122729,0.00864844,0.0143309,0.0114373,0.0324477,0.00905477,0.0137207,0.00693127,0.0103929,0.0413211,0.00571671,0.00410072,0.00312303,0.0402714,0.0188346,0.0318646,0.00960341,0.00850663,0,0,0.0354818,0,0.0110814,0.0194906,0.039743,0.037471,0.0241627,0.0291777,0.010091,0.0170232,0.0322732,0.0472261,0.0553835,0.0255119,0.0233363,0.0234157,0.029304,0.0447583,0.0144781,0.0123379,0.0116814,0.0124816,0.00985713,0,0,0,0.043902,0,0
0,0,0,0,0,0.00996514,0.0115603,0,0,0.0629877,0.0231921,0.0328284,0.0104911,0,0,0.0120384,0,0.0143134,0.00674139,0.0386569,0.0217788,0.0173896,0.00788535,0.00579753,0.00642526,0.0108813,0.0171521,0.0183613,0.0243655,0.00593221,0.0186015,0.00912443,0.016462,0.0764275,0.00691424,0.003871,0.0039935,0.0277529,0.0194577,0.0309687,0.0148711,0.00637732,0,0,0.0300359,0,0.0114248,0.017412,0.0352788,0.0324642,0.0290031,0.0149569,0.00593151,0.0134501,0.0236406,0.0179521,0.0196692,0.0133263,0.0204077,0.0153474,0.0220257,0.0299283,0.0122959,0.0111168,0.0112682,0.0135518,0.0131181,0,0,0,0,0,0
1,0,0,0,0,0.0101621,0.0118817,0,0,0.0597689,0.0232491,0.0327876,0.0118733,0,0,0.0116681,0,0.0141883,0.00665475,0.0387458,0.0249222,0.0171372,0.0103158,0.00521538,0.00627087,0.0119172,0.0164892,0.0187266,0.0239668,0.00408179,0.0150149,0.0078604,0.015755,0.071346,0.00657602,0.00383713,0.00391736,0.0314816,0.0194272,0.0328212,0.0154092,0.00697292,0,0,0.0310107,0,0.0112912,0.0176507,0.0357914,0.0335849,0.0282526,0.0155336,0.00793566,0.0134888,0.0245253,0.0176686,0.0197104,0.0128051,0.0215257,0.0154953,0.0205368,0.0332573,0.0117398,0.0113321,0.0113309,0.0136073,0.0129711,0,0,0,0,0,0
2,0,0,0,0,0.0101634,0.0123525,0,0,0.052259,0.0235415,0.0311411,0.0150518,0,0,0.0116762,0,0.0140629,0.00622619,0.0410609,0.0275927,0.0157161,0.0146966,0.00663704,0.00574458,0.0129661,0.017436,0.0192071,0.0245286,0.00430716,0.00993583,0.00626889,0.0148795,0.0611566,0.00643547,0.00396074,0.00392636,0.0500765,0.0195001,0.0311672,0.0192546,0.00809679,0,0,0.0332975,0,0.0112907,0.0184009,0.0315452,0.0243235,0.0294016,0.0195537,0.012426,0.013699,0,0.0265306,0.0179268,0.0121189,0.0173853,0,0.0157371,0.0535013,0.0115265,0.0120522,0.0118154,0.0134704,0.0137736,0,0,0,0,0,0
3,0,0,0,0,0.0105292,0.0126243,0,0,0.0464418,0.0238018,0.0297035,0.0162546,0,0,0.0120442,0,0.0140151,0.00604083,0.0412968,0.0291398,0.0159738,0.0177558,0.00872216,0.00564711,0.0144671,0.0198923,0.0198303,0.0238284,0.00600905,0.00660993,0.00539483,0.0142672,0.0533435,0.00669549,0.00408624,0.00396434,0.0505702,0.0195223,0.0312295,0.0173762,0.0086029,0,0,0.0351403,0,0.0112059,0.018987,0.0327666,0.0257178,0.0257881,0.0208907,0.0159789,0.0142336,0,0.0282912,0.0171771,0.0148907,0.016963,0.0166462,0.0191561,0.0537552,0.0115786,0.0126451,0.012179,0.0129137,0.014132,0,0,0,0.103445,0,0
4,0,0,0,0,0.0107848,0.0123239,0,0,0.0414492,0.0237531,0.0269748,0.0149036,0,0,0.0118262,0,0.0140014,0.00588531,0.042706,0.027745,0.0166818,0.0181963,0.00764922,0.00527234,0.0155695,0.0207788,0.0195174,0.0222448,0.00698245,0.00512426,0.00453271,0.0142267,0.047302,0.00650533,0.00414143,0.00384167,0.0556197,0.0191462,0.0324502,0.012094,0.00834719,0,0,0.0358027,0,0.0110546,0.0193866,0.031976,0.0245033,0.0222666,0.029238,0.0139456,0.0143356,0,0.0338318,0.0182297,0.0221704,0,0.0237711,0.0299092,0.0628077,0.011985,0.0128705,0.0124198,0.0119227,0.0140576,0,0,0,0.101508,0,0
5,0,0,0,0,0.0109251,0.0129331,0,0,0.0314302,0.0237139,0.022876,0.0167043,0,0,0.0119017,0,0.0138565,0.0059142,0.04301,0.0264663,0.0164334,0.0188488,0.00987315,0.0053999,0.0148592,0.0216036,0.0182584,0.0236281,0.00726807,0.00226586,0.00365858,0.0126707,0.0345589,0.00675945,0.00410511,0.00387233,0.0520421,0.019252,0.0319186,0.0166564,0.00923902,0,0,0.0361061,0,0.0108199,0.0192649,0.0337269,0.0269199,0.0240234,0.0219653,0.0175443,0.0149048,0,0.027903,0.0172439,0.0164037,0.0165664,0.0166946,0.0205956,0.0553259,0.0113306,0.0124653,0.012312,0.0126807,0.0140273,0,0,0,0.102916,0,0
6,0,0,0,0,0.0106685,0.0127403,0,0,0.0224742,0.0237542,0.0180535,0.0164036,0,0,0.0119304,0,0.013961,0.00581379,0.0436465,0.0233394,0.0165715,0.0179501,0.0100747,0.00524563,0.0139393,0.020986,0.0161593,0.0237947,0.00730642,0.00218559,0.00262146,0.0117035,0.0236419,0.00689696,0.00410941,0.00383511,0.0521664,0.0192367,0.0322016,0.0161583,0.00930956,0,0,0.0371485,0,0.0109166,0.0196642,0.0343982,0.0281359,0.0232272,0.0227521,0.0184195,0.0153789,0,0.0282505,0.0171351,0.0175564,0.0164535,0.016103,0.0218126,0.0552701,0.0115674,0.0125249,0.0124748,0.0125225,0.014026,0,0,0,0.100785,0,0
7,0,0,0,0,0.0105149,0.0126443,0,0,0.0141352,0.0237496,0.0127959,0.0155596,0,0,0.0117704,0,0.0140618,0.00577506,0.0440693,0.0193662,0.0167876,0.0161115,0.00952089,0.00517753,0.0122098,0.0191723,0.0131103,0.0243618,0.00705741,0.0037491,0.00198567,0.010862,0.0131898,0.00688642,0.00406281,0.00378699,0.0521902,0.0192442,0.0326326,0.0152618,0.009292,0,0,0.0375275,0,0.0110085,0.0199192,0.0350876,0.0296942,0.0224806,0.0238192,0.0182517,0.015679,0,0.0287908,0.0167259,0.0188571,0.0165974,0.016473,0.0232205,0.0549576,0.0116533,0.0126511,0.01261,0.012303,0.0138258,0,0,0,0.0995685,0,0
8,0,0,0,0,0.0103098,0.0125149,0,0,0.00927175,0.0237085,0.00820915,0.0143073,0,0,0.011518,0,0.0140523,0.0057945,0.0441988,0.0152488,0.0171,0.0137429,0.00842904,0.00511698,0.00980027,0.0164744,0.00946201,0.0255007,0.00646366,0.0049933,0.00204982,0.0102968,0.00648596,0.00682407,0.00408079,0.00376997,0.052355,0.0191417,0.033328,0.0141367,0.00921696,0,0,0.0376344,0,0.0109864,0.0200441,0.0357831,0.0311811,0.0218689,0.0248211,0.0173387,0.0159705,0,0.0290905,0.0161481,0.0199466,0.0169528,0.0166975,0.024372,0.054574,0.0115928,0.0127861,0.0127207,0.0120329,0.0134496,0,0,0,0.098814,0,0
