Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_M,IMU_B,RTHI
All Timesteps RMSE,0,0,0,0,0,0.0077707,0.00831775,0,0.0405324,0.0207254,0.0235721,0.00654191,0,0,0.0107521,0,0.0162112,0.00652565,0.0389164,0.0227632,0.0194865,0.0133872,0.00783072,0.00978673,0.0101663,0.0153657,0.0131579,0.0283327,0.00955449,0.0147791,0.00969678,0.0119332,0.0473686,0.00853816,0.00473523,0.00181827,0.0331182,0.0205464,0.0212271,0.00559038,0.0118306,0,0,0.012933,0,0.0127806,0.00752671,0.0412531,0.0338607,0.0270503,0.0201624,0.00822639,0.0139957,0.0332821,0.015237,0.0186416,0.0258706,0.025532,0.0144541,0.0268095,0.0452915,0.00723976,0.00648301,0.00566413,0.00764987,0.012058,0,0,0,0,0,0.0127565
0,0,0,0,0,0,0.00541102,0.00578609,0,0.0805655,0.0221234,0.0348194,0.00545554,0,0,0.00475643,0,0.0147169,0.00222787,0.035911,0.0165146,0.0192969,0.0232285,0.00744859,0.00573025,0.0151436,0.0320168,0.0192093,0.0330387,0.0195783,0.0341122,0.0167775,0.0180274,0.101047,0.00316785,0.004185,0.000409466,0.0389947,0.0216527,0.0129396,0.0124941,0.0129185,0,0,0.0153247,0,0.0127445,0.00583406,0.0446815,0.0444924,0.0369379,0.0253719,0.00365339,0.0134513,0.0585027,0.0187173,0.025249,0.0259444,0.0265408,0.0160061,0.0288877,0.0592661,0.00422556,0.00532666,0.00572697,0.00278861,0.0152372,0,0,0,0,0,0
1,0,0,0,0,0,0.00578335,0.0063418,0,0.0822125,0.0217642,0.0365451,0.0055181,0,0,0.00501497,0,0.0149994,0.00227417,0.0359544,0.0152846,0.0198744,0.0228796,0.00675599,0.00524729,0.0151743,0.0329443,0.0181607,0.0325,0.0200552,0.0353846,0.0177079,0.0187896,0.103547,0.00350034,0.00406561,0.000410714,0.0386697,0.0214676,0.0126569,0.0121975,0.0136511,0,0,0.0140862,0,0.012787,0.00571695,0.0437387,0.0437639,0.0366413,0.0262405,0.00339167,0.0133525,0.0582546,0.0192053,0.0255699,0.0259725,0.0259408,0.0162768,0.0283794,0.0589032,0.00489851,0.00549758,0.00576114,0.00324193,0.0157688,0,0,0,0,0,0
2,0,0,0,0,0,0.00626009,0.00705638,0,0.0836108,0.0216954,0.0384588,0.00558578,0,0,0.00498825,0,0.0149384,0.00230198,0.0360351,0.015587,0.020054,0.0222414,0.0067341,0.00501762,0.0147748,0.0331462,0.0171683,0.0322943,0.0203517,0.0365126,0.0187798,0.0194343,0.10554,0.00360501,0.00408915,0.000317707,0.0391992,0.0212722,0.0122987,0.0119598,0.0143286,0,0,0.0137692,0,0.0127707,0.00569208,0.0428992,0.0432813,0.0361819,0.0268344,0.00366996,0.0130379,0.0580249,0.0192981,0.0258183,0.0261207,0.025267,0.016109,0.0280909,0.0596362,0.00534977,0.00595942,0.00580501,0.00408414,0.0160286,0,0,0,0,0,0
3,0,0,0,0,0,0.00679783,0.00744843,0,0.0842482,0.0217737,0.040959,0.00505022,0,0,0.00476312,0,0.0148475,0.00225306,0.0359199,0.018012,0.0194191,0.0173626,0.00709562,0.00495132,0.011941,0.0288388,0.0154675,0.0324638,0.0176853,0.0338517,0.0184229,0.0196955,0.10536,0.00353924,0.00410578,0.000227635,0.0403483,0.0210998,0.0119574,0.0116035,0.0146512,0,0,0.0140242,0,0.0127149,0.00566393,0.0419907,0.0431512,0.0355226,0.0272771,0.00439071,0.0127491,0.0578157,0.0192347,0.0259925,0.0263705,0.0246808,0.0154172,0.0280404,0.0611597,0.00556808,0.00632065,0.0058669,0.00487462,0.0158212,0,0,0,0,0,0
4,0,0,0,0,0,0.00751176,0.00783833,0,0.0852371,0.0218714,0.0420343,0.00471544,0,0,0.00473463,0,0.0148892,0.00236443,0.036008,0.0185506,0.0193794,0.0168385,0.00803497,0.0048358,0.0116363,0.0285351,0.0149232,0.0319069,0.0179027,0.0342793,0.0188947,0.0201036,0.106176,0.00337433,0.00408432,0.000149194,0.0413543,0.0210079,0.0115624,0.0113753,0.0149915,0,0,0.0142462,0,0.0125889,0.00564912,0.041483,0.0428695,0.034863,0.0278005,0.0053832,0.0127316,0.0574617,0.0185953,0.0260079,0.0264508,0.0239521,0.0151639,0.027834,0.0625086,0.00567769,0.00671,0.00598296,0.00602227,0.0159412,0,0,0,0,0,0
5,0,0,0,0,0,0.00834995,0.00843211,0,0.0855997,0.0217102,0.0412469,0.00474139,0,0,0.00540673,0,0.015197,0.0027459,0.0363226,0.0162554,0.0200062,0.0202454,0.00880679,0.00443511,0.0134956,0.0317434,0.0154597,0.0307326,0.0202705,0.0371893,0.0199788,0.0203897,0.107449,0.00351365,0.00403397,0.000452795,0.0422864,0.0208103,0.0111842,0.0111177,0.0157236,0,0,0.0144484,0,0.0125746,0.005838,0.0412722,0.0425886,0.034192,0.0281668,0.00650982,0.0126312,0.0570696,0.0173603,0.0258898,0.0264704,0.0232829,0.0152939,0.0277073,0.0636566,0.00590914,0.00708448,0.00621417,0.00710735,0.0165431,0,0,0,0,0,0
6,0,0,0,0,0,0.00784687,0.00801949,0,0.0840743,0.0216525,0.0432233,0.00360012,0,0,0.00401808,0,0.015282,0.00176669,0.0357545,0.0217926,0.0182056,0.012598,0.00996558,0.00382254,0.0092923,0.0233026,0.0152049,0.030682,0.0141396,0.0297574,0.0174393,0.0198497,0.10344,0.00286864,0.00395988,0.00079428,0.0436452,0.0209457,0.0110153,0.0109919,0.0149542,0,0,0.0137632,0,0.012577,0.00537189,0.0406373,0.0429549,0.0335702,0.0284024,0.00813154,0.0126872,0.0569868,0.0166659,0.0258408,0.0271136,0.0229065,0.0157127,0.0284934,0.0655011,0.00597263,0.00675365,0.0060654,0.00776126,0.0156649,0,0,0,0,0,0
7,0,0,0,0,0,0.00777327,0.00836226,0,0.0835295,0.0214393,0.0403889,0.0041514,0,0,0.0037759,0,0.0153256,0.00159069,0.0362967,0.0147805,0.0196971,0.0181908,0.00973161,0.00363468,0.0125477,0.0300457,0.0159428,0.028645,0.0185975,0.0348587,0.0186318,0.0197805,0.105246,0.00341914,0.00390622,0.000785966,0.0440636,0.020616,0.010558,0.0108343,0.0158308,0,0,0.0123132,0,0.0126564,0.00546779,0.0407085,0.0423931,0.0329238,0.028785,0.00863602,0.0126716,0.0567345,0.0153885,0.0258398,0.0274601,0.0223039,0.0160515,0.0286886,0.0660836,0.0065883,0.00663935,0.0061281,0.00849042,0.0167122,0,0,0,0,0,0
8,0,0,0,0,0,0.00750281,0.00796885,0,0.0805289,0.0217158,0.044455,0.00409093,0,0,0.00304613,0,0.0151375,0.00133291,0.035504,0.028725,0.0163778,0.0143781,0.0109173,0.00321751,0.0107787,0.0183194,0.0200658,0.029958,0.0081654,0.0203275,0.0135853,0.0191936,0.0971898,0.00282392,0.00389074,0.000954677,0.0455106,0.020776,0.0107623,0.0107696,0.0144408,0,0,0.012079,0,0.0124227,0.00513631,0.0399495,0.0434603,0.032188,0.0288491,0.0106088,0.0131792,0.0567812,0.014879,0.0260266,0.0286786,0.0221808,0.0166399,0.0303335,0.0682741,0.00648281,0.00669365,0.00599148,0.00878921,0.0152669,0,0,0,0,0,0
9,0,0,0,0,0,0.00717084,0.00776597,0,0.0791953,0.0218492,0.0438372,0.00465395,0,0,0.00277027,0,0.0152461,0.00128412,0.0354425,0.0294199,0.0158531,0.0156517,0.0111869,0.00315834,0.0117716,0.0182148,0.0211468,0.028867,0.00712939,0.0180903,0.0125509,0.018828,0.0952346,0.00266295,0.00379494,0.000956668,0.0460768,0.0207405,0.0109499,0.0109206,0.013987,0,0,0.0120751,0,0.0123965,0.00506987,0.0400068,0.0435316,0.0317358,0.0289265,0.0117296,0.013388,0.056431,0.0142372,0.0260184,0.029318,0.0216843,0.0170829,0.0311128,0.0690414,0.00649604,0.00668019,0.00597216,0.00945992,0.0152083,0,0,0,0,0,0
