Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,0
1,1,-14688
1,2,16384
1,3,18034
1,4,0
1,5,-14720
1,6,-15360
1,7,-14713
1,8,0
1,9,-14784
2,0,0
2,1,-16512
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,-16512
3,0,0
3,1,0
3,2,0
3,3,-16512
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,-16512
4,6,0
4,7,0
4,8,0
4,9,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,-16512
5,8,0
5,9,0
6,0,0
6,1,-16512
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,-16512
7,0,-10203
7,1,17537
7,2,0
7,3,16792
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
8,0,-29537
8,1,17550
8,2,-4769
8,3,17547
8,4,0
8,5,17185
8,6,18702
8,7,17507
8,8,-12094
8,9,17575
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,-16512
9,8,11195
9,9,17484
10,0,0
10,1,17098
10,2,22322
10,3,17504
10,4,16156
10,5,17585
10,6,-25124
10,7,17515
10,8,0
10,9,17163
11,0,-21718
11,1,17468
11,2,0
11,3,17048
11,4,2511
11,5,17548
11,6,-26372
11,7,17387
11,8,14532
11,9,17627
12,0,11063
12,1,17532
12,2,-8431
12,3,17540
12,4,0
12,5,17168
12,6,-19529
12,7,17519
12,8,15525
12,9,17416
13,0,21571
13,1,17452
13,2,-20439
13,3,17543
13,4,-22848
13,5,17543
13,6,0
13,7,16856
13,8,-6947
13,9,17494
14,0,0
14,1,16924
14,2,-28285
14,3,17547
14,4,-15468
14,5,17392
14,6,31723
14,7,17589
14,8,0
14,9,16824
15,0,-31666
15,1,17485
15,2,0
15,3,17166
15,4,-2862
15,5,17424
15,6,27962
15,7,17573
15,8,590
15,9,17430
16,0,23705
16,1,17614
16,2,-23423
16,3,17511
16,4,0
16,5,17170
16,6,11094
16,7,17461
16,8,-10519
16,9,17604
17,0,-2381
17,1,17504
17,2,-86
17,3,17562
17,4,12037
17,5,17553
17,6,0
17,7,17188
17,8,6914
17,9,17416
18,0,0
18,1,17263
18,2,-19395
18,3,17467
18,4,11060
18,5,17600
18,6,16164
18,7,17449
18,8,0
18,9,17168
19,0,-23023
19,1,16934
19,2,0
19,3,17142
19,4,-27988
19,5,17466
19,6,18932
19,7,17596
19,8,-23422
19,9,17420
20,0,-19905
20,1,17591
20,2,7337
20,3,17438
20,4,0
20,5,17198
20,6,-27558
20,7,17398
20,8,-16242
20,9,17593
21,0,-630
21,1,17461
21,2,-200
21,3,17581
21,4,-26596
21,5,17475
21,6,0
21,7,17098
21,8,-32014
21,9,17474
22,0,0
22,1,17106
22,2,-16722
22,3,17353
22,4,19736
22,5,17571
22,6,-29848
22,7,17432
22,8,0
22,9,17030
23,0,-9756
23,1,17486
23,2,0
23,3,16976
23,4,20705
23,5,17462
23,6,-31412
23,7,17573
23,8,5169
23,9,17453
24,0,8633
24,1,17568
24,2,5191
24,3,17417
24,4,0
24,5,17036
24,6,8581
24,7,17410
24,8,-24602
24,9,17560
25,0,-7020
25,1,17427
25,2,9314
25,3,17562
25,4,14702
25,5,17457
25,6,0
25,7,16988
25,8,9970
25,9,17437
26,0,0
26,1,16992
26,2,-18547
26,3,17427
26,4,-30005
26,5,17542
26,6,15
26,7,17541
26,8,0
26,9,16808
27,0,32624
27,1,17513
27,2,0
27,3,17154
27,4,-22859
27,5,17347
27,6,-27995
27,7,17335
27,8,17342
27,9,17599
28,0,17289
28,1,17570
28,2,-9173
28,3,17439
28,4,0
28,5,17231
28,6,-1203
28,7,17368
28,8,24919
28,9,17607
29,0,-11442
29,1,17494
29,2,-5765
29,3,17590
29,4,5045
29,5,17493
29,6,0
29,7,17094
29,8,-23335
29,9,17455
30,0,0
30,1,17148
30,2,-2452
30,3,17458
30,4,22333
30,5,17598
30,6,21326
30,7,17296
30,8,0
30,9,17146
31,0,-21395
31,1,17266
31,2,0
31,3,17142
