Timestep,,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LHEE,x77,LBHD,RFRM
All Timesteps RMSE,0,0.0147867,0.0121456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292521,0.0256203,0.0184853,0.0136608,0,0.0482071,0,0.0352191,0.0650663,0.0607117,0.0145122,0.0278117,0.0224235,0.0334242,0.0236297,0.0220647,0.0392739,0.0253862,0.0284173,0.0233617,0.0438619,0.0290465,0.0436102,0.0389686,0.0370912,0.0456826,0.0261577,0.0218839,0.0228235,0.0133423,0.015254,0,0,0.0889341,0,0.023356,0.0533674,0.0339752,0.018938,0.0193139,0.0193574,0.0317413,0.054104,0.0310297,0.0118914,0.0185126,0.0274507,0.0465238,0.0214565,0.0258842,0.0323458,0.0545864,0.0472356,0.0682919,0.0129001,0.0134101,0,0,0,0.0272896,0,0,0.0420528
0,0,0.00810252,0.00647157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184058,0.0112501,0.013315,0.00747371,0,0.0333193,0,0.0311839,0.0160278,0.0605813,0.0107194,0.0144967,0.0048154,0.0145244,0.0219529,0.0141054,0.0133013,0.0265099,0.00931283,0.00782815,0.006091,0.030507,0.0146172,0.0132089,0.00523669,0.0107337,0.0266429,0.02569,0.0285503,0.0061663,0.019699,0,0,0.150419,0,0.0302843,0.051825,0.0246179,0.0159087,0.0109386,0.00769258,0.0193534,0.0196952,0.0318418,0.00902291,0.00231185,0.028643,0.0204979,0.0279197,0.029143,0.026416,0.0947008,0.0525513,0.0755499,0.00941195,0.011217,0,0,0,0,0,0,0
1,0,0.00486335,0.00596424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143868,0.0220993,0.0117035,0.0141574,0,0.0371384,0,0.0297516,0.0301757,0.0585098,0.013724,0.0141318,0.0127821,0.0177822,0.0203271,0.0120017,0.0139924,0.0273491,0.0107017,0.00826881,0.00479335,0.0281625,0.0108267,0.0312705,0.0136626,0.019147,0.0958783,0.0238217,0.104684,0.011493,0.0219772,0,0,0.16055,0,0.0318948,0.049805,0.113598,0.0157132,0.0103204,0.0142906,0.0210406,0.0265543,0.0377504,0.0146558,0.013127,0.0329297,0.0496186,0.0527427,0.0500256,0.0965896,0.100245,0.0504715,0.0808123,0.00895932,0.00925535,0,0,0,0,0,0,0
2,0,0.00628321,0.00810783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201242,0.0129662,0.0133781,0.00688036,0,0.0232025,0,0.027564,0.0108635,0.0602287,0.0111307,0.0152865,0,0.0151982,0,0.0135768,0.0142903,0.0264192,0.0110845,0.00918795,0.00586239,0.0291365,0.0165021,0.0169885,0.008511,0.0144704,0.021926,0.014986,0.0279866,0.00512056,0.0242775,0,0,0.143946,0,0.0410294,0.0509311,0.0279969,0.0158104,0.0120043,0.0054977,0.0147255,0.0197689,0.0317202,0.010132,0.00356584,0.0310607,0.0197431,0.0298678,0.0313978,0.0214726,0.0889213,0.0457526,0.0828447,0.0069405,0.00821814,0,0,0,0.0360171,0,0,0
3,0,0.00686439,0.0085842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191115,0.0126819,0.014087,0.00632429,0,0.0211077,0,0.0276404,0.0095332,0.0603556,0.0111932,0.0148429,0.00660204,0.0141854,0,0.0135689,0.0137656,0.0260192,0.0106693,0.00845041,0.00719033,0.0291587,0.0163392,0.0158535,0.00889999,0.0138392,0.0200535,0.0143475,0.0281946,0.00465112,0.0244598,0,0,0.144713,0,0.0406742,0.0506572,0.0289074,0.0155474,0.0126654,0.00503976,0.0149495,0.0200903,0.031956,0.0102801,0.00394309,0.0314394,0.0198429,0.0301337,0.0316868,0.0189137,0.0894741,0.0443054,0.0832545,0.0073722,0,0,0,0,0,0,0,0
4,0,0.00765829,0.00871996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019762,0.0123814,0.0136356,0.00678847,0,0.0190912,0,0.027791,0.00832027,0.0601081,0.0114114,0.0150343,0.00629188,0.0130097,0,0.013509,0.0142698,0.0264723,0.0113645,0.00910797,0.00751123,0.0290333,0.0169334,0.0146185,0.00925964,0.0128694,0.0187194,0.0138948,0.0283031,0.00441849,0.0245026,0,0,0.145358,0,0.0403863,0.0507094,0.0295959,0.0155124,0.0127799,0.00532485,0.0151888,0.0199641,0.0319116,0.0103799,0.00391617,0.0316506,0.0199939,0.0304067,0.0316827,0.0165101,0.0900053,0.0427875,0.0835837,0.00738333,0,0,0,0,0.0303724,0,0,0
5,0,0.00764802,0.00854922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194137,0.0121793,0.0136385,0.00682458,0,0.0173073,0,0.0279158,0.00729191,0.0600321,0.0113594,0.0148465,0.00585537,0.011792,0,0.0137156,0.014307,0.0267101,0.0113022,0.00903051,0.00835989,0.0289448,0.0181947,0.0134142,0.00956668,0.012071,0.0141374,0.0134187,0.0271963,0.00426895,0.0246796,0,0,0.146047,0,0.0399816,0.0507028,0.0274419,0.0154788,0.0132723,0.00555732,0.0156489,0.0194233,0.0313973,0.0101634,0.00409386,0.0304305,0.022934,0.0297505,0.0295469,0,0.0906281,0.0409957,0.0839059,0.00718972,0,0,0,0,0,0,0,0
6,0,0.00548602,0.00842143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208328,0.0121813,0.0138451,0.00714022,0,0.0156419,0,0.0279049,0.00634104,0.0599367,0.0116881,0.0149028,0.0058204,0.0106645,0,0.0138351,0.0149303,0.0273576,0.0117382,0.00953823,0.00893341,0.0288931,0.0203542,0.0120013,0.00985326,0.0115049,0.0177574,0.0127905,0.0279768,0.00425672,0.0251494,0,0,0.146629,0,0.0393806,0.0512054,0.0299921,0.0154632,0.012757,0,0.0160367,0.0196594,0.0316433,0.0109142,0.00441194,0.0313543,0.0204334,0.0304675,0.0309456,0.0139949,0.0911533,0.0387834,0.0843457,0.00680034,0,0,0,0,0,0,0,0
7,0,0.00403767,0.0079651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134245,0.0118845,0.00370409,0.00408151,0,0.0136031,0,0.0281378,0.00553177,0.0625588,0.00975657,0.0175782,0.00323823,0.0100773,0,0.0124897,0.0243769,0,0.0186215,0.0143198,0.0132612,0.0312378,0.0194601,0.0101844,0.00993063,0.0112774,0.0173899,0.0122446,0.0273195,0.00387564,0,0,0,0.147015,0,0.0386408,0.0498843,0.0298311,0.0150084,0.0125335,0.00555757,0.0163145,0.0198691,0.0320906,0.0108153,0.0058089,0.0308518,0.0207752,0.0300471,0.0303101,0.0132503,0.0912178,0.0364541,0.0848232,0.00670592,0.00960404,0,0,0,0,0,0,0
8,0,0.00609354,0.00911727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189972,0.0119133,0.0124568,0.0077825,0,0.0126079,0,0.0282063,0.00484916,0.0592977,0.0119939,0.0157439,0.00567868,0.00882847,0,0.0139544,0.0156978,0.0275248,0.0130367,0.0106356,0.00832116,0.02755,0.0193442,0.0100238,0.0104093,0.0106415,0.0170403,0.0118838,0.0276809,0.00411776,0.025944,0,0,0.14742,0,0.0379249,0.0514072,0.03029,0.0151922,0.0121742,0.00582587,0.0165401,0.0200651,0.0315339,0.0113732,0.00496412,0.0308716,0.0206314,0.0305041,0.0299506,0.0131725,0.0918164,0.0345604,0.085316,0.00672302,0,0,0,0,0,0,0,0
