Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LEAR,,LBHD,LTHII,LTHI,x80,x90
All Timesteps RMSE,0.152282,0.111246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765996,0.0240019,0.0308806,0.0650381,0.113837,0,0.0247049,0.0204595,0.0567192,0.0378412,0.0609791,0.0321237,0.0611361,0.206652,0.0281622,0.0319186,0.0312853,0.0275673,0.0267883,0.0195028,0.0410438,0.0772177,0.0225279,0.0290834,0.0213991,0.0195959,0.0223358,0.043503,0.109951,0,0,0.0709985,0,0.0179528,0.0492799,0.0454183,0.0269748,0.0190372,0.0337036,0.0540728,0.0356563,0.0144492,0.0202496,0.023748,0.0264477,0.016788,0.0304023,0.0147885,0.0158021,0.0285838,0.0523753,0.0263469,0.0320884,0.125533,0.103258,0,0,0,0,0,0,0.052831,0.0207364,0,0
0,0.15632,0.112731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298234,0.0205018,0.0302829,0.0628499,0.0441843,0,0.0287027,0.0118523,0.0477469,0.0293593,0.0603081,0.025103,0.0554579,0.213323,0.0197377,0.0318695,0.0273589,0.0215585,0.0251572,0.0147595,0.03671,0.0819203,0.0219118,0.0121476,0.0100214,0.0150852,0.0154029,0.0407375,0.11283,0,0,0.0678065,0,0.0170786,0.0375597,0.0475903,0.0142491,0.0132607,0.0393041,0.0526017,0.0278603,0.0155863,0.022647,0.0236123,0.0270589,0.0122097,0.0321852,0.00677731,0.00895844,0.00907522,0.0413575,0.0256434,0.014703,0.121763,0.103935,0,0,0,0,0,0,0,0,0,0
1,0.15669,0.113163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130051,0.0206702,0.0249645,0.0626445,0.044429,0,0.0287541,0.0115924,0.047862,0.025765,0.059897,0.0276163,0.0546261,0.21345,0.0185571,0.0309236,0.0294105,0.0226844,0.0241588,0.007643,0.0176681,0.0827249,0.022347,0.0122969,0.00974734,0.0151208,0.0153931,0.0409242,0.112412,0,0,0.070151,0,0.0170698,0.0385161,0.0469347,0.0140632,0.013471,0.0393663,0.0516971,0.0271261,0.0155986,0.0226727,0.0237453,0.0270668,0.0125829,0.0319072,0.00741293,0.009612,0.00898861,0.0423681,0.0248519,0.0154695,0.122012,0.104227,0,0,0,0,0,0,0,0,0,0
2,0.157954,0.117594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178964,0.0220859,0.0288075,0.0990968,0.0412604,0,0.0258669,0.0196561,0.0517333,0.0304998,0,0.0337522,0.0917721,0.215091,0.0313186,0.0256469,0.0330252,0.0289265,0.0279187,0.0123685,0.0180248,0.074048,0.020132,0.0116099,0.00960869,0.0140342,0.0185614,0.0470269,0.107611,0,0,0.0733817,0,0.0181637,0.0400936,0.0522236,0.0166203,0.00553067,0.0437172,0.0793388,0.0262809,0.0219899,0.0194515,0.0281397,0.0342256,0.0159554,0.0272779,0.0118645,0.0120888,0.0109418,0.0443174,0.0241108,0.0178199,0.133958,0.0905112,0,0,0,0,0,0,0,0,0,0
3,0.158047,0.11769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179148,0.022074,0.0288256,0.0993096,0.0413312,0,0.0258653,0.0197459,0.0517379,0.0306592,0,0.0338182,0.0920371,0.21525,0.0314153,0.0256637,0.0330887,0.0289938,0.0279015,0.0122594,0.0185467,0.0739958,0.0201039,0.0114663,0.00957413,0.0139572,0.0186033,0.0470787,0.107833,0,0,0.0735209,0,0.0181107,0.0401197,0.0522618,0.0166532,0.0055928,0.0438207,0.079593,0.0263313,0.0220987,0.0194906,0.0282049,0.0343447,0.0161272,0.0272071,0.0119435,0.0122515,0.0112548,0.0444354,0.0241898,0.017832,0.13414,0.0905253,0,0,0,0,0,0,0,0,0,0
4,0.156659,0.113242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133048,0.0206725,0.0251894,0.0630153,0.0444272,0,0.0287602,0.0117214,0.0477195,0.0274606,0.0601752,0.0280101,0.0550345,0.213659,0.0187567,0.0308478,0.029834,0.0231687,0.0244329,0.00665114,0.0200781,0.0826458,0.0223028,0.0117903,0.00962325,0.0148092,0.015442,0.041019,0.112817,0,0,0.071036,0,0.0168393,0.0388714,0.047005,0.0141573,0.0132079,0.0395507,0.0522525,0.0270608,0.0157353,0.0225914,0.0238164,0.0272796,0.0127885,0.0317701,0.00757788,0.00981207,0.0092011,0.0430631,0.025541,0.015705,0.122348,0.10423,0,0,0,0,0,0,0,0,0,0
5,0.156634,0.113248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133228,0.0206774,0.0251992,0.0630179,0.0444234,0,0.0287674,0.01174,0.0478188,0.0274494,0.0602261,0.0280137,0.0550482,0.213661,0.0187678,0.0308213,0.0298171,0.0231643,0.0240805,0.00667405,0.0201016,0.0826239,0.022318,0.011793,0.00968606,0.0148097,0.015436,0.0409932,0.112781,0,0,0.0710597,0,0.016863,0.0388861,0.0470054,0.0141427,0.0131942,0.039522,0.0522462,0.0270638,0.0157245,0.0225652,0.0238028,0.0272582,0.0127764,0.0317871,0.00756501,0.00978295,0.00918333,0.0430473,0.0255115,0.0157528,0.122389,0.104232,0,0,0,0,0,0,0,0,0,0
6,0.15655,0.113243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134083,0.0206776,0.0252202,0.0630787,0.0444356,0,0.0287591,0.0117156,0.0478544,0.0274545,0.0602483,0.0280273,0.0550584,0.213654,0.0187349,0.0308175,0.0298416,0.0232218,0.0239811,0.0066574,0.0201608,0.0826313,0.0223118,0.0117551,0.00971582,0.0148031,0.0155366,0.0410117,0.112764,0,0,0.0709769,0,0.0168707,0.0388513,0.0470443,0.0142573,0.0132204,0.0395017,0.0523208,0.0271395,0.0157399,0.022536,0.0238188,0.0272611,0.0127444,0.0317827,0.00751624,0.00975602,0.00923084,0.043011,0.0254912,0.0157435,0.122462,0.104208,0,0,0,0,0,0,0,0,0,0
7,0.159191,0.117899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360451,0.022009,0.0428669,0.100602,0.0417294,0,0.0259108,0.0196511,0.0520715,0.0440046,0,0.0302419,0.0941464,0.217324,0.0312756,0.0266938,0.0330523,0.030871,0.034577,0,0.0272364,0.0748974,0.0201016,0.0114148,0.00944779,0.0135969,0.0183524,0.0475162,0,0,0,0.0750441,0,0.0188021,0.0411698,0.0522066,0.0162952,0.00640195,0.0434558,0.0802366,0.0282444,0.0220052,0.019479,0.0281063,0.033911,0.0156645,0.0274525,0.0116393,0.0117122,0.0106543,0.0461156,0.0241569,0.0190172,0.135281,0.091774,0,0,0,0,0,0,0,0,0,0
8,0.156464,0.113254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135234,0.0206561,0.0252497,0.063194,0.0444565,0,0.0287273,0.0116854,0.0477936,0.0275419,0.0602337,0.028064,0.0552373,0.213708,0.0187604,0.0307958,0.0298992,0.0232786,0.0240565,0.00657372,0.0202421,0.0826542,0.0222753,0.0118719,0.00972771,0.0147765,0.0155229,0.0410678,0.112538,0,0,0.0709807,0,0.0168647,0.0388815,0.0470984,0.0142685,0.0132302,0.0396931,0.0525622,0.0272374,0.0158121,0.022532,0.0239023,0.0273521,0.0129281,0.0316582,0.00763005,0.00987172,0.00925356,0.0430127,0.0255341,0.0157331,0.122615,0.104186,0,0,0,0,0,0,0,0,0,0
