Timestep,C7,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,LSHO,LUPA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTOE,RUPA,RWRA,RWRB,x74,x75,LFHD,LTHIA,T10,LWRA,RTIBP,LBHD,LKNE,LPSI,RTIB,LTHIP,RASI,LHEE,RPSI,CLAV,LFIN,STRN,LTHII,L5HD,x76,LTHI,LTIB,LWRB,LANK,LFRM,LEAR,LTIBP,LTOE,L5FT,LGTR,LTIBA,RFHD,LASI,LILC,,LTIBI,LELB
All Timesteps RMSE,0.0294761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033157,0.0554442,0.0236813,0.0170672,0.0227859,0.0330304,0,0,0.0472052,0.0188562,0.0246531,0.0406273,0.0281653,0.029007,0.0310259,0.0261525,0.016235,0.0209071,0.026073,0.0267533,0.0324983,0.0158636,0.026765,0.0338092,0.0271669,0.0242573,0,0,0,0.0294973,0.0259891,0.0310284,0.017969,0,0.0286645,0.0175603,0.0178158,0.037546,0.0321726,0.0331978,0.0163133,0.0139445,0.0338115,0.010643,0.0350378,0.0205199,0,0.0206807,0.0254653,0.035358,0.0263988,0.0409973,0,0.0151168,0.0458485,0.0390686,0.0555534,0.0222801,0,0.0281926,0.0172637,0,0.0208923,0.0652229
0,0.0428457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421893,0.0387239,0.0943534,0.0161735,0.0150042,0.040947,0,0,0.025737,0.0195457,0.00472831,0.0487288,0.0614435,0.0582083,0.0774053,0.0161313,0.0727093,0.0537874,0.058258,0.0909692,0.0595286,0.0450745,0.122556,0.0136026,0.023214,0.0131378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0517771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502118,0.0927293,0.0768995,0.0156459,0.01045,0.0500915,0,0,0.0269248,0.0200597,0.00510479,0.0360825,0.0479486,0.0558927,0.0632182,0.0118943,0.0574659,0.050632,0.0513584,0.069533,0.0525645,0.0347359,0.0982381,0.0124339,0.0253021,0.0145271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0550611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478795,0.0879915,0.0779651,0.0153923,0.0079134,0.0498997,0,0,0.0299865,0.019555,0.00736255,0.0318534,0.0456266,0.0537902,0.0554316,0.0134416,0.0498167,0.0463145,0.0460587,0.0597786,0.0490733,0.0289531,0.100415,0.0148229,0.0257233,0.0143805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.054477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400919,0.0759352,0.0792562,0.0174096,0.0252752,0.0517727,0,0,0.0302449,0.0168936,0.00766883,0.0193112,0.077251,0.045162,0.0467661,0.0188098,0.0354366,0.0278547,0.0348235,0.0532423,0.0489309,0.0353546,0.115334,0.0145699,0.0286395,0.013877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0407691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121448,0.115544,0.0915746,0.0211034,0.0175538,0.0435401,0,0,0.0277967,0.0133124,0.00944843,0.0196152,0.0652091,0.0463419,0.0326447,0.0223499,0.0257313,0.019737,0.0306275,0.0416606,0.043484,0.0209537,0.129075,0.0139009,0.027155,0.0106875,0,0,0,0.372733,0.0627901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.023603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595443,0.122937,0.0829924,0.0195663,0.00867456,0.0305175,0,0,0.0318378,0.0143797,0.0117354,0.0212303,0.0450295,0.0467104,0.031745,0.0213315,0.021132,0.0258073,0.0284831,0.0331141,0.0415379,0.0113405,0.113123,0.0175607,0.0262757,0.0110335,0,0,0,0.292099,0.0385513,0.00829136,0.0487225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0217419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618709,0.122309,0.0584311,0.0143521,0.00900403,0.0321461,0,0,0.0475166,0.0190765,0.0216836,0.0301417,0.0418596,0.0374607,0.019384,0.0221538,0.0129635,0.0225426,0.0198471,0.0202523,0.0440772,0.0094278,0.0813814,0.0312505,0.0231499,0.0160134,0,0,0,0.114969,0.0304281,0.0117861,0.0360977,0,0.0966125,0.0149941,0.0285379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0221314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601223,0.120545,0.0512336,0.0152557,0.00519493,0.0341132,0,0,0.0443229,0.0179143,0.0194724,0.0315765,0.0343329,0.0370683,0.018788,0.0210018,0.0114452,0.0215211,0.0189162,0.0180317,0.0428563,0.00753642,0.0701813,0.0286827,0.0236523,0.0146477,0,0,0,0.106117,0.0296635,0.0098952,0.0298368,0,0,0,0.0232566,0.0273661,0.0233197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0194209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496135,0.0261928,0.0590385,0.0172567,0.00362787,0.0300929,0,0,0.0357576,0.0161849,0.0143607,0.0269004,0.0331291,0.0422005,0.0224253,0.0194741,0.0144419,0.0213102,0.0217496,0.0227766,0.0410626,0.00740841,0.080146,0.0220044,0.0250104,0.012294,0,0,0,0.0705992,0.0277515,0,0.0321852,0,0,0.0183334,0.0259947,0,0.0237132,0.0413284,0.020334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
