Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,LSHO,LUPA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RILC,RKNE,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RUPA,RWRA,RWRB,x74,x75,RASI,x76,RTIB,STRN,T10,,LWRA,RPSI,LTHIP,LELB,LEAR,LHEE,LPSI,LTIBP,LWRB,RTOE,RHEE,RTIBP,LTOE,LFIN,LGTR,L5HD,LFRM,LANK,LBHD,L5FT,LTIBA,LASI,RFHD,LKNE,LTIB,LFHD,LILC,LTHIA,LTHI,LTIBI,LTHII,x88
All Timesteps RMSE,0.0309882,0.0245013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358845,0.0398338,0.0271499,0.0366406,0.0258179,0.0308671,0,0,0.0788117,0.0270307,0.0438311,0.0414862,0.0299418,0.0315806,0.0377102,0.0207514,0.0196805,0.0306846,0.0340277,0.0309307,0.018828,0.0530104,0.027699,0.0377976,0,0,0.0394285,0,0.0208386,0.0284257,0.0245432,0,0.0188439,0.0274787,0.035683,0.0421307,0,0.0368587,0.0329574,0.0151846,0.0233763,0.0315291,0.0330158,0.0211848,0.0572639,0.0304986,0.0550433,0.0176398,0.0301164,0.0327442,0,0.0496046,0.0274365,0.033485,0,0.0286075,0.0270129,0,0.0213768,0.0303904,0.019172,0.0340899,0.0391771,0
0,0.0179017,0.021636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784466,0.120016,0.0518805,0.0189539,0.0154769,0.024906,0,0,0.0584164,0.0198752,0.0271066,0.0180922,0.047918,0.0207697,0.0305456,0.0233272,0.0269003,0.0295597,0.0361871,0.0372593,0.0102754,0.0316755,0.0284951,0.0191525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0239092,0.0307579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834635,0.137689,0.0517916,0.014568,0.0170547,0.025691,0,0,0.154205,0.0174168,0.0778771,0.0198908,0.0483735,0.0200846,0.0481669,0.0220196,0.0249939,0.0284954,0.0354455,0.0357621,0.0113145,0.0841133,0.01994,0.0350945,0,0,0.0489219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0235049,0.029965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813339,0.133732,0.0543782,0.0145916,0.0171864,0.0224276,0,0,0.153745,0.0173525,0.0775217,0.021363,0.0482785,0.0204818,0.0507355,0.0216079,0.0229164,0.0269715,0.0347427,0.034902,0.0120524,0.0857338,0.0195898,0.0346851,0,0,0.0462757,0,0.0198812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0225006,0.027995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798559,0.130665,0.0542759,0.014705,0.0184305,0.0195228,0,0,0.152284,0.0172953,0.0767959,0.0222106,0.047443,0.0199423,0.0523144,0.0203072,0.0221651,0.0257519,0.0331328,0.0342459,0.0131888,0.0863056,0.018774,0.0338721,0,0,0.0438479,0,0.0203635,0.0341112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0218543,0.0272003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079314,0.128207,0.0529274,0.0149308,0.0181875,0.0175141,0,0,0.150836,0.0172538,0.0758982,0.0228121,0.0465202,0.019945,0.052738,0.018632,0.0213624,0.0247459,0.0312989,0.0335489,0.0139357,0.0859319,0.0178698,0.0330543,0,0,0.0423718,0,0.0206115,0.0338515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0211278,0.0264893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788271,0.125911,0.0506676,0.0150962,0.0168955,0.0154302,0,0,0.149326,0.0171828,0.0749223,0.0235057,0.045452,0.020352,0.0524793,0.0173619,0.0204176,0.0242388,0.0296869,0.0329179,0.014313,0.0852261,0.0170766,0.0324183,0,0,0.0417277,0,0.0205262,0.0334987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0190504,0.0255957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788557,0.123712,0.0477812,0.0151678,0.0158571,0.0142872,0,0,0.146783,0.0171035,0.073303,0.0244303,0.0443128,0.0209089,0.0488321,0.0168506,0.0195682,0.0243006,0.028664,0.0324271,0.0145148,0.0827474,0.0162839,0.0318628,0,0,0.0419463,0,0.0199929,0.0331505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0191541,0.0250376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782442,0.121708,0.0448205,0.0152382,0.0152404,0.0116119,0,0,0.14605,0.0170173,0.0728345,0.0255355,0.0433001,0.0215555,0.0494991,0.0164353,0.0188688,0.0247057,0.0284974,0.0321404,0.0145409,0.083393,0.0158144,0.0313069,0,0,0.0423581,0,0.0194384,0.0326933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0188291,0.0243051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779167,0.12006,0.0420446,0.0152951,0.0144347,0.00917814,0,0,0.144425,0.0169045,0.0717488,0.0265077,0.0422704,0.0221697,0.0487849,0.0161769,0.0183385,0.0252907,0.0287887,0.0319128,0.0142788,0.0828646,0.0151139,0.0307444,0,0,0.0429018,0,0.0186244,0.0324067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
