Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,LASI,LFHD,LWRA,RTHI,LELB,,x76,x77
All Timesteps RMSE,0.0635571,0.0373041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445886,0.0238464,0.0309221,0,0,0.0438152,0.0419367,0.0535287,0.0352806,0.0220074,0.0314701,0.0388487,0.0760328,0.0298892,0.0308147,0.0402234,0.0327251,0.0568382,0.0289041,0.027166,0.0174669,0.0514736,0.0608921,0.0769256,0.0228994,0.0165563,0.0265903,0.0370283,0.0562161,0,0,0.0707782,0,0.0173284,0.0391366,0.0403119,0.0319606,0.027766,0.0331767,0.0273061,0.0495923,0.0226492,0.0214905,0.021625,0.0205958,0.0298158,0.0178899,0.0210265,0.0275406,0.0516004,0.0256783,0.024347,0.0398037,0.0454818,0,0,0.0328144,0,0.0457632,0.0151085,0.0613189,0,0,0
0,0.0316104,0.0229496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490072,0.0156479,0.0386184,0,0,0.020661,0.0859067,0.048802,0.0358414,0.0229162,0.0201943,0.0283179,0.0914768,0.0153294,0.0241199,0.0362479,0.0370124,0.0264084,0.0218103,0.026732,0.0120421,0.052808,0.120129,0.0330304,0.0156234,0.0142403,0.0272778,0.048516,0.0537953,0,0,0.0702627,0,0.0147034,0.0434553,0.046132,0.0353985,0.0352141,0.0386917,0.0162378,0.043506,0.0461826,0.0317516,0.0415706,0.0288333,0.0244254,0.0249486,0.0307445,0.0204464,0.0379497,0.0317978,0.0164042,0.0421262,0.0440429,0,0,0,0,0,0,0,0,0,0
1,0.031713,0.0232235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539701,0.015869,0.0404518,0,0,0.0206897,0.085261,0.0490907,0.0371066,0.0227239,0.0222499,0.0280769,0.0908399,0.0159245,0.02648,0,0.0377339,0.0267468,0.0228695,0.0278126,0.0126662,0.0581349,0.119594,0.0329543,0.0140648,0.0145216,0.0281945,0.0491189,0.0559749,0,0,0.0596359,0,0.013459,0.0381372,0.0458368,0.0367904,0.0362486,0.0390443,0.0156436,0.0458486,0.0477546,0.0340102,0.0433946,0.0299908,0.0241309,0.0260085,0.0319702,0.017575,0.0331871,0.0347934,0.0136234,0.043003,0.0445931,0,0,0.0332489,0,0,0,0,0,0,0
2,0.0324794,0.0226215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535339,0.0157107,0.0402812,0,0,0.0203069,0.0850733,0.0485351,0.0368616,0.0234681,0.0222993,0.0280715,0.0898511,0.0162274,0.0265771,0.0372083,0.0376246,0.0268507,0.0229761,0.0278963,0.0124288,0.0576111,0.119408,0.0329025,0.0154937,0.0151485,0.0286081,0.0494456,0.0571368,0,0,0.0585458,0,0.0133243,0.037645,0.0464365,0.0373816,0.0363499,0.039448,0.0159498,0.0467571,0.0490962,0.0356726,0.0453184,0.0308514,0.023835,0.0265557,0.0329343,0.0193782,0.0333484,0.0348448,0.0127114,0.0426476,0.0462776,0,0,0,0,0,0,0,0,0,0
3,0.0332915,0.0223947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530705,0.0156046,0.0403767,0,0,0.0201366,0.0849581,0.0491543,0.0372171,0.0231766,0.0222107,0.0275178,0.0894792,0.0162205,0.0263508,0.0378128,0.0376787,0.0267869,0.0226336,0.0278685,0.012598,0.0569927,0.119392,0.0328984,0.0152815,0.0156265,0.028861,0.0495721,0.0577136,0,0,0.057756,0,0.0132727,0.0372987,0.0460031,0.0376517,0.0369937,0.0395751,0.0149416,0.0470922,0.0503258,0.0367366,0.0463913,0.0308482,0.0238069,0.0267219,0.0329002,0.0189414,0.0335489,0.0344083,0.0120031,0.0422479,0.0471745,0,0,0.0334255,0,0,0,0,0,0,0
4,0.0331417,0.0225203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507242,0.0157622,0.0396144,0,0,0.0199242,0.0848276,0.0481912,0.0380987,0.0202426,0.0303186,0.03056,0.0890341,0.0220054,0.0333548,0.0472549,0,0.0316315,0.0234171,0.0303902,0.014241,0.0540078,0.118711,0.0330833,0.015502,0.0160442,0.0309716,0.0523866,0.0579577,0,0,0.0570131,0,0.0128945,0.0369744,0.0448819,0.0399621,0.0357964,0.0426362,0.020436,0.0476871,0.0497176,0.0358224,0.0451711,0.032406,0.0218665,0.0284884,0.0344596,0.0202127,0.0333542,0.0357128,0.0112651,0.0433955,0.0457723,0,0,0,0,0,0,0,0,0,0
5,0.0334222,0.0222608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503934,0.0157309,0.0395682,0,0,0.019967,0.0847954,0.049084,0.0382703,0.0199788,0.029977,0.0300643,0.0892253,0.0219346,0.0330121,0.0478767,0,0.0314581,0.0231084,0.0302154,0.0142772,0.0535003,0.118629,0.0330772,0.014337,0.0162087,0.0310756,0.0524702,0.0578341,0,0,0.0570072,0,0.0125218,0.036928,0.0440095,0.0399521,0.0364856,0.0427815,0.0195144,0.0475107,0.0501437,0.0357399,0.0447228,0.0319641,0.021894,0.0283925,0.0338945,0.0187414,0.0336414,0.0372064,0.0106928,0.0430468,0.0465551,0,0,0.0363078,0,0,0,0,0,0,0
6,0.0333561,0.0220081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501901,0.0157068,0.039558,0,0,0.0199718,0.0847042,0.049386,0.0383806,0.0204093,0.0298364,0.0297572,0.0890066,0.0219778,0.032964,0.0479557,0,0.0314588,0.0230133,0.030201,0.0142998,0.0532578,0.118382,0.0330299,0.013911,0.0166662,0.0310288,0.0524604,0.057477,0,0,0.0569259,0,0.0124185,0.03663,0.0434698,0.0397978,0.0366737,0.0429177,0.019148,0.0472447,0.0501579,0.035528,0.0443153,0.0316357,0.0219012,0.0282232,0.0334836,0.0183034,0.033816,0.0380651,0.0100264,0.0426725,0.0469079,0,0,0.0368438,0,0,0,0,0,0,0
7,0.0312811,0.0218631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503394,0.0108834,0.0397369,0,0,0.034525,0.0757729,0.0491898,0.0385173,0.0209944,0.0302213,0.0289963,0.087344,0.0222125,0.0331927,0.0480823,0,0.0316733,0.0231457,0.0304042,0.0142118,0.0535879,0.114236,0.0344671,0.0132172,0.0173236,0.0310125,0.0527637,0.0560125,0,0,0.0564482,0,0.0122966,0.0362218,0.043447,0.0391212,0.0370427,0.0438851,0.0185708,0.0470105,0.0497647,0.0351722,0.0433323,0.0308791,0.0214902,0.0279415,0.0323076,0.0182151,0.0332976,0.0383379,0.00926974,0.0415175,0.0457335,0,0,0.0363727,0,0.0140434,0.0439018,0,0,0,0
8,0.0332977,0.0221869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509016,0.0161807,0.0397325,0,0,0.0203632,0.0843031,0.0478452,0.0381757,0.0197422,0.0303696,0.0283386,0.0894625,0.0220134,0.0333616,0.0480522,0,0.0316738,0.0234323,0.0304066,0.0139994,0.0545794,0.11792,0.0335443,0.0155791,0.0173236,0.0306474,0.0522031,0.0571757,0,0,0.0573253,0,0.0122131,0.0367622,0.0448517,0.0390802,0.0363133,0.0438144,0.0189451,0.047337,0.0491534,0.0351486,0.0437916,0.031608,0.0214516,0.0279973,0.0333082,0.0213352,0.0343905,0.0386809,0.00935165,0.0424065,0.0478043,0,0,0.0352201,0,0,0.0444235,0,0,0,0
