Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,LFHD,LWRA
All Timesteps RMSE,0.010193,0.00945993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317259,0.0240818,0.0196878,0.0225712,0,0,0.0481843,0.0350305,0.0463745,0.0677873,0.0327798,0.0138231,0.0296895,0.0133053,0.0387526,0.0259862,0.0273393,0.0354158,0.0270123,0.0406104,0.0218637,0.0170932,0.0305934,0.037189,0.0429099,0.0502907,0.0275588,0.0204486,0.0214384,0.0102335,0.0100185,0,0,0.0568642,0,0.0162216,0.0308701,0.0533141,0.0302582,0.0158724,0.0173094,0.0139281,0.0190397,0.0117492,0.0232042,0.0118219,0.0127033,0.0216005,0.0471532,0.0177201,0.0230117,0.0302872,0.0351877,0.0278819,0.0219944,0.00810595,0.00931582,0,0,0,0,0,0.0407901
0,0.00788685,0.00111827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236995,0.0174844,0.00772543,0.0797154,0,0,0.0196679,0.0221934,0.0116353,0.0563972,0.00656196,0.00654528,0.0161811,0.0170208,0.0107591,0.00695796,0.00448033,0.0214118,0.0281541,0.0175589,0.0133891,0.00932749,0.0262779,0.0296207,0.0139291,0.0159152,0.0160637,0.019572,0.0143651,0.0109509,0.00382667,0,0,0.0307532,0,0.0155284,0.0110657,0.058584,0.023615,0.0195478,0.0241918,0.0182677,0.0173088,0.018074,0.0276512,0.0063952,0.0101541,0.025389,0.0465359,0.0155026,0.0224247,0.01234,0.0209295,0.0298668,0.00912394,0.00510097,0.00772075,0,0,0,0,0,0
1,0.00682571,0.000414346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243928,0.0172273,0.00789662,0.0849312,0,0,0.019464,0.0223047,0.0117698,0.0564401,0.0070384,0.00697546,0.0159502,0.0173302,0.0116659,0.00711026,0.00452714,0.0209136,0.0283303,0.0177202,0.0132911,0.00938532,0.0261259,0.030279,0.0141155,0.0158804,0.0162085,0.0194965,0.0140806,0.0108306,0.00302747,0,0,0.030753,0,0.0156379,0.0110586,0.0589659,0.022167,0.0198357,0.0238646,0.0188119,0.0166224,0.0179634,0.027425,0.00693525,0.0110757,0.024333,0.0473228,0.0145279,0.021503,0.011876,0.0205842,0.0299743,0.00918321,0.00516353,0.00794825,0,0,0,0,0,0
2,0.00680117,0.000836012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244102,0.0171284,0.00773665,0.0850673,0,0,0,0.0220256,0.0124164,0.0568421,0.00709575,0.00689729,0.015826,0.0170661,0.012004,0.00731157,0.00460747,0.0199196,0.0283436,0.0175774,0.0130275,0.0090739,0.0261244,0.0301364,0.0151254,0.0161923,0.0165241,0.0195244,0.0134049,0.0102358,0.00276654,0,0,0.0308408,0,0.0155896,0.0111023,0.059076,0.0211593,0.0196015,0.0234781,0.0189249,0.0161771,0.017527,0.0267576,0.00742967,0.0113041,0.0232783,0.0481469,0.0133357,0.0201866,0.0125542,0.0204958,0.030105,0.00924569,0.00518157,0.00818609,0,0,0,0,0,0
3,0.00685691,0.000635833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221193,0.0176452,0.00696732,0.065129,0,0,0.0187031,0.0221722,0.0112136,0.0587367,0.00646989,0.00489015,0.0160533,0.0146607,0.0119186,0.00814985,0.00457679,0.0195077,0.0275346,0.0162817,0.011914,0.00713812,0.027083,0.027591,0.0135964,0.0154889,0.0167955,0.0192258,0.0137867,0.00804435,0.00316525,0,0,0.0316617,0,0.0157808,0.0113257,0.0584058,0.024743,0.018138,0.0228483,0.0168892,0.0163003,0.016425,0.024053,0.00754388,0.0108218,0.0226241,0.0495131,0.0120357,0.0189166,0.0159617,0.0211344,0.0298715,0.00928973,0.00601753,0.00789038,0,0,0,0,0,0
4,0.00719099,0.00154514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189971,0.0184188,0.00689296,0.0165934,0,0,0.0167276,0.0216167,0.0103551,0.0616716,0.00708077,0.00411609,0,0.0105967,0.011762,0.00964323,0.00573181,0.0177239,0.0259088,0.0163915,0.0128376,0.00671367,0.0284052,0.0233207,0.0129051,0.0150709,0.0190051,0.0189384,0.0161173,0.00928959,0.00457117,0,0,0.032645,0,0.0159514,0.011571,0.0575813,0.0290397,0.0174936,0.0235752,0.0135821,0.0164752,0.0164743,0.0221757,0.0075846,0.0111536,0.023743,0.0500334,0.0124602,0.0203085,0.0210144,0.0219185,0.0294751,0.00932689,0.00803488,0.00932648,0,0,0,0,0,0
5,0.00706431,0.00202736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181668,0.0139575,0.00905074,0.00697416,0,0,0.0135468,0.0286609,0.00757686,0.0629469,0.0102497,0.00535808,0.0170172,0.00907191,0.0119362,0.0102873,0.00659333,0.0175622,0.0262545,0.0138854,0.00948843,0.00319005,0.0294859,0.0227795,0.0102919,0.0101093,0.0204935,0.0188198,0.0173273,0.0111026,0.00516607,0,0,0.0331318,0,0.0159943,0.0117277,0.0574139,0.0311737,0.0178655,0.0236933,0.0124121,0.016501,0.0166245,0.0210359,0.00763243,0.0113897,0.0240317,0.0505635,0.0123352,0.0207862,0.0237933,0.0222458,0.0293318,0.00939079,0.00890799,0.0101401,0,0,0,0,0,0.0146659
6,0.00695168,0.00199231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183118,0.0138171,0.00947796,0.00671922,0,0,0.0135878,0.0285466,0.00757647,0.0633108,0.0107216,0.00555046,0.0162451,0.00883013,0.0120378,0.0103522,0.00661953,0.016782,0.0262695,0.013846,0.00927188,0.00302558,0.0296308,0.0231192,0.0102517,0.00995828,0.0216285,0.0188816,0.0182886,0.0115278,0.00519941,0,0,0.0332519,0,0.015927,0.0118244,0.0574822,0.0327265,0.0179903,0.023853,0.0122499,0.0166423,0.0166937,0.0207127,0.00777629,0.01142,0.0241231,0.0510692,0.0119649,0.0210211,0.0255972,0.0223568,0.0294366,0.00948566,0.00880981,0.00944393,0,0,0,0,0,0.0146283
7,0.00686925,0.00188756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185071,0.013852,0.0095831,0.00665211,0,0,0.0138391,0.0285177,0.00759644,0.0633932,0.0108078,0.00541687,0.0151366,0.00881386,0.0120945,0.0102603,0.00664111,0.015974,0.0263498,0.0139598,0.00939348,0.00309268,0.0296283,0.023655,0.0103377,0.00996496,0.022678,0.018967,0.0193362,0.0115095,0.00512276,0,0,0.0332508,0,0.0158319,0.0118553,0.0575903,0.0343762,0.017983,0.0241129,0.0122825,0.0167656,0.0167523,0.0208178,0.00766483,0.0113534,0.0243596,0.0514698,0.0117182,0.0216248,0.0274471,0.0223474,0.0296945,0.00957101,0.00844176,0.00970087,0,0,0,0,0,0.0145532
8,0.00677178,0.00191343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185076,0.0142036,0.00787616,0.00626194,0,0,0.0140392,0.0287213,0.00773753,0.0634941,0.00879062,0.00547414,0,0.00885388,0.0123361,0.0101317,0.00647403,0.0154789,0.0257086,0.0157581,0.0120261,0.00529012,0.0292754,0.0231822,0.0104895,0.0100158,0.023902,0.0190432,0.0205493,0.0114864,0.00515849,0,0,0.0331175,0,0.0157189,0.0118359,0.0577347,0.0360288,0.0179861,0.0243339,0.0123316,0.0169626,0.0168015,0.0211817,0.00731894,0.0111999,0.0247108,0.0518428,0.0116429,0.0223656,0.0297974,0.0222848,0.02974,0.0095653,0.00817861,0.0089414,0,0,0,0,0,0.0144197
