Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x74,x75,x76,x81,LBHD,LEAR,RTHI,RWRB,,x77
All Timesteps RMSE,0.0142757,0.0116021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286073,0.0214664,0.0191079,0.0167034,0.0630214,0,0.0277712,0.0387635,0.0624605,0.03038,0.013711,0.0240631,0.0277485,0.037352,0.0183487,0.0212891,0.0308759,0.0251504,0.0201812,0.0189655,0.0149632,0.0309294,0.0349957,0.0290669,0.0412283,0.0250321,0.0228346,0.0191656,0.0211554,0.0114172,0.0135485,0,0,0.0600029,0,0.0149517,0.0343404,0.0544705,0.0301152,0.0171753,0.017809,0.0151826,0.025437,0.022183,0.0143707,0.0151809,0.0226405,0.0485738,0.0192313,0.0238344,0.0282745,0.0381653,0.0236369,0.0116767,0.0115714,0,0,0,0,0,0,0.011974,0.0243099,0,0
0,0.0125753,0.00902932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250238,0.0135791,0.0108179,0.00662297,0.0181967,0,0.0303794,0.00552044,0.05943,0.0210978,0.00933403,0.0236295,0.0065614,0.0095328,0.00981619,0.015708,0.0210657,0.0218399,0.0179211,0.0232233,0.0091306,0.0293696,0.0370746,0.0188922,0.0137339,0.00881898,0.0172272,0.0196485,0.0116801,0.00746174,0.0163669,0,0,0.081948,0,0.021191,0.042309,0.0579451,0.0296668,0.0166986,0.00987975,0.00414175,0.0108169,0.0226385,0.0106666,0.0179701,0.00714291,0.0416787,0.00408349,0.0135408,0.03016,0.0475458,0.0410687,0.0101719,0.00765629,0,0,0,0,0,0,0,0,0,0
1,0.0111209,0.00794093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236014,0.0137149,0.00742112,0.00644182,0.0174472,0,0.0305781,0.00529052,0.0596564,0.0196133,0.00994934,0.0234195,0.00682628,0.00936384,0.0105404,0.0161221,0.0209899,0.0215111,0.0173325,0.0221967,0.00720231,0.0298135,0.0345725,0.0181714,0.0137821,0.00883328,0.0163494,0.0195936,0.01105,0.0070202,0.0170876,0,0,0.0813152,0,0.0209593,0.0420933,0.0579285,0.0275701,0.0165126,0.00975724,0.00466047,0.00995306,0.0222525,0.0108346,0.0182239,0.00704748,0.0411366,0.00451143,0.0122654,0.0285722,0.0474032,0.0420604,0.00894848,0.00710134,0,0,0,0,0,0,0,0,0,0
2,0.0105306,0.00765073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229245,0.01398,0.00505888,0.00643641,0.0169401,0,0.0304592,0.00499979,0.0594853,0.0188895,0.00994598,0.0232573,0.00680823,0.00919155,0.0106275,0.0161078,0.0208018,0.0210299,0.0167192,0.0212926,0.00565298,0.0303791,0.0322709,0.0177448,0.0138052,0.00872054,0.0160901,0.0195382,0.0107914,0.00687565,0.0178463,0,0,0.081117,0,0.0208303,0.042268,0.0575894,0.0257033,0.0164396,0.00959601,0.00475402,0.0095976,0.021639,0.0107005,0.0183889,0.00736608,0.0404917,0.00521525,0.0116068,0.0280023,0.0476813,0.0431595,0.00840582,0.00718733,0,0,0,0,0,0,0.00513929,0,0,0
3,0.0102045,0.00747389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227441,0.0142964,0.00423818,0.00618822,0.0164837,0,0.0303049,0.00472193,0.0593483,0.0186938,0.00998579,0.0232012,0.00673194,0.00904799,0.0105677,0.0161216,0.0207285,0.0205622,0.0161152,0.0206033,0.00441452,0.0309267,0.0303014,0.0173967,0.0138626,0.00862863,0.0159232,0.0194863,0.0105018,0.00655446,0.0185593,0,0,0.0812432,0,0.0208445,0.0427364,0.0570577,0.0236759,0.0163363,0.00935789,0.00475815,0.00947882,0.0210385,0.0104039,0.0185692,0.00771434,0.0397943,0.0059065,0.0110847,0.0273737,0.0482293,0.0443428,0.00798237,0.00745833,0,0,0,0,0,0,0.00430819,0,0,0
4,0.0100441,0.00732162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227777,0.0146038,0.00476799,0.00582353,0.0159773,0,0.0301896,0.0044504,0.0593076,0.0188189,0.010082,0.0231761,0.00671623,0.00885516,0.0107268,0.0161884,0.0208031,0.0202216,0.015607,0.0201767,0.00336002,0.0313856,0.0286449,0.0170378,0.0139569,0.00854877,0.0160573,0.0194341,0.010513,0.00610142,0.0191304,0,0,0.0818544,0,0.0210237,0.0433853,0.0566313,0.0218292,0.0163378,0.00904181,0.00474844,0.0093977,0.0204583,0.0101499,0.0185347,0.00829642,0.039051,0.00670999,0.0108598,0.0265884,0.0488251,0.0456659,0.00764593,0.00765911,0,0,0,0,0,0,0.00417921,0,0,0
5,0.009701,0.00722496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227772,0.0148382,0.00564213,0.00551428,0.0153832,0,0.0300792,0.00415098,0.059363,0.0190559,0.0101799,0.023183,0.00679683,0.0085653,0.0106157,0.0161903,0.0207231,0.0199823,0.0152789,0.0198411,0.00322599,0.031704,0.0273135,0.01657,0.0140117,0.00849969,0.0163861,0.0194007,0.010937,0.00566541,0.019553,0,0,0.0827927,0,0.0214077,0.044148,0.0563777,0.0203781,0.0162533,0.00851718,0.00482791,0.00935626,0.0198866,0.00986535,0.0182906,0.00918191,0.0381811,0.00767393,0.0109822,0.0261178,0.0493765,0.0470751,0.00745698,0.00783016,0,0,0,0,0,0,0.00415957,0,0,0
6,0.00910557,0.00719778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225979,0.0149957,0.00632137,0.00509998,0.0147271,0,0.0299776,0.00387856,0.0595448,0.0193584,0.0104268,0.0231945,0.00693935,0.00820819,0.0104575,0.0161362,0.0205617,0.0199095,0.0151616,0.0194541,0.00328683,0.0318675,0.0261592,0.0160327,0.0140543,0.00847947,0.0168495,0.0193476,0.0117667,0.0054906,0.0199678,0,0,0.0839419,0,0.0220262,0.0449757,0.0564246,0.0192345,0.0161004,0.00780678,0.00494369,0.0094089,0.0194257,0.00959569,0.0184052,0.0102565,0.0371957,0.00878541,0.0113934,0.0258212,0.0502257,0.0484888,0.00748362,0.00795432,0,0,0,0,0,0,0.0040028,0,0,0
7,0.00829426,0.0072305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222745,0.0151051,0.00682569,0.00471542,0.0140668,0,0.0299038,0.00363723,0.0597812,0.0196907,0.0107431,0.0231515,0.00708708,0.0078466,0.01031,0.0159996,0.0204351,0.0198288,0.0151455,0.0190507,0.0032608,0.0319062,0.0250387,0.0154398,0.0141108,0.00847546,0.0174718,0.019393,0.0126709,0.0054407,0.0204591,0,0,0.0849148,0,0.0227555,0.0457841,0.0563999,0.0183615,0.0159745,0.00785887,0.0050224,0.00956671,0.019052,0.00939513,0.0190123,0.0113297,0.0361864,0.00992865,0.0119472,0.025155,0.0511271,0.0498011,0.00771812,0.00802226,0,0,0,0,0,0,0.00382687,0,0,0
8,0.0078521,0.00734203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217657,0.0152043,0.00713813,0.00438468,0.0134671,0,0.029827,0.00342048,0.0600549,0.0201058,0.0110339,0.0230578,0.00726642,0.00759363,0.0101484,0.0158346,0.0203696,0.0196931,0.0151373,0.0186593,0.003167,0.0319196,0.0237875,0.0148241,0.0141554,0.00849399,0.0182,0.0195007,0.0136188,0.00527051,0.021016,0,0,0.085708,0,0.0234527,0.0465293,0.0562291,0.0178146,0.0158795,0.00794363,0.00513093,0.00983865,0.018486,0.00930284,0.0189587,0.0122893,0.0352162,0.0110106,0.0125518,0.0244798,0.0519108,0.0511049,0.00784834,0.00807557,0,0,0,0,0,0,0.00351801,0,0,0
9,0.00766157,0.00750752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211006,0.0152715,0.00732916,0.00411827,0.0127706,0,0.0297456,0.00324961,0.0603457,0.0207513,0.0113031,0.0229727,0.00750243,0.00739802,0.0100108,0.0156844,0.0203801,0.0195094,0.0151202,0.0181635,0.00304586,0.0319561,0.0221913,0.0141009,0.0141912,0.0085274,0.0187942,0.0195953,0.0146084,0.00506616,0.0216911,0,0,0.086406,0,0.0240851,0.0472265,0.0560179,0.0174778,0.0157952,0.00802498,0.00521235,0.0102135,0.0179314,0.00931786,0.0179205,0.0134168,0.0342313,0.0122231,0.0133354,0.0241038,0.0525809,0.0522048,0.007981,0.00810465,0,0,0,0,0,0,0.00326563,0,0,0
10,0.00752195,0.0076587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205242,0.0153344,0.0073907,0.00384855,0.01205,0,0.0296287,0.0031123,0.0605658,0.0215678,0.0116177,0.0229109,0.00766942,0.00727703,0.00988987,0.0155534,0.0204127,0.0196034,0.0151017,0.0177314,0.00275816,0.0319343,0.0204615,0.0133756,0.0142154,0.0085458,0.0198092,0.0196495,0.01558,0.00489812,0.0224015,0,0,0.0870406,0,0.0245907,0.0478926,0.0556907,0.0172189,0.0156414,0.00815192,0.00527878,0.0106468,0.0173888,0.00947161,0.0174094,0.0144788,0.0332387,0.0133133,0.014157,0.0233271,0.0530845,0.052994,0.00816518,0.00813326,0,0,0,0,0,0,0.00318021,0,0,0
11,0.00739679,0.00786338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201522,0.0154083,0.00751378,0.00358133,0.0113927,0,0.0295179,0.00307135,0.0607393,0.0224434,0.0118809,0.0227682,0.00789313,0.00726039,0.00982583,0.0153999,0.0203381,0.0199262,0.0150811,0.017259,0.00232662,0.0319338,0.0189492,0.0127929,0.0142611,0.00855942,0.0208497,0.0196022,0.0166282,0.00480393,0.0230592,0,0,0.087744,0,0.0249902,0.0486101,0.0553007,0.0173187,0.0155236,0.00844842,0.00536134,0.011089,0.0168814,0.00977219,0.0173306,0.0156104,0.03221,0.0144372,0.0151434,0.0223929,0.0535628,0.053495,0.00837308,0.00814454,0,0,0,0,0,0,0.0031092,0,0,0
12,0.00735103,0.00810354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198149,0.0155217,0.00773263,0.00323311,0.010703,0,0.0293753,0.00306419,0.0609248,0.023265,0.0120999,0.0225443,0.00809779,0.00738648,0.00988438,0.0152255,0.0201425,0.0203627,0.015095,0.016797,0.00227648,0.0319324,0.017654,0.0122949,0.0143348,0.0085578,0.0218376,0.0194224,0.0177217,0.00505444,0.0237887,0,0,0.0885227,0,0.02532,0.0493945,0.0550546,0.0177644,0.0154378,0.00900762,0.00557648,0.0114919,0.0164323,0.010042,0.01722,0.0169971,0.0312494,0.0157029,0.016446,0.0211244,0.054121,0.0537546,0.00854006,0.00813418,0,0,0,0,0,0,0.00290455,0,0,0
13,0.00738637,0.0084079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197981,0.0156408,0.00836471,0.00291401,0.00998381,0,0.0291944,0.00311847,0.0610655,0.024128,0.0122926,0.0221605,0.00824121,0.00760377,0.00995712,0.0149604,0.0201071,0.0206058,0.0149505,0.0162794,0.00192549,0.0319783,0.016799,0.0118327,0.0143866,0.00853942,0.0228345,0.0191488,0.0186016,0.00529967,0.0246784,0,0,0.0895421,0,0.025625,0.0501774,0.0548091,0.0181053,0.0153945,0.00931005,0.00569775,0.0118298,0.0160685,0.0103313,0.0170889,0.0182843,0.030157,0.0168933,0.0176058,0.0192714,0.0547982,0.0537628,0.00867377,0.00819871,0,0,0,0,0,0,0.00350227,0,0,0
14,0.00743049,0.00869374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199372,0.0158066,0.00917143,0.00259756,0.00931743,0,0.0289882,0.00322157,0.0611896,0.0249068,0.0124723,0.0217991,0.00831799,0.0078519,0.0100301,0.0146316,0.0200809,0.0207333,0.0147129,0.0157797,0.00148631,0.032053,0.0162812,0.0114677,0.0144415,0.00854111,0.0230576,0.0188704,0.0191806,0.00541065,0.0254815,0,0,0.0906744,0,0.0259797,0.0509957,0.0545157,0.018381,0.0153415,0.00956307,0.00574668,0.0121367,0.0156592,0.0108086,0.0170775,0.0195379,0.0291128,0.0180144,0.0187642,0.017002,0.0554558,0.053544,0.00874978,0.00835537,0,0,0,0,0,0,0.00572394,0,0,0
15,0.00741969,0.00857171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019885,0.0159518,0.00973183,0.00228007,0.00864582,0,0.0287978,0.00342818,0.0612978,0.0254854,0.0126251,0.0216662,0.00850997,0.00810884,0.0101229,0.0143523,0.0199466,0.0209486,0.0144169,0.015445,0.00158548,0.0321047,0.0160056,0.0110823,0.0144947,0.00856233,0.022193,0.0187353,0.019336,0.00546917,0.0261429,0,0,0.0916894,0,0.0264806,0.0517845,0.0542734,0.0184773,0.0152444,0.00991733,0.00567979,0.0123361,0.0152616,0.0112586,0.0170618,0.0206659,0.028307,0.0191391,0.0200698,0.0147168,0.0560947,0.0532343,0.00887544,0.00854751,0,0,0,0,0,0,0.00412491,0,0,0
16,0.0069768,0.00819057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194056,0.0165018,0.0103723,0.00157568,0.00667948,0,0.0281569,0.00378024,0.0612428,0.0265393,0.0127345,0.0213029,0.00840555,0.00909564,0.00990336,0.0133101,0.0192743,0.0208872,0.0136857,0.0147753,0.00193829,0.0325767,0.0153209,0.00987122,0.0146751,0.0083717,0.0260888,0.0185772,0.0244182,0.00672231,0.0279854,0,0,0.0926902,0,0.0268595,0.0524223,0.0529761,0.0254308,0.0160464,0.0166872,0.00555548,0.0127181,0.0163855,0.0135589,0.0178865,0.0269829,0.0281878,0.0251998,0.0274475,0.0188972,0.0566405,0.0528622,0.00915871,0.00989303,0,0,0,0,0,0,0.00388402,0,0,0
17,0.00698318,0.0080262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192564,0.0167617,0.0110026,0.00229253,0.00590126,0,0.0279056,0.00422715,0.0615879,0.0234207,0.0128751,0.0132064,0.00662045,0.00964569,0.00977142,0.0131153,0.0239351,0,0.0108335,0.0127481,0.00815533,0.0330905,0.015947,0.00957045,0.0148075,0.00840453,0.0231405,0.0184668,0.0239933,0.00604827,0.0283974,0,0,0.0937,0,0.027253,0.0529568,0.0513683,0.0241416,0.0155501,0.0161233,0.00582784,0.0126513,0.0164041,0.0142779,0.0190094,0.0270897,0.0274286,0.0258412,0.0273041,0.0143398,0.0573608,0.0523812,0.00892485,0.00990603,0,0,0,0,0,0,0.003918,0,0,0
18,0.00693188,0.0081161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187812,0.0167853,0.00979503,0.00150605,0.00599201,0,0.0278801,0.00439328,0.0613166,0.0245298,0.0128446,0.0211878,0.00811839,0.00987256,0.0101072,0.0130368,0.0191791,0.0211057,0.013557,0.0147738,0.00163887,0.0320443,0.0147096,0.00982446,0.0148731,0.00849848,0.0214278,0.0183928,0.0242478,0.00727085,0.0290206,0,0,0.0948271,0,0.0276169,0.0534627,0.0524835,0.0236799,0.0159255,0.0163793,0.0052424,0.013024,0.0163576,0.0143409,0.018316,0.0280553,0.026932,0.0265762,0.0281263,0.0113696,0.0582548,0.0518906,0.00910348,0.0101912,0,0,0,0,0,0,0.00489847,0,0,0
19,0.00670859,0.0080994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018377,0.0169239,0.00982215,0.00156536,0.00586083,0,0.0277726,0.00467893,0.0612931,0.0242097,0.0127979,0.0208267,0.00777708,0.0100817,0.0101432,0.0128173,0.0192077,0.0212817,0.0134731,0.0145842,0.00173173,0.0317251,0.0143063,0.00992086,0.0149617,0.00855807,0.0192553,0.0183373,0.0240156,0.0074452,0.0294053,0,0,0.0956522,0,0.0278442,0.0539236,0.052279,0.0226864,0.0157758,0.015919,0.00505785,0.01331,0.0164723,0.0145779,0.0183094,0.0283844,0.0263209,0.0269691,0.0283863,0.00767916,0.058895,0.0515021,0.00901558,0.0102858,0,0,0,0,0,0,0.00575632,0,0,0
20,0.00626612,0.0080976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180809,0.017052,0.00997643,0.00162839,0.00576167,0,0.0276678,0.0049539,0.0611314,0.0240179,0.0127384,0.0203972,0.00742334,0.0102328,0.0100489,0.0125357,0.0192338,0.021459,0.0133199,0.0142652,0.00199747,0.0314481,0.0139685,0.00998736,0.0150748,0.00859585,0.0177392,0.0181841,0.0241047,0.00777789,0.0297582,0,0,0.096258,0,0.0278364,0.0541298,0.0519806,0.0216784,0.0156102,0.0160681,0.00529662,0.0137246,0.0172271,0.0152189,0.0183987,0.0289428,0.0260167,0.0277551,0.0288524,0.00795455,0.0593495,0.0509976,0.00896409,0.0104458,0,0,0,0,0,0,0.00782413,0,0,0
21,0.00637969,0.00821632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175991,0.0171055,0.0099701,0.00169854,0.00589501,0,0.027621,0.00512498,0.0610566,0.0236908,0.0126905,0.0201695,0.00722024,0.0102521,0.00995726,0.0123512,0.0192853,0.0216991,0.0133095,0.0140409,0.00209149,0.0311379,0.0134907,0.0101185,0.0151658,0.00866986,0.0167252,0.018086,0.0244602,0.00802877,0.0301126,0,0,0.0966954,0,0.0277941,0.0541647,0.0517221,0.0205753,0.0156422,0.0160701,0.00547956,0.014033,0.0179127,0.0156201,0.0184102,0.0294651,0.0255432,0.0284272,0.029167,0.0102849,0.0596675,0.0503368,0.00897503,0.0105275,0,0,0,0,0,0,0.00949224,0,0,0
