Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10393,0,577.601074,-663.863281,1628.078735,658.836243,-664.243103,1622.442749,560.866821,-839.858521,1579.916504,680.127747,-836.772522,1578.288452,548.731140,-722.670044,1478.678223,688.451660,-718.244263,1479.206665,617.626282,-857.603577,1449.407837,605.452576,-915.466187,1220.125732,615.398682,-706.460205,1349.717651,597.454834,-648.719910,1216.999512,744.500916,-906.785767,1316.396484,405.035309,-784.654053,1393.135864,358.137878,-808.025574,1222.232666,354.685516,-827.341858,1102.647827,,,,345.810120,-752.750916,990.887451,,,,350.545105,-733.843079,878.500183,389.660370,-642.709229,789.388367,349.494446,-711.387451,816.808289,838.424133,-774.825195,1374.703491,880.218689,-783.129150,1208.778076,894.424622,-808.991821,1092.414795,,,,899.205383,-721.353455,988.362366,836.527588,-643.283691,902.592957,886.318237,-686.753662,870.202148,848.755249,-584.034912,801.574524,887.041687,-656.868286,814.900024,506.758942,-702.593750,913.087463,732.167908,-680.734436,930.843506,566.576477,-916.433594,912.439880,691.001831,-912.598572,922.495544,454.847839,-774.933350,916.118347,795.425171,-745.065247,936.606567,433.707550,-755.023499,828.056213,434.248962,-727.660828,668.062378,442.158112,-673.393250,602.962952,446.958038,-741.749939,551.726013,449.677551,-796.859070,614.819397,445.501556,-716.734863,457.231934,,,,446.699982,-829.608948,398.586365,453.412598,-838.622437,334.459564,469.974243,-924.477051,352.339447,473.427979,-913.307190,410.932129,497.561066,-1038.963379,241.381622,,,,547.500854,-1106.991089,286.378784,570.065002,-992.961060,66.216011,809.543335,-707.529297,833.003967,499.369965,-1030.510254,102.947937,792.327820,-717.241882,692.420410,757.982300,-641.136414,659.399963,752.040466,-679.222839,582.143494,781.355591,-757.909485,618.386169,738.741272,-707.760315,454.826874,,,,730.871155,-771.394165,349.030121,737.556335,-693.286316,299.169373,725.154114,-727.676025,253.088806,707.191406,-800.335144,302.493225,678.034180,-738.017334,80.650154,,,,622.985168,-795.890747,37.856945,656.021240,-542.221130,41.519814,710.786926,-601.749512,41.720570
10394,0,577.541382,-654.956787,1628.822144,658.616821,-655.235596,1623.200928,561.175415,-831.183533,1581.046387,680.444885,-827.818665,1579.390259,548.662231,-714.281921,1479.630493,688.498596,-709.345764,1480.165405,617.960510,-848.957397,1450.499146,605.910950,-907.093323,1221.199707,615.345703,-697.958740,1350.706787,597.102295,-640.309753,1218.121582,745.120911,-897.840698,1317.490845,405.127167,-777.133789,1394.192505,357.995972,-801.922607,1223.565796,354.608032,-821.425415,1104.053223,,,,345.043182,-747.585205,991.972229,408.330475,-691.480286,896.850281,349.641174,-729.244507,879.517395,387.577301,-637.963562,790.116577,348.448090,-706.521362,817.566284,838.407593,-765.377258,1375.859253,880.414429,-772.026794,1210.024292,895.315552,-796.569763,1093.463135,,,,899.420471,-707.937988,990.209717,836.109497,-629.836914,904.661194,886.692566,-672.473389,872.308289,848.282593,-569.481750,804.178406,887.341736,-642.060791,817.258911,507.321289,-694.093628,915.067444,732.881409,-671.691040,931.309143,566.650452,-907.852600,913.962036,691.110474,-904.314087,923.736450,455.263977,-766.022705,917.873230,795.953308,-737.044983,936.941650,433.931671,-745.451721,830.170349,433.869873,-713.532959,670.701050,441.646606,-657.667114,606.994141,446.236969,-724.688660,554.089478,449.220642,-781.375244,615.803162,444.480621,-697.677429,460.493347,,,,445.896667,-810.355530,401.896118,452.506836,-819.164795,337.634460,469.404633,-905.022034,355.515198,472.932800,-893.973389,414.153778,497.014740,-1018.367065,244.272644,,,,548.097473,-1087.811279,287.152557,563.777222,-968.537537,68.838593,810.183716,-700.031982,833.256897,494.579773,-1007.292847,107.251526,792.543701,-711.682251,692.564575,758.554565,-636.076904,658.755554,752.193970,-675.023743,581.691956,781.349792,-753.185242,618.975708,738.952759,-705.085449,454.665497,,,,730.398804,-769.829773,349.550476,737.784546,-692.212463,298.990906,725.147095,-727.039429,253.271545,706.511169,-798.558289,302.770996,677.852356,-738.005371,80.732079,,,,622.985046,-795.891113,37.856480,656.030945,-542.222351,41.500061,710.749390,-601.712219,41.673389
10395,0,577.464417,-646.383850,1629.693237,658.499390,-646.305054,1623.983887,561.372192,-822.614624,1582.191895,680.612305,-818.754150,1580.528931,548.609924,-705.800537,1480.494385,688.488831,-700.557373,1481.043579,618.256287,-840.309692,1451.544800,606.278503,-898.691528,1222.236816,615.223206,-689.734192,1351.745850,596.942322,-632.358093,1218.935181,745.706787,-888.980164,1318.570190,405.188904,-769.437744,1395.311768,357.906616,-795.553711,1224.871948,354.544861,-815.676880,1105.544556,,,,344.308746,-742.467590,993.125549,406.946747,-686.280640,898.032959,348.722351,-724.544556,880.560181,386.164154,-632.509338,790.662048,347.213531,-701.967590,818.601807,838.357300,-756.342041,1377.164551,880.468140,-760.938904,1211.186279,896.061218,-784.328918,1094.628784,,,,899.563049,-694.206604,992.085754,835.901917,-616.280823,906.888611,887.010498,-658.080750,874.487061,847.707764,-555.257263,806.949463,887.705872,-627.303040,819.633362,508.162628,-685.727173,916.848328,733.758667,-664.719116,931.313538,566.528076,-899.268982,915.492065,691.014771,-896.142090,924.856995,455.640808,-757.266235,919.697266,796.424927,-728.938110,937.154602,434.267090,-735.605957,832.277893,433.588104,-699.360779,673.433716,441.465973,-642.053223,611.104004,445.534973,-708.142944,556.735962,448.609680,-766.065063,617.094543,443.742340,-679.043152,464.002289,,,,445.160583,-791.144409,404.940308,451.725403,-799.535767,340.634491,468.945648,-885.354919,357.776703,472.435822,-874.922913,416.580719,495.880951,-998.474854,246.616272,,,,548.686035,-1067.972046,286.381927,558.437561,-944.245972,71.115860,810.533264,-693.468262,833.124207,490.014557,-983.408630,110.318451,792.682678,-706.231567,692.609619,758.897766,-630.704590,657.662964,752.341064,-670.750000,581.340637,781.195068,-748.648560,619.588013,738.905457,-702.822327,454.591919,,,,730.041565,-768.258484,350.049316,738.030090,-691.186035,298.916443,725.689148,-726.163696,253.403244,706.136963,-797.331482,303.564178,677.735474,-737.968323,80.849915,,,,622.989868,-795.891296,37.916698,656.167175,-542.019653,41.504543,710.744263,-601.712524,41.630177
10396,0,577.096313,-637.460083,1630.192871,658.246155,-637.269104,1624.919922,561.539124,-813.836426,1583.473633,680.739197,-809.694397,1581.639282,548.443726,-697.517456,1481.298950,688.442566,-691.801025,1481.852417,618.522644,-831.753296,1452.528198,606.604126,-890.284607,1223.255371,614.962646,-680.968994,1352.831543,596.783508,-624.177490,1220.051392,746.250854,-880.237671,1319.634277,405.296234,-761.693237,1396.339478,357.806946,-789.315613,1226.271118,354.373993,-809.956726,1106.962891,,,,343.544800,-737.157349,994.381592,,,,347.794647,-719.570801,881.613647,383.772644,-628.224854,791.697388,346.055023,-697.031311,819.584595,838.394348,-747.135132,1378.346924,880.486267,-749.897034,1212.367676,896.470032,-772.002258,1095.772827,,,,899.511963,-681.007568,994.037720,835.843201,-602.450989,908.856384,887.325256,-643.783020,876.715637,847.257263,-540.863708,809.739380,888.046021,-612.535583,822.140137,509.050140,-677.153809,918.522461,734.731079,-656.799927,931.193726,566.218994,-890.767944,916.836914,690.750183,-888.071472,925.775024,455.997925,-748.381287,921.667847,796.743896,-720.908875,937.216675,434.529816,-725.678101,834.514343,433.302307,-685.361023,676.412842,441.583069,-626.125977,615.378235,445.050812,-691.544434,559.497253,447.850739,-750.867249,618.557495,443.313232,-660.478577,467.676147,,,,444.880768,-771.822021,407.353912,451.098114,-779.617432,343.055634,468.371674,-865.471680,359.146454,471.940735,-856.165405,418.259430,495.450226,-976.760315,246.688354,,,,549.293396,-1047.654541,284.025604,553.110474,-918.830200,71.813690,810.557678,-687.307678,832.662415,485.621887,-958.605530,112.136330,792.829041,-701.016235,692.595154,759.533020,-625.686279,656.769714,752.644104,-666.728699,580.881714,780.951355,-744.271912,620.152283,738.948181,-700.340576,454.494598,,,,729.688721,-766.095337,350.336304,738.242188,-689.931702,298.842682,725.699585,-725.125793,253.566025,705.836914,-795.858948,304.226929,677.625061,-737.954956,80.959084,,,,622.998291,-795.879700,37.950382,656.107300,-542.164856,41.417301,710.748230,-601.703918,41.625626
10397,0,,,,657.902588,-628.330994,1625.510010,561.583557,-805.064514,1584.496948,680.972046,-801.008789,1582.855835,548.445496,-688.994446,1482.023682,688.264893,-683.176392,1482.571045,618.706055,-823.357666,1453.412964,606.828125,-881.867065,1224.187988,614.845581,-672.997803,1353.593994,596.702271,-615.782593,1220.952637,746.744812,-871.588013,1320.635498,405.357208,-753.798340,1397.304688,357.712830,-782.783081,1227.484863,354.214081,-804.113708,1108.456909,,,,342.841095,-731.584473,995.462219,404.248108,-675.182861,900.016846,346.852264,-714.635376,882.703857,382.182556,-622.419373,792.601196,344.739044,-692.502747,820.720703,838.363281,-738.096863,1379.543823,880.479858,-738.838318,1213.343262,896.425537,-759.270508,1096.596313,,,,899.412048,-667.724426,995.986877,835.190430,-589.542297,911.234985,887.522522,-629.554626,879.000916,846.978394,-526.292114,812.549927,888.320557,-597.728027,824.658020,509.961304,-668.749146,919.994263,735.779663,-648.716064,931.067993,565.744934,-882.359741,918.002686,690.330139,-880.047058,926.441040,456.352539,-739.554749,923.571350,797.388123,-713.413330,937.333252,434.607910,-715.942749,836.882263,433.315216,-671.439392,679.480408,442.038116,-611.356262,619.854187,444.812927,-674.999939,562.354431,446.949982,-735.843567,620.212402,443.218140,-641.953186,471.286255,,,,444.499756,-752.819458,409.363953,450.560425,-759.687744,345.047546,467.929688,-845.897339,359.713287,471.710358,-837.139160,418.848450,494.602509,-955.258789,245.868973,,,,549.393494,-1027.546509,280.264252,548.322693,-892.283325,71.801941,810.925293,-681.307983,832.373169,481.745880,-932.695618,112.785934,792.900391,-695.835693,692.493958,759.949341,-620.677307,655.619141,752.787659,-662.730103,580.464417,780.693237,-740.113281,620.752319,739.048645,-697.861511,454.439911,,,,729.662048,-764.278625,350.768646,738.339294,-688.477051,298.667114,725.800964,-723.901367,253.785767,705.704712,-794.339417,304.925598,677.507812,-737.888489,81.044518,,,,622.995483,-795.873108,37.998566,656.156982,-542.020447,41.471291,710.777710,-601.703308,41.566452
10398,0,576.361633,-619.719666,1631.089233,657.540649,-619.271240,1625.900757,561.581726,-796.440796,1585.514160,680.817688,-791.980591,1583.866699,548.228271,-680.774719,1482.523682,688.316589,-674.870972,1483.398560,618.842346,-814.948059,1454.183472,607.027527,-873.521667,1225.052979,614.745850,-665.045654,1354.311401,596.676270,-607.722107,1221.894165,747.206482,-862.928650,1321.566284,405.423889,-745.904297,1398.211426,357.600830,-776.150696,1228.696411,353.950836,-798.220703,1109.778687,,,,341.840088,-726.258972,996.639465,402.802734,-669.465454,901.029053,346.036957,-709.392151,883.725891,380.156708,-617.267212,793.654907,343.710938,-687.416931,821.685791,838.206787,-729.256958,1380.768799,880.376099,-728.209412,1214.474976,896.700317,-747.431824,1097.622925,,,,899.183594,-654.625305,997.872314,834.697754,-575.934143,913.587891,887.577454,-615.318542,881.186829,846.553833,-511.973907,815.533264,888.519470,-583.029358,827.203186,510.886505,-660.611084,921.888428,736.749084,-640.788513,930.809265,565.151367,-873.983215,918.904480,689.813293,-872.248230,926.964661,456.622437,-730.823181,925.482544,797.883362,-706.028503,937.216431,434.627502,-706.135742,839.265869,433.306213,-657.803467,682.638733,442.586365,-596.328247,624.431091,444.976074,-658.434814,565.653076,445.860687,-721.015198,621.957825,443.351349,-624.105225,474.961609,,,,444.593781,-733.713745,410.801849,450.837860,-738.883423,346.052277,467.528717,-826.127014,359.383026,471.316559,-818.900757,418.782898,493.775391,-933.148987,243.697357,,,,549.328613,-1006.849182,275.002014,543.961609,-864.564514,71.122917,811.330505,-675.302429,832.142090,478.185669,-905.966248,112.491478,792.929138,-690.797363,692.376526,760.634644,-615.876038,654.898438,752.961426,-658.850708,580.058594,780.329407,-735.834290,621.228149,739.043701,-695.264343,454.341400,,,,729.766724,-762.419373,351.159241,738.440063,-686.957886,298.545013,725.963379,-722.617554,254.033981,705.782104,-792.782227,305.578247,677.384460,-737.829712,81.191345,,,,622.944397,-795.848267,38.001583,656.339111,-541.989197,41.701065,710.795959,-601.710999,41.528656
10399,0,575.893982,-610.889526,1631.328735,657.179260,-610.413391,1626.010742,561.526794,-787.807495,1586.416992,680.754639,-783.069458,1584.809326,547.966858,-672.551208,1483.121948,687.792053,-666.271423,1483.781738,618.953186,-806.544250,1454.860596,607.153198,-865.124878,1225.843384,614.507568,-656.259644,1355.057007,596.633850,-599.426514,1222.628906,747.588318,-854.292542,1322.409546,405.397980,-737.969604,1398.888550,357.392517,-769.438354,1229.745605,353.594666,-792.191772,1111.015869,,,,341.026031,-720.689514,997.658813,401.432495,-663.507812,902.039856,345.282166,-703.987244,884.664673,378.159302,-611.856750,794.419861,342.746460,-682.158691,822.609070,838.122375,-720.194458,1381.729492,880.336731,-717.612000,1215.451172,896.672485,-735.422852,1098.493774,,,,898.967957,-641.607971,999.688232,834.567993,-562.132141,915.640442,887.547058,-601.209534,883.445312,846.160828,-497.508514,818.549438,888.598389,-568.362122,829.832520,511.745270,-651.885132,923.563721,737.948547,-632.734802,930.817688,564.494141,-865.671143,919.663757,689.151184,-864.432312,927.272522,456.905121,-721.976379,927.370972,798.410217,-699.278320,937.354187,434.632751,-696.248413,841.789307,433.399780,-644.458740,685.880676,443.369263,-582.085632,629.050781,444.689209,-643.011658,569.046204,444.471405,-706.738220,623.788330,443.764008,-606.802063,478.553925,,,,444.516205,-715.429016,412.137085,450.351166,-719.579834,347.694702,467.214996,-806.354736,358.232269,471.386810,-800.232910,417.710205,492.789154,-911.193970,240.788803,,,,548.806152,-985.787231,268.016296,540.291199,-835.651001,70.101540,811.738892,-669.062500,831.794617,475.027100,-878.196838,111.196022,793.003601,-685.847961,692.328308,760.815430,-610.903015,653.994324,752.858643,-655.368469,579.542297,780.040100,-731.556580,621.648743,739.045471,-692.759277,454.289154,,,,729.849976,-760.624207,351.620117,738.514526,-685.709900,298.505768,725.674194,-721.575439,253.866669,705.666260,-791.179871,306.206299,677.337891,-737.777344,81.346283,,,,622.800415,-795.753540,37.880863,656.228455,-542.157410,41.304424,710.788696,-601.710571,41.452785
10400,0,575.610779,-602.255676,1631.621094,656.610840,-601.312744,1626.214722,561.403259,-779.026794,1587.185913,680.615051,-774.244751,1585.742188,547.791870,-664.123230,1483.477783,687.601196,-657.738342,1484.235840,619.049072,-798.168457,1455.544312,607.313782,-856.801086,1226.564575,614.321411,-648.149658,1355.870605,596.588501,-591.137390,1223.177979,748.001404,-845.688843,1323.165527,405.431793,-729.991333,1399.460815,357.117584,-762.779602,1230.763672,353.185608,-786.198059,1112.223755,,,,340.148163,-714.929504,998.535034,400.161102,-657.313171,902.950562,344.462128,-698.319092,885.436340,376.606049,-606.054443,795.200867,342.007874,-676.260437,823.260376,837.997742,-711.273560,1382.682739,880.209656,-707.017822,1216.339355,896.462830,-723.346436,1099.148438,,,,898.614746,-628.659973,1001.510010,833.872375,-548.854980,918.210999,887.407349,-587.142151,885.663330,845.683777,-482.954620,821.609680,888.565979,-553.731750,832.366028,512.795593,-643.804321,924.751221,738.819946,-625.026123,930.642090,563.782349,-857.312500,920.167297,688.495483,-856.595947,927.410889,457.214111,-713.424072,929.116638,798.836243,-691.536926,936.785767,434.421082,-686.703735,844.129333,433.550385,-631.378052,689.127441,444.422241,-568.003723,633.429199,444.782501,-627.295715,572.193359,443.166748,-692.777466,625.955994,444.400818,-590.129272,482.279022,,,,444.898041,-696.942810,412.824249,450.336853,-699.422852,348.119293,467.012573,-786.736023,356.500793,471.545685,-782.056824,415.992828,492.054352,-887.316895,235.621262,,,,547.995544,-964.050964,259.392242,536.949951,-803.931702,69.188309,812.057434,-662.601379,831.362488,472.504150,-849.050110,108.930206,793.108276,-680.827332,692.272522,761.594177,-606.479675,653.069946,753.201172,-651.097229,579.133240,779.833801,-727.250549,622.072510,738.987549,-690.226196,454.205078,,,,729.782288,-758.771729,352.045319,738.626465,-684.245667,298.425354,725.479492,-720.840515,254.236221,705.537170,-789.716614,306.946747,677.287598,-737.665161,81.516014,,,,622.753723,-795.692566,37.990013,656.139282,-541.943176,41.372608,710.797974,-601.692688,41.421070
10401,0,575.044434,-593.055969,1631.465332,656.097534,-592.326294,1626.416870,561.252869,-770.284058,1587.809082,680.421326,-765.329102,1586.523315,547.576721,-655.720215,1483.669800,687.529236,-649.131104,1484.717163,619.066040,-789.583191,1456.042847,607.417969,-848.410095,1227.161011,614.214966,-639.962646,1356.093628,596.121094,-584.264954,1223.564697,748.321594,-837.027161,1323.769653,405.423889,-721.972839,1399.875000,356.898773,-755.770020,1231.586792,352.643127,-779.718994,1113.066895,,,,339.287903,-708.885010,999.340454,398.859161,-650.981567,903.747375,343.680725,-692.699463,886.163147,374.894958,-600.109192,796.048950,341.189911,-670.410889,823.911804,837.922485,-702.426697,1383.537720,880.067566,-696.633545,1217.074829,896.503967,-711.830566,1099.813965,,,,898.235779,-615.873596,1003.191467,833.272400,-535.695679,920.474121,887.064636,-573.186035,887.799438,845.181519,-468.477173,824.734314,888.292664,-539.120911,834.901917,513.637512,-635.506897,926.075623,739.727234,-617.557495,929.740417,563.027405,-849.077087,920.564819,687.770081,-848.751709,927.347351,457.463867,-704.566345,930.683594,799.240051,-684.236511,936.452332,434.220062,-677.097839,846.273560,433.742065,-618.574585,692.214478,445.523041,-554.678589,637.889954,444.820038,-612.517883,575.404785,442.083405,-678.926941,627.913452,445.169373,-574.023132,486.054810,,,,445.251709,-679.043945,413.330505,450.410095,-679.433777,348.433838,466.782959,-766.843140,354.080200,471.804138,-764.040100,413.715118,491.087494,-863.871155,229.948044,,,,546.998352,-942.036926,249.641251,534.403442,-772.607239,67.752327,812.334106,-655.961609,830.880920,469.975067,-819.202637,105.989204,793.165405,-675.777832,692.143555,761.988037,-601.828857,652.141602,753.211670,-647.199890,578.820068,779.619873,-722.866150,622.521362,738.899231,-687.833557,454.153778,,,,729.547119,-757.256897,352.587433,738.634949,-682.989380,298.407990,725.593323,-719.652222,254.291443,705.078674,-788.619324,307.964691,677.169312,-737.480286,81.629265,,,,622.722656,-795.632507,38.056152,656.207520,-541.937683,41.360935,710.815857,-601.651306,41.391502
