Timestep,C7,CLAV,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LASI
All Timesteps RMSE,0.00475849,0.00360692,0.0213433,0.0179942,0.0108618,0,0,0.00560255,0,0.0204983,0.00250336,0.0370083,0.0157272,0.0240121,0.0104661,0.00595991,0.00353105,0.00777424,0.010666,0.00939866,0.0258021,0.00760554,0.0105117,0.00432015,0.0118099,0.0271779,0.00319819,0.00567403,0.00154303,0.018467,0.0183332,0.0194866,0.00852331,0.00700815,0,0,0.00503075,0,0.0159828,0.00286363,0.0367408,0.028072,0.0312673,0.0154914,0.00921889,0.00679928,0.00681271,0.0215315,0.00796022,0.00829034,0.0203558,0.0337263,0.0177225,0.0232459,0.0205324,0.00342034,0.00194235,0.00139443,0.00368681,0.0066093,0,0,0,0,0,0.00466585
0,0.00359834,0.00237235,0.0272028,0.0182845,0.0104786,0,0,0.00365392,0,0.0193762,0.00195602,0.0378363,0.00497572,0.0209456,0.00249607,0.00667889,0.00253377,0.00838454,0.00994403,0.010811,0.0199089,0.005419,0.0084248,0.00263605,0.0128272,0.0359321,0.00171204,0.00537155,0.00171773,0.0179389,0.0184589,0.0148525,0.0121272,0.00630993,0,0,0.000478274,0,0.0154438,0.00100441,0.0341774,0.0228659,0.0341049,0.0200222,0.0114082,0.010001,0.00536605,0.0240893,0.00752763,0.0070848,0.0148309,0.0367077,0.0104012,0.0179898,0.0185649,0.0030591,0.00093676,0.00161529,0.0028252,0.00292811,0,0,0,0,0,0
1,0.00469621,0.002198,0.0266017,0.0165528,0.0099087,0,0,0.00235944,0,0.0206041,0.00217478,0.0382594,0.00521901,0.0210449,0.00263611,0.00600918,0.00315389,0.00756468,0.0084804,0.00908299,0.0206224,0.00545698,0.00865664,0.00242185,0.0119468,0.0349123,0.00181561,0,0.00315688,0.0174606,0.0182842,0.0145648,0.0120399,0.00707729,0,0,0.000926582,0,0.0155948,0.00108161,0.0344639,0.0223816,0.0343203,0.0195894,0.0104666,0.0091246,0.00558996,0.0242417,0.00786876,0.00709211,0.0145298,0.0368434,0.0103869,0.0176942,0.0180715,0.00301227,0.000963586,0.00152308,0.00314002,0.00343546,0,0,0,0,0,0
2,0.00444312,0.00192659,0.02434,0.0165715,0.00902095,0,0,0.00262624,0,0.0207071,0.00227778,0.0385716,0.00497966,0.0211684,0.00269955,0.00589068,0.00308098,0.0065036,0.00662054,0.00705443,0.0215622,0.00546762,0.00822207,0.00223778,0.0111492,0.0317795,0.00193969,0,0.00324014,0.0173524,0.0183208,0.0143462,0.0121309,0.00697835,0,0,0.0012513,0,0.0157232,0.0010405,0.0345697,0.0221923,0.0343242,0.0194992,0.0101507,0.00910398,0.0057148,0.0243374,0.00803836,0.00715409,0.0144855,0.0368431,0.0103362,0.0176905,0.0180415,0.00302742,0.000990296,0.00150189,0.00294039,0.00352633,0,0,0,0,0,0
3,0.00348636,0.00198093,0.0206324,0.0179488,0.00742982,0,0,0.00424649,0,0.0202135,0.00200199,0.0388414,0.00448273,0.0213652,0.0031829,0.00608602,0.00283989,0.00545554,0.00463733,0.00499115,0.0227785,0.0053571,0.00732217,0.00212935,0.0103953,0.0268504,0.00196896,0.00509513,0.00140104,0.0172385,0.0184043,0.0141054,0.012253,0.00651694,0,0,0.00148858,0,0.015749,0.000757107,0.0345515,0.0221758,0.0341924,0.0195439,0.0102425,0.0101516,0.00576629,0.0244198,0.00819572,0.0072215,0.0145485,0.0367918,0.0103127,0.0177865,0.0181989,0.00325495,0.000745898,0.00143248,0.0027739,0.00316394,0,0,0,0,0,0
4,0.00340819,0.00219537,0.0158498,0.0180195,0.00530417,0,0,0.00434838,0,0.0202814,0.00216278,0.0391907,0.0040956,0.0216598,0.00409788,0.00628449,0.00295405,0.00479745,0.0031755,0.00358042,0.024333,0.0051133,0.00616421,0.00187603,0.00969576,0.0207005,0.00211978,0.00507876,0.0014417,0.016911,0.0183754,0.0138286,0.0123659,0.00669299,0,0,0.00162105,0,0.0157915,0.000871333,0.034408,0.0221057,0.0341464,0.0195599,0.0102733,0.0104224,0.00579115,0.0245429,0.00839616,0.00716256,0.0145181,0.0367812,0.010365,0.0177034,0.0181928,0.00326982,0.000706263,0.00141051,0.00294774,0.00325926,0,0,0,0,0,0.00498216
5,0.00342216,0.00214438,0.0105782,0.0180541,0.00336588,0,0,0.00499205,0,0.020127,0.00262476,0.03915,0.00404316,0.0218207,0.00483096,0.00604664,0.00330029,0.00458338,0.00290603,0.00410768,0.0259331,0.00450198,0.00463245,0.00139326,0.00950423,0.0140691,0.00255071,0.00515458,0.00166642,0.0168151,0.018361,0.013621,0.0124375,0.00668166,0,0,0.00163663,0,0.0158461,0.00102164,0.0347376,0.0221838,0.0341147,0.0196703,0.00996011,0.0106374,0.00584468,0.0246525,0.00862959,0.00741729,0.0145834,0.0367227,0.0103783,0.0177982,0.0184564,0.00321595,0.000788525,0.0014361,0.00260067,0.00345492,0,0,0,0,0,0
6,0.00331281,0.00239984,0.0062822,0.0182279,0.00263568,0,0,0.00582711,0,0.0198686,0.00299785,0.0393325,0.00471474,0.0222611,0.00584923,0.00614155,0.00351493,0.00539376,0.00430387,0.00597674,0.0278173,0.00388463,0.0031166,0.00112736,0.00936932,0.00876772,0.00289149,0.00525731,0.00191847,0.0164574,0.018326,0.013341,0.0124966,0.00681213,0,0,0.00156664,0,0.0158435,0.00108657,0.0348382,0.0221828,0.0340929,0.0196239,0.00993749,0.0109179,0.00587511,0.0248019,0.00878079,0.00754421,0.0145028,0.0366822,0.0103308,0.0177409,0.0183648,0.0031348,0.00101191,0.00143406,0.00285243,0.00373913,0,0,0,0,0,0.00409857
7,0.00334377,0.00236437,0.00508482,0.0181195,0.00325412,0,0,0.0063785,0,0.0199007,0.00307041,0.0394601,0.00544628,0.0226621,0.00679149,0.00609974,0.0037206,0.00663686,0.00601323,0.00791392,0.0296203,0.00329332,0.00235206,0.00105039,0.00945061,0.00672488,0.00306726,0.00511578,0.00194474,0.0161279,0.0182793,0.0129364,0.0126132,0.00685487,0,0,0.00137048,0,0.0158443,0.00127213,0.0352507,0.0221961,0.0339758,0.0193539,0.00990243,0.0111033,0.00597663,0.0248821,0.00875979,0.00786042,0.014481,0.0366128,0.010231,0.0178095,0.0186359,0.0029933,0.00134436,0.00147311,0.00284491,0.00408493,0,0,0,0,0,0.00352481
8,0.00340462,0.00250629,0.00660481,0.0179915,0.00389238,0,0,0.00642886,0,0.0201035,0.00301887,0.0396289,0.00587134,0.0231242,0.00707498,0.00599426,0.00384255,0.00799239,0.00758799,0.00936891,0.0311371,0.00283372,0.00197824,0.00107527,0.00995896,0.00761945,0.00319141,0.00491009,0.00194893,0.0157606,0.0182615,0.0125448,0.0127647,0.00690388,0,0,0.00129418,0,0.0158823,0.00160276,0.0356244,0.0223056,0.0337417,0.0189051,0.0098863,0.0111941,0.00612847,0.0248932,0.00861541,0.00822841,0.014466,0.0365139,0.0101128,0.0178792,0.0185107,0.00277286,0.00185783,0.00157795,0.00275113,0.00445529,0,0,0,0,0,0.00349486
