Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LWRA
All Timesteps RMSE,0.0140032,0.0213115,0.0310351,0.0215749,0.017213,0.0102159,0,0,0.0121417,0,0.016417,0.00768833,0.0343535,0.0191862,0.0241932,0.0141118,0.00990456,0.0301998,0.0117703,0.0163026,0.0131955,0.0273312,0.010727,0.0154695,0.00781847,0.0123894,0.0383022,0.0106773,0.0072126,0.0233497,0.0180384,0.0209708,0.0111445,0.00841347,0,0,0.0140902,0,0.0144899,0.00919106,0.0371089,0.0232188,0.0349876,0.0146355,0.0119965,0.0182037,0.0063041,0.0192554,0.00855829,0.0074677,0.0144248,0.0265004,0.0149716,0.016038,0.0260537,0.0148527,0.00357416,0.00412312,0.0256275,0.0147377,0,0,0,0,0,0.00270007
0,0.0130678,0.0254076,0.033806,0.0210588,0.0244135,0.012032,0,0,0.0178747,0,0.0160765,0.0106523,0.0291328,0.0376747,0.0219983,0.0280093,0.0164701,0.0335725,0.0249854,0.0275998,0.0296616,0.0352047,0.0119878,0.00529781,0.00314825,0.0164676,0.0359495,0.0122936,0.00820409,0.0234213,0.0184273,0.0196951,0.0154081,0.0103717,0,0,0.0130929,0,0.0143707,0.00837976,0.0334424,0.0133047,0.0405655,0.0120393,0.0159352,0.0233464,0.0108358,0.020862,0.011343,0.0125829,0.00657486,0.0301962,0.0127085,0.00835547,0.0243473,0.013792,0.00316546,0.00376389,0.0323619,0.0133411,0,0,0,0,0,0
1,0.0134675,0.0249975,0.0358037,0.0210262,0.0246191,0,0,0,0.0179187,0,0.0161481,0.0107053,0.0290995,0.0346051,0.0227774,0.0235211,0.0163586,0.0332675,0.0227269,0.0238722,0.0272657,0.0347175,0.00964964,0.00333842,0.00401866,0.0167855,0.0383683,0.012285,0.00825827,0.022447,0.0183813,0.018849,0.0155691,0.0101116,0,0,0.0132253,0,0.0144354,0.00847025,0.0340058,0.0125439,0.0403249,0.0137988,0.0162477,0.0225371,0.0101758,0.0204543,0.010499,0.0119197,0.00711481,0.0300078,0.0126658,0.00835142,0.0234202,0.0140632,0.00296105,0.00377487,0.0315133,0.0140941,0,0,0,0,0,0
2,0.0139041,0.0242914,0.0367089,0.0210737,0.0248841,0,0,0,0.0178431,0,0.0161725,0.0106427,0.0290233,0.0329939,0.0230418,0.0217677,0.0165721,0.0333468,0.021713,0.0225547,0.0262393,0.0343457,0.0092241,0.00389508,0.00475035,0.0171308,0.0398747,0.0124256,0.00828368,0.022565,0.0183928,0.0184647,0.0156132,0.0100665,0,0,0.0131299,0,0.0144532,0.00843978,0.0342122,0.0118977,0.0400307,0.0147836,0.0167363,0.0219795,0.00974415,0.0201246,0.00999199,0.0113101,0.00740897,0.0298145,0.0125781,0.00841965,0.0233767,0.0141536,0.00288318,0.00373214,0.0308329,0.0149263,0,0,0,0,0,0
3,0.0141466,0.0237379,0.0368671,0.0210558,0.0245753,0.0133312,0,0,0.0177586,0,0.0161885,0.0106482,0.0289947,0.0309382,0.0233665,0.0195537,0.0162,0.0331665,0.0203078,0.0207214,0.0247985,0.0337224,0.00868955,0.004994,0.00538625,0.0173944,0.0410021,0.012411,0.00831928,0.0227381,0.0184084,0.0181036,0.0153882,0.010067,0,0,0.0132465,0,0.0145021,0.00845109,0.0341776,0.0111871,0.0397419,0.0156181,0.0167315,0.0214203,0.0093608,0.0197531,0.00945092,0.0106548,0.00770237,0.0296228,0.0124962,0.00843497,0.0234355,0.0142714,0.00275342,0.00369012,0.030002,0.0156286,0,0,0,0,0,0
4,0.0143947,0.0234727,0.0370155,0.0210741,0.0245351,0,0,0,0.017532,0,0.0162375,0.0105296,0.0287927,0.0294413,0.023939,0.0182379,0.0161101,0.032815,0.0192837,0.0195885,0.0237448,0.0333121,0.00835896,0.00589047,0.00583731,0.0175707,0.0417459,0.0123663,0.00835041,0.0231425,0.0184391,0.0176925,0.0152489,0.0100204,0,0,0.0133703,0,0.0145338,0.00831114,0.0342883,0.0102472,0.0392348,0.0163451,0.0172542,0.0207196,0.00896258,0.0193399,0.00900347,0.0100933,0.0079717,0.0293927,0.0123771,0.00845692,0.0238159,0.0142576,0.00256533,0.00367074,0.029225,0.0163512,0,0,0,0,0,0
5,0.0144541,0.0231869,0,0.0210751,0.0264183,0.0148794,0,0,0.0172899,0,0.0163383,0.0104885,0.0283056,0.0302283,0.0252087,0.0174318,0.0151495,0.0323383,0.0188478,0.0191607,0.0229176,0.0327866,0.00735414,0.00664491,0.00624894,0.0168583,0.0440888,0.0121765,0.00824055,0.0236774,0.0183709,0.0174506,0.0156157,0.00974169,0,0,0.0135595,0,0.0145366,0.00824795,0.0347825,0.00955868,0.0386812,0.0167593,0.0171583,0.0199685,0.0084934,0.0187694,0.00866782,0.00971252,0.00813002,0.0291609,0.012232,0.00852136,0.024337,0.0143768,0.00244588,0.00372716,0.028539,0.0170462,0,0,0,0,0,0
6,0.0146243,0.022831,0,0.0210604,0.0260615,0.0158474,0,0,0.0170455,0,0.0163202,0.0103013,0.0282678,0.0292447,0.0255869,0.0169748,0.0148783,0.0320083,0.018276,0.0189379,0.022365,0.032137,0.00735485,0.00641939,0.00617122,0.0167598,0.0432113,0.0122098,0.008072,0.0241761,0.0183349,0.0170656,0.0160361,0.0094975,0,0,0.0134462,0,0.0145066,0.00807872,0.0351949,0.00874057,0.0382758,0.0172141,0.0174814,0.0191773,0.00809508,0.0184211,0.00834659,0.00932525,0.0084526,0.0289218,0.0121395,0.00877851,0.0248651,0.0142566,0.00252385,0.0037806,0.0280304,0.0174872,0,0,0,0,0,0
7,0.0147678,0.0224704,0.0347179,0.0211534,0.0237041,0,0,0,0.0170328,0,0.0162836,0.00991266,0.0290726,0.0265131,0.0243705,0.0170681,0.0160516,0.0317573,0.0173104,0.0185659,0.0218574,0.0310237,0.00866629,0.00563353,0.0057912,0.0173311,0.0390354,0.012813,0.00808923,0.0242492,0.018447,0.016286,0.0162402,0.00933794,0,0,0.0125818,0,0.0144813,0.00757005,0.0350848,0.00766811,0.0381488,0.0181142,0.0186123,0.0184058,0.00780396,0.0184314,0.0078793,0.00878875,0.00902878,0.0287376,0.0120787,0.00923174,0.0250915,0.0135238,0.00242303,0.00370429,0.0274548,0.0175351,0,0,0,0,0,0
8,0.0149494,0.0223071,0.0331001,0.0210595,0.0231064,0.0166243,0,0,0.0169944,0,0.0161744,0.00976398,0.0297258,0.0255411,0.0237935,0.0172941,0.016374,0.0317103,0.0167206,0.0186512,0.0212801,0.0299246,0.00906516,0.00527531,0.00552031,0.0170738,0.0370292,0.0131512,0.00822832,0.0244347,0.0185252,0.015908,0.0158534,0.00924342,0,0,0.0120513,0,0.0144824,0.00733769,0.0350845,0.00720199,0.037923,0.0188377,0.0191134,0.0178057,0.00745301,0.0183196,0.00751176,0.00834054,0.00939334,0.0285693,0.0120143,0.00951626,0.0253741,0.0130805,0.00232012,0.00378225,0.027077,0.0176992,0,0,0,0,0,0
