Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65
All Timesteps RMSE,0.0132542,0.0201665,0.0283946,0.0199157,0.0184541,0.0104988,0,0,0.013612,0,0.0178825,0.00921076,0.0350673,0.0191343,0.0330723,0.0167085,0.013929,0.0215477,0.0167625,0.02066,0.0163447,0.0298595,0.0125374,0.0171828,0.0108611,0.00908669,0.0345837,0.00854066,0.00344959,0.00679383,0.0243341,0.0157702,0.0243005,0.0113941,0.0116732,0,0,0.0298515,0,0.0153503,0.0185709,0.0365397,0.0286395,0.0376873,0.0133094,0.0144452,0.022732,0.00887048,0.0130858,0.0110163,0.0106934,0.0157969,0.0241968,0.0156067,0.0187946,0.0273523,0.0272266,0.00644102,0.00748483,0.0208711,0.0102369,0,0,0,0,0
0,0.0131901,0.0202049,0.0175539,0.0183288,0.017447,0.0108286,0,0,0.0178621,0,0.0196004,0.0120844,0.0369697,0.0187637,0.0314714,0.0141691,0.0120256,0.0201663,0.0131529,0.0141189,0.015611,0.0279086,0.0115294,0.0139772,0.010729,0.00507364,0.0358482,0.0119091,0.00566382,0.00694692,0.0291707,0.0149644,0.0293497,0.00698188,0.0146564,0,0,0.0360765,0,0.0155896,0.0224353,0.034117,0.0310233,0.0386362,0.0101966,0.019715,0.0252677,0.00840166,0.0138602,0.0128576,0.0127211,0.0106111,0.0292108,0.012034,0.0145407,0.0373947,0.0308478,0.00759783,0.00891316,0.0229246,0.0107888,0,0,0,0,0
1,0.013927,0.0207983,0.0166765,0.0182983,0.0169519,0.0101369,0,0,0.0174889,0,0.0199926,0.0120071,0.0369089,0.0159967,0.0310773,0.0139933,0.0115177,0.0217625,0.0133158,0.0138436,0.0160394,0.0281482,0.0109361,0.0132951,0.0103821,0.00526107,0.033634,0.0110061,0.00560867,0.00693616,0.027764,0.0150008,0.0278273,0.00689571,0.0129655,0,0,0.0353875,0,0.0156358,0.0220791,0.0339911,0.0287991,0.0387689,0.0100212,0.0192744,0.0241311,0.00837582,0.0128774,0.0127692,0.0130579,0.0103046,0.0288631,0.0122096,0.014092,0.0364376,0.0299265,0.0076771,0.00871287,0.0235061,0.0100316,0,0,0,0,0
2,0.0140755,0.0207507,0.0168941,0.0184989,0.0165253,0.00928371,0,0,0.0172044,0,0.0198862,0.0118655,0.0368022,0.0132322,0.0307886,0.0142277,0.0115498,0.0221489,0.0134974,0.0138776,0.0167777,0.0285722,0.0105856,0.0131271,0.0100541,0.00559502,0.0323814,0.0105224,0.00532724,0.00682687,0.0266855,0.0151128,0.0267762,0.00671558,0.0122841,0,0,0.0346083,0,0.0156874,0.0216538,0.0340163,0.0268902,0.0389985,0.00939064,0.0192726,0.0235812,0.00850031,0.0119345,0.0127765,0.0134396,0.0102421,0.0287843,0.0123911,0.0138262,0.0351119,0.0292663,0.00774828,0.00852081,0.0235476,0.00949492,0,0,0,0,0
3,0.0139772,0.0207421,0.0186329,0.0189232,0.0161769,0.00843339,0,0,0.0168531,0,0.019381,0.0116532,0.0366481,0.0113027,0.0305513,0.014718,0.0119321,0.0223136,0.0136395,0.0143314,0.0174175,0.0292489,0.0103299,0.0132563,0.00965294,0.00613724,0.0320876,0.0100814,0.00477056,0.00665573,0.0262405,0.0152511,0.0264202,0.00630864,0.0117739,0,0,0.0336515,0,0.0156738,0.0210708,0.0341382,0.0257192,0.0393486,0.00886218,0.0194885,0.0231073,0.00877418,0.0111458,0.0127474,0.0139233,0.010496,0.0287772,0.0124035,0.014011,0.0339725,0.0285291,0.00771996,0.00825482,0.0233385,0.00893657,0,0,0,0,0
4,0.0137674,0.0209396,0.0218109,0.0192921,0.015885,0.00763118,0,0,0.0164969,0,0.0190358,0.0113732,0.0363449,0.0115652,0.0304266,0.0153781,0.01272,0.022402,0.0141882,0.0152096,0.0180171,0.0301313,0.0100064,0.0134041,0.00908901,0.00682683,0.0318811,0.00976045,0.00427878,0.00647617,0.0264382,0.015467,0.0265734,0.00597011,0.0112799,0,0,0.0325598,0,0.0156256,0.0203862,0.0341077,0.0252281,0.0397081,0.00874017,0.0199121,0.0226333,0.00893881,0.0107094,0.0124517,0.0143066,0.0109424,0.0287104,0.0124306,0.0144506,0.0333292,0.0277504,0.00746656,0.00791325,0.0230213,0.00836136,0,0,0,0,0
5,0.0134741,0.02096,0.0252235,0.0197288,0.015501,0.00687741,0,0,0.0161988,0,0.0190449,0.0112419,0.03612,0.0135666,0.0304489,0.0162343,0.0139807,0.0221737,0.0152445,0.0165101,0.0188742,0.0311255,0.00963026,0.0135161,0.0083063,0.00755468,0.0313986,0.00956739,0.00401793,0.00633638,0.0269727,0.0156993,0.0269712,0.00588139,0.0108491,0,0,0.0315534,0,0.0155941,0.0197738,0.0338742,0.0250269,0.0399734,0.00876749,0.0205792,0.0221956,0.0088291,0.0106562,0.0119754,0.0144254,0.0111733,0.0286149,0.0123507,0.014523,0.0331319,0.0270174,0.00712016,0.00764143,0.0229188,0.0077968,0,0,0,0,0
6,0.0132107,0.0209178,0.0280297,0.0197969,0.0149335,0.00635233,0,0,0.0158626,0,0.0188326,0.0109606,0.0359748,0.0167334,0.0305182,0.0172156,0.0153483,0.022064,0.0165067,0.018084,0.0199903,0.0322515,0.00913505,0.013711,0.00732767,0.00833317,0.030561,0.00958276,0.00403526,0.00594784,0.0271849,0.0158242,0.0271511,0.0056417,0.0105149,0,0,0.0307208,0,0.0155151,0.0193048,0.0335008,0.0248139,0.0400953,0.00870224,0.0210533,0.0218416,0.00869534,0.0105484,0.0115513,0.0144598,0.0109465,0.028565,0.0123038,0.0139944,0.0328639,0.0264271,0.00694588,0.00744295,0.0228466,0.0073705,0,0,0,0,0
7,0.013036,0.020846,0.0298111,0.020178,0.0141988,0.00592552,0,0,0.0157247,0,0.0187479,0.0106201,0.0359067,0.0196525,0.0306555,0.0179745,0.0167607,0.0221187,0.0175161,0.0195916,0.0208985,0.0332851,0.00868888,0.0138937,0.00626739,0.00907636,0.0299887,0.0094988,0.00392529,0.00574729,0.0268338,0.0158389,0.0268375,0.00539464,0.0102812,0,0,0.0299916,0,0.0154117,0.0189777,0.0329032,0.024167,0.0401835,0.00862963,0.0213379,0.0216074,0.0085644,0.010356,0.0113941,0.0144047,0.0104637,0.0285151,0.0122446,0.0134282,0.0321912,0.0259369,0.00693151,0.00732073,0.022729,0.00706109,0,0,0,0,0
8,0.0129224,0.0207971,0.0310324,0.0204362,0.0135348,0.00557598,0,0,0.0156718,0,0.0184331,0.0104516,0.0359094,0.0219672,0.0308489,0.0183808,0.0182092,0.0221551,0.0182611,0.0206381,0.0213704,0.0339471,0.00816454,0.0140255,0.00519787,0.00987186,0.0315412,0.00931238,0.00369514,0.00572923,0.0260428,0.015788,0.026078,0.00536823,0.0102491,0,0,0.0294999,0,0.0153492,0.0189127,0.032247,0.0231473,0.0403704,0.00862977,0.0214792,0.0214798,0.00846053,0.0102041,0.0115467,0.0142772,0.00978223,0.0283799,0.0121683,0.012996,0.0311401,0.0257127,0.00707409,0.00732954,0.022719,0.00693697,0,0,0,0,0
