Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,Luggage:LBR,,,Luggage:LMR,,,Luggage:LML,,,Luggage:LBL,,,Luggage:LTL,,,Luggage:LTR,,,Luggage:IMU_M,,,Luggage:IMU_L,,,Luggage:IMU_R,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
3753,0,512.729065,-649.905579,1597.090088,594.094604,-648.837830,1594.534546,499.413940,-828.079346,1560.021973,618.456299,-824.508606,1561.565063,489.759125,-717.984558,1450.601562,629.698608,-711.393433,1456.036255,561.236877,-852.701294,1436.781250,555.779541,-931.234131,1188.373291,566.524963,-710.176575,1323.590332,561.556335,-669.748962,1210.665405,691.065796,-931.281311,1293.603882,355.618988,-774.242004,1366.688599,310.148376,-774.396606,1196.670288,303.203430,-773.062012,1075.529419,,,,312.805695,-666.741699,991.875916,391.262543,-590.209656,929.321594,334.090820,-613.482605,892.818481,383.931671,-497.924133,851.944519,340.359344,-568.688049,845.105347,785.052246,-782.572327,1365.326416,819.090271,-826.133057,1201.979370,817.505676,-880.336182,1088.733154,,,,869.922607,-832.087646,972.858398,893.292480,-746.781555,886.268616,848.821411,-791.012939,846.760193,945.973755,-772.880127,783.697266,867.051514,-789.077820,795.273193,463.755341,-729.536682,877.649536,684.878601,-702.091492,904.539612,532.039490,-945.562866,906.843872,656.532227,-938.550964,904.701660,417.518036,-805.114380,898.731934,756.978271,-769.557129,916.507568,401.426239,-807.185486,804.884583,425.659210,-849.032104,656.442688,439.998108,-812.858276,580.668152,454.917938,-891.462097,549.999573,451.693481,-927.949280,626.137878,466.973785,-915.520813,444.916229,,,,465.314117,-992.871887,358.748749,471.416016,-981.084229,295.192413,485.139862,-1069.067749,284.363495,490.912659,-1076.446655,343.588226,516.729248,-1135.499146,130.406052,,,,568.030701,-1220.245361,124.881790,592.758057,-1004.115479,38.792713,770.279236,-724.953674,815.160034,520.283569,-1058.488159,35.628922,763.943604,-719.344971,692.170654,728.330994,-639.350464,679.707703,723.172668,-655.737915,595.055054,755.337891,-739.328369,609.509094,711.234375,-660.047119,454.352173,,,,701.410950,-700.422668,338.757416,713.064636,-616.382935,304.760712,699.582825,-640.184204,252.871094,677.673645,-719.725647,286.688080,657.383423,-613.562744,79.583992,,,,600.531555,-660.188049,36.144321,641.940308,-410.110687,56.377384,696.093079,-470.011993,48.730717,,,,1091.925049,-1040.632568,348.376770,757.899841,-1057.937988,346.945923,,,,825.962280,-755.931641,770.844849,983.912170,-740.557678,772.124512,942.549377,-965.337158,488.382477,902.329956,-964.495605,487.010071,974.830872,-943.455505,479.234619
3754,0,513.826599,-639.178406,1598.429199,595.256714,-638.390442,1596.103516,500.319366,-817.430664,1561.379761,619.535217,-814.359558,1562.854004,490.709412,-707.222107,1451.899902,630.491455,-700.924805,1457.140747,561.878235,-842.449158,1437.585083,556.278198,-920.012695,1189.166016,567.517395,-699.100586,1325.287842,562.544739,-658.259583,1212.379395,691.554138,-920.627991,1294.323364,356.473633,-763.093018,1367.931030,310.912384,-764.225220,1197.950562,304.013245,-764.143555,1076.790894,,,,313.275818,-658.954529,991.660645,391.330505,-582.582336,927.544250,334.109222,-607.048157,891.799561,383.899017,-492.147186,848.905762,340.116211,-562.921021,843.375854,785.858643,-772.268127,1366.440308,819.613892,-815.369568,1202.938721,817.700195,-869.026123,1089.361816,,,,870.439941,-821.540161,973.731445,894.357727,-736.776733,886.882202,849.810913,-780.877747,847.438782,946.890320,-763.213135,784.249573,867.896729,-779.047058,795.841003,465.034271,-717.163025,879.140747,685.765930,-690.212769,905.837219,532.504150,-933.216370,907.181580,657.030029,-926.743652,905.791870,418.603363,-792.370544,899.419373,757.892517,-757.897644,917.992737,402.170898,-793.653137,805.778931,424.567322,-832.675232,656.564026,437.812714,-795.378357,581.293396,452.017029,-873.751404,549.276794,449.966431,-911.220398,624.748047,461.662689,-897.332031,444.629456,,,,460.301941,-977.711182,360.616119,466.030243,-967.511841,296.294159,480.663635,-1055.598877,288.290375,486.569733,-1061.381958,347.742401,512.351746,-1126.744995,136.184509,,,,564.099365,-1211.447510,136.757126,592.605286,-1003.524902,38.531284,771.158630,-714.528809,816.537354,519.068787,-1056.433105,35.300793,764.188599,-708.259094,693.512695,728.097534,-628.034973,681.430603,722.069885,-643.739929,596.947205,755.195190,-727.810791,610.553223,710.977539,-649.158630,454.978821,,,,702.670959,-694.130432,339.751404,713.404480,-609.308899,304.261963,700.020081,-633.912048,252.761688,679.365234,-713.222534,287.683655,657.360046,-611.195007,79.103249,,,,600.620056,-659.597595,36.728832,641.049072,-408.729889,50.224903,695.637207,-468.415344,45.898689,,,,1091.744019,-1030.923584,348.686707,757.625916,-1047.083618,347.142822,,,,826.948303,-745.548462,771.240662,984.957642,-730.963135,772.642090,942.587708,-955.138672,488.696014,902.334473,-954.179199,487.281555,974.888245,-933.749451,479.169586
3755,0,515.018433,-628.557007,1599.573730,596.416504,-628.132629,1596.836304,501.179932,-806.853027,1562.859619,620.317627,-803.747498,1564.017700,491.531494,-696.791321,1453.335449,631.522095,-690.797241,1458.444580,562.532288,-832.250488,1438.371460,556.738464,-908.871704,1190.016846,568.721741,-688.854187,1326.557129,563.198608,-647.877563,1214.100464,692.070068,-910.078186,1295.168701,357.196289,-752.219116,1369.273315,311.575409,-754.369385,1199.121948,304.748993,-755.368958,1078.021240,,,,313.607758,-651.377930,991.373413,391.343384,-577.034241,925.378601,333.929901,-600.850342,890.691772,383.956482,-486.532288,845.735657,339.792480,-557.569092,841.579346,786.685242,-762.139404,1367.717896,820.189148,-804.696533,1203.904053,818.081726,-858.080505,1090.333374,,,,871.151245,-811.267212,974.714233,895.546814,-727.036743,887.553528,850.569336,-770.822266,848.135925,947.812866,-753.477478,784.882874,868.797852,-769.035583,796.474487,466.604889,-705.089233,880.735840,687.010803,-678.796143,907.445435,532.658264,-921.200928,907.598999,657.157104,-915.313904,907.002869,419.699371,-779.867798,900.010071,758.928467,-747.073181,919.692810,402.886475,-779.929321,806.639954,422.881287,-814.914734,656.236267,435.059814,-777.013611,581.981079,448.512512,-854.500610,548.102844,447.601257,-893.842712,622.877563,456.274292,-878.266663,444.000214,,,,455.314880,-960.685974,362.070526,460.729004,-952.691101,297.746185,476.244781,-1040.446533,291.982697,481.782990,-1044.924561,351.924377,507.913696,-1117.091064,142.577087,,,,559.957275,-1200.597900,149.780380,592.272034,-1002.362000,38.309471,772.569641,-703.543213,818.046631,517.170227,-1053.800049,35.371544,764.616272,-696.913696,695.001160,729.002930,-617.149658,683.175964,722.786926,-632.885803,598.576233,755.264160,-717.052856,612.484131,712.100342,-641.216797,455.064484,,,,703.622498,-687.000244,340.340729,713.707153,-602.775879,303.530975,700.170837,-628.291565,252.469772,680.065369,-707.131348,288.760010,657.327026,-609.730591,78.756798,,,,600.779907,-658.761414,36.680523,640.110474,-407.651825,46.158821,694.882690,-467.232483,44.725292,,,,1091.763794,-1021.279785,348.968262,757.582214,-1036.153809,347.277710,,,,827.996765,-735.387268,771.835205,986.065674,-721.473450,773.293213,942.859741,-945.090027,489.167236,902.313660,-944.271118,487.799408,975.248291,-923.690552,479.757965
3756,0,516.196472,-618.141785,1600.666992,597.644958,-617.793884,1597.957275,502.015289,-796.455505,1564.276245,621.140808,-793.306213,1565.211304,492.192383,-686.406128,1454.625732,632.420593,-680.310059,1459.481201,563.197327,-821.915588,1439.209839,557.241882,-897.892883,1190.824829,569.806641,-678.113647,1328.034790,564.638062,-636.030457,1215.817505,692.628906,-899.558716,1295.997681,358.021576,-741.384949,1370.416382,312.201050,-744.760132,1200.323730,305.411865,-746.821594,1079.285767,,,,313.862488,-644.150391,991.037231,391.498138,-569.237610,924.303040,333.661469,-594.991760,889.588318,383.653473,-481.659943,842.573303,339.116089,-552.736389,839.848633,787.519653,-752.241333,1369.049561,820.827942,-794.034241,1204.882812,818.649475,-847.696228,1091.467041,,,,871.799805,-800.891479,975.631470,896.656860,-716.546753,888.179932,851.446716,-760.534302,848.848511,948.735046,-743.752625,785.742615,869.757507,-759.052002,797.217102,468.337830,-693.241211,882.155457,688.770325,-667.801636,909.135864,532.545898,-909.382202,907.898438,656.987061,-904.087524,908.133423,421.200897,-766.967468,900.421021,759.951965,-736.434814,921.387451,403.580292,-766.335815,807.548096,421.333893,-798.414795,656.832886,431.861908,-757.869385,582.678040,444.270172,-834.693787,546.764954,444.654755,-875.616760,620.495972,450.630463,-858.218567,442.974152,,,,450.082367,-942.790833,363.643433,455.622559,-937.014771,299.129547,471.230469,-1024.933105,296.261475,476.596558,-1027.084717,355.888428,503.668732,-1106.023804,149.319931,,,,555.035156,-1189.044800,163.379349,591.752991,-1000.267883,38.385014,773.633606,-692.791687,819.769409,515.735535,-1050.450195,36.012802,765.676208,-686.787659,696.920227,730.988831,-606.132751,683.914734,724.679932,-623.076965,599.810242,756.401733,-707.164917,613.925842,712.868958,-634.820923,455.162659,,,,704.017578,-680.265198,341.013153,713.633301,-596.842041,302.859314,699.910583,-623.528503,252.464020,680.199951,-701.574402,290.046600,657.286194,-608.513367,78.740646,,,,600.877686,-658.441956,36.640331,640.143616,-407.012146,44.607082,694.849731,-466.623077,43.845795,,,,1091.763306,-1011.657959,349.423889,757.695618,-1025.160767,347.420258,,,,829.072571,-725.365662,772.634521,987.178833,-711.845642,774.013977,943.139893,-935.288269,489.549377,902.611328,-934.271118,488.223785,975.579468,-913.851379,480.250641
3757,0,517.337158,-607.703979,1601.825317,598.515442,-607.398621,1598.833252,502.839142,-786.029602,1565.578369,622.002991,-783.020630,1566.374023,492.866028,-676.367004,1455.846558,633.406799,-670.127075,1460.544434,563.890808,-811.405151,1440.170776,557.739624,-886.993164,1191.589966,570.653320,-667.424988,1329.403198,565.865784,-625.080078,1217.349487,693.190979,-889.087158,1296.805664,358.733490,-730.897705,1371.631348,312.840912,-735.444702,1201.444336,306.028900,-738.288452,1080.446045,,,,313.973877,-637.080872,990.736816,391.239410,-563.804443,921.763062,333.271729,-589.313293,888.490479,383.049011,-477.055206,839.248474,338.664886,-547.743591,837.998779,788.266113,-741.958252,1370.120117,821.505920,-783.535645,1205.854980,819.160339,-837.080872,1092.464111,,,,872.509399,-790.600098,976.629333,897.643005,-706.636414,889.059448,852.525330,-750.368164,849.843262,949.913452,-734.006226,786.525879,870.750122,-749.031006,798.119324,470.263000,-681.532654,883.573120,690.869873,-657.380493,911.114197,532.334900,-897.822205,908.008484,656.719910,-893.144531,909.101013,422.420715,-754.600159,900.633728,761.190674,-726.306946,922.977783,404.420807,-752.580017,808.145752,419.255676,-780.437378,656.469238,428.462311,-738.261169,583.219971,439.649780,-814.346313,545.270569,441.194794,-857.018982,617.883911,445.563202,-836.998901,441.537140,,,,445.287170,-923.945557,365.048889,451.240509,-919.745361,300.041718,466.893555,-1007.455017,299.862671,471.389618,-1008.104309,359.746887,499.818329,-1093.835083,156.833145,,,,549.802063,-1176.121216,176.991730,590.331055,-998.036194,38.573811,775.187500,-681.511963,821.406311,514.920044,-1046.048706,37.738762,766.860657,-677.108521,698.374268,733.907837,-596.385071,684.394897,727.054993,-614.299622,600.356995,757.013245,-698.937622,616.170715,713.732422,-627.204041,455.128113,,,,703.832336,-674.235657,342.012543,713.377380,-591.590210,302.371918,699.548279,-618.969055,252.363266,679.839050,-696.580078,291.633881,657.081360,-607.332336,78.860023,,,,600.452698,-658.626892,37.311996,640.202332,-406.480713,43.825115,694.891968,-466.314972,43.278999,,,,1091.633545,-1001.928955,349.748199,757.585754,-1014.372375,347.798309,,,,830.187500,-715.140869,773.405823,988.331604,-702.299316,774.860901,943.305298,-925.225708,490.116089,902.888306,-924.127441,488.902466,975.848022,-904.014343,480.986633
3758,0,518.157288,-597.446411,1602.637329,599.357544,-597.008972,1599.759888,503.646790,-775.702271,1566.632812,622.833435,-772.790466,1567.435303,493.762146,-666.053650,1456.856323,634.298035,-660.042725,1461.561401,564.561646,-800.994141,1441.278564,558.256348,-876.328613,1192.283691,571.572144,-657.103699,1330.705078,566.879700,-614.465210,1218.834961,693.795532,-878.715210,1297.599976,359.428101,-720.312500,1372.713745,313.399292,-726.181030,1202.471436,306.588379,-730.064270,1081.495117,,,,314.104340,-630.125000,990.314880,391.156189,-556.900330,920.256653,332.666260,-584.278931,887.321655,382.378632,-472.520752,835.898254,337.857513,-543.484131,836.109436,789.063660,-731.925842,1371.229736,822.304565,-773.053467,1206.780151,819.728699,-826.584351,1093.311768,,,,873.213684,-780.228210,977.579468,898.772827,-696.648376,889.828613,853.304565,-740.193054,850.631958,951.003723,-724.173096,787.182434,871.693359,-738.868286,798.869934,472.322235,-669.999695,884.634583,693.493103,-646.342590,912.378540,532.082153,-886.533630,907.830261,656.454224,-882.601196,909.945923,423.433624,-742.570251,900.824890,762.417053,-716.317322,924.224426,405.123047,-739.120972,808.677979,417.007721,-762.397827,655.921997,425.347229,-718.443848,583.650513,435.218353,-793.689026,543.694153,437.276917,-838.256714,615.066650,441.018494,-815.087646,440.109802,,,,440.822998,-903.706909,366.097870,447.760986,-901.223267,300.932007,462.962738,-988.989136,303.588104,466.415192,-987.995789,363.444702,495.439209,-1080.735596,165.124481,,,,544.564636,-1162.061646,192.750275,588.242859,-995.205200,39.097588,777.184509,-671.240662,822.971069,512.585754,-1042.414307,41.366608,768.373291,-668.997986,699.424805,736.856506,-587.871643,684.260010,729.396667,-606.337219,600.541931,757.770752,-691.537842,617.441956,714.436584,-619.908386,455.156128,,,,703.109070,-669.058167,343.209045,713.273010,-587.169922,301.976074,699.039612,-615.738708,252.620163,678.924316,-692.061340,293.222290,657.108215,-605.944763,79.504227,,,,600.582336,-658.271851,37.121101,639.894958,-406.277985,43.583092,694.537292,-466.391876,42.938175,,,,1091.713623,-992.537170,350.165985,757.622131,-1003.797791,348.284271,,,,831.208618,-705.150391,774.287415,989.431946,-692.658691,775.711060,943.675537,-915.310120,491.042389,903.178955,-914.110840,489.648773,976.335205,-894.233398,481.782349
3759,0,518.824158,-587.228149,1603.731201,600.062866,-586.755859,1600.675903,504.425659,-765.543579,1567.691528,623.574036,-762.627380,1568.424683,494.883179,-655.819458,1457.869629,635.035706,-650.047791,1462.536743,565.174988,-790.677551,1442.276123,558.753723,-865.820984,1193.021606,572.330750,-646.444458,1332.042236,567.563721,-604.610474,1220.108765,694.419250,-868.422485,1298.347046,360.035370,-709.982483,1373.781860,313.884094,-717.184326,1203.535767,307.145630,-721.915161,1082.487671,,,,314.095490,-623.337463,989.869873,390.703033,-550.919434,918.201843,331.703064,-579.463257,886.211853,381.707214,-468.375732,832.424622,337.194550,-538.897644,834.030823,789.771973,-722.071472,1372.371582,822.954102,-762.989746,1207.721680,820.214478,-815.921509,1094.085449,,,,873.965759,-769.976929,978.491028,899.750671,-686.518127,890.655579,854.251465,-730.061829,851.457642,951.934875,-714.418152,787.989136,872.654175,-728.677185,799.653015,474.539459,-658.787109,885.407837,695.798950,-635.591675,913.430176,531.868652,-875.448547,907.332153,656.230652,-872.136658,910.545654,424.495300,-730.780518,900.912781,763.819031,-706.791443,925.319702,405.967682,-725.369446,808.849304,414.749451,-744.231934,655.301697,422.578705,-698.520020,584.124817,431.203979,-772.721985,542.079895,433.361084,-819.225525,612.038757,437.107147,-792.560242,438.754150,,,,436.807953,-882.381226,367.105499,444.717072,-881.894104,302.198334,459.313232,-969.685669,307.605164,461.812408,-967.139343,367.515137,492.082367,-1066.144043,173.699066,,,,539.148010,-1145.757935,206.931946,586.007080,-990.608765,41.373302,779.369446,-661.590576,823.842346,511.453033,-1036.952881,46.353764,769.581543,-661.209106,699.811584,739.630615,-579.387451,683.763733,731.561890,-600.385986,599.848206,758.114563,-684.350769,618.314941,714.959900,-613.178040,455.164886,,,,702.272461,-664.626160,344.293823,713.473511,-583.539673,301.545319,698.871033,-612.417786,252.563263,677.697327,-688.149170,294.735657,656.811462,-605.261169,79.621529,,,,600.521179,-658.217590,37.122211,639.938416,-406.192505,43.462898,694.518372,-466.358734,42.873486,,,,1092.087402,-983.337830,351.028717,757.729065,-993.303406,348.954712,767.227051,-1164.840820,143.398209,832.298279,-694.544800,775.039307,990.513916,-682.686096,776.514160,944.123962,-905.568115,491.701080,903.748474,-904.354736,490.468170,976.976562,-884.644531,482.610168
3760,0,519.573730,-577.075928,1604.733643,600.769836,-576.715515,1601.840088,505.151520,-755.416016,1568.706543,624.272034,-752.486877,1569.471313,495.530853,-645.660278,1458.649292,635.670227,-640.058655,1463.500977,565.799255,-780.629456,1443.195923,559.181213,-855.412903,1193.800171,573.116516,-636.465820,1333.063110,568.548889,-593.570862,1221.252319,695.054199,-858.144836,1299.023682,360.754791,-699.541260,1374.794922,314.317688,-708.257202,1204.512207,307.716309,-714.164185,1083.630859,,,,313.916992,-616.822571,989.470154,389.805145,-547.166748,916.179382,330.766174,-574.422852,885.073181,380.798309,-464.205719,829.181641,336.021576,-535.087708,832.146423,790.454834,-711.838257,1373.182251,823.570557,-752.707581,1208.590210,820.837769,-805.695129,1095.102905,,,,874.724915,-759.756714,979.357422,900.670166,-676.310730,891.520081,855.228577,-719.933716,852.342285,952.926575,-704.378906,789.028076,873.742065,-718.563965,800.504395,476.565369,-647.723694,886.054932,698.395691,-625.363342,914.167847,531.767212,-864.526306,906.565063,656.151550,-862.034180,911.083252,425.406586,-719.207825,900.940125,765.223511,-697.110840,925.965027,406.934631,-711.582031,808.987244,412.783142,-725.958130,654.655640,420.443634,-678.572693,584.669067,427.756073,-751.441040,540.478088,429.721222,-799.837769,609.025635,433.362213,-769.533264,437.750000,,,,432.904541,-860.830566,368.930206,441.756592,-861.815857,303.708313,455.955597,-949.922363,312.249054,457.876282,-945.452454,371.976227,487.888519,-1050.941406,183.270523,,,,533.630554,-1128.689575,222.038162,583.048218,-981.744873,43.766426,781.092773,-652.747864,823.990723,509.403107,-1029.552368,53.174435,770.497559,-653.997742,699.966919,741.942810,-571.697266,683.073669,733.050903,-592.829102,599.749451,758.006958,-677.398315,618.847290,715.475708,-607.225037,455.191833,,,,701.605713,-660.842590,345.181671,713.826172,-580.535400,300.960144,698.586975,-610.375366,252.699799,676.624207,-684.819519,296.089722,656.703552,-604.828918,79.718742,,,,600.957642,-657.456909,36.680779,639.969727,-406.145508,43.305111,694.501648,-466.370270,42.840858,,,,1092.168335,-973.681396,351.288177,758.006348,-982.608215,349.472198,766.808228,-1153.606812,143.428757,833.375305,-684.293091,775.954590,991.627441,-672.846985,777.438965,944.708618,-896.033386,492.766144,904.295166,-894.522095,491.428101,977.536133,-875.098022,483.140259
3761,0,520.242798,-566.879333,1605.810547,601.532349,-566.691345,1603.183105,505.834290,-745.372314,1569.794067,624.904663,-742.335083,1570.499146,496.186981,-635.753601,1459.722656,636.324707,-629.944763,1464.501343,566.467957,-770.880554,1444.048828,559.579590,-845.262329,1194.669189,573.688416,-626.546936,1334.140015,569.201355,-583.101685,1222.397583,695.651611,-847.984680,1299.748291,361.047668,-689.798523,1375.807983,314.772186,-699.458313,1205.581909,308.219177,-706.357971,1084.712769,,,,313.795990,-610.495667,989.085876,389.797455,-539.811523,914.368591,330.120422,-569.475464,883.963562,379.650879,-460.497375,825.893311,334.860168,-531.194641,830.432495,791.110046,-701.706360,1374.086548,824.189575,-742.613403,1209.553955,821.508911,-795.372498,1095.944946,,,,875.542664,-749.533203,980.338074,901.638916,-666.286133,892.436096,856.237061,-709.831665,853.241028,953.873291,-694.306519,790.121887,874.715454,-708.445984,801.387329,478.609833,-636.681702,886.935791,700.795105,-615.206726,914.707947,531.846375,-853.807739,905.728394,656.264465,-852.126892,911.538818,426.388641,-707.750183,900.981262,766.729919,-687.932739,926.685303,407.600433,-698.160095,809.295837,411.183624,-707.800049,654.391052,419.229767,-658.270935,585.381775,424.776398,-730.825928,539.669739,426.529572,-780.739929,606.824951,429.713806,-746.059082,437.202484,,,,429.522278,-838.738342,371.488495,438.463043,-842.294067,306.845673,452.757874,-929.474976,317.742340,454.357361,-923.377563,377.326599,484.172546,-1034.024048,193.058441,,,,528.600586,-1109.975952,236.821747,580.327332,-971.633606,46.403915,782.557861,-644.885986,824.052429,507.101074,-1019.648804,60.666424,771.043091,-646.722168,700.072083,743.986206,-564.585571,682.391296,733.868225,-585.548950,599.576355,757.739929,-671.063904,619.517761,716.031311,-601.757080,455.128326,,,,701.270813,-657.556213,345.914062,714.117798,-577.791748,300.444916,698.958740,-607.682556,252.138199,675.965210,-682.533142,297.915558,656.497864,-604.411377,79.776276,,,,600.981750,-657.382935,36.612083,640.013306,-406.084198,43.307735,694.706299,-466.247498,43.143391,,,,1092.456055,-964.359680,351.881653,758.252441,-972.176880,350.207397,766.417664,-1142.374390,143.433273,834.478394,-673.937988,776.851440,992.742920,-663.040405,778.377563,945.305237,-886.441223,493.908997,904.878967,-884.612061,492.436310,978.328918,-865.227905,484.272766
