Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,0.0288773
1,1,-0.0120544
1,2,-0.0244141
1,3,-0.0335693
1,4,-0.0087738
1,5,0.00961304
1,6,0.0279236
1,7,0.0637054
1,8,0.0803375
1,9,0.0909042
2,0,0.0832367
2,1,0.0980759
2,2,0.0814819
2,3,0.0502777
2,4,0.0248718
2,5,0.0711823
2,6,0.0220108
2,7,-0.00873566
2,8,-0.0543976
2,9,-0.0935364
3,0,-0.0845718
3,1,-0.0764084
3,2,-0.0393295
3,3,0.0225449
3,4,0.0328064
3,5,0.0389099
3,6,0.0649261
3,7,0.0416565
3,8,0.0461578
3,9,0.0282288
4,0,0.0333023
4,1,0.0408936
4,2,-0.0160599
4,3,-0.0671768
4,4,-0.0978851
4,5,-0.131149
4,6,-0.110779
4,7,-0.116196
4,8,-0.0908661
4,9,-0.0389099
5,0,0.000648499
5,1,-0.0234222
5,2,-0.00865936
5,3,0.0164413
5,4,0.0453949
5,5,-0.0372696
5,6,0.0405121
5,7,-0.0533676
5,8,0.0278854
5,9,-0.0454712
6,0,-0.114861
6,1,-0.148125
6,2,-0.161247
6,3,-0.156975
6,4,-0.0608826
6,5,-0.145454
6,6,-0.0548935
6,7,-0.0867462
6,8,0.00621796
6,9,-0.0120926
7,0,0.0590515
7,1,-0.00164032
7,2,0.0149155
7,3,-0.0459671
7,4,0.0135422
7,5,-0.0416565
7,6,-0.0687408
7,7,-0.09552
7,8,-0.0843048
7,9,-0.126495
8,0,-0.100441
8,1,-0.15522
8,2,-0.054245
8,3,-0.0695801
8,4,-0.0304031
8,5,-0.00991821
8,6,0.0445175
8,7,0.0381088
8,8,0.0613403
8,9,0.0124359
9,0,0.0349426
9,1,0.0127792
9,2,-0.0196075
9,3,-0.0388336
9,4,-0.078125
9,5,-0.136566
9,6,-0.0791931
9,7,-0.0789642
9,8,-0.0550079
9,9,-0.00968933
10,0,-0.00125885
10,1,0.0248718
10,2,0.0805664
10,3,0.0767517
10,4,0.053215
10,5,0.0661469
10,6,0.0737381
10,7,0.0696945
10,8,0.0481796
10,9,0.0946426
11,0,-0.0386047
11,1,-0.0657654
11,2,-0.0791168
11,3,-0.0780869
11,4,-0.0376892
11,5,0.0142288
11,6,0.0295639
11,7,0.0593185
11,8,0.0798035
11,9,0.106277
12,0,0.08255
12,1,0.11116
12,2,0.0980759
12,3,0.0498962
12,4,0.0677109
12,5,0.0898743
12,6,0.0363159
12,7,-0.0128174
12,8,-0.0328827
12,9,-0.0642776
13,0,-0.0234222
13,1,0.0087738
13,2,0.0579071
13,3,0.0611496
13,4,0.0593567
13,5,0.0752258
13,6,0.128326
13,7,0.119972
13,8,0.118904
13,9,0.141754
14,0,0.0636673
14,1,0.0891876
14,2,0.14164
14,3,0.0358963
14,4,-0.0694656
14,5,-0.0506592
14,6,-0.0363541
14,7,-0.0453186
14,8,0.0560379
14,9,0.0216293
15,0,0.067215
15,1,0.0166321
15,2,0.0941849
15,3,0.0769424
15,4,0.121956
15,5,0.0854111
15,6,0.0475311
15,7,0.123863
15,8,0.0754547
15,9,0.0344086
16,0,0.000724792
16,1,-0.0699615
16,2,-0.0787735
16,3,-0.0550842
16,4,-0.06073
16,5,-0.0387955
16,6,0.022049
16,7,0.0368118
16,8,0.0334549
16,9,0.0939941
17,0,0.0667953
17,1,0.0457382
17,2,0.0579453
17,3,0.0497818
17,4,0.0325775
17,5,0.0326157
17,6,-0.0104523
17,7,-0.0436783
17,8,-0.0906754
17,9,-0.0935745
18,0,-0.097084
18,1,-0.0737381
18,2,-0.0563812
18,3,-0.00896454
18,4,-0.00728607
18,5,0.017662
18,6,0.0536728
18,7,0.0222015
18,8,0.0259399
18,9,0.021553
19,0,0.000762939
19,1,0.0228882
19,2,-0.0109863
19,3,-0.0553513
19,4,-0.0915909
19,5,-0.154839
19,6,-0.147133
19,7,-0.122032
19,8,-0.105629
19,9,-0.0722122
20,0,-0.0441742
20,1,-0.0154114
20,2,0.0037384
20,3,0.0119019
20,4,0.00114441
20,5,-0.0452042
20,6,-0.042305
20,7,-0.0297165
20,8,-0.0218201
20,9,-0.0418854
21,0,-0.0779724
21,1,-0.13443
21,2,-0.158119
21,3,-0.169754
21,4,-0.154533
21,5,-0.106468
21,6,-0.0725555
21,7,-0.0495148
21,8,-0.030365
21,9,0.000114441
22,0,0.0111008
22,1,-0.00938416
22,2,0.00202179
22,3,-0.0217056
22,4,-0.014801
22,5,-0.03479
22,6,-0.0439453
22,7,-0.122757
22,8,-0.112228
22,9,-0.171852
23,0,-0.145264
23,1,-0.106125
23,2,-0.0873184
23,3,-0.057106
23,4,-0.0050354
23,5,0.0126266
23,6,0.0517654
23,7,0.0152969
23,8,0.0232697
23,9,0.0363159
24,0,0.0031662
24,1,-0.00610352
24,2,0.0304794
24,3,-0.00759125
24,4,-0.0774384
24,5,-0.097847
24,6,-0.0895691
24,7,-0.0691605
24,8,-0.044899
24,9,-0.0177002
25,0,-0.0019455
25,1,0.0468826
25,2,0.0213242
25,3,0.0808716
25,4,0.0896835
25,5,0.0868607
25,6,0.086937
25,7,0.0720215
25,8,0.0880432
25,9,0.075531
26,0,-0.0172806
26,1,-0.0559616
26,2,-0.0468826
26,3,-0.066185
26,4,-0.037384
26,5,0.0299454
26,6,0.0458908
26,7,0.076828
26,8,0.120583
26,9,0.1688
27,0,0.125504
27,1,0.0899506
27,2,0.0832367
27,3,0.135536
27,4,0.110703
27,5,0.099144
27,6,0.0688553
27,7,0.0190735
27,8,0.0178146
27,9,-0.0012207
28,0,0.00209808
28,1,0.00133514
28,2,0.0643539
28,3,0.0285721
28,4,0.0871277
28,5,0.120163
28,6,0.122948
28,7,0.121574
28,8,0.141754
28,9,0.0963211
29,0,0.140114
29,1,0.133591
29,2,0.105553
29,3,0.0463867
29,4,0.0230026
29,5,-0.0519562
29,6,-0.0261688
29,7,-0.0109863
29,8,0.00205994
29,9,0.0312424
30,0,0.0457382
30,1,0.0710678
30,2,0.0416565
30,3,0.0835037
30,4,0.101624
30,5,0.0661469
30,6,0.0833511
30,7,0.0983047
30,8,0.0242996
30,9,0.0296783
31,0,-0.0234604
31,1,-0.0894547
31,2,-0.0623322
31,3,-0.102386
31,4,-0.0827026
31,5,-0.00740051
31,6,0.0487137
31,7,0.00183105
31,8,0.00961304
31,9,0.0493622
32,0,0.0205231
32,1,0.0214005
32,2,0.0269699
32,3,0.00175476
32,4,0.103874
32,5,0.00804901
32,6,0.00038147
32,7,-0.0535965
32,8,-0.141144
32,9,-0.157585
33,0,-0.137711
33,1,-0.135956
33,2,-0.10643
33,3,-0.0369263
33,4,-0.0549698
33,5,0.00892639
33,6,-0.0168228
33,7,-0.0239563
33,8,-0.0365448
33,9,-0.0364685
