Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LBR
All Timesteps RMSE,0.0077107,0.00513248,0,0,0,0.0339266,0.0178787,0.0168432,0.00564421,0,0,0,0.0116768,0,0.0220029,0.00888645,0.0355194,0.0177465,0.0208904,0.0176361,0,0,0.00492986,0.00959466,0.0100285,0.014104,0.0119952,0.0301062,0.0122614,0.0138457,0.00933666,0.0227662,0,0.0423377,0,0.0106204,0.00992344,0.00737326,0.0167206,0.0157051,0.0176369,0.00960062,0.0103527,0,0,0.0156017,0,0.0152021,0.00837706,0.0369954,0.0280283,0.0280257,0.0144624,0.00990163,0.0158052,0.00633758,0.0234076,0.00813732,0.00795876,0.0191266,0.0284428,0.0159233,0.022612,0.0203436,0.00590377,0.00442086,0.00896085,0.00615751,0.00749868,0,0,0,0,0
0,0.0051502,0.0036939,0,0,0,0.0646838,0.0158704,0.030763,0.0051495,0,0,0,0.0139296,0,0.0202144,0.00930885,0.0336545,0.0216287,0.0132216,0.014873,0,0,0.00151095,0.0049927,0.00842351,0.00621278,0.011218,0.0365978,0.0101391,0.0149139,0.0106322,0.0242035,0,0.077197,0,0.00923006,0.00249701,0.00428553,0.00721453,0.0165616,0.0128603,0.00569432,0.00716816,0,0,0.0183794,0,0.014516,0.00965017,0.031594,0.0240163,0.034235,0.012037,0.00711632,0.0162657,0.0102484,0.0271083,0.0144309,0.0137418,0.011163,0.0335744,0.0052398,0.0155309,0.00583066,0.00955398,0.0074814,0.0101474,0.0049652,0.0075123,0,0,0,0,0
1,0.00491585,0.00398304,0,0,0,0.0679807,0.0158473,0.0309132,0,0,0,0,0.012892,0,0.020075,0.0086288,0.0334609,0.0195523,0.0138472,0.0156237,0,0,0.00156389,0.00493473,0.00823318,0.00593733,0.0107734,0.0363151,0.010919,0.0158705,0.00995712,0.0250782,0,0.0828969,0,0.00845485,0.00262286,0.00386362,0.00697435,0.0165089,0.0124319,0.00535556,0.00705882,0,0,0.0177527,0,0.0146045,0.00942676,0.0320974,0.0234596,0.0343301,0.0118038,0.00681118,0.0160429,0.0102386,0.0274487,0.0145868,0.013581,0.0113462,0.0335095,0.00522562,0.0156,0.00555818,0.0093298,0.00745855,0.0101186,0.00477242,0.00773281,0,0,0,0,0
2,0.00537758,0.00338078,0,0,0,0.0704125,0.0157856,0.0317295,0.00469362,0,0,0,0.0120966,0,0.0201344,0.00833154,0.033495,0.0187052,0.0141833,0.0163204,0,0,0.00145593,0.00535752,0.00808667,0.00612335,0.0102028,0.0360448,0.0114557,0.0167538,0.00954561,0.0254839,0,0.0871327,0,0.00766587,0.00259552,0.00362659,0.00685058,0.0164928,0.0123079,0.00487072,0.0077974,0,0,0.0177876,0,0.0146656,0.00960852,0.0321682,0.0233494,0.0342396,0.0116464,0.00593385,0.0162579,0.0102519,0.0277707,0.0146407,0.0134177,0.0116801,0.0334213,0.00533388,0.0159533,0.00577676,0.00949467,0.00782927,0.0102903,0.00439221,0.00810592,0,0,0,0,0
3,0.00598749,0.00273465,0,0,0,0.0724256,0.0156463,0.0326976,0.00478449,0,0,0,0.0117217,0,0.0202065,0.00826443,0.033371,0.0189925,0.0144679,0.0168941,0,0,0.00133547,0.00636187,0.00796866,0.00638886,0.00985322,0.035739,0.0119461,0.0176205,0.00947134,0.0257315,0,0.0903114,0,0.00706979,0.00256846,0.00354865,0.00689976,0.0165281,0.0122868,0.00433477,0.00855997,0,0,0.0180497,0,0.0147161,0.00996363,0.0320694,0.0230828,0.0339746,0.0115449,0.00496179,0.0163806,0.0101475,0.0280264,0.014868,0.0132189,0.0120631,0.0332938,0.00542066,0.0166085,0.0064395,0.00980977,0.00825563,0.0105419,0.0039273,0.00849827,0,0,0,0,0
4,0.00705858,0.00258822,0,0,0,0.0738498,0.0155272,0.0337293,0.00510473,0,0,0,0.0116943,0,0.0203199,0.00841595,0.033275,0.020103,0.0147456,0.0174897,0,0,0.00114102,0.00819748,0.00781011,0.00660456,0.00979665,0.0353934,0.0124721,0.0184773,0.00964581,0.0260432,0,0.0927352,0,0.00654451,0.0025543,0.00357873,0.00708139,0.0165284,0.0122107,0.00378105,0.00973868,0,0,0.0182404,0,0.0147368,0.0102231,0.0319848,0.0230033,0.0336888,0.0115497,0.00405565,0.016635,0.0100053,0.028339,0.0149736,0.0130243,0.0123123,0.0331559,0.00545257,0.0172908,0.00714393,0.0100997,0.00841841,0.0106563,0.00371203,0.0091992,0,0,0,0,0
5,0.00934918,0.00970718,0,0,0,0.0749933,0.0160778,0.0347886,0,0,0,0,0.00908703,0,0.0201084,0.00692804,0.032983,0.021648,0.0148035,0.0182196,0,0,0.00100828,0.0181436,0.00757679,0.00655415,0.00985829,0.0349278,0.0130284,0.019062,0.00980886,0.02643,0,0.094676,0,0.00379848,0.00290282,0.00308688,0.00724841,0.0164998,0.012176,0.00305783,0.0115249,0,0,0.0149822,0,0.0148698,0.00833613,0.0320518,0.0233214,0.0335307,0.0115562,0.00361608,0.0165621,0.00969022,0.0286137,0.014942,0.0127839,0.0125216,0.0329657,0.00551579,0.0179283,0.00813971,0.00676692,0.00712524,0.0102248,0.0100212,0.0115096,0,0,0,0,0
6,0.0289419,0.0250393,0,0,0,0.0754582,0.01758,0.0353299,0,0,0,0,0.00586342,0,0.0191803,0.00304604,0.03278,0.0220961,0.015531,0.0186342,0,0,0.00343144,0.0312329,0.00759785,0.00742503,0.00982839,0.034713,0.013447,0.0199457,0.0100493,0.0266431,0,0.0960942,0,0.0114892,0.00359585,0.00200285,0.00679317,0.0167352,0.0115882,0.00290484,0.0142991,0,0,0.0141829,0,0.0146351,0.00685259,0.0318998,0.0227651,0.0340559,0.010262,0.00593381,0.0180029,0.00909405,0.0279433,0.0139477,0.012005,0.0119943,0.03263,0.00553739,0.0175132,0.00785067,0.0125409,0.00640154,0.00982025,0.0180216,0.015641,0,0,0,0,0
7,0.00702549,0.00673019,0,0,0,0.0753318,0.015756,0.0359066,0.00593912,0,0,0,0.00703866,0,0.0203578,0.00550082,0.0326245,0.0234057,0.0153473,0.0190533,0,0,0.000902953,0.0134151,0.00699867,0.00675207,0.009613,0.0337485,0.0137812,0.0200094,0.0101327,0.0268639,0,0.0960539,0,0.00302407,0.002437,0.00228123,0.00783219,0.0162512,0.0124497,0.00252012,0.00771411,0,0,0.0172835,0,0.014887,0.00893131,0.0316685,0.0244596,0.0331035,0.0119466,0.00295473,0.0129812,0.00928556,0.0288423,0.0152715,0.0124895,0.0133991,0.0326077,0.00582935,0.0192758,0.00985029,0.00803772,0.00709406,0.0103413,0.00507528,0.00927835,0,0,0,0,0
8,0.00517758,0.00420544,0,0,0,0.0747222,0.0153822,0.0358516,0,0,0,0,0.00571941,0,0.0208166,0.00463415,0.0322675,0.0241488,0.0151207,0.0191885,0,0,0.000772136,0.0096912,0.00648791,0.00608598,0.00942917,0.0327903,0.0137909,0.0200059,0.0102743,0.0269278,0,0.0949294,0,0.00259826,0.00270757,0.00206623,0.0082388,0.0160174,0.0130088,0.00196231,0.0105224,0,0,0.0171431,0,0.0150193,0.00874589,0.0317518,0.0253914,0.0326902,0.0119982,0.0023388,0.0171768,0.0090827,0.0287916,0.0152554,0.0122809,0.0142916,0.0324736,0.00635647,0.0203517,0.0105483,0.00742229,0.00674812,0.010206,0.00412884,0.00900981,0,0,0,0,0
