Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,RTIBI,x73
All Timesteps RMSE,0.0139909,0.0155906,0,0,0,0.046122,0.0209835,0.0279205,0.0105076,0,0,0,0,0.0163915,0,0.0168527,0.00873274,0.0363735,0.0317734,0.0235077,0.0216924,0,0,0.0236407,0.0134471,0.0127177,0.0228413,0.0173377,0.0356838,0.0153608,0.0230455,0.0149078,0.0148828,0,0.0548807,0,0.00953652,0.00491245,0.00571722,0.0205656,0.0128032,0.02148,0.0108092,0.00799168,0,0,0.0156463,0,0.00987549,0.00950697,0.0365715,0.0278763,0.0278818,0.0117689,0.0233372,0.0212825,0.014325,0.0139309,0.0146431,0.0166023,0.0148692,0.025328,0.0182999,0.0278496,0.0130548,0.00877923,0.00618054,0.0186362,0.0150234,0,0,0,0.0142395,0
0,0.0150158,0.0139113,0,0,0,0.019387,0.0224921,0.0198874,0.00487162,0,0,0,0,0.0188886,0,0.0162754,0.0118547,0.0353016,0.0202512,0.0245618,0.00289298,0,0,0.0134333,0.0148638,0.00494162,0.00751039,0.00896961,0.031803,0.00837231,0.011036,0.013344,0.015751,0,0.0213927,0,0.0126913,0.0064603,0.00523109,0.0305277,0.013371,0.0201991,0.00860113,0.00978044,0,0,0.00734948,0,0.0098044,0.00628452,0.0360223,0.0342643,0.0242782,0.00375055,0.0228336,0.0203279,0.01429,0.0138321,0.0143916,0.0178855,0.0207004,0.0116666,0.0262609,0.0343726,0.0104802,0.00685568,0.00580379,0.016979,0.0111387,0,0,0,0,0
1,0.0148038,0.014634,0,0,0,0.019581,0.0214432,0.019976,0.00504315,0,0,0,0,0.0192307,0,0.0167432,0.0108523,0.0354535,0.0201116,0.0244246,0.00283632,0,0,0.0147179,0.0152095,0.0047665,0.00710801,0.00864002,0.0315849,0.00813123,0.0109024,0.0131647,0.0154579,0,0.0204716,0,0.0117659,0.00526657,0.00541889,0.0294027,0.0132631,0.0189101,0.00800025,0.00995245,0,0,0.00831232,0,0.00983764,0.00698472,0.0354588,0.03407,0.0235297,0.00429125,0.0236833,0.0202691,0.0148986,0.0136461,0.0154138,0.0187352,0.022263,0.0108134,0.0284097,0.0351387,0.0108721,0.00713972,0.00607826,0.0178699,0.0121533,0,0,0,0,0
2,0.0151708,0.0155408,0,0,0,0.0198328,0.0212904,0.0201112,0.00534927,0,0,0,0,0.0195217,0,0.0167329,0.0104801,0.0353997,0.0200299,0.0243288,0.00316974,0,0,0.015957,0.0158141,0.00451912,0.00663431,0.00807724,0.0314277,0.00812547,0.0108383,0.0130683,0.0152468,0,0.0199914,0,0.0114162,0.0050392,0.00575951,0.0269838,0.0132102,0.0159177,0.00769436,0.010309,0,0,0.00948671,0,0.00990661,0.00777425,0.035135,0.0329157,0.0228371,0.00372621,0.0242183,0.0206803,0.0156917,0.0138659,0.016912,0.0200599,0.0226357,0.0107385,0.0291298,0.03694,0.0115585,0.00743813,0.00635649,0.0186349,0.0130223,0,0,0,0.019717,0
3,0.0157069,0.0163394,0,0,0,0.0203735,0.0215326,0.0202247,0.00573216,0,0,0,0,0.0195427,0,0.0165925,0.0102035,0.0352869,0.0198907,0.0241679,0.00342024,0,0,0.0170314,0.0164426,0.00434149,0.00632395,0.00765819,0.0314445,0.00807991,0.0106871,0.0129924,0.0151017,0,0.0200077,0,0.0111416,0.0050848,0.00591074,0.025893,0.013256,0.0153916,0.00774493,0.0106525,0,0,0.0109203,0,0.0099347,0.00854601,0.0351787,0.0347114,0.0225531,0.00376933,0.0242923,0.0211874,0.0165622,0.0137135,0.0180994,0.0210339,0.0232797,0.0102973,0.030308,0.0410424,0.0122445,0.00775621,0.00620656,0.0192129,0.0138487,0,0,0,0,0
4,0.0162537,0.0169482,0,0,0,0.0207118,0.0219249,0.0200093,0.00618537,0,0,0,0,0.0193326,0,0.0164783,0.00989776,0.0352018,0.0193921,0.0239951,0.0037029,0,0,0.018063,0.0169277,0.00416361,0.00610943,0.0072997,0.0316501,0.00814794,0.0105743,0.0129319,0.0149433,0,0.0199547,0,0.0107954,0.00509131,0.00594916,0.0259489,0.0133264,0.0130592,0.00773858,0.0110286,0,0,0.0120539,0,0.00990614,0.00939642,0.0354813,0.0348511,0.0223177,0.0033459,0.024151,0.0216992,0.0173169,0.0142138,0.0192907,0.0219308,0.0226707,0.0109284,0.029655,0.0443712,0.0128886,0.00800034,0.0060784,0.0196718,0.0147307,0,0,0,0.0184361,0
5,0.0165528,0.0172745,0,0,0,0.0206523,0.0220078,0.0192453,0.0068183,0,0,0,0,0.0189713,0,0.0163569,0.00961537,0.035273,0.0183318,0.0239595,0.00395777,0,0,0.0187471,0.0170329,0.00412548,0.00608599,0.00716215,0.032041,0.00814971,0.0104478,0.0128375,0.0145974,0,0.0196474,0,0.0104518,0.00508372,0.00588404,0.0260342,0.0134316,0.0121432,0.0077395,0.0111734,0,0,0.0131727,0,0.00988423,0.0101995,0.0359492,0.0351047,0.0224795,0.00373551,0.0235095,0.0219877,0.0176439,0.0142116,0.0197711,0.0218901,0.0225095,0.0112184,0.0291818,0.0449406,0.0133071,0.00822431,0.00625562,0.0199442,0.0153376,0,0,0,0.0179147,0
6,0.0165886,0.0173629,0,0,0,0.0205207,0.021945,0.0181917,0.00722253,0,0,0,0,0.0186447,0,0.0162967,0.00939613,0.0352506,0.0168802,0.0239863,0.00433711,0,0,0.0191121,0.0169084,0.00458042,0.00619358,0.00714116,0.0325673,0.00846425,0.010505,0.0129012,0.0142972,0,0.0194557,0,0.0103166,0.00511404,0.00586136,0.0249353,0.013481,0.0113412,0.00760602,0.0111161,0,0,0.014281,0,0.00986832,0.0107201,0.0362734,0.0335294,0.0227784,0.00439043,0.022511,0.022047,0.0174092,0.0140272,0.0195897,0.0214108,0.0224398,0.0114283,0.0285423,0.0428287,0.0135061,0.00848241,0.00645483,0.0199351,0.0156946,0,0,0,0.0175236,0
7,0.0164398,0.0172392,0,0,0,0.0205132,0.0219613,0.0171412,0.00745396,0,0,0,0,0.0182529,0,0.0163598,0.00920439,0.0351571,0.0153518,0.0240589,0.00471941,0,0,0.0193386,0.0166118,0.00508585,0.00639166,0.0073609,0.0331063,0.00886229,0.010713,0.0129874,0.0140266,0,0.0195005,0,0.0103293,0.00514916,0.00580549,0.0228778,0.0135255,0.0106361,0.00723316,0.0108671,0,0,0.0148005,0,0.00988578,0.0109733,0.0363514,0.0309271,0.0231297,0.00521218,0.0214193,0.0219447,0.0169278,0.013675,0.0190622,0.020874,0.0223612,0.0116189,0.0278627,0.0394566,0.0135636,0.00871134,0.00655582,0.0196983,0.01589,0,0,0,0.0170963,0
8,0.016283,0.0171029,0,0,0,0.0205944,0.0219663,0.0163067,0.00771347,0,0,0,0,0.0180019,0,0.01642,0.00907147,0.035088,0.0140253,0.0239949,0.00511184,0,0,0.0196608,0.0162015,0.00545664,0.00651936,0.00754514,0.033553,0.00917888,0.0107761,0.012873,0.0136989,0,0.0197269,0,0.0102896,0.00517404,0.00575388,0.0204817,0.0135442,0.00992967,0.00652437,0.0106359,0,0,0.0150533,0,0.00992461,0.0111225,0.0362106,0.0276918,0.0234202,0.00622555,0.0205733,0.0218651,0.0164814,0.0132237,0.0186374,0.0204604,0.0221949,0.0118015,0.0270936,0.0357883,0.0136171,0.00895044,0.00659522,0.019474,0.0161218,0,0,0,0.0166528,0
