Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0.0173466,0.014769,0,0,0,0.0432673,0.0197103,0.0292809,0.00947427,0,0,0,0,0.0174593,0,0.017941,0.0101139,0.0360785,0.0282756,0.0206683,0.0127352,0,0,0.0200008,0.0154621,0.0104625,0.016166,0.011825,0.0340501,0.0116518,0.0176809,0.0146897,0.0138374,0,0.0477293,0,0.0132949,0.00444601,0.00505594,0.0365692,0.0149825,0.0329842,0.0131058,0.00819797,0,0,0.0206486,0,0.0113071,0.0124154,0.0358138,0.0341156,0.027756,0.0196858,0.0222915,0.01648,0.017724,0.0193967,0.0230239,0.0193143,0.0179331,0.0223094,0.0151666,0.0204326,0.0370204,0.0138462,0.00626531,0.00553175,0.0124582,0.0112716,0,0,0,0
0,0.017902,0.0178032,0,0,0,0.0345598,0.0210852,0.0295334,0.0125719,0,0,0,0,0.0225292,0,0.0169608,0.0115681,0.0386386,0.0343626,0.0159127,0.0243233,0,0,0.0263012,0.0175948,0.0203128,0.0308233,0.0171985,0.0282368,0.0125367,0.00902044,0.0136668,0.0152562,0,0.0372868,0,0.0134921,0.00443607,0.00586251,0.0307293,0.0157183,0.0301824,0.0189935,0.0113619,0,0,0.0154718,0,0.0107406,0.00992527,0.0356705,0.0312661,0.0265531,0.0155459,0.0356131,0.020721,0.0223911,0.0229773,0.0265425,0.0216327,0.0195933,0.0200485,0.0145662,0.0250619,0.0291271,0.0133935,0.00697354,0.00528397,0.0168445,0.0138232,0,0,0,0
1,0.0175589,0.0174727,0,0,0,0.0344423,0.0208747,0.0306089,0.0120504,0,0,0,0,0.0222306,0,0.0170235,0.0117498,0.0391848,0.035035,0.016565,0.0215745,0,0,0.0259576,0.0172379,0.0188283,0.028894,0.0144565,0.0281479,0.0112452,0.00903511,0.0135558,0.0148028,0,0.0348824,0,0.0133414,0.00441658,0.0057596,0.0299436,0.0157878,0.0294286,0.0191494,0.01085,0,0,0.0163505,0,0.0109393,0.0103017,0.0360573,0.0312225,0.0266785,0.0154367,0.0353409,0.0202681,0.0222869,0.0223445,0.0259671,0.0215338,0.0193337,0.0199937,0.0142686,0.0245468,0.0282142,0.013587,0.00705815,0.00526622,0.0165162,0.0136344,0,0,0,0
2,0.0171759,0.0169684,0,0,0,0.0361275,0.0206779,0.0314498,0.0112767,0,0,0,0,0.0219463,0,0.0170777,0.0116884,0.0395361,0.0353048,0.0172405,0.0192249,0,0,0.0253017,0.016825,0.0169596,0.0263166,0.0116658,0.0283811,0.00997541,0.00967496,0.0137598,0.0141883,0,0.0344434,0,0.0132607,0.00435118,0.00563129,0.0297912,0.0156316,0.0294346,0.0192283,0.0103408,0,0,0.0167676,0,0.0109918,0.0104319,0.0363721,0.0311736,0.0268944,0.015442,0.0347028,0.0197085,0.022124,0.0219024,0.0256094,0.0213763,0.0191385,0.0200835,0.0140145,0.0241195,0.027747,0.013594,0.00732185,0.0052942,0.0161711,0.0133872,0,0,0,0
3,0.0166829,0.0163086,0,0,0,0.0390346,0.0205379,0.0322542,0.0101715,0,0,0,0,0.0214825,0,0.017058,0.0115561,0.0394879,0.0353268,0.0180893,0.0166534,0,0,0.0240209,0.0162233,0.0144822,0.0226995,0.00896514,0.0292629,0.00848707,0.0103917,0.0139706,0.0135839,0,0.0364989,0,0.0131357,0.00432869,0.00542672,0.0303944,0.0154508,0.0301041,0.0190845,0.00974278,0,0,0.0169408,0,0.0110201,0.0104429,0.036663,0.0312856,0.0271638,0.0154298,0.0334144,0.0189838,0.0217588,0.0215812,0.0252497,0.0210348,0.0188121,0.0203905,0.013807,0.023599,0.0279338,0.0134373,0.00762656,0.00536083,0.015659,0.0129838,0,0,0,0
4,0.0161268,0.0155588,0,0,0,0.041924,0.0205601,0.0332065,0.00889314,0,0,0,0,0.0211532,0,0.0172543,0.0117024,0.0391507,0.0356012,0.0191013,0.0136457,0,0,0.0223478,0.0156808,0.0115587,0.0186876,0.00719919,0.0307539,0.00667941,0.0108468,0.0139623,0.0132808,0,0.039453,0,0.013171,0.00434603,0.00533163,0.0315198,0.0153928,0.0310785,0.0187206,0.00901429,0,0,0.0170345,0,0.0110944,0.0104315,0.0369401,0.0319976,0.0274912,0.0153293,0.0317416,0.0182886,0.0212375,0.0211842,0.0247924,0.0205009,0.0183284,0.0207476,0.0136294,0.0229045,0.0286232,0.0131897,0.00780773,0.00543591,0.0150583,0.0124064,0,0,0,0
5,0.0154655,0.0146318,0,0,0,0.0436834,0.0204839,0.0341215,0.00769339,0,0,0,0,0.0208111,0,0.0174357,0.0117946,0.0386778,0.0364744,0.0203055,0.0102695,0,0,0.0203541,0.0151313,0.00908326,0.014942,0.00745214,0.0326334,0.00492297,0.0111464,0.013769,0.0138137,0,0.0415664,0,0.0132207,0.00436392,0.00528478,0.0326449,0.0152533,0.0321938,0.0182585,0.00809575,0,0,0.0168458,0,0.0111241,0.0102414,0.0372465,0.0327133,0.0278016,0.0153623,0.0297472,0.0174441,0.0206174,0.0207833,0.0243286,0.0198941,0.0178501,0.0209919,0.013434,0.0222206,0.0293376,0.0128225,0.00791791,0.00551472,0.0143331,0.0116831,0,0,0,0
6,0.0148057,0.0137831,0,0,0,0.0439738,0.0201999,0.0345048,0.00697473,0,0,0,0,0.0205049,0,0.0176008,0.0117659,0.0382624,0.0371266,0.0215708,0.00669188,0,0,0.0184511,0.0144789,0.00825341,0.0121752,0.00901607,0.0343796,0.00439764,0.0113662,0.0136504,0.0152585,0,0.0421024,0,0.0132142,0.0043142,0.00520172,0.0331264,0.0151971,0.0329518,0.017852,0.0071854,0,0,0.0166533,0,0.011189,0.0100588,0.0376099,0.0332138,0.0280857,0.0155645,0.0278797,0.016658,0.0200338,0.0205234,0.0238885,0.0194385,0.0175562,0.0211934,0.0132217,0.0217921,0.0294235,0.0123587,0.00786148,0.00554822,0.013669,0.010887,0,0,0,0
7,0.0142575,0.0130055,0,0,0,0.0434716,0.0198898,0.0343473,0.00671778,0,0,0,0,0.0201566,0,0.0177383,0.0117451,0.0381596,0.036836,0.0226962,0.0039231,0,0,0.0166882,0.0138066,0.00909917,0.0112464,0.0106798,0.0354992,0.00566423,0.0119733,0.0137915,0.0170292,0,0.0418931,0,0.013198,0.00427748,0.00511425,0.0332974,0.0150269,0.0336322,0.0174614,0.00635796,0,0,0.0162882,0,0.0111864,0.0097751,0.0379581,0.0338095,0.0283603,0.0161293,0.0262618,0.0158563,0.0196735,0.0201468,0.0237242,0.0192046,0.017729,0.0212264,0.0132479,0.0219139,0.0291501,0.0118973,0.00785137,0.00557933,0.012967,0.0100686,0,0,0,0
8,0.0138734,0.0122579,0,0,0,0.0421721,0.019712,0.033539,0.00652154,0,0,0,0,0.0197983,0,0.017805,0.0118001,0.038379,0.0353741,0.0236198,0.00354866,0,0,0.0149407,0.0132391,0.0104129,0.0116242,0.0116238,0.0359269,0.00733062,0.0128997,0.0142323,0.0183904,0,0.0410503,0,0.0131829,0.00430732,0.00501987,0.0335323,0.0149896,0.0345472,0.0170613,0.00564494,0,0,0.0160611,0,0.011244,0.00961473,0.0381827,0.034736,0.0285635,0.016783,0.0247145,0.015094,0.0195515,0.0197683,0.0236632,0.0190172,0.0180857,0.0211784,0.01354,0.0223462,0.0288102,0.0115794,0.00775534,0.00558464,0.0121387,0.00921071,0,0,0,0
