Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72
All Timesteps RMSE,0.0256512,0,0,0,0,0.0192962,0,0,0,0,0,0,0.033903,0.0287043,0.0300412,0.016562,0,0,0.029891,0,0.032122,0.017645,0.0408333,0.0287148,0.00554209,0.0111336,0.0224915,0.0502385,0.0157356,0.0143102,0.0135499,0.00693473,0.0123505,0.0120085,0.0173857,0.0363579,0.0316517,0.0155656,0.0151292,0.0161626,0.0363586,0.0137592,0.0149187,0.0314227,0,0,0.0274499,0,0.0377604,0.0194858,0.0369159,0.0123053,0.0151396,0.0108348,0.0202512,0.0408837,0.012208,0.0146914,0.00944672,0.0130477,0.0068432,0.0320866,0.0088829,0.0077775,0.0164185,0.0292308,0.0274101,0.0159226,0.022466,0.0263666,0,0
0,0.00679353,0,0,0,0,0.0351682,0,0,0,0,0,0,0.036943,0.0311491,0.0319221,0.0154334,0,0,0.0194183,0,0.0380013,0.0121248,0.0393955,0.0294884,0.00327613,0.0150119,0.020822,0.0518787,0.0170734,0.0174772,0.0160259,0.00876189,0.0140375,0.0122003,0.0171718,0.039372,0.0325477,0.0243594,0.0306831,0.0176966,0.0416274,0.015285,0.0141256,0.0302901,0,0,0.0240363,0,0.0452594,0.014582,0.0355281,0.0127029,0.0140893,0.0088638,0.0176064,0.0433829,0.0125063,0.0137349,0.00979908,0.0134786,0.00609057,0.0342573,0.00948414,0.00554458,0.0174409,0.0313797,0.0167617,0.00960918,0.0406832,0.0141362,0,0
1,0.0071697,0,0,0,0,0.0336477,0,0,0,0,0,0,0.0364593,0.0309529,0.0318393,0.0152601,0,0,0.023335,0,0.0364487,0.0111823,0.0395067,0.0293241,0.00325819,0.0149007,0.0205719,0.0521608,0.0170212,0.0173043,0.0159916,0.00869001,0.0139518,0.0120421,0.0171551,0.0394036,0.0335795,0.0239968,0.0279109,0.0175226,0.0413303,0.0151393,0.0142583,0.0295165,0,0,0.0251765,0,0.0453491,0.015264,0.0355155,0.0125442,0.0140369,0.00899839,0.0173155,0.0420526,0.012538,0.0136502,0.0096899,0.0135106,0.00613534,0.0341624,0.00944579,0.0055251,0.0173011,0.031123,0.0172207,0.00960378,0.0392539,0.0143978,0,0
2,0.0072723,0,0,0,0,0.0337422,0,0,0,0,0,0,0.0369958,0.0309558,0.0320223,0.0152212,0,0,0.0227598,0,0.0360818,0.0105358,0.0395216,0.0293811,0.00317612,0.0149266,0.0205363,0.0520778,0.0171049,0.0173262,0.0160657,0.00869579,0.0139744,0.0120499,0.0172289,0.0396409,0.0327692,0.0237141,0.0273169,0.0175432,0.0413785,0.0151567,0.0143277,0.0293638,0,0,0.0249302,0,0.045366,0.0152797,0.035487,0.0124641,0.0139748,0.0089918,0.017382,0.0420893,0.0125519,0.0136073,0.0096177,0.0135147,0.00611297,0.0341836,0.00944849,0.00549523,0.0173413,0.0310989,0.0173016,0.00970449,0.0393974,0.0144857,0,0
3,0.00752217,0,0,0,0,0.0337988,0,0,0,0,0,0,0.0374978,0.0311417,0.0322707,0.0152929,0,0,0.0219592,0,0.0356571,0.00988657,0.0395067,0.0295437,0.00309007,0.014993,0.0206993,0.0518278,0.0172211,0.0174012,0.016177,0.00877448,0.0140799,0.012144,0.0173487,0.0399573,0.0317521,0.0235345,0.0266765,0.0176154,0.0414653,0.0151851,0.0144046,0.0292436,0,0,0.0246928,0,0.0454193,0.0152912,0.0353944,0.0124536,0.0139618,0.00892955,0.0175715,0.0421185,0.0124944,0.0135756,0.00954335,0.0134916,0.00608337,0.0342165,0.00945683,0.00549145,0.0174025,0.031058,0.0172667,0.00973855,0.039571,0.0146954,0,0
4,0.00789569,0,0,0,0,0.0338064,0,0,0,0,0,0,0.0379018,0.0313616,0.0325264,0.0153399,0,0,0.0211107,0,0.0352226,0.00921905,0.0394384,0.0297618,0.00294757,0.0151412,0.0209615,0.0515024,0.0173514,0.0175413,0.0163288,0.0088968,0.0142313,0.0122003,0.0174565,0.0402975,0.0307277,0.0233053,0.0259375,0.0177861,0.0414569,0.015275,0.0144518,0.0291368,0,0,0.0244703,0,0.045378,0.015438,0.0353026,0.0125286,0.0139595,0.00877368,0.0177956,0.0421041,0.0124011,0.0135669,0.00953356,0.0134433,0.00600421,0.0342833,0.00947807,0.00548804,0.0175298,0.031106,0.0174052,0.00981371,0.0397263,0.0150187,0,0
5,0.008392,0,0,0,0,0.0338287,0,0,0,0,0,0,0.0379962,0.0315127,0.0327722,0.0153012,0,0,0.0202388,0,0.034712,0.00850141,0.0392948,0.0300349,0.00269967,0.0153995,0.0212788,0.051148,0.0175005,0.0177586,0.0165516,0.0090782,0.0144561,0.012256,0.0175469,0.0406978,0.0295778,0.022972,0.0251234,0.018058,0.0413446,0.0154518,0.0143599,0.0291153,0,0,0.02425,0,0.0452329,0.0157812,0.0352733,0.0127266,0.0138987,0.0085718,0.0180119,0.0420167,0.0123368,0.0135727,0.00958564,0.0133842,0.00581353,0.0343767,0.0094592,0.00536552,0.0177285,0.0311668,0.0175132,0.00996115,0.039908,0.0153879,0,0
6,0.00901918,0,0,0,0,0.0338229,0,0,0,0,0,0,0.0383835,0.0316491,0.0330484,0.0153242,0,0,0.0194105,0,0.0342486,0.00772261,0.0391409,0.030306,0.00243151,0.0157555,0.0215951,0.0507839,0.0176627,0.018034,0.0168257,0.0093182,0.0147443,0.0123205,0.0176524,0.0411863,0.0284619,0.0227339,0.0242665,0.0183265,0.04131,0.0156389,0.0141149,0.0291966,0,0,0.0241669,0,0.0451835,0.0160619,0.0352371,0.0129822,0.0138253,0.00837488,0.0182477,0.0419671,0.0122738,0.0135856,0.00965265,0.0133197,0.00557343,0.0344334,0.00940741,0.00516971,0.0179312,0.0312643,0.0175901,0.0101107,0.0400957,0.0158267,0,0
7,0.00923389,0,0,0,0,0.0334314,0,0,0,0,0,0,0.0379091,0.031643,0.0328137,0.0153781,0,0,0.0187751,0,0.0337831,0.00701617,0.0393008,0.0301607,0.00273198,0.0154792,0.020946,0.0498273,0.0174738,0.0177428,0.0165995,0.00902606,0.0144086,0.0122729,0.017467,0.0406723,0.0272474,0.0225197,0.0234316,0.0183851,0.0413444,0.0156674,0.014033,0.0290357,0,0,0.0241952,0,0.0452259,0.0161739,0.035298,0.0130002,0.0140297,0.0085002,0.017666,0.0416421,0.0122527,0.0136812,0.00974568,0.0133944,0.00501756,0.0340922,0.00909208,0.00472093,0.0181185,0.0312148,0.0174752,0.010152,0.039837,0.0159793,0,0
8,0.00953545,0,0,0,0,0.0329364,0,0,0,0,0,0,0.0374994,0.0315634,0.0324814,0.0154957,0,0,0.0183312,0,0.0332929,0.00659448,0.0394806,0.0298875,0.00309295,0.0150684,0.0202709,0.0489209,0.0172011,0.0173493,0.0162679,0.00872943,0.014046,0.0121944,0.0173617,0.0399949,0.0261026,0.0223595,0.0224486,0.0185181,0.0413955,0.0157643,0.0140328,0.0288258,0,0,0.0243006,0,0.0452514,0.0163477,0.0353215,0.0130316,0.0142492,0.0086576,0.0170704,0.0412067,0.012248,0.0137443,0.00997845,0.0134562,0.00448163,0.033818,0.00880429,0.00437159,0.0183138,0.0311795,0.0173803,0.0101901,0.039426,0.0161624,0,0
