Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,x78,,x79,x82,x77,IMUR_B
All Timesteps RMSE,0.0210671,0,0,0,0,0.0313275,0,0,0,0,0,0.028068,0.0474739,0.0201487,0.0234221,0,0,0.0756222,0,0.0359557,0.0489316,0.0364043,0.0277606,0.010823,0.0344919,0.0254151,0.0309471,0.0243367,0.0335208,0.0294571,0.0175386,0.0269726,0.0223303,0.0326661,0.0372068,0.0632549,0.0395817,0.040492,0.0298042,0.0421124,0.0205414,0.0116341,0.0217668,0,0,0.0229888,0,0.0425537,0.0192572,0.0435582,0.0262747,0.0146091,0.0192089,0.0282128,0.0324118,0.00812819,0.0146233,0.0182549,0.0415072,0.0206299,0.0318679,0.0145843,0.0177129,0.036112,0.0239622,0.0204722,0.0327914,0.0317473,0.0212523,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0182473,0,0,0,0,0.0471297,0,0,0,0,0,0.0158616,0.0321599,0.00870714,0.023823,0,0,0.0759959,0,0.0392292,0.0485578,0.0324186,0.0108212,0.0115022,0.0107254,0.04003,0.0378585,0.0104293,0.0119913,0.00621469,0.0120434,0.013027,0.00964104,0.0283068,0.0266792,0.0642534,0.0196935,0.0370145,0.0223053,0.030316,0.0216726,0.0106328,0.029855,0,0,0.026818,0,0.0329392,0.0214162,0.0472092,0.0294434,0.0100491,0.026714,0.0424004,0.034114,0.00715378,0.0135156,0.0111728,0.0113023,0.0214761,0.034698,0.0138645,0.0198132,0.0234914,0.0306884,0.0382746,0.000764436,0.0451264,0.0109637,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0149533,0,0,0,0,0.0378423,0,0,0,0,0,0.0152688,0.0245297,0.00928719,0.024522,0,0,0.0137182,0,0.0338835,0.0149482,0.0330278,0.0136026,0.0126151,0.0144505,0.0439927,0.0591693,0.0088003,0.0112594,0.00905988,0.0135449,0.0127103,0.0099444,0.0291189,0.0252787,0.0236379,0.0110357,0.00905004,0.0253687,0.0296763,0.0229869,0.0114637,0.0245745,0,0,0.0175446,0,0.0328527,0.0178693,0.0460806,0.0292784,0.009418,0.0234624,0.0470702,0.0264585,0.00727338,0.0138077,0.0096771,0.010178,0.019278,0.0363566,0.0155158,0.0176275,0.0277362,0.0220411,0.0385278,0.0031887,0.0381724,0.0138835,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0149705,0,0,0,0,0.0378551,0,0,0,0,0,0.0150788,0.0245114,0.00922867,0.024596,0,0,0.0130399,0,0.0339147,0.0145727,0.0330232,0.0134766,0.012648,0.0146215,0.0439938,0.0590802,0.0088015,0.0111695,0.00920351,0.013583,0.0126246,0.00992105,0.0291222,0.0250935,0.0233606,0.0112243,0.00898227,0.0251236,0.0297194,0.0226467,0.0114639,0.0245123,0,0,0.0174901,0,0.0329155,0.0178448,0.0460366,0.0289027,0.0094857,0.0230011,0.0471291,0.0264714,0.00730274,0.0137154,0.00936705,0.0101041,0.0189667,0.0363416,0.0152437,0.0173968,0.0276064,0.0220536,0.0383532,0.00323869,0.0381503,0.0138315,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0150143,0,0,0,0,0.0378495,0,0,0,0,0,0.0149229,0.0244895,0.00914041,0.0246515,0,0,0.0123568,0,0.0339529,0.0141405,0.0330229,0.0130868,0.0127003,0.0147423,0.0439997,0.0589269,0.00879966,0.0111656,0.00929176,0.0135909,0.0125538,0.00990376,0.0290963,0.0250264,0.0230049,0.0116048,0.00894446,0.0248345,0.0297179,0.0221949,0.0114622,0.0244749,0,0,0.017441,0,0.0328942,0.0178294,0.0459896,0.0284367,0.00954463,0.0225048,0.0472158,0.0264981,0.00733033,0.0135983,0.00899545,0.0100241,0.0186632,0.0363225,0.0149473,0.0171742,0.0274324,0.0220408,0.038219,0.00327967,0.0381215,0.0138189,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0150825,0,0,0,0,0.0378365,0,0,0,0,0,0.014846,0.0243886,0.00907729,0.0247044,0,0,0.0114712,0,0.0341356,0.0135617,0.0330264,0.012896,0.0127667,0.014864,0.0440573,0.058781,0.0087804,0.011212,0.0093978,0.0136015,0.0124989,0.00986778,0.0290558,0.0249085,0.0225377,0.0122425,0.00892102,0.0244533,0.0296894,0.0216609,0.0114639,0.0244247,0,0,0.0174119,0,0.032841,0.0178197,0.0459397,0.0278877,0.00961595,0.0218959,0.047318,0.0265231,0.00737187,0.0134531,0.00856341,0.00998686,0.0183083,0.0362994,0.0145984,0.016921,0.0272154,0.0220234,0.0380841,0.00333803,0.0380789,0.0138297,0,0,0,0,0,0,0,0,0,0,0,0
5,0.015125,0,0,0,0,0.0378779,0,0,0,0,0,0.0147507,0.0243505,0.00901147,0.0247801,0,0,0.0105159,0,0.0343382,0.0128764,0.0330292,0.0128626,0.0128326,0.0149578,0.0440788,0.0586583,0.00882119,0.0112754,0.00947787,0.0135918,0.0124527,0.00979744,0.0290222,0.0247335,0.0221265,0.0129187,0.0088179,0.0240109,0.0297049,0.0210944,0.0114722,0.0243347,0,0,0.0173525,0,0.0328379,0.017759,0.0458818,0.027333,0.00967921,0.0212838,0.0473882,0.0265668,0.00745722,0.0133066,0.00812959,0.0100361,0.017917,0.0362721,0.0142021,0.0166529,0.026963,0.0220249,0.0378508,0.00344778,0.0380539,0.0137882,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0151379,0,0,0,0,0.0379145,0,0,0,0,0,0.0146057,0.0243949,0.00894332,0.0248658,0,0,0.00951992,0,0.0345478,0.0121755,0.0330499,0.0128439,0.0128991,0.0150467,0.0440432,0.0585414,0.008855,0.0112619,0.00955845,0.013575,0.012421,0.00970792,0.0290052,0.0245523,0.0217388,0.013498,0.00871227,0.023536,0.0297292,0.0205505,0.011459,0.0242255,0,0,0.0173219,0,0.0328148,0.0176171,0.0458338,0.0268176,0.00970723,0.0207095,0.047404,0.0265847,0.0075625,0.0131767,0.00772158,0.0100249,0.0175802,0.0361919,0.0138272,0.0164357,0.0266263,0.022002,0.0375132,0.00360193,0.0380221,0.0137128,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0151191,0,0,0,0,0.0379251,0,0,0,0,0,0.0144826,0.0243921,0.00886782,0.024943,0,0,0.00857123,0,0.03469,0.0114814,0.0331142,0.0128076,0.0129787,0.0151237,0.0439258,0.0583629,0.00885504,0.011224,0.00964862,0.0135302,0.0123506,0.00962711,0.0289776,0.0243594,0.0213858,0.0139152,0.0085802,0.023102,0.0297039,0.0200737,0.0114556,0.0240564,0,0,0.0172792,0,0.0327938,0.0173724,0.0457851,0.0263735,0.00973489,0.0202331,0.0473714,0.0265492,0.00762232,0.013061,0.007401,0.0100034,0.0173153,0.0361171,0.0135214,0.0162588,0.0262976,0.02193,0.0371012,0.00384011,0.0379912,0.0136163,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0150752,0,0,0,0,0.0379236,0,0,0,0,0,0.0143301,0.0243265,0.00878615,0.0249567,0,0,0.00771102,0,0.034745,0.0107341,0.0331898,0.0127336,0.0130612,0.0152084,0.0437709,0.0581686,0.0089039,0.0112384,0.00974974,0.0134798,0.0122462,0.00955029,0.0289165,0.0241357,0.021043,0.014142,0.00840193,0.0227582,0.0296196,0.0196678,0.0114709,0.0238368,0,0,0.0171682,0,0.0327353,0.0170409,0.0457296,0.0260203,0.00975578,0.019857,0.0472999,0.0264774,0.00770055,0.0129609,0.00715256,0.00999553,0.017099,0.0360707,0.0132896,0.0161238,0.0260137,0.0218872,0.0366185,0.00417653,0.0379593,0.0135084,0,0,0,0,0,0,0,0,0,0,0,0
