Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,RTHI,,LWRA
All Timesteps RMSE,0.0234363,0,0,0,0,0.0334716,0,0,0,0,0,0,0.0357333,0.0283997,0.0338867,0.0118719,0,0,0.0337526,0,0.0281642,0.0303143,0.0380313,0.0361573,0.0116381,0.0195815,0.0319543,0.0264879,0.0188968,0.0217291,0.0197093,0.00991202,0.0130569,0.0118337,0.0157899,0.0377992,0.0278525,0.0290027,0.0200389,0.0335496,0.0213072,0.0145092,0.0272121,0,0,0.0286374,0,0.0328848,0.024518,0.0389929,0.0285092,0.0169924,0.0398709,0.0290008,0.0363979,0.0152944,0.0231863,0.0162699,0.0300158,0.0326864,0.0172095,0.0272193,0.0151717,0.0178019,0.0221965,0.0305869,0.0329777,0.0153973,0,0,0.0908884,0,0.0217674
0,0.0203104,0,0,0,0,0.0380561,0,0,0,0,0,0,0.0358796,0.0309971,0.0340895,0.0100277,0,0,0.0432698,0,0.0294656,0.0391639,0.0393269,0.0367918,0.0126795,0.0198981,0.0322562,0.0211384,0.0174478,0.0208209,0.0194251,0.00979752,0.011589,0.011106,0.0158281,0.0369371,0.0328879,0.0362888,0.0126662,0.0365765,0.0200599,0.0133067,0.0232382,0,0,0.0290286,0,0.0365822,0.0224713,0.0389466,0.0274631,0.0162826,0.0257932,0.0302245,0.040217,0.0152616,0.0121857,0.00881612,0.0227393,0.0361956,0.0171985,0.0217934,0.00659084,0.0195683,0.017376,0.0229729,0.0389728,0.0125416,0,0,0,0,0
1,0.0201168,0,0,0,0,0.0371833,0,0,0,0,0,0,0.0346765,0.0309645,0.0330402,0.0101336,0,0,0.0434141,0,0.0294765,0.0390828,0.039251,0.0373793,0.0125152,0.0198083,0.0324069,0.0197934,0.0171676,0.0209539,0.0191147,0.00998339,0.0113724,0.0111025,0.0156139,0.0355463,0.0328609,0.0363627,0.0122625,0.0364553,0.0193457,0.0133471,0.0230484,0,0,0.0289815,0,0.0364124,0.0223757,0.0390277,0.0271122,0.0161917,0.0260748,0.030526,0.0392687,0.015442,0.01237,0.00847641,0.0228267,0.0360354,0.0166908,0.0216387,0.00511266,0.0188674,0.0175879,0.0231867,0.0380906,0.0125886,0,0,0.00260151,0,0
2,0.020363,0,0,0,0,0.0369428,0,0,0,0,0,0,0.033777,0.030906,0.0323021,0.00991942,0,0,0.0435669,0,0.0294463,0.0390547,0.0391983,0.036817,0.0125282,0.0201218,0.0325433,0.0193841,0.0170281,0.0212612,0.0191686,0.0102539,0.0113071,0.0111266,0.0151792,0.0348092,0.0328411,0.0364035,0.0131513,0.0363354,0.0203997,0.0134013,0.0230807,0,0,0.0289616,0,0.0361578,0.0224221,0.0390306,0.0284811,0.0161071,0.0266558,0.0307697,0.0388068,0.0155639,0.0124503,0.00903685,0.0232621,0.0359864,0.0173075,0.0222957,0.00531533,0.0181333,0.0177288,0.0236067,0.0377888,0.0129586,0,0,0,0,0
3,0.0206592,0,0,0,0,0.0368477,0,0,0,0,0,0,0.0327337,0.0308587,0.0314259,0.00987397,0,0,0.0437313,0,0.0294092,0.0390792,0.0390526,0.0360752,0.0125007,0.0202335,0.0325537,0.0190906,0.0168007,0.0213454,0.0190363,0.0104753,0.0113266,0.0112694,0.0147867,0.0339158,0.0327636,0.0364593,0.012751,0.0362107,0.0195968,0.0133851,0.0230412,0,0,0.0287668,0,0.035918,0.0225419,0.0390981,0.0277343,0.0160841,0.0265032,0.0309337,0.0384684,0.015439,0.0122929,0.00856513,0.0230828,0.0357777,0.0168132,0.0220601,0.00443339,0.0174359,0.017839,0.0240353,0.0377247,0.0133215,0,0,0.00250123,0,0
4,0.0210247,0,0,0,0,0.036887,0,0,0,0,0,0,0.0319636,0.0308196,0.0307351,0.00973537,0,0,0.0439195,0,0.0293614,0.0390868,0.0389533,0.0358799,0.0124089,0.0202721,0.0325035,0.0189192,0.0165153,0.0213133,0.0188378,0.0106657,0.0112854,0.011415,0.014399,0.033017,0.0328014,0.0364912,0.012769,0.0360884,0.0195902,0.0134144,0.0228796,0,0,0.0284632,0,0.0356766,0.0226386,0.0391374,0.0278849,0.0160167,0.0265634,0.0310103,0.0381374,0.0152667,0.0121398,0.00846844,0.0231867,0.0354278,0.0168159,0.0222191,0.00419815,0.0168035,0.0183833,0.0243144,0.0377516,0.0136618,0,0,0.00256008,0,0
5,0.0214189,0,0,0,0,0.0369518,0,0,0,0,0,0,0.0313871,0.0307774,0.0302439,0.00965765,0,0,0.0441098,0,0.0293074,0.0390638,0.0388364,0.0362362,0.0123,0.0200858,0.0323477,0.0188017,0.0161248,0.0211054,0.0184626,0.0106967,0.0110755,0.0113988,0.0140885,0.0323127,0.032985,0.0364732,0.0127737,0.0359697,0.0196493,0.0134239,0.0229744,0,0,0.028174,0,0.0354671,0.0226771,0.0392538,0.0281983,0.0160002,0.0267598,0.0310199,0.0377183,0.0151878,0.0120755,0.00836736,0.0234534,0.0352746,0.0168277,0.0225025,0.00407158,0.0162058,0.0188605,0.0244693,0.0377685,0.0140916,0,0,0.00266581,0,0
6,0.0218097,0,0,0,0,0.0370364,0,0,0,0,0,0,0.0310844,0.0307428,0.0300636,0.00956024,0,0,0.0442996,0,0.0292785,0.0390096,0.0386958,0.0363326,0.0122027,0.019795,0.0321508,0.0185456,0.0157292,0.0208314,0.0180778,0.0105874,0.0108073,0.011436,0.0138451,0.0319666,0.0331837,0.0364561,0.0128823,0.0358667,0.019767,0.013373,0.0231597,0,0,0.0279307,0,0.0353043,0.0227056,0.0393934,0.0285541,0.016031,0.0270638,0.0310048,0.0373243,0.0151348,0.0120719,0.0084328,0.023765,0.0352237,0.0168795,0.0228053,0.0040497,0.0156638,0.0191255,0.0244998,0.0377713,0.0145702,0,0,0.0027592,0,0
7,0.0222379,0,0,0,0,0.0371892,0,0,0,0,0,0,0.0308871,0.0307151,0.0299053,0.00938299,0,0,0.0445234,0,0.0292594,0.0389419,0.038589,0.0366935,0.0121356,0.0193749,0.0319639,0.0184047,0.0153532,0.0204787,0.0176388,0.010515,0.0105765,0.01153,0.0136496,0.0316083,0.0334509,0.0363979,0.0131027,0.0357641,0.0198426,0.0133947,0.0234195,0,0,0.0277094,0,0.0351572,0.0226125,0.0394929,0.0287771,0.0160559,0.0273909,0.0309752,0.03706,0.0150933,0.0121122,0.0086189,0.0239919,0.035179,0.0168868,0.0230738,0.00403758,0.0150306,0.0192628,0.0244119,0.0378795,0.0150698,0,0,0.00297942,0,0
8,0.0226743,0,0,0,0,0.0373532,0,0,0,0,0,0,0.0306084,0.0306761,0.0296845,0.00936085,0,0,0.0448209,0,0.0292275,0.0389058,0.0384665,0.0365836,0.0120723,0.0190403,0.031777,0.0183187,0.0150161,0.0201249,0.0172201,0.0104792,0.0104066,0.0116029,0.013418,0.0312354,0.0336961,0.0363694,0.0133355,0.0356825,0.0198138,0.013455,0.0237333,0,0,0.0273788,0,0.0350447,0.0225329,0.0395559,0.0289306,0.0160558,0.027625,0.030937,0.0368491,0.015075,0.0121329,0.00878559,0.0241377,0.0350887,0.0167978,0.0232868,0.00398022,0.014626,0.0192667,0.0242824,0.0380486,0.0155856,0,0,0.00340145,0,0
