Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,
All Timesteps RMSE,0.0230795,0,0,0,0,0.020967,0,0,0,0,0,0,0.0134354,0.0341344,0.00985907,0.00800301,0,0,0.0399404,0,0.0362901,0.0244981,0.0459441,0.0164206,0.020028,0.0106518,0.0104893,0.0325159,0.00885774,0.012452,0.00913643,0.0100545,0.0109485,0.00794688,0.0254834,0.0155195,0.0322122,0.0274074,0.0210079,0.0214503,0.0387156,0.0181774,0.016376,0.0231196,0,0,0.018539,0,0.0421017,0.0180603,0.0386886,0.0269388,0.0141696,0.0230235,0.0107626,0.0192236,0.0163547,0.022489,0.0155123,0.0110062,0.0209261,0.0317965,0.0196011,0.0225419,0.0241281,0.0142083,0.0284287,0.0203483,0.0194232,0.0195185,0,0,0,0,0,0,0
0,0.0152587,0,0,0,0,0.0224488,0,0,0,0,0,0,0.00987895,0.0210102,0.00915575,0.0126126,0,0,0.0141683,0,0.0354591,0.0102891,0.0409026,0.0083697,0.023885,0.00866299,0.0263824,0.0368269,0.0088847,0.0094264,0.00985602,0.00979262,0.0120311,0.00601525,0.0295982,0.0153659,0.0211308,0.00730863,0.00348475,0.00644982,0.0254699,0.0130421,0.0165785,0.0189821,0,0,0.0193251,0,0.0386255,0.00748441,0.0394677,0.0202589,0.0131095,0.00466142,0.0259528,0.0156248,0.00464344,0.0134494,0.00398814,0.00595812,0.0129185,0.0378744,0.0104619,0.0146852,0.00227086,0.00556862,0.0346651,0.00928719,0.0211032,0.0139498,0,0,0,0,0,0,0
1,0.0153062,0,0,0,0,0.0224944,0,0,0,0,0,0,0.00962396,0.0209499,0.00922637,0.0125404,0,0,0.0141987,0,0.0355661,0.0103433,0.0409298,0.00847819,0.0238132,0.00865558,0.026315,0.0368184,0.00884254,0.00941319,0.00988094,0.00980721,0.0120709,0.00607521,0.0295849,0.0154027,0.0210185,0.00749337,0.00356573,0.00644464,0.0254378,0.0129499,0.0164181,0.0190593,0,0,0.0195162,0,0.0385938,0.00732295,0.0395235,0.0202043,0.0130741,0.00470359,0.0259058,0.0156593,0.00459867,0.0134668,0.0039568,0.00593642,0.012878,0.0378364,0.0104531,0.0146477,0.00233314,0.00556541,0.0346781,0.00935518,0.0211347,0.0139927,0,0,0,0,0,0,0
2,0.0152321,0,0,0,0,0.0225218,0,0,0,0,0,0,0.00950908,0.0209434,0.00926541,0.0124855,0,0,0.0143168,0,0.0355033,0.0103177,0.0409652,0.00864518,0.0237868,0.0086795,0.0261445,0.036944,0.00875954,0.0094057,0.00990983,0.00980634,0.0120943,0.00604835,0.0295973,0.0154335,0.0209903,0.0074687,0.00360598,0.0064482,0.0254015,0.012924,0.0162031,0.0190015,0,0,0.0197119,0,0.0386202,0.0070844,0.0395782,0.0200786,0.0131072,0.00471656,0.0257692,0.0155897,0.00456293,0.0134944,0.00393073,0.00589181,0.012843,0.0378103,0.010423,0.0146058,0.00240814,0.00545497,0.0346613,0.00942217,0.0211391,0.0138842,0,0,0,0,0,0,0
3,0.0151459,0,0,0,0,0.022512,0,0,0,0,0,0,0.00954917,0.0208967,0.00929922,0.0124388,0,0,0.0144345,0,0.035336,0.0103029,0.0409886,0.00878158,0.0237675,0.00872438,0.0260048,0.0370338,0.00866688,0.00936898,0.00992667,0.00980708,0.0120966,0.00600301,0.0296003,0.0154671,0.0209625,0.00738566,0.00359627,0.0064732,0.0253702,0.0129255,0.0161474,0.0188981,0,0,0.0199216,0,0.0386517,0.00697487,0.0396133,0.019839,0.0131514,0.00473704,0.0256761,0.0155549,0.00450348,0.0135469,0.00397544,0.00584546,0.0128399,0.0377934,0.0104192,0.0146065,0.00230076,0.00534249,0.0346434,0.00947111,0.0211476,0.0137656,0,0,0,0,0,0,0
4,0.0150276,0,0,0,0,0.0224491,0,0,0,0,0,0,0.00971113,0.0208552,0.00934995,0.0124257,0,0,0.0144739,0,0.0353127,0.0103268,0.0410225,0.00885003,0.023743,0.00873859,0.0259138,0.0371142,0.00866908,0.00936215,0.00994573,0.00981704,0.0121193,0.00598283,0.0295962,0.015513,0.0208511,0.00736514,0.00352297,0.00650532,0.0253411,0.0129454,0.0162322,0.0187734,0,0,0.0200419,0,0.0386711,0.00692901,0.0396277,0.0197449,0.0131769,0.00477084,0.0256146,0.0155049,0.00445373,0.013599,0.00402246,0.00577935,0.0128892,0.0378085,0.0104774,0.0146487,0.00219379,0.00523198,0.0346951,0.00952423,0.0211427,0.0136498,0,0,0,0,0,0,0
5,0.0149169,0,0,0,0,0.0223877,0,0,0,0,0,0,0.00976189,0.0207722,0.00940427,0.0123962,0,0,0.0144771,0,0.0353037,0.0103544,0.0410536,0.00892845,0.0237115,0.00873331,0.0258357,0.0371636,0.00872621,0.00944243,0.00992816,0.00984519,0.0121575,0.0059594,0.029605,0.0155262,0.0208745,0.00739647,0.00343947,0.00652827,0.0252871,0.0129667,0.016229,0.0186625,0,0,0.0201667,0,0.0386415,0.00683378,0.0396191,0.0197332,0.013186,0.00479065,0.0255422,0.0154909,0.0044302,0.0136278,0.00404236,0.00574998,0.0129298,0.0378474,0.0105246,0.0146774,0.00217262,0.00509704,0.0348746,0.00957678,0.0211381,0.0135148,0,0,0,0,0,0,0
6,0.0148411,0,0,0,0,0.0223668,0,0,0,0,0,0,0.00941194,0.0208147,0.0094689,0.0123191,0,0,0.0144316,0,0.0353523,0.0103021,0.0410693,0.00902254,0.0236655,0.00870761,0.0257519,0.0371748,0.0087106,0.00968735,0.00993072,0.00985806,0.0121975,0.00596742,0.0296154,0.015545,0.0209875,0.00744422,0.00344813,0.00653293,0.0252393,0.0129587,0.016179,0.0185613,0,0,0.0202665,0,0.0385751,0.00677125,0.0395976,0.0197439,0.013166,0.00479923,0.0254575,0.0154578,0.00440021,0.0136641,0.0040156,0.00573949,0.0129452,0.0378805,0.0105403,0.0146791,0.00215331,0.0050017,0.0349703,0.00961128,0.0211448,0.0134142,0,0,0,0,0,0,0
7,0.0147888,0,0,0,0,0.0224054,0,0,0,0,0,0,0.00938247,0.0208139,0.00949693,0.0122488,0,0,0.0144889,0,0.0353829,0.0102892,0.0410604,0.00907375,0.0236372,0.00871727,0.0256904,0.0372561,0.00867844,0.00981577,0.009954,0.0098732,0.0122162,0.00601416,0.0296061,0.0155752,0.0210492,0.00753369,0.00349561,0.00656558,0.0252793,0.0129474,0.0161386,0.0184749,0,0,0.0203316,0,0.0386176,0.00680857,0.0395762,0.0197389,0.0131668,0.00480896,0.0253924,0.0154327,0.00438103,0.0136896,0.00399132,0.00574534,0.0129937,0.0379028,0.0105658,0.0146964,0.00222319,0.00497604,0.0349243,0.00962054,0.0211728,0.0133275,0,0,0,0,0,0,0
8,0.0147534,0,0,0,0,0.0224341,0,0,0,0,0,0,0.00975696,0.020756,0.00952105,0.012214,0,0,0.0145481,0,0.0354082,0.0103142,0.0410293,0.00909475,0.0236425,0.0087469,0.0256854,0.0373656,0.0087109,0.00982719,0.00996214,0.00988185,0.0122358,0.00599215,0.0295831,0.0156094,0.0209805,0.00768362,0.00354105,0.00656923,0.0253044,0.0129697,0.0161165,0.0183947,0,0,0.0203833,0,0.038635,0.00687603,0.0395558,0.0197694,0.0131842,0.00483299,0.0253428,0.0154244,0.00436101,0.01369,0.0040085,0.00572962,0.0130505,0.0379483,0.0105916,0.0147507,0.00223169,0.00498173,0.034891,0.00962126,0.0212051,0.0132531,0,0,0,0,0,0,0
