Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,x73,,x77
All Timesteps RMSE,0.0207921,0,0,0,0,0.0172657,0,0,0,0.0179973,0.0402923,0.0108091,0.010208,0,0,0.0347468,0,0.0313609,0.0221897,0.046594,0.017387,0.0185081,0.0114594,0.0126346,0.0322972,0.00951776,0.0146509,0.00991854,0.010557,0.0112699,0.00825533,0.0258606,0.0207049,0.0270817,0.0275122,0.0175014,0.01617,0.0403393,0.0184715,0.0623021,0.0191602,0,0,0.0186202,0,0.044908,0.0131858,0.0386369,0.0218835,0.0143977,0.0095139,0.0130418,0.0183859,0.00848977,0.0231747,0.013211,0.0131841,0.0168525,0.0339036,0.0148251,0.0174703,0.0171089,0.0152676,0.0172106,0.0127842,0.0178094,0.0189129,0,0,0,0,0,0,0,0
0,0.0122462,0,0,0,0,0.0223852,0,0,0,0.00270916,0.0195468,0.00911684,0.0120851,0,0,0.0126654,0,0.0354416,0.00858896,0.0400001,0.011769,0.0235571,0.00352204,0.0260076,0.0371339,0.00427007,0.00126012,0.0027169,0.00950129,0.00966992,0.00905965,0.031526,0.00904105,0.0194495,0.00698827,0.0050059,0.00879828,0.0242272,0.0133833,0.0157401,0.015497,0,0,0.0203085,0,0.0378316,0.0100248,0.0376895,0.0187346,0.0123539,0.00484051,0.0255948,0.0178116,0.00314203,0.0141141,0.00397406,0.00495313,0.0132731,0.0390159,0.0110378,0.0138841,0.0054718,0.00658118,0.0396926,0.0101231,0.023186,0.0125516,0,0,0,0,0,0,0,0
1,0.01232,0,0,0,0,0.0224085,0,0,0,0.00268355,0.0194764,0.00911369,0.012183,0,0,0.0126283,0,0.0354757,0.00852543,0.0400408,0.0117368,0.0235397,0.00350025,0.0261305,0.0371439,0.00421671,0.00114174,0.00267523,0.00952955,0.00968705,0.00907394,0.0315181,0.00891337,0.0191518,0.00707464,0.00503161,0.00875235,0.024258,0.0134022,0.015686,0.0155765,0,0,0.0201872,0,0.0378352,0.0101077,0.0376798,0.0187431,0.012366,0.00485433,0.0256885,0.0178413,0.00322735,0.0140926,0.00394852,0.00496854,0.013271,0.0390683,0.0110518,0.0139113,0.00545261,0.00661602,0.0396161,0.0100301,0.023205,0.0126193,0,0,0,0,0,0,0,0
2,0.012348,0,0,0,0,0.022406,0,0,0,0.00266422,0.0194704,0.00911403,0.0122177,0,0,0.0126117,0,0.0354628,0.00850882,0.0400383,0.0117011,0.0235724,0.00348361,0.0262351,0.0370815,0.00420566,0.00121171,0.00268365,0.00952251,0.00968908,0.00907467,0.0315021,0.00887248,0.0190529,0.00703806,0.00497723,0.00873412,0.0242497,0.0134049,0.0156775,0.0156032,0,0,0.0201727,0,0.0378265,0.0101398,0.0376571,0.0187651,0.0124042,0.00485805,0.0257876,0.0178915,0.00327252,0.0140756,0.00395336,0.00497769,0.0132921,0.0390833,0.011085,0.0139472,0.00542021,0.00667576,0.0395756,0.00991761,0.0232067,0.0126398,0,0,0,0,0,0,0,0
3,0.0123758,0,0,0,0,0.0224041,0,0,0,0.00265764,0.0194978,0.00907556,0.0122422,0,0,0.0126179,0,0.0354273,0.00850862,0.0400035,0.0116559,0.0236192,0.00343816,0.0263382,0.0369851,0.00422573,0.00138242,0.00270843,0.00948848,0.00968143,0.00906256,0.031502,0.00884019,0.0190151,0.00695995,0.0049167,0.00877671,0.0242396,0.0134411,0.0156834,0.0156192,0,0,0.0201431,0,0.0377974,0.0102048,0.0375789,0.0188098,0.0124087,0.00485036,0.0259022,0.0178935,0.00330724,0.0140531,0.00395976,0.0049856,0.0133413,0.0391003,0.0111175,0.0139847,0.00542986,0.00673542,0.0395792,0.00986479,0.0232063,0.0126429,0,0,0,0,0,0,0,0
4,0.0124075,0,0,0,0,0.0224042,0,0,0,0.00271525,0.0194625,0.00906199,0.0122538,0,0,0.012572,0,0.0354479,0.00847071,0.0400554,0.0116475,0.0236864,0.00341468,0.0264448,0.036867,0.00422472,0.00131047,0.002685,0.009451,0.00966008,0.00903024,0.0315129,0.00887284,0.0189377,0.00697238,0.00486761,0.00879663,0.0242301,0.0134872,0.0156333,0.0156196,0,0,0.0201307,0,0.0377698,0.01026,0.0375222,0.0188532,0.0123885,0.00483778,0.0260408,0.0178909,0.00335087,0.0140174,0.00399503,0.00499123,0.013393,0.0390751,0.0111418,0.014015,0.00539725,0.00678124,0.0396028,0.00989912,0.0231797,0.0126662,0,0,0,0,0,0,0,0
5,0.012445,0,0,0,0,0.0224096,0,0,0,0.00295564,0.0194547,0.00903629,0.0123595,0,0,0.0124744,0,0.0354887,0.00841494,0.0404634,0.0117482,0.023759,0.00336663,0.0265606,0.0367249,0.00413868,0.00107425,0.00261322,0.00941559,0.00963706,0.00899119,0.0314693,0.00926105,0.0188213,0.00694581,0.0048196,0.00871264,0.0242263,0.0135313,0.015571,0.0156511,0,0,0.0200353,0,0.0377363,0.0103577,0.0375583,0.0188748,0.012351,0.00484521,0.0261777,0.0179249,0.00340283,0.0139665,0.00400143,0.00498791,0.0134493,0.0390777,0.0111812,0.0140763,0.00523797,0.00687545,0.0395983,0.00991265,0.0231776,0.0127055,0,0,0,0,0,0,0,0
6,0.012504,0,0,0,0,0.0224064,0,0,0,0.00333886,0.0194146,0.00901732,0.0125143,0,0,0.0123582,0,0.0355395,0.00834791,0.0411495,0.0120747,0.0238424,0.00334197,0.0266425,0.0366256,0.00394048,0.000786315,0.00253223,0.00939391,0.0096332,0.00895124,0.0313755,0.00982712,0.0187569,0.00692872,0.00481511,0.00858735,0.0242283,0.0135607,0.0154863,0.0157169,0,0,0.020012,0,0.0376982,0.0104521,0.0376561,0.0189341,0.0122855,0.00488007,0.0263138,0.0180122,0.00345323,0.013917,0.00397555,0.00499223,0.0135258,0.0390999,0.0112422,0.0141671,0.00503056,0.0069965,0.0395941,0.00988413,0.0231832,0.0127584,0,0,0,0,0,0,0,0
7,0.0125904,0,0,0,0,0.0224232,0,0,0,0.00321626,0.0193973,0.0090404,0.0125386,0,0,0.0122303,0,0.0355442,0.00825885,0.0409593,0.01223,0.0238527,0.00336443,0.0267992,0.03654,0.00397998,0.000837821,0.00259539,0.00939088,0.0096328,0.00896032,0.0313837,0.00964265,0.0187197,0.00681532,0.00487127,0.00858104,0.0242432,0.0135984,0.0155733,0.0158034,0,0,0.0199827,0,0.0376765,0.0105347,0.0375632,0.0189873,0.0122968,0.00494112,0.0264453,0.0180701,0.0034484,0.0139433,0.00399786,0.00498683,0.013578,0.0391818,0.0112797,0.0142382,0.00500238,0.00710758,0.0396229,0.00988741,0.0232336,0.0128454,0,0,0,0,0,0,0,0
8,0.0127325,0,0,0,0,0.0224773,0,0,0,0.00338677,0.0194509,0.00902244,0.0126259,0,0,0.0122366,0,0.0355256,0.00832369,0.0412535,0.0120723,0.0239136,0.0033614,0.0269205,0.0364376,0.00386944,0.000703223,0.00257454,0.0093885,0.00967291,0.00896809,0.0313893,0.00988056,0.0185746,0.0068745,0.00489409,0.00852534,0.0243166,0.0136228,0.0155414,0.0159499,0,0,0.0199519,0,0.0376775,0.0106483,0.0375912,0.0190766,0.0122991,0.00497438,0.0265847,0.0181141,0.00341639,0.0139214,0.00398246,0.00497295,0.0136427,0.0392877,0.0112976,0.0143155,0.00486468,0.00727547,0.0396796,0.00988446,0.0232919,0.0129638,0,0,0,0,0,0,0,0
9,0.0129182,0,0,0,0,0.0225718,0,0,0,0.00335697,0.019503,0.00902362,0.0126387,0,0,0.0121929,0,0.0355466,0.00837677,0.0411657,0.0117429,0.0239437,0.00336753,0.0270556,0.0362497,0.0038678,0.000729938,0.00258335,0.00944705,0.00969347,0.00900915,0.0314542,0.00986978,0.018438,0.00694472,0.00480277,0.00856247,0.0243972,0.013643,0.0155664,0.0161585,0,0,0.0198411,0,0.0376763,0.0107769,0.03752,0.0191573,0.0123212,0.00497774,0.02669,0.0180985,0.00340521,0.013912,0.00396927,0.00496216,0.0137104,0.0393623,0.0113467,0.014364,0.00487226,0.00747072,0.0396979,0.00983596,0.0233647,0.0131285,0,0,0,0,0,0,0,0
10,0.0127718,0,0,0,0,0.0225204,0,0,0,0.00371942,0.0195131,0.00896877,0.0127527,0,0,0.012201,0,0.0355607,0.00836224,0.0417417,0.0116635,0.0239868,0.00333012,0.0269839,0.036232,0.00372651,0.000532887,0.00251172,0.00942936,0.00967335,0.00898389,0.0313953,0.0104096,0.0183869,0.00693702,0.00481722,0.00848179,0.0243687,0.0136625,0.0154685,0.0160895,0,0,0.0197837,0,0.0375523,0.0108361,0.0376218,0.0192439,0.0122883,0.00500251,0.0266493,0.0181478,0.00347295,0.0138732,0.00390857,0.00502056,0.0137736,0.0393926,0.0113801,0.0144252,0.00473411,0.00754288,0.0397764,0.00979162,0.0233118,0.0129733,0,0,0,0,0,0,0,0
11,0.0125995,0,0,0,0,0.0224045,0,0,0,0.00391818,0.0194725,0.00891192,0.0128248,0,0,0.012105,0,0.0356125,0.00825402,0.0421275,0.0118765,0.0240084,0.00331152,0.0269058,0.036159,0.00367945,0.000474896,0.00248423,0.00938903,0.00967035,0.00894613,0.0313299,0.010715,0.0182874,0.00697678,0.00486826,0.0084074,0.0243071,0.0137062,0.0153833,0.0159819,0,0,0.0197248,0,0.0375331,0.0108107,0.0376957,0.0192922,0.0122613,0.00505986,0.0266035,0.0181324,0.00355178,0.0138405,0.00388671,0.00504634,0.0138371,0.0394107,0.0114341,0.0144913,0.0045538,0.00752407,0.0398632,0.00979598,0.0232011,0.0128269,0,0,0,0,0,0,0,0
12,0.0124739,0,0,0,0,0.0223466,0,0,0,0.00381696,0.0194395,0.00890037,0.0128116,0,0,0.0120972,0,0.0356189,0.00823325,0.0421601,0.0119013,0.0239965,0.00332605,0.0268377,0.0361296,0.0036787,0.000421474,0.00249404,0.00939842,0.00967268,0.00895007,0.0313377,0.0106448,0.0183188,0.00702344,0.0049079,0.00841001,0.0242839,0.0137472,0.0153644,0.0158967,0,0,0.0196548,0,0.0375524,0.0107816,0.0377261,0.019345,0.0122939,0.00515336,0.0265275,0.0180555,0.00358824,0.0138423,0.0038873,0.0050419,0.0139072,0.0394162,0.0114944,0.0145609,0.00450189,0.00751414,0.0398656,0.00981229,0.0231326,0.0127111,0,0,0,0,0,0,0,0
13,0.012364,0,0,0,0,0.0222939,0,0,0,0.00351024,0.0194399,0.00893972,0.0127313,0,0,0.0120907,0,0.0355688,0.00825374,0.0418133,0.0117676,0.0239693,0.00335554,0.0268043,0.0361068,0.00376403,0.000410506,0.00252966,0.00948093,0.0096884,0.00902543,0.0314183,0.0102749,0.0183663,0.0070057,0.00492435,0.00849802,0.0242823,0.0138126,0.0154444,0.0158159,0,0,0.0195869,0,0.0375834,0.0107568,0.0376267,0.0194606,0.0123345,0.00525956,0.0264509,0.0179746,0.00362739,0.0138651,0.00391925,0.00502299,0.0139941,0.039446,0.0115678,0.0146164,0.00461661,0.00751736,0.0398299,0.00984317,0.0230825,0.0125973,0,0,0,0,0,0,0,0
