Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x72,x73
All Timesteps RMSE,0.0142258,0,0,0,0,0.0312642,0,0,0,0.0393259,0.0328085,0.033227,0.0146989,0,0,0.0234665,0,0.0317762,0.026416,0.0422032,0.0317668,0.0118802,0.0145904,0.027782,0.0281574,0.0111356,0.0162756,0.0122153,0.0200409,0.0245501,0.0226363,0.0230537,0.0459134,0.0225459,0.0344804,0.0260782,0.00556736,0.036964,0.00906056,0.0161053,0.0253909,0,0,0.0231119,0,0.0406945,0.0165786,0.036805,0.0119921,0.0142671,0.0188839,0.0257529,0.0428488,0.0102901,0.0144668,0.00921143,0.0117497,0.0137391,0.0312318,0.0107459,0.0118803,0.0072593,0.0234615,0.0211118,0.0182307,0.0312209,0.00924362,0,0,0,0,0
0,0.0141273,0,0,0,0,0.0407803,0,0,0,0.0348686,0.0450664,0.0316689,0.0121986,0,0,0.0155094,0,0.0374707,0.0191798,0.0423772,0.0303638,0.0111653,0.012305,0.0228284,0.0332519,0.00820105,0.01045,0.0107059,0.0186294,0.0222615,0.0209578,0.0243295,0.0403588,0.019073,0.0525919,0.01424,0.00660255,0.0377702,0.0137884,0.0132469,0.0313935,0,0,0.0147939,0,0.0449468,0.00762133,0.0363999,0.0178446,0.0116475,0.0153564,0.0215057,0.0477831,0.00862402,0.0128506,0.00636293,0.00926879,0.0144387,0.0359665,0.0132511,0.013367,0.00771177,0.0290535,0.0143454,0.00528397,0.0420088,0.0103959,0,0,0,0,0
1,0.0138526,0,0,0,0,0.0400885,0,0,0,0.0350292,0.0459949,0.0316047,0.0121275,0,0,0.0158233,0,0.0380538,0.0199088,0.0423629,0.0304717,0.0112656,0.0124511,0.0229104,0.032294,0.00820554,0.0103466,0.0108695,0.0186103,0.0221487,0.0209473,0.0244562,0.0396396,0.0192582,0.0541462,0.0145373,0.00645859,0.0376808,0.0136518,0.0132926,0.0309366,0,0,0.016003,0,0.0449332,0.00858321,0.036487,0.0177057,0.0115746,0.0155231,0.0214861,0.0473988,0.0086773,0.0128504,0.00650974,0.00936851,0.014514,0.0358643,0.013288,0.0133964,0.00730089,0.0285339,0.014112,0.00521386,0.0415005,0.0101949,0,0,0,0,0
2,0.0135115,0,0,0,0,0.0398292,0,0,0,0.0350023,0.0463725,0.0316306,0.0121474,0,0,0.0163459,0,0.0382204,0.0207016,0.0423456,0.0305894,0.0113928,0.0125808,0.0231327,0.0319923,0.00815028,0.0102469,0.0109485,0.0186239,0.0221199,0.0210156,0.0245171,0.0397414,0.0198723,0.0547798,0.0151682,0.00634994,0.0377473,0.0135253,0.01336,0.0305065,0,0,0.0167666,0,0.0449619,0.00939659,0.0365331,0.017723,0.0114527,0.0156888,0.0215709,0.0473171,0.00876392,0.0128764,0.00662655,0.0094019,0.0146482,0.0357529,0.0132935,0.0134637,0.00703812,0.0282777,0.0140623,0.00528084,0.0414282,0.00981695,0,0,0,0,0
3,0.0137401,0,0,0,0,0.0392182,0,0,0,0.0340712,0.0338737,0.0316424,0.0108733,0,0,0.0237542,0,0.0296437,0.0379676,0.0423329,0.0309041,0.0101957,0.0126151,0.0198965,0.0297092,0.00807478,0.0099839,0.0110256,0.0185461,0.0218931,0.0210383,0.0246145,0.0393649,0.0237741,0,0.0385216,0.00604383,0.0378038,0.0136682,0.0128698,0.0307099,0,0,0.0178039,0,0.0449403,0.00939736,0.0367346,0.0180548,0.0130909,0.0153067,0.017368,0.048057,0.00886401,0.013184,0.00684013,0.0096391,0.0140847,0.035419,0.0130045,0.0130811,0.00761824,0.0285169,0.0136137,0.00470668,0.0408616,0.0100218,0,0,0,0,0
4,0.0135469,0,0,0,0,0.038892,0,0,0,0.0342352,0.0338349,0.031712,0.01069,0,0,0.0246151,0,0.0296523,0.0385667,0.0424226,0.0310248,0.0101043,0.012642,0.0196965,0.0292139,0.00805657,0.00985573,0.0110419,0.0185981,0.0218784,0.0210502,0.0246406,0.0395558,0.0240671,0,0.0390696,0.00586,0.0378923,0.0136035,0.0129968,0.0303933,0,0,0.0184257,0,0.0449394,0.00963305,0.0367612,0.0180617,0.013225,0.0151862,0.0170956,0.0482798,0.0088439,0.013212,0.00684738,0.00969572,0.0139194,0.0353067,0.0129215,0.0129166,0.00787706,0.0287082,0.0134682,0.00448166,0.0407332,0.0098159,0,0,0,0,0
5,0.0132937,0,0,0,0,0.0386767,0,0,0,0.0343695,0.0338362,0.0317925,0.0105585,0,0,0.0250686,0,0.0297386,0.0388399,0.0425071,0.031093,0.0100202,0.0126662,0.0196773,0.0287525,0.00805242,0.00981788,0.0110993,0.018648,0.0218934,0.0210651,0.0246631,0.0397064,0.0241501,0,0.0393072,0.00577492,0.0379797,0.0134699,0.0131218,0.0300901,0,0,0.0189955,0,0.0449457,0.00959301,0.0368038,0.0178962,0.0133664,0.0151835,0.0169749,0.0486544,0.00891799,0.0132989,0.00700192,0.00976725,0.0137478,0.0351292,0.0128161,0.0127281,0.00802108,0.0291239,0.0131574,0.00412568,0.0406379,0.00955856,0,0,0,0,0
6,0.0129724,0,0,0,0,0.0385504,0,0,0,0.0346615,0.0338112,0.0319147,0.0105524,0,0,0.0252231,0,0.0298095,0.0388558,0.0425551,0.0311084,0.0100419,0.0126992,0.0197612,0.028301,0.00805608,0.00984057,0.0111372,0.0186854,0.0219392,0.0211295,0.0246507,0.039977,0.0241081,0,0.0393134,0.00560523,0.0380567,0.0132684,0.0132534,0.0297732,0,0,0.0195491,0,0.0449501,0.0093886,0.0367996,0.017648,0.0134888,0.0152886,0.016952,0.0490588,0.00898991,0.0135109,0.00711851,0.00990003,0.0136162,0.0349598,0.0126824,0.012601,0.00817736,0.0297247,0.0123991,0.003639,0.0405389,0.00929342,0,0,0,0,0
7,0.0126782,0,0,0,0,0.0384598,0,0,0,0.0347724,0.0337501,0.0320426,0.0107334,0,0,0.025281,0,0.029826,0.0388268,0.0425823,0.0311222,0.0101348,0.0127141,0.0198825,0.0279786,0.00808906,0.00991612,0.0111384,0.0187075,0.0219929,0.0211993,0.0246371,0.0404119,0.0240432,0,0.0393883,0.00536104,0.0380848,0.0130793,0.0133963,0.0295188,0,0,0.0201164,0,0.0449179,0.00929927,0.0367978,0.0173851,0.0135829,0.0154627,0.016957,0.0494023,0.00906686,0.0138162,0.00720368,0.0100402,0.0135906,0.0347716,0.0125846,0.0125471,0.00818771,0.0302389,0.0117513,0.00303953,0.040381,0.00908474,0,0,0,0,0
8,0.0124644,0,0,0,0,0.0383519,0,0,0,0.0350394,0.0336802,0.0321387,0.0109854,0,0,0.0254325,0,0.0298157,0.0389075,0.0426103,0.0311637,0.010122,0.0126995,0.0200538,0.027716,0.00814862,0.00993865,0.011132,0.0186913,0.0219957,0.0212192,0.0246114,0.0407889,0.0240878,0,0.0396488,0.00518815,0.0381071,0.0128777,0.0135058,0.0293099,0,0,0.0207103,0,0.0449142,0.00950628,0.036799,0.0171061,0.0136995,0.0157081,0.0170829,0.0497162,0.00912905,0.0138851,0.0073746,0.0101716,0.013694,0.0345337,0.0125063,0.0124871,0.00809403,0.0307802,0.0112343,0.00252819,0.0401801,0.00888427,0,0,0,0,0
