Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,x73,x77,x76,x78,x68
All Timesteps RMSE,0,0.0335074,0,0,0,0,0.0247897,0,0,0,0.0164505,0.0318305,0.0220374,0.0183649,0,0,0.0248339,0,0.0330445,0.0180493,0.0443883,0.0236383,0.0100462,0.0130948,0.0239517,0.0374274,0.0116934,0.0151483,0.0139091,0.0776355,0.0167789,0.040081,0.0209922,0.0265544,0.0263643,0.0273148,0.0157554,0.0209995,0.0387177,0.0227779,0.0203887,0.0398013,0,0,0.0631811,0,0.0277062,0.0405476,0.0353722,0.0251435,0.0173076,0.0201097,0.0229316,0.0534361,0.0105301,0.0168803,0.0161277,0.0133085,0.0143251,0.0276271,0.0146103,0.0160347,0.0225846,0.0435368,0.0228976,0.0356572,0.0245225,0.0290842,0,0,0,0,0,0,0,0,0
0,0,0.0287,0,0,0,0,0.0370575,0,0,0,0.0229046,0.0203591,0.0143364,0.0194844,0,0,0.0269159,0,0.0333655,0.017454,0.0394291,0.0119028,0.0123311,0.00469004,0.040126,0.059054,0.00658321,0.00798593,0.00582913,0.00985779,0.0138154,0.0097123,0.0265337,0.0320386,0.0354996,0.00947159,0.00682611,0.01014,0.0319618,0.0133082,0.0218373,0.025518,0,0,0.0379244,0,0.0322979,0.0217345,0.0373797,0.0167644,0.0188062,0.019089,0.0383946,0.0420505,0.0101772,0.0161203,0.0104413,0.0134949,0.0125918,0.0332425,0.00967608,0.0112326,0.00535325,0.0302996,0.0344224,0.00399687,0.0319217,0.0169389,0,0,0,0,0,0,0,0,0
1,0,0.026788,0,0,0,0,0.0336967,0,0,0,0.0212041,0.0204836,0.0140616,0.0186852,0,0,0.0296416,0,0.0327853,0.0193855,0.0396526,0.0122101,0.011102,0.00592719,0.0365932,0.0582231,0.00610404,0.00721805,0.00627155,0.0101555,0.0133283,0.00992534,0.0266072,0.0299627,0.0369032,0.0105876,0.00774828,0.0107614,0.0320429,0.0132367,0.0209072,0.0231563,0,0,0.035694,0,0.0316083,0.0189009,0.0372696,0.0167308,0.0183812,0.0190262,0.034725,0.0395614,0.0100622,0.0162244,0.0100397,0.0132584,0.0126076,0.03303,0.00928785,0.0113117,0.00614083,0.0267395,0.0344078,0.00497754,0.0284285,0.0157001,0,0,0,0,0,0,0,0,0
2,0,0.0268377,0,0,0,0,0.0336869,0,0,0,0.0211529,0.0204751,0.0140133,0.018728,0,0,0.0297707,0,0.0328138,0.0194486,0.039651,0.0121481,0.0111145,0.00591483,0.0365427,0.0583216,0.00608706,0.00710949,0.00625616,0.0101833,0.0132861,0.00992848,0.0266244,0.0298652,0.0370445,0.0106049,0.00773857,0.0107104,0.0320573,0.0132246,0.0209493,0.0232559,0,0,0.0357695,0,0.0316044,0.0189004,0.0372919,0.0167104,0.0184094,0.0190259,0.0346805,0.0395524,0.0103051,0.0162261,0.0101303,0.0132904,0.0126544,0.0330471,0.00931599,0.0113501,0.0061119,0.0267402,0.0343734,0.00497065,0.0284021,0.0157697,0,0,0,0,0,0,0,0,0
3,0,0.0269106,0,0,0,0,0.0337224,0,0,0,0.0212352,0.0204918,0.0140189,0.0188041,0,0,0.0298666,0,0.0328183,0.019491,0.0396528,0.0121483,0.0111175,0.00591378,0.0365376,0.0585175,0.00606914,0.00708184,0.00625471,0.0101906,0.0132463,0.00991549,0.0266255,0.0298381,0.0370822,0.0105727,0.00774157,0.0106701,0.0320612,0.0131994,0.0210133,0.0233371,0,0,0.0358807,0,0.0316124,0.0189193,0.0372855,0.0166797,0.0184011,0.0190662,0.0346651,0.0395971,0.0101982,0.0162351,0.0100018,0.0133361,0.0127079,0.0330692,0.0093481,0.0113972,0.00605236,0.0267707,0.0343749,0.00494799,0.0284424,0.0158335,0,0,0,0,0,0,0,0,0
4,0,0.0269601,0,0,0,0,0.033773,0,0,0,0.0211885,0.0204895,0.0139801,0.0187817,0,0,0.0298923,0,0.032821,0.0194985,0.0396517,0.012097,0.011112,0.00590698,0.0365527,0.0586666,0.00603955,0.00721962,0.00625739,0.0101582,0.0132001,0.00990829,0.0266526,0.0298245,0.037152,0.010544,0.00773374,0.0106607,0.0320761,0.0131994,0.0210526,0.0234002,0,0,0.0359402,0,0.0316127,0.0189406,0.0372581,0.0166704,0.0183585,0.0190656,0.0346992,0.0396509,0.0100928,0.0162224,0.01014,0.0133484,0.0127532,0.0330565,0.0093692,0.0114515,0.00602427,0.0268194,0.034442,0.0049207,0.0285119,0.015893,0,0,0,0,0,0,0,0,0
5,0,0.0270384,0,0,0,0,0.0338818,0,0,0,0.0212378,0.0204912,0.0139773,0.0187708,0,0,0.0298909,0,0.0328325,0.0194864,0.0396507,0.012059,0.0111117,0.00593136,0.0365817,0.0588155,0.00603039,0.00745536,0.00624688,0.0101199,0.0132039,0.00991148,0.0266515,0.0298904,0.0371061,0.0105347,0.0077164,0.0106209,0.0320939,0.0132062,0.021059,0.023481,0,0,0.0359986,0,0.0316021,0.0189926,0.0372916,0.0166472,0.0183271,0.0190381,0.0347738,0.0396991,0.0100344,0.0162032,0.0106806,0.0133596,0.0127702,0.0330387,0.00938566,0.0114888,0.00601764,0.0269086,0.0345398,0.00489036,0.0286339,0.015978,0,0,0,0,0,0,0,0,0
6,0,0.0271406,0,0,0,0,0.0340148,0,0,0,0.0212244,0.0204832,0.0139766,0.0187981,0,0,0.029896,0,0.0328449,0.0194679,0.0396482,0.0120176,0.0111451,0.00593466,0.0366742,0.0589646,0.00604138,0.00743479,0.00623955,0.0100676,0.0131817,0.00989983,0.0266493,0.029855,0.0371434,0.0105117,0.00769706,0.0105862,0.0320964,0.0131955,0.021135,0.0235629,0,0,0.0361014,0,0.0315615,0.0190745,0.0373283,0.0166133,0.0183488,0.0190477,0.0348401,0.0397806,0.0100172,0.0162282,0.0106649,0.0133732,0.0127575,0.0330784,0.0093728,0.0114564,0.00601991,0.0269874,0.0346064,0.00486738,0.0287613,0.0160524,0,0,0,0,0,0,0,0,0
7,0,0.0272452,0,0,0,0,0.0341182,0,0,0,0.0212427,0.0204967,0.0139556,0.0188592,0,0,0.0299602,0,0.0328561,0.0194992,0.0395893,0.0119829,0.01118,0.00596083,0.0367373,0.0591076,0.00607322,0.00724848,0.0062898,0.0100407,0.0131514,0.00987014,0.0266317,0.0297704,0.0372926,0.0105295,0.00769417,0.0105687,0.0321117,0.0131546,0.0212266,0.023654,0,0,0.0362508,0,0.0315418,0.0191611,0.0373082,0.0165391,0.0183588,0.0191171,0.034867,0.0398835,0.0100583,0.0162597,0.0105743,0.0134102,0.0127179,0.0331874,0.00931977,0.0113947,0.00600285,0.0270598,0.0346429,0.0048723,0.0288542,0.0161484,0,0,0,0,0,0,0,0,0
8,0,0.0273712,0,0,0,0,0.0342117,0,0,0,0.02123,0.0204956,0.0139337,0.0188916,0,0,0.0300282,0,0.0328513,0.0195237,0.0395768,0.0119756,0.0112429,0.00597504,0.0367457,0.0592166,0.00606741,0.00718253,0.0063311,0.0100771,0.0131612,0.00985077,0.0266205,0.029779,0.0373183,0.0105315,0.00769726,0.0105888,0.0321503,0.0131338,0.0212314,0.023772,0,0,0.0364199,0,0.0315408,0.019268,0.0373291,0.0164992,0.0183694,0.0191641,0.0348971,0.0400174,0.0100573,0.016256,0.0105657,0.0134381,0.0126688,0.0332227,0.00926488,0.0113347,0.00602199,0.0271562,0.0346912,0.00489221,0.0289598,0.0162614,0,0,0,0,0,0,0,0,0
