Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x72,x73,,x74,x75,x79,x81,x71
All Timesteps RMSE,0.0317057,0,0,0,0,0.022424,0,0,0,0,0,0,0.0190133,0.0325026,0.0202662,0.0182291,0,0,0.0232632,0,0.0330572,0.017351,0.0443764,0.021955,0.00895042,0.0148264,0.0231464,0.0317986,0.0127456,0.017497,0.0150413,0.0730999,0.0177309,0.0417301,0.0212838,0.0294519,0.0236176,0.0281782,0.0160418,0.0224104,0.038987,0.0233746,0.0201578,0.0379772,0,0,0.064703,0,0.0282891,0.0418721,0.0350301,0.0252618,0.0172852,0.0195797,0.0220674,0.0517336,0.0101287,0.0171298,0.0163394,0.0127527,0.0139002,0.0275219,0.0143095,0.0156038,0.0240963,0.0434559,0.0226029,0.0367918,0.0226942,0.0278582,0,0,0,0,0,0,0,0
0,0.0277265,0,0,0,0,0.0376897,0,0,0,0,0,0,0.0204635,0.0203281,0.0133841,0.01991,0,0,0.0262941,0,0.0336054,0.0169174,0.0396999,0.0127557,0.0124118,0.00671018,0.0419038,0.0577493,0.00536122,0.00597331,0.0063007,0.0106641,0.0130567,0.0100703,0.0277573,0.029232,0.0346329,0.00929155,0.00614837,0.0127173,0.0316868,0.01405,0.0225825,0.026902,0,0,0.0380792,0,0.0329873,0.0221445,0.0367421,0.0180662,0.0190279,0.0186606,0.0399273,0.0393505,0.0100172,0.0166979,0.0104222,0.0127865,0.0124287,0.0332146,0.00830204,0.0113888,0.00902297,0.0299257,0.0350316,0.00322506,0.0328411,0.0171222,0,0,0,0,0,0,0,0
1,0.0253696,0,0,0,0,0.0340336,0,0,0,0,0,0,0.0192197,0.0204679,0.0131856,0.019161,0,0,0.028363,0,0.0330471,0.0183828,0.0399257,0.0127575,0.0111932,0.0074993,0.0384711,0.0564708,0.00508478,0.00579816,0.00674861,0.0107517,0.0126734,0.0101063,0.027713,0.0275481,0.035422,0.0103523,0.00689913,0.0129582,0.0316896,0.0140354,0.0217177,0.0240594,0,0,0.0352781,0,0.0322481,0.0188354,0.0366939,0.0179138,0.0186155,0.0187929,0.0363259,0.0363641,0.00997974,0.01676,0.0105639,0.0127838,0.0125016,0.0334378,0.00824439,0.0114825,0.00912652,0.025524,0.034794,0.00389916,0.0292222,0.0153781,0,0,0,0,0,0,0,0
2,0.0253893,0,0,0,0,0.0339771,0,0,0,0,0,0,0.0190748,0.0204564,0.0131833,0.0190619,0,0,0.0283741,0,0.033036,0.0184334,0.0399614,0.0127525,0.0112004,0.00748735,0.0384617,0.0564628,0.00503874,0.00599038,0.0066908,0.0107743,0.0126927,0.010112,0.027752,0.0274974,0.0354419,0.0103117,0.00690287,0.0129411,0.0316891,0.0140324,0.021739,0.0241106,0,0,0.0353057,0,0.0322424,0.0188082,0.0366998,0.0179352,0.0186574,0.0187472,0.0363335,0.0363567,0.0100286,0.0167639,0.0104967,0.0127537,0.0125187,0.0334271,0.00824141,0.0114943,0.00910144,0.0255669,0.0347546,0.00391866,0.0291574,0.015439,0,0,0,0,0,0,0,0
3,0.0253932,0,0,0,0,0.0339608,0,0,0,0,0,0,0.0188928,0.0205159,0.0131245,0.0189718,0,0,0.0283777,0,0.0329732,0.018471,0.0399832,0.0127025,0.0112318,0.00743377,0.0385096,0.05646,0.00502557,0.00592465,0.0066491,0.0107689,0.0126552,0.0100986,0.0277868,0.0274201,0.0354249,0.0101548,0.00693193,0.0129396,0.0316958,0.0140546,0.0217511,0.0241365,0,0,0.0352758,0,0.0322645,0.0187955,0.0367122,0.0179322,0.0186781,0.0186875,0.0363724,0.0363748,0.0099632,0.0167404,0.0104523,0.0127208,0.0125316,0.0332713,0.00827829,0.0115092,0.00912024,0.0255724,0.034763,0.00392695,0.0291513,0.0154668,0,0,0,0,0,0,0,0
4,0.0254115,0,0,0,0,0.0339967,0,0,0,0,0,0,0.0187073,0.0205637,0.0130054,0.0189733,0,0,0.028378,0,0.032966,0.0184849,0.0399974,0.0125722,0.0113227,0.00731356,0.0385911,0.0563515,0.00507034,0.00562716,0.00659932,0.0107057,0.0125283,0.0100438,0.0278362,0.0271592,0.0354146,0.0101082,0.00697257,0.012951,0.0317046,0.0140958,0.0217935,0.0241905,0,0,0.0352604,0,0.0322769,0.0188149,0.0366942,0.0179764,0.0186902,0.0186979,0.0364348,0.0363862,0.00965463,0.0167772,0.0104874,0.0127269,0.0125315,0.0332686,0.00832973,0.0115254,0.00913857,0.0256288,0.034785,0.00392031,0.0291731,0.0155163,0,0,0,0,0,0,0,0
5,0.0254301,0,0,0,0,0.0340276,0,0,0,0,0,0,0.0183334,0.0205789,0.0128129,0.0190055,0,0,0.0283234,0,0.0329696,0.0184593,0.0400271,0.0124391,0.0114653,0.00721721,0.0386923,0.0562575,0.00507001,0.00535168,0.00657031,0.0105625,0.0123373,0.0099563,0.027912,0.026744,0.0353813,0.0101197,0.00697854,0.012954,0.0317152,0.0141143,0.0219319,0.0242411,0,0,0.035286,0,0.0322758,0.0188469,0.0366573,0.0179632,0.0187266,0.0187757,0.0365425,0.0363881,0.00965004,0.0168697,0.010555,0.0128076,0.0125261,0.0334248,0.0083503,0.0115346,0.00914194,0.0256388,0.0347553,0.00388961,0.0292304,0.0155755,0,0,0,0,0,0,0,0
6,0.0254444,0,0,0,0,0.0340102,0,0,0,0,0,0,0.0177883,0.0205336,0.0125797,0.0189153,0,0,0.0284016,0,0.0329724,0.0184888,0.0400089,0.0123067,0.0113987,0.00713803,0.03866,0.0563667,0.00499233,0.00510667,0.0065286,0.010471,0.0121534,0.00993559,0.0280966,0.0261759,0.0354757,0.010128,0.00698726,0.012973,0.0317168,0.0141272,0.0219315,0.0241922,0,0,0.0353186,0,0.0322852,0.0188514,0.0366042,0.0179801,0.0186828,0.0188131,0.0364487,0.0364105,0.00985588,0.0168912,0.0106056,0.0128422,0.0125515,0.0335257,0.00838795,0.0115569,0.00915965,0.0256043,0.0346743,0.00386641,0.0292059,0.0155432,0,0,0,0,0,0,0,0
7,0.0254244,0,0,0,0,0.0339924,0,0,0,0,0,0,0.0169292,0.0204074,0.0122092,0.0187804,0,0,0.028495,0,0.0329745,0.018524,0.0400115,0.0121179,0.0113146,0.00708938,0.0385554,0.0564565,0.00488956,0.00479784,0.00651171,0.0104336,0.0118774,0.00993112,0.0283557,0.025156,0.0355867,0.0101851,0.00698153,0.0129705,0.0317091,0.014109,0.0219027,0.0241125,0,0,0.0352668,0,0.0322958,0.0188219,0.0365267,0.0179223,0.0186364,0.0188054,0.0362728,0.0363641,0.00965741,0.0168614,0.0105836,0.0128141,0.0125698,0.0335623,0.00838784,0.0115912,0.00913063,0.0255925,0.034656,0.00385742,0.0291611,0.0154868,0,0,0,0,0,0,0,0
8,0.0254075,0,0,0,0,0.0340184,0,0,0,0,0,0,0.0156329,0.0202238,0.0116991,0.0187226,0,0,0.0285474,0,0.0330083,0.0185388,0.0400684,0.0118273,0.0112474,0.00712671,0.0384768,0.0565878,0.00480684,0.00405984,0.00657194,0.0103738,0.011482,0.00990421,0.0286624,0.0236963,0.0357131,0.0103417,0.00696898,0.0129775,0.0317267,0.0140855,0.0219286,0.0240643,0,0,0.0352235,0,0.0323167,0.0187818,0.0364567,0.0178852,0.0185963,0.0188101,0.0361482,0.0363056,0.00952074,0.0168679,0.0105826,0.0127948,0.0125834,0.0335637,0.00838886,0.0116081,0.00911724,0.0255899,0.0347419,0.00385749,0.0291429,0.0154611,0,0,0,0,0,0,0,0
