Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,,x72,x73,x79,x80,x78,x74,x75
All Timesteps RMSE,0.057338,0,0,0,0,0.0689181,0,0,0,0,0,0,0.0222796,0.0316998,0.0121838,0.0172668,0,0,0.0360216,0,0.0345566,0.0273492,0.0451017,0.0130851,0.00890483,0.0138171,0.020717,0.0787918,0.0136819,0.0188348,0.014003,0.012573,0.0162346,0.00987223,0.0206423,0.0321689,0.0335149,0.0281224,0.019774,0.0682512,0.0428746,0.0181113,0.0181837,0.0515026,0,0,0.0836476,0,0.0283764,0.0589508,0.0349246,0.0250533,0.0182732,0.017031,0.0181317,0.0850417,0.0107468,0.0167284,0.0132106,0.0151198,0.0137617,0.0278923,0.0125926,0.0150816,0.0207522,0.0659175,0.0288188,0.0299136,0.0643384,0.0458438,0,0,0,0,0,0,0,0,0,0
0,0.0105866,0,0,0,0,0.0317507,0,0,0,0,0,0,0.0229048,0.0234386,0.0120925,0.0188907,0,0,0.0277453,0,0.0339988,0.0143806,0.0397738,0.0101917,0.0127962,0.00728398,0.0382041,0.0650217,0.00660693,0.00775608,0.0059516,0.0118474,0.0140498,0.0102502,0.0284305,0.0349273,0.0366802,0.00971056,0.00433697,0.0097118,0.0355653,0.0125445,0.0210661,0.0109937,0,0,0.0119002,0,0.0278016,0.0238441,0.0382476,0.0153516,0.0175518,0.0208158,0.0359745,0.0159846,0.0103376,0.0170805,0.0120557,0.0144837,0.0129421,0.031779,0.0100316,0.0113456,0.00638021,0.00957123,0.0392641,0.00889819,0.0309414,0.00375019,0,0,0,0,0,0,0,0,0,0
1,0.00928311,0,0,0,0,0.0316373,0,0,0,0,0,0,0.0221906,0.0233182,0.0120845,0.0182035,0,0,0.0323933,0,0.0334227,0.0175757,0.0397369,0.0101572,0.011649,0.00750438,0.0356023,0.0662122,0.00660817,0.00769237,0.00611482,0.0119315,0.0139781,0.0102979,0.0284008,0.0340497,0.0403883,0.0106992,0.00353215,0.0104459,0.0351945,0.0128073,0.0199274,0.0121404,0,0,0.0123927,0,0.0280147,0.0240606,0.038911,0.0159235,0.0181082,0.0209128,0.0332728,0.0143536,0.0101161,0.0173214,0.0121567,0.0142205,0.0129578,0.0318227,0.00976918,0.0113087,0.00752011,0.00937012,0.0395746,0.00894139,0.0307936,0.00447961,0,0,0,0,0,0,0,0,0,0
2,0.00958356,0,0,0,0,0.0314682,0,0,0,0,0,0,0.0220948,0.0233785,0.0120129,0.018227,0,0,0.0318487,0,0.033484,0.0173264,0.0397974,0.0101568,0.0118301,0.00745201,0.0357545,0.0662318,0.00652501,0.00758917,0.00602842,0.0118906,0.0139384,0.0102958,0.0284725,0.0339172,0.040028,0.010324,0.00396584,0.0103677,0.0353689,0.0128119,0.0200525,0.0117869,0,0,0.0122723,0,0.0279279,0.0241547,0.03916,0.015926,0.0181618,0.0208494,0.0334558,0.0149791,0.0100184,0.0174273,0.0121758,0.0141493,0.0129813,0.0319,0.00976988,0.0112903,0.00754774,0.010208,0.0398137,0.00911299,0.0306269,0.0044407,0,0,0,0,0,0,0,0,0,0
3,0.00970345,0,0,0,0,0.0314419,0,0,0,0,0,0,0.0216895,0.0233476,0.0119139,0.0181886,0,0,0.0314009,0,0.0335019,0.0172133,0.0399552,0.0102358,0.0119408,0.00744787,0.035857,0.0662407,0.00633161,0.00727463,0.00596744,0.0118223,0.0137472,0.0102802,0.0285805,0.0333758,0.0398524,0.010168,0.00425859,0.0104274,0.0354189,0.0128579,0.020311,0.0116733,0,0,0.0121308,0,0.0277352,0.0243678,0.0390178,0.0158872,0.0178443,0.0208659,0.03353,0.0154311,0.00999523,0.0174255,0.0121627,0.0142149,0.0130903,0.0319634,0.00983487,0.0114264,0.00733077,0.0108183,0.0400671,0.00919772,0.030651,0.00441046,0,0,0,0,0,0,0,0,0,0
4,0.00970388,0,0,0,0,0.0314403,0,0,0,0,0,0,0.0207876,0.0234035,0.0116054,0.0181278,0,0,0.0309557,0,0.0335813,0.0170966,0.0400529,0.0102795,0.0119947,0.00743814,0.0359482,0.066181,0.00613783,0.00680498,0.00589778,0.0116858,0.0133564,0.0101983,0.0287539,0.0323789,0.0397031,0.0101215,0.00446012,0.0104767,0.0354888,0.0128711,0.0203754,0.0116861,0,0,0.012047,0,0.0275557,0.0246041,0.0389353,0.0159432,0.0177488,0.0208744,0.0335914,0.0158523,0.00992796,0.0174589,0.0121222,0.0142577,0.0131208,0.0319961,0.00985861,0.0114935,0.0072097,0.0113092,0.0404076,0.00921176,0.0306791,0.00430252,0,0,0,0,0,0,0,0,0,0
5,0.0116537,0,0,0,0,0.0300017,0,0,0,0,0,0,0.0192137,0.0237122,0.0109934,0.0180469,0,0,0.0299522,0,0.0335874,0.0165806,0.0401761,0.0102616,0.0118722,0.00757758,0.0354822,0.0657967,0.00586578,0.00617199,0.00602206,0.0114618,0.0126661,0.0100561,0.0289566,0.0305716,0.0390234,0.0101927,0.00485839,0.0104446,0.0356192,0.0128682,0.0201027,0.00834987,0,0,0.0133378,0,0.0273169,0.0248283,0.0387627,0.0159325,0.0177131,0.0209175,0.033102,0.0179246,0.00997966,0.017477,0.0121078,0.0143225,0.0131371,0.0319398,0.00987774,0.0115574,0.00712068,0.0127866,0.0405481,0.00931594,0.028965,0.00474881,0,0,0,0,0,0,0,0,0,0
6,0.0111956,0,0,0,0,0.029973,0,0,0,0,0,0,0.0175836,0.0233891,0.0103155,0.0181364,0,0,0.0297431,0,0.0335567,0.0166671,0.0402749,0.0101288,0.0119522,0.00745555,0.035606,0.0652897,0.00572659,0.00543322,0.00599266,0.0111374,0.0119456,0.00986239,0.0291767,0.0287281,0.0389448,0.0101602,0.00469936,0.0103352,0.0356225,0.0128814,0.0201946,0.00897028,0,0,0.0129911,0,0.0272634,0.0249552,0.0386064,0.0158958,0.0177248,0.0209392,0.0332647,0.0181313,0.010257,0.0174777,0.0121049,0.0143311,0.0131452,0.0319038,0.00989681,0.0115648,0.00709247,0.0129243,0.0406523,0.00944751,0.0289372,0.00392162,0,0,0,0,0,0,0,0,0,0
7,0.0105547,0,0,0,0,0.0302598,0,0,0,0,0,0,0.0157653,0.023082,0.00947779,0.0184214,0,0,0.0296317,0,0.0335118,0.0167266,0.040499,0.00987112,0.0119781,0.00743463,0.0356944,0.0650601,0.00567114,0.00462186,0.00614984,0.0107464,0.01111,0.00960022,0.0293026,0.0266904,0.0390578,0.0102164,0.00442288,0.0103073,0.0355133,0.0128289,0.0205288,0.0100223,0,0,0.0126569,0,0.0271599,0.0251912,0.0384884,0.0157994,0.017709,0.021022,0.0334554,0.0178743,0.0106743,0.0175143,0.0121453,0.0143887,0.0131079,0.0318262,0.0098514,0.0115235,0.00706657,0.0129698,0.0407381,0.00953385,0.0293464,0.00311524,0,0,0,0,0,0,0,0,0,0
8,0.00992769,0,0,0,0,0.0307458,0,0,0,0,0,0,0.0141523,0.0228652,0.00862012,0.0189257,0,0,0.0295378,0,0.0335585,0.0168414,0.0407916,0.00946958,0.011971,0.00733844,0.0358439,0.0649065,0.00587487,0.00398504,0.00641229,0.0102431,0.0102892,0.00924019,0.0292591,0.0249354,0.0390749,0.0103695,0.00413702,0.0103452,0.0354206,0.0126847,0.0209997,0.0112578,0,0,0.0123584,0,0.0270724,0.0254509,0.0383781,0.0156289,0.0176578,0.0211326,0.0337156,0.0175078,0.0107936,0.0175141,0.0121511,0.0144833,0.013004,0.0317385,0.00970343,0.0114037,0.00699099,0.0129961,0.0407975,0.00961239,0.0299655,0.00244535,0,0,0,0,0,0,0,0,0,0
