Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x78,,x80,x79
All Timesteps RMSE,0.0162751,0,0,0,0,0.02437,0,0,0,0,0,0,0.0286375,0.0348969,0.0263731,0.0163624,0,0,0.0267258,0,0.0361511,0.018987,0.0419953,0.0273501,0.0082841,0.0131056,0.0202345,0.0354246,0.0146801,0.0156949,0.0156343,0.0119573,0.0148389,0.014423,0.0149894,0.0317112,0.0260526,0.0310407,0.0187623,0.0211576,0.039457,0.0218736,0.0136573,0.0184846,0,0,0.023321,0,0.0399118,0.0182642,0.0367161,0.0290738,0.0199902,0.0215405,0.0182574,0.0377272,0.00881188,0.0188325,0.0172522,0.0150141,0.0174992,0.0283266,0.0161462,0.0184366,0.0218701,0.025599,0.0203678,0.0143655,0.0231359,0.0131803,0,0,0,0,0,0,0,0
0,0.0084245,0,0,0,0,0.0198406,0,0,0,0,0,0,0.0317527,0.0214706,0.0299375,0.0156549,0,0,0.021255,0,0.0353012,0.00826873,0.0388658,0.0290891,0.0080666,0.00582408,0.0240283,0.0585671,0.0163415,0.0147377,0.0125858,0.0105635,0.0161445,0.0145744,0.0206847,0.0352922,0.0304283,0.00613365,0.00500224,0.0110957,0.0261814,0.0152224,0.0136226,0.00896078,0,0,0.0178991,0,0.0322609,0.0236191,0.0402363,0.0194078,0.0134999,0.0218295,0.023891,0.020628,0.0102684,0.0150798,0.0112972,0.0112447,0.0168688,0.032996,0.0138079,0.0156411,0.0086245,0.0136266,0.0388136,0.0125376,0.0170657,0.00780243,0,0,0,0,0,0,0,0
1,0.00827344,0,0,0,0,0.0196624,0,0,0,0,0,0,0.0309146,0.021847,0.0295246,0.015606,0,0,0.0227427,0,0.0349162,0.0096526,0.0390324,0.0292197,0.0077365,0.00509404,0.0230776,0.0588618,0.0156912,0.0139419,0.0118006,0.0104857,0.0159904,0.0144497,0.0207969,0.0346109,0.0317005,0.00644394,0.00526612,0.0114511,0.0266802,0.0146286,0.0134533,0.00922319,0,0,0.0196062,0,0.0316054,0.0256983,0.0400182,0.0191673,0.0136767,0.0218504,0.0227715,0.0196141,0.00947996,0.0154257,0.0112496,0.0105926,0.0164278,0.0326754,0.0128431,0.0149443,0.00904308,0.0148378,0.0388559,0.0131006,0.0169697,0.00802258,0,0,0,0,0,0,0,0
2,0.00825059,0,0,0,0,0.0197527,0,0,0,0,0,0,0.0306455,0.0218983,0.0295007,0.0154955,0,0,0.0226269,0,0.0349695,0.0096588,0.0390092,0.0291075,0.00768486,0.00495037,0.0229668,0.0587389,0.015417,0.0136046,0.0115668,0.0105432,0.0160145,0.0144712,0.020831,0.0346505,0.0315614,0.00645358,0.0052276,0.0115365,0.0266482,0.0147576,0.0134432,0.00928252,0,0,0.0196872,0,0.0315563,0.0256175,0.0400301,0.0192686,0.0137348,0.0218962,0.0225879,0.0195213,0.0094817,0.0155097,0.0113463,0.0106252,0.0164703,0.0326859,0.0128678,0.0149887,0.00915283,0.0147536,0.0388783,0.0131055,0.0170733,0.00791376,0,0,0,0,0,0,0,0
3,0.00823377,0,0,0,0,0.0198419,0,0,0,0,0,0,0.0306019,0.0218824,0.0295091,0.015386,0,0,0.0225336,0,0.0350022,0.00951259,0.0389767,0.0286955,0.0076354,0.00484095,0.0228737,0.0586803,0.015158,0.0133238,0.0113598,0.0106151,0.0160592,0.0145252,0.0208619,0.034788,0.0314389,0.00647456,0.00522195,0.011462,0.0266352,0.0148027,0.0133856,0.00932358,0,0,0.0197418,0,0.0315196,0.0255589,0.0400088,0.0192907,0.0137609,0.0219098,0.0224349,0.0194752,0.00952539,0.0155227,0.0113552,0.010645,0.0165145,0.0326496,0.0128901,0.0150235,0.00901566,0.0147137,0.0388655,0.0131083,0.0171672,0.00780391,0,0,0,0,0,0,0,0
4,0.00826016,0,0,0,0,0.0199604,0,0,0,0,0,0,0.0308432,0.0219732,0.0295645,0.0152583,0,0,0.0224056,0,0.0349356,0.00944405,0.0389238,0.0285066,0.00759018,0.00492867,0.0227562,0.0585218,0.0149848,0.0131862,0.0113126,0.0106572,0.0161098,0.0145285,0.0208805,0.0348518,0.0313103,0.00646295,0.00521517,0.0114448,0.0266695,0.0149131,0.0133374,0.00935244,0,0,0.0197757,0,0.0315508,0.0254871,0.0398404,0.0193952,0.0137601,0.0219236,0.0222991,0.0194308,0.0095949,0.0154333,0.0112985,0.0107324,0.0165798,0.0325854,0.0129625,0.0151151,0.00885972,0.0146748,0.0388291,0.0130913,0.0172755,0.00768272,0,0,0,0,0,0,0,0
5,0.00828674,0,0,0,0,0.0200678,0,0,0,0,0,0,0.0311135,0.0219368,0.0296122,0.0151465,0,0,0.0222351,0,0.0347942,0.00945794,0.038857,0.0284717,0.00756542,0.0049701,0.0226273,0.0582962,0.0148499,0.0130925,0.011299,0.0106945,0.0161687,0.0145569,0.0209101,0.0349125,0.0311425,0.0064945,0.00516024,0.0113788,0.0266947,0.0149957,0.0132629,0.00944262,0,0,0.0198136,0,0.0316159,0.025551,0.0395409,0.0194711,0.0137805,0.021988,0.0221826,0.0193464,0.00968576,0.0152969,0.0112039,0.0108148,0.0166507,0.0326043,0.0130313,0.0152076,0.00857942,0.0145435,0.0387856,0.0131019,0.0174114,0.00757617,0,0,0,0,0,0,0,0
6,0.00830784,0,0,0,0,0.0202194,0,0,0,0,0,0,0.0312556,0.0219123,0.0296969,0.0150249,0,0,0.0220544,0,0.034723,0.009446,0.0388336,0.028502,0.00753915,0.00509548,0.0225064,0.0581016,0.014825,0.0131629,0.01138,0.0107407,0.0162474,0.0146063,0.0209195,0.0351305,0.0309502,0.00653404,0.00507555,0.0113802,0.0266564,0.0150267,0.0133293,0.00956515,0,0,0.0198157,0,0.0316208,0.0257156,0.0395169,0.0195212,0.0138385,0.0220276,0.0220539,0.0192316,0.00970046,0.015275,0.0111769,0.0108342,0.0166609,0.0326065,0.013041,0.0152239,0.00850584,0.0143718,0.0387728,0.0131132,0.0175772,0.00749194,0,0,0,0,0,0,0,0
7,0.00833186,0,0,0,0,0.020378,0,0,0,0,0,0,0.0313661,0.0220433,0.0297275,0.0149197,0,0,0.0219268,0,0.0347673,0.00932388,0.0388124,0.0284567,0.00749847,0.00511826,0.0223706,0.0579981,0.0147994,0.0131611,0.0113519,0.0107966,0.0163188,0.0146652,0.0209486,0.0352909,0.0308862,0.0065529,0.00503978,0.0114097,0.0266197,0.0151049,0.0133198,0.00965793,0,0,0.0198374,0,0.0315919,0.0257715,0.0394227,0.019618,0.0138809,0.0220195,0.0219253,0.0190861,0.00972955,0.0152459,0.0111907,0.0108778,0.0166686,0.0325848,0.0130532,0.0152825,0.00847244,0.0142031,0.0387668,0.0131318,0.0177413,0.00739125,0,0,0,0,0,0,0,0
8,0.00838049,0,0,0,0,0.0205054,0,0,0,0,0,0,0.0313221,0.0221467,0.0297863,0.0148019,0,0,0.0218546,0,0.0348682,0.0091936,0.0387846,0.0284591,0.00745511,0.00513763,0.0222414,0.0579381,0.0148244,0.0131741,0.0113651,0.0108146,0.0163314,0.014691,0.0209568,0.0353367,0.0307619,0.00657536,0.00500548,0.0113807,0.0265868,0.0151253,0.0133218,0.00978079,0,0,0.0198786,0,0.0315809,0.025778,0.0394967,0.0196384,0.0139335,0.022001,0.0217992,0.018933,0.00971245,0.0152781,0.0112143,0.0108996,0.0166792,0.0325901,0.0130822,0.0153031,0.00835843,0.0140905,0.0387415,0.0131466,0.0178937,0.00730615,0,0,0,0,0,0,0,0
9,0.00840635,0,0,0,0,0.0206119,0,0,0,0,0,0,0.0313017,0.0220058,0.0297979,0.0147034,0,0,0.0218609,0,0.0348287,0.00919712,0.0387456,0.0285917,0.00741424,0.00506276,0.0221484,0.0578958,0.0148915,0.013139,0.0113506,0.0108195,0.0163245,0.0146911,0.0209979,0.03531,0.0306009,0.00666685,0.00494386,0.0112041,0.0265784,0.015008,0.013297,0.00984467,0,0,0.0199489,0,0.0316078,0.0258359,0.0394428,0.0195159,0.0139693,0.021981,0.0217083,0.0187982,0.0096932,0.0152371,0.0111634,0.0108675,0.0166629,0.0325956,0.0130422,0.0152688,0.00804902,0.0139803,0.0386416,0.0131601,0.0180082,0.00723673,0,0,0,0,0,0,0,0
