Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73
All Timesteps RMSE,0.0116657,0,0,0,0,0.00763175,0,0,0,0,0,0,0.0337135,0.0366366,0.0278094,0.0191973,0,0,0.028964,0,0.0322139,0.036173,0.0399219,0.0265035,0.00369023,0.014097,0.028038,0.0110192,0.0196973,0.0201297,0.01755,0.00987169,0.0141303,0.0119867,0.0150696,0.0371225,0.0200632,0.0600881,0.0360277,0.0107126,0.0392016,0.0102172,0.0148039,0.0114798,0,0,0.0469632,0,0.0376334,0.035602,0.0378977,0.00836654,0.0134175,0.0109539,0.0275607,0.0162941,0.0104786,0.0141911,0.00897686,0.0102474,0.00629469,0.0280279,0.00823676,0.00698967,0.0123829,0.018289,0.0262016,0.0289628,0.00506399,0.0105973,0,0,0
0,0.0172278,0,0,0,0,0.0138787,0,0,0,0,0,0,0.0363612,0.0524033,0.0302252,0.018545,0,0,0.0297156,0,0.0397913,0.0287182,0.0378428,0.0258489,0.00533419,0.0125604,0.0311538,0.011619,0.020108,0.0198987,0.0173354,0.00747001,0.0125531,0.0121141,0.0158308,0.0401042,0.0200057,0.0609926,0.017161,0.017431,0.0381732,0.0154274,0.0144781,0.014437,0,0,0.0449861,0,0.0368691,0.0341843,0.0363176,0.0188938,0.0106812,0.00558994,0.0303537,0.0226446,0.0122129,0.0138883,0.0106025,0.0118949,0.00482005,0.0264426,0.00722831,0.00724444,0.0157525,0.0134221,0.0233725,0.027962,0.0122513,0.0156485,0,0,0
1,0.0170875,0,0,0,0,0.0137906,0,0,0,0,0,0,0.0364054,0.0522725,0.0301658,0.0185422,0,0,0.0295923,0,0.0397687,0.0287004,0.0378876,0.0258773,0.00532414,0.0124226,0.0310587,0.0113823,0.0200259,0.0197954,0.0172508,0.00738087,0.0124959,0.0120596,0.015793,0.040075,0.0199809,0.0608595,0.0171765,0.0171186,0.0381883,0.0152572,0.0145462,0.0143625,0,0,0.0449472,0,0.0368855,0.0342553,0.03637,0.0179659,0.0108875,0.00574458,0.0302111,0.0224967,0.0125036,0.0141501,0.0110925,0.0121105,0.00421606,0.027046,0.00708738,0.00691074,0.0157683,0.0133896,0.0234571,0.0280729,0.0122384,0.0155324,0,0,0
2,0.0170129,0,0,0,0,0.0137448,0,0,0,0,0,0,0.0363252,0.0521318,0.0300965,0.0188929,0,0,0.0295488,0,0.0397167,0.0286739,0.0380202,0.025583,0.00534907,0.0122226,0.0311162,0.0112652,0.0199961,0.019571,0.0170886,0.00725762,0.0124087,0.0120555,0.0157314,0.0401055,0.0200032,0.0606427,0.0171941,0.0166196,0.0382234,0.0148253,0.0146671,0.0143229,0,0,0.044873,0,0.0369248,0.0343088,0.0364799,0.0166103,0.0111099,0.00583872,0.0302816,0.0224035,0.0126169,0.0142341,0.0110722,0.0119463,0.00381191,0.0276366,0.00708053,0.00647945,0.0155689,0.0134879,0.0235726,0.0281312,0.0122213,0.0154403,0,0,0
3,0.016991,0,0,0,0,0.0137253,0,0,0,0,0,0,0.0363305,0.0519543,0.0300131,0.0189639,0,0,0.0294837,0,0.039619,0.0285968,0.0381453,0.0252148,0.00542376,0.0120321,0.0313077,0.0112321,0.0199358,0.0193838,0.0169415,0.00714794,0.0123388,0.0120392,0.0156891,0.0402586,0.0199167,0.0603626,0.0173558,0.0164621,0.0382882,0.0147931,0.0148002,0.014323,0,0,0.0448521,0,0.0369841,0.0343464,0.0364917,0.0152897,0.0112932,0.00602778,0.0304945,0.0223052,0.0126574,0.0142924,0.0109678,0.0117184,0.00360224,0.0280946,0.00713145,0.00617396,0.0157302,0.0135363,0.0237095,0.0282228,0.0121902,0.015428,0,0,0
4,0.0170015,0,0,0,0,0.0136977,0,0,0,0,0,0,0.036365,0.0518578,0.029902,0.0190937,0,0,0.029305,0,0.0395436,0.0284384,0.0382135,0.0251906,0.00552826,0.0118576,0.0315408,0.011268,0.0199006,0.0192457,0.0168244,0.00704012,0.0123245,0.0120351,0.0156884,0.0404921,0.0198365,0.0602472,0.0175538,0.01595,0.0383408,0.0146598,0.0150494,0.0143548,0,0,0.0447974,0,0.037023,0.0343015,0.0364317,0.013775,0.0113906,0.00627663,0.0307622,0.022182,0.0126346,0.0143227,0.0108096,0.0115651,0.00347995,0.0283155,0.00717133,0.0060184,0.0160801,0.0135496,0.023846,0.0283402,0.0120777,0.0154674,0,0,0
5,0.0170494,0,0,0,0,0.0137434,0,0,0,0,0,0,0.0363453,0.0517469,0.0298485,0.0193054,0,0,0.029212,0,0.039361,0.0283131,0.0382028,0.0250963,0.00557313,0.0117301,0.0317875,0.0114048,0.0199321,0.0191643,0.0167329,0.00696993,0.0123345,0.0120514,0.0156902,0.040669,0.0199252,0.0600187,0.0176613,0.015131,0.0383629,0.0143741,0.0151463,0.0144225,0,0,0.0446938,0,0.0370453,0.034275,0.0364097,0.0123529,0.0113536,0.00653823,0.0310626,0.0220681,0.0124878,0.0142871,0.0106614,0.0114699,0.0035944,0.0284324,0.00733749,0.0061546,0.0160523,0.0135636,0.0238864,0.0283847,0.0120249,0.0155428,0,0,0
6,0.0171233,0,0,0,0,0.0137669,0,0,0,0,0,0,0.0363756,0.0515881,0.0297532,0.0193628,0,0,0.0290667,0,0.0391194,0.0282009,0.0381685,0.0253626,0.00559568,0.0116272,0.0319652,0.0115798,0.0199506,0.0191193,0.0166943,0.00695149,0.0123918,0.0120142,0.0157266,0.0408099,0.0196993,0.0596564,0.0177008,0.0142806,0.0383966,0.0136672,0.0150953,0.0144973,0,0,0.0445933,0,0.0370763,0.0342771,0.0363735,0.0113064,0.0112319,0.00667147,0.0313046,0.0219213,0.012117,0.014195,0.0105491,0.0114682,0.00378857,0.028218,0.0074283,0.00627718,0.0149516,0.0137829,0.023928,0.0284111,0.0119413,0.0156393,0,0,0
7,0.0171421,0,0,0,0,0.0137634,0,0,0,0,0,0,0.0365082,0.0515127,0.0296627,0.0194384,0,0,0.0288197,0,0.0389183,0.0279585,0.0381245,0.0255116,0.00560497,0.0115859,0.0320544,0.0117226,0.0199532,0.0190859,0.016661,0.00699392,0.0124073,0.0119387,0.0157556,0.040875,0.0195852,0.0594376,0.0176154,0.0143048,0.0385048,0.0131429,0.0150466,0.0145016,0,0,0.0447177,0,0.0371796,0.0343901,0.0363448,0.0110999,0.0111087,0.00657746,0.0314121,0.021743,0.0119587,0.0140739,0.0104612,0.0114973,0.00390881,0.0279876,0.00734807,0.00625442,0.0146288,0.0138428,0.0240546,0.0284848,0.0117931,0.0156706,0,0,0
8,0.0171137,0,0,0,0,0.0137007,0,0,0,0,0,0,0.0365368,0.0514849,0.0296739,0.0195771,0,0,0.0285369,0,0.0387622,0.0276454,0.0381434,0.0254534,0.00563843,0.0116844,0.0320904,0.0118011,0.0200187,0.019098,0.0167162,0.00710113,0.012474,0.0119318,0.0157712,0.0409074,0.019427,0.0593373,0.0174915,0.0148296,0.0386554,0.0132042,0.014944,0.0144809,0,0,0.0449584,0,0.0373209,0.0345334,0.0363891,0.011328,0.0110915,0.00633917,0.0314145,0.0215068,0.0119156,0.0140363,0.0104254,0.0114312,0.00380691,0.0279072,0.00721865,0.00613499,0.0151972,0.0139198,0.0242487,0.0286235,0.0115806,0.0156534,0,0,0
