Timestep,C7,CBL,CBR,CFL,CFR,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,RFHD,RFIN,RGTR,RHEE,RILC,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RWRA,RWRB,STRN,T10,x71,x72,x73,RKNE,RTHI,RUPA,,RTIBI,RFRM,REAR,CLAV,LTHIA,RTHIA,RTHII,LASI,RASI
All Timesteps RMSE,0.0330177,0,0,0,0,0,0,0,0,0,0,0.0303336,0.0299078,0.0267877,0,0,0.0351167,0,0.0369469,0.0201819,0.0452757,0.0320898,0.0130782,0.0118858,0.0310978,0.0267186,0.0140015,0.0161634,0.0107535,0.014549,0.013996,0.0177948,0.0376917,0.0318994,0.0319054,0.0144351,0.0172523,0.0347125,0.0243491,0.0368422,0,0,0.0300968,0.0405932,0.0325029,0.019353,0.0322859,0.132319,0.0153681,0.0159146,0.0292834,0.0193797,0.021583,0.0235194,0.0306798,0.0189987,0.0325226,0,0,0,0.0146105,0.0123132,0.0416745,0,0.0152245,0.0393669,0,0.015686,0.0116165,0.0127933,0.00803878,0.00806514,0.0173601
0,0.04211,0,0,0,0,0,0,0,0,0,0,0.00839331,0.0369286,0.00492404,0,0,0.0507616,0,0.0641789,0.0375219,0.0498737,0.0136739,0.0376365,0.0344231,0.0933809,0.0634545,0.033979,0.0423096,0.016364,0.0184179,0.0124839,0.023891,0.0248727,0.0444919,0.0345728,0.0394385,0.0557024,0.0255289,0.0434076,0.0325447,0,0,0.0390993,0.0734775,0.0479936,0.0267361,0.0982711,0.0851463,0.0596469,0.0210581,0.0162611,0.0153171,0.0578387,0.0194384,0.0373899,0.0332614,0.0362568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0441395,0,0,0,0,0,0,0,0,0,0,0.0072496,0.0372287,0.00493804,0,0,0.0519206,0,0.0659695,0.0380269,0.0494221,0.0150564,0.0379793,0.0335766,0.0929179,0.0630893,0.0340502,0.0417837,0.0146501,0.0168196,0.0113186,0.0235949,0.0246614,0.0458932,0.0345486,0.0398343,0.0556145,0.0275868,0.0465006,0.0348873,0,0,0.0395422,0.072914,0.0530761,0.0264741,0.0978795,0.0901965,0,0.0220002,0.014479,0.0154473,0.0555671,0.0192228,0.0398109,0,0.0377594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0438684,0,0,0,0,0,0,0,0,0,0,0.00693761,0.0368292,0.00539454,0,0,0.0516156,0,0.0654014,0.0373132,0.0500705,0.0146953,0.0385385,0.0323714,0.0950191,0.0628746,0.0326802,0.0405624,0.0146653,0.0165693,0.0112754,0.0237575,0.0244922,0.0454448,0.0342373,0.0390067,0.0551191,0.0277489,0.0434553,0.0340095,0,0,0.0390454,0.0720718,0.0478222,0.0272818,0.10049,0.0912033,0.0567698,0.0211101,0.0156046,0.015263,0.0571958,0.0190911,0.0372512,0.0342883,0.0376516,0,0,0,0.0410173,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0437928,0,0,0,0,0,0,0,0,0,0,0.00692937,0.0358768,0.00526686,0,0,0.0508115,0,0.0645261,0.0360937,0.0504544,0.014571,0.0385418,0.0314643,0.095802,0.0620768,0.031827,0.0397266,0.0146954,0.0164593,0.0112848,0.0235607,0.0242099,0.0446345,0.0332924,0.0377161,0.0555193,0.0277071,0.0477698,0.0337109,0,0,0.0381587,0.0705219,0.0550606,0.0268418,0.101319,0.0908337,0,0.021536,0.013802,0.0146881,0.0544293,0.018988,0.0397777,0.0341968,0.0378778,0,0,0,0.0444599,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0438194,0,0,0,0,0,0,0,0,0,0,0.00690145,0.0351585,0.00493931,0,0,0.0503278,0,0.0642507,0.0351973,0.0503796,0.0143886,0.0385409,0.0312688,0.0958871,0.0615563,0.0315434,0.0395219,0.014771,0.016464,0.0110676,0.0234993,0.0240535,0.0441706,0.0325397,0.0368421,0.0548455,0.0275855,0.0475938,0.0335222,0,0,0.0371468,0.0701634,0.0549835,0.0272217,0.101541,0.0905621,0,0.0214058,0.0136817,0.014768,0.0535318,0.0192007,0.0372275,0.0341502,0.0380782,0,0,0,0.0442559,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0371745,0,0,0,0,0,0,0,0,0,0,0.00708003,0.0323835,0.00398771,0,0,0.0490575,0,0.0620203,0.0332601,0.0505295,0.0142972,0.0376317,0.0319388,0.0945683,0.0600845,0.0317524,0.0400322,0.0153184,0.0169109,0.0112293,0.0237453,0.0237844,0.0429305,0.0301953,0.0339551,0.075818,0.040528,0.0564416,0.026575,0,0,0.0337017,0.0726152,0.0573094,0.0295295,0.100889,0.140206,0,0.0245677,0,0.0232113,0.0809525,0.0206,0.0234957,0.037276,0.0301296,0,0,0,0.0396107,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0413455,0,0,0,0,0,0,0,0,0,0,0.00659002,0.0327033,0.00450883,0,0,0.0485675,0,0.0622227,0.033103,0.0505877,0.0149138,0.0383515,0.0303297,0.0969146,0.0598632,0.0305386,0.0386711,0.0149733,0.0163973,0.0109924,0.0231632,0.0231151,0.042666,0.0306425,0.0339866,0.0529577,0.0436991,0.0467592,0.0298915,0,0,0.0404015,0.0698202,0.0539466,0.0275825,0.102614,0.14813,0,0.0214137,0.0133501,0.0154086,0.0511586,0.0287429,0.0377242,0.0342305,0.0358273,0,0,0,0.0434297,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0412806,0,0,0,0,0,0,0,0,0,0,0.00657096,0.0323904,0.00362602,0,0,0.0485437,0,0.0618158,0.0325262,0.0498884,0.015759,0.0381348,0.0311422,0.0956381,0.0594558,0.0313486,0.0394996,0.0151489,0.0166729,0.0113039,0.0229211,0.0230709,0.0429924,0.0300445,0.0332515,0.0517907,0.0437509,0.0461731,0.0298016,0,0,0.0391092,0.0706774,0.0532506,0.0278527,0.101258,0.147918,0,0.0214762,0.0134338,0.0159588,0.0499521,0.0302595,0,0.0334293,0.0358829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0422316,0,0,0,0,0,0,0,0,0,0,0.0065733,0.032919,0.00352454,0,0,0.0487542,0,0.0615361,0.0317922,0.0498245,0.0150737,0.0383131,0.0311214,0.0949136,0.059168,0.0321621,0.0395158,0.0136948,0.0154313,0.0112052,0.0235091,0.0238703,0.0435799,0.0293358,0.0323704,0.0697571,0.042698,0.0574939,0.030532,0,0,0.0388229,0.0724511,0.0620744,0.0286299,0.100433,0.147684,0,0.0176688,0,0.0186662,0.0713809,0.0308489,0,0.0322591,0.0370667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
