Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,,x79
All Timesteps RMSE,0.0306395,0,0,0,0,0.0235129,0,0,0,0,0,0,0.0142557,0.0320349,0.0121842,0.0220128,0,0,0.028221,0,0.0345426,0.0225063,0.0462224,0.0150717,0.00995883,0.0112504,0.0278687,0.0388674,0.0128794,0.0143027,0.0135399,0.0111008,0.013139,0.00879821,0.026642,0.0201414,0.0291896,0.0278165,0.0188246,0.0249775,0.039211,0.0301231,0.0437184,0.0376127,0,0,0.0418448,0,0.0447849,0.028935,0.0484805,0.0385134,0.0352409,0.0259892,0.027296,0.0472384,0.0228761,0.0289213,0.0432112,0.0260987,0.0247515,0.03379,0.0184752,0.0344613,0.0261068,0.0324445,0.0200157,0.0201733,0.0250784,0.0291135,0,0,0,0,0,0
0,0.0301163,0,0,0,0,0.0265374,0,0,0,0,0,0,0.00536638,0.0199757,0.0135499,0.0127412,0,0,0.045556,0,0.0377681,0.0271633,0.0427339,0.0160343,0.00691186,0.00845588,0.0227296,0.0638704,0.0133852,0.013003,0.0121902,0.0142054,0.0144805,0.013588,0.0349589,0.0121119,0.0526372,0.00890704,0.00959108,0.0100355,0.030403,0.0134414,0.0423045,0.0303606,0,0,0.0173426,0,0.0335694,0.0181121,0.0441173,0.0156874,0.0474267,0.0184683,0.0278234,0.0410463,0.00502698,0.0121195,0.00765714,0.0132231,0.0153729,0.041499,0.0107521,0.013689,0.0182897,0.0197827,0.0267218,0.00621805,0.0212712,0.0235832,0,0,0,0,0,0
1,0.0280012,0,0,0,0,0.024649,0,0,0,0,0,0,0.00518136,0.0196782,0.0134414,0.0132216,0,0,0.0464485,0,0.0369073,0.0279304,0.043183,0.0159049,0.00625741,0.00827624,0.0218656,0.0635545,0.0131859,0.0129128,0.0120147,0.0139002,0.0142582,0.0133003,0.0346361,0.0116408,0.053257,0.00937024,0.00813598,0.0101533,0.0303682,0.0135123,0.0426427,0.0282067,0,0,0.0134476,0,0.0334039,0.0171307,0.0442254,0.0161364,0.0460811,0.0185492,0.0271922,0.0382065,0.00489893,0.0121103,0.00728998,0.0133767,0.0157776,0.0415538,0.0109131,0.0143539,0.018844,0.0164287,0.028994,0.00664399,0.0197409,0.0220667,0,0,0,0,0,0
2,0.0279247,0,0,0,0,0.0249094,0,0,0,0,0,0,0.0246344,0.0195607,0.0154645,0.0129567,0,0,0.0456524,0,0.0367491,0.027594,0.0439788,0.0112427,0.0060847,0.0142741,0.0230074,0.0629141,0.0138791,0.0160946,0.0187988,0.0138718,0.0184309,0.00864874,0.0295454,0.034514,0.0522923,0.00926127,0.00773337,0.00973847,0.0307971,0.013654,0.0424462,0.0283842,0,0,0.0146653,0,0.0333274,0.0184681,0.0443035,0.0160276,0.0460681,0.0183611,0.0280505,0.0388426,0.00490026,0.012085,0.00735992,0.0132302,0.0156298,0.041493,0.0110367,0.0141689,0.0181627,0.0176329,0.031264,0.00799837,0.020138,0.0219868,0,0,0,0,0,0
3,0.0281566,0,0,0,0,0.0252178,0,0,0,0,0,0,0.0245037,0.0193536,0.0155276,0.0130346,0,0,0.0451961,0,0.0367744,0.0274966,0.0439318,0.0114175,0.00634171,0.0139393,0.0232591,0.0623125,0.0137718,0.015916,0.0185541,0.0138345,0.0183542,0.00885496,0.0296651,0.034272,0.0514916,0.00919464,0.00761931,0.00973929,0.0310117,0.0137279,0.0425606,0.0287828,0,0,0.0153114,0,0.0333413,0.0193063,0.0442293,0.0160383,0.0463154,0.0184357,0.0282944,0.0392567,0.00498472,0.0120294,0.00746891,0.0132613,0.0156453,0.0414727,0.0110792,0.0141746,0.0180979,0.0182173,0.0332357,0.00925333,0.0204973,0.0223393,0,0,0,0,0,0
4,0.0284631,0,0,0,0,0.025705,0,0,0,0,0,0,0.0238135,0.0192004,0.0154675,0.0130205,0,0,0.0446312,0,0.0366938,0.0274479,0.043825,0.0115268,0.00663064,0.0131957,0.023514,0.0614994,0.0135252,0.0152933,0.0179323,0.0136729,0.0180651,0.00914697,0.0299062,0.0334771,0.0506181,0.00911082,0.00754184,0.00969021,0.0313364,0.0137289,0.0426169,0.0292564,0,0,0.0160607,0,0.0333515,0.0200468,0.0441049,0.0159587,0.0466758,0.0183733,0.0285449,0.0396028,0.00505219,0.0119891,0.00747001,0.0132046,0.0155977,0.0414834,0.0110994,0.0141459,0.0180108,0.0187967,0.0352009,0.010362,0.0210633,0.0227265,0,0,0,0,0,0
5,0.0288091,0,0,0,0,0.0263382,0,0,0,0,0,0,0.0229121,0.0190968,0.0153263,0.0130402,0,0,0.0439352,0,0.0367649,0.027435,0.0437459,0.0116426,0.00697562,0.0123423,0.0237375,0.0606006,0.0133032,0.0146806,0.0172385,0.0134791,0.0176918,0.00941851,0.030159,0.0325103,0.0497434,0.00911215,0.00745043,0.00967497,0.031832,0.0137055,0.0426669,0.0298174,0,0,0.0168477,0,0.0334733,0.0207073,0.0439694,0.01584,0.0471283,0.0182576,0.0288011,0.0398998,0.00520743,0.011999,0.00741462,0.0131526,0.0155426,0.0415496,0.0111375,0.0141225,0.0179512,0.0192978,0.0370712,0.0114182,0.0218202,0.0231619,0,0,0,0,0,0
6,0.0288892,0,0,0,0,0.0262342,0,0,0,0,0,0,0.0219272,0.019055,0.0152097,0.0131109,0,0,0.0430663,0,0.0367747,0.0274357,0.0436425,0.0118536,0.00705411,0.0115169,0.023881,0.0592633,0.0131413,0.0141473,0.0165929,0.0133271,0.0173267,0.00974994,0.0304581,0.0314237,0.0487741,0.00912303,0.00734484,0.00974301,0.0322796,0.0136687,0.0426829,0.0300194,0,0,0.0169518,0,0.0337476,0.0209629,0.0439376,0.0157747,0.0472508,0.0181964,0.0289441,0.0400722,0.00537543,0.0120037,0.00737683,0.0131621,0.0155586,0.0416452,0.0111646,0.0140917,0.0179926,0.0192361,0.0385497,0.0122551,0.0218285,0.0234168,0,0,0,0,0,0
7,0.0290742,0,0,0,0,0.0263574,0,0,0,0,0,0,0.0207421,0.0189922,0.0150651,0.0131642,0,0,0.0421955,0,0.0367335,0.0275109,0.0435033,0.0121244,0.00710265,0.0106329,0.0241172,0.0578551,0.0129699,0.0135722,0.0158591,0.0131621,0.0169725,0.0101069,0.0307799,0.0301597,0.0478332,0.00913785,0.00727925,0.00979269,0.0325851,0.0136229,0.042808,0.0303477,0,0,0.0172047,0,0.0338971,0.0211243,0.0439985,0.0157133,0.047259,0.0181757,0.0291671,0.0401841,0.00521883,0.0120157,0.00735339,0.0131712,0.0155593,0.0417196,0.0111462,0.0140398,0.018094,0.0191882,0.0398323,0.0127338,0.0220278,0.0237483,0,0,0,0,0,0
8,0.0293863,0,0,0,0,0.0265548,0,0,0,0,0,0,0.0194665,0.0188636,0.0149179,0.013192,0,0,0.0414643,0,0.0366263,0.0275546,0.0433323,0.0123832,0.00716628,0.00979564,0.0243317,0.0563156,0.012756,0.0130289,0.0151391,0.0130453,0.0165981,0.0104496,0.0311187,0.0287625,0.0469016,0.00917135,0.00725994,0.00969701,0.032676,0.0137229,0.0428818,0.0307904,0,0,0.0176193,0,0.0338297,0.0211193,0.0439361,0.0157766,0.0473488,0.0181356,0.02938,0.0403462,0.00509794,0.0120955,0.00732733,0.0131675,0.0155707,0.041674,0.0112113,0.0141055,0.017975,0.0191757,0.0408084,0.0127621,0.0222433,0.0241984,0,0,0,0,0,0
