Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,,x79
All Timesteps RMSE,0.0181471,0,0,0,0,0.0220382,0,0,0,0,0,0.0144102,0.0335265,0.0125446,0.0340248,0,0,0.021781,0,0.034329,0.0184127,0.0481143,0.0155359,0.0145608,0.0125012,0.0393089,0.0308464,0.0138022,0.0144814,0.015065,0.0116016,0.013439,0.00879909,0.0271525,0.019332,0.0220953,0.0289621,0.0173009,0.0278046,0.0386921,0.0339331,0.0535259,0.0237741,0,0,0.0168253,0,0.0420711,0.0154177,0.0540894,0.0440512,0.0329136,0.031752,0.0359313,0.0276799,0.0256042,0.0296395,0.0482253,0.0299309,0.029312,0.0336149,0.0204777,0.0402453,0.0287562,0.0172795,0.0195824,0.020471,0.0253723,0.0189577,0,0,0,0,0,0,0
0,0.0268049,0,0,0,0,0.0252538,0,0,0,0,0,0.00707656,0.0179636,0.0168057,0.0225854,0,0,0.0378425,0,0.0364726,0.0229969,0.0435073,0.0191732,0.00342447,0.0122439,0.0258858,0.0450626,0.0161855,0.0160123,0.016899,0.0176371,0.0184303,0.0163721,0.0377704,0.0105023,0.0405919,0.00823771,0.00931777,0.0157061,0.0274178,0.0184611,0.049012,0.0273426,0,0,0.00882324,0,0.0353626,0.0123551,0.0494964,0.0220325,0.0461043,0.030901,0.0306041,0.0358524,0.00855848,0.0106327,0.0139701,0.0198275,0.0209085,0.0436444,0.0115529,0.0178725,0.0236744,0.0154423,0.0237958,0.00799336,0.01883,0.0193559,0,0,0,0,0,0,0
1,0.0253259,0,0,0,0,0.0242625,0,0,0,0,0,0.00707593,0.0181564,0.016494,0.0234209,0,0,0.0385642,0,0.0358873,0.0235665,0.0439044,0.0188575,0.00379916,0.011853,0.0267818,0.0444277,0.0158124,0.0156456,0.0164648,0.0172036,0.0179572,0.0159944,0.0373331,0.0101618,0.0408103,0.00880279,0.00908447,0.0153068,0.0274134,0.0179315,0.0492753,0.0258421,0,0,0.00516223,0,0.0348815,0.0125331,0.0496172,0.0219186,0.0452987,0.030368,0.0311885,0.0329775,0.00843852,0.0102946,0.0133494,0.0195707,0.020968,0.0437006,0.0115727,0.018124,0.024129,0.0125321,0.0228221,0.0091594,0.0183751,0.0182266,0,0,0,0,0,0,0
2,0.0254573,0,0,0,0,0.0241521,0,0,0,0,0,0.0235709,0.0182728,0.017774,0.0237047,0,0,0.0385373,0,0.0358226,0.0236595,0.0450562,0.0143643,0.00406081,0.018592,0.0275043,0.0438762,0.0156706,0.0177083,0.022644,0.0173701,0.0206791,0.0111522,0.0321217,0.0314898,0.0406374,0.00874289,0.00887925,0.0154474,0.0274786,0.0180279,0.0490332,0.0261076,0,0,0.00510241,0,0.0346795,0.0124508,0.0498764,0.0219323,0.0450182,0.030566,0.0316053,0.0328529,0.00875113,0.0101647,0.0135639,0.0196517,0.0209504,0.0437958,0.0115697,0.0179823,0.0239294,0.0128217,0.022031,0.00957481,0.0181414,0.0182056,0,0,0,0,0,0,0
3,0.0257626,0,0,0,0,0.0243403,0,0,0,0,0,0.0231507,0.0183039,0.0177532,0.0238199,0,0,0.0387213,0,0.0357691,0.0238753,0.045061,0.0144398,0.00411413,0.0181084,0.0276161,0.0435884,0.0155117,0.0173146,0.0222749,0.0171815,0.0205033,0.0113019,0.0322077,0.0309933,0.0406909,0.00875718,0.00870471,0.0154195,0.0273698,0.0180586,0.0491032,0.0264704,0,0,0.00469023,0,0.0345071,0.0122689,0.0499219,0.0220077,0.0449231,0.0306316,0.0316622,0.032523,0.00875044,0.010171,0.0134753,0.0196561,0.0210221,0.0437701,0.0115657,0.0180413,0.0240098,0.0126448,0.0210459,0.0102971,0.0183008,0.0184998,0,0,0,0,0,0,0
4,0.0262129,0,0,0,0,0.0245359,0,0,0,0,0,0.0223174,0.0183563,0.0176233,0.0238579,0,0,0.0389757,0,0.0356498,0.024128,0.0450073,0.0145718,0.00413244,0.0174107,0.0276596,0.0433461,0.0153043,0.0168051,0.021724,0.0169439,0.020209,0.0114898,0.0323905,0.030091,0.0407415,0.00882614,0.00852717,0.0154039,0.027291,0.0180957,0.0491616,0.0269462,0,0,0.00424638,0,0.034372,0.0121586,0.0499407,0.0220842,0.0448479,0.0306973,0.0316451,0.0322616,0.00861765,0.0101811,0.0133818,0.0197106,0.0210653,0.0437668,0.0115697,0.0181109,0.0241085,0.0125454,0.0200094,0.0111097,0.018438,0.0189558,0,0,0,0,0,0,0
5,0.0269276,0,0,0,0,0.0247946,0,0,0,0,0,0.0211897,0.018671,0.0174165,0.023852,0,0,0.0393431,0,0.035478,0.02448,0.0449781,0.0147773,0.00412584,0.0165412,0.0276934,0.0431828,0.0150349,0.0162305,0.0210066,0.0166878,0.0197832,0.01171,0.0326535,0.0288326,0.0408934,0.00888686,0.00843769,0.0153838,0.0272938,0.0181029,0.0492159,0.0275936,0,0,0.00389671,0,0.0342959,0.012072,0.0499587,0.0221291,0.0448073,0.0307458,0.0316475,0.0321091,0.00869393,0.0102169,0.013436,0.0197092,0.0211225,0.0437601,0.0115752,0.0181588,0.0242172,0.0125119,0.0189743,0.0119201,0.0186031,0.0196578,0,0,0,0,0,0,0
6,0.0271833,0,0,0,0,0.0255382,0,0,0,0,0,0.0199968,0.0188835,0.0172021,0.0240916,0,0,0.0401609,0,0.0354387,0.0248829,0.0449596,0.0149514,0.00434334,0.0156615,0.0281467,0.0442165,0.0147445,0.015637,0.0202773,0.0164125,0.0193065,0.011928,0.0328898,0.0275225,0.0417532,0.00916739,0.00840932,0.0153195,0.0273617,0.0180474,0.0492446,0.0278839,0,0,0.00367948,0,0.0341592,0.0119179,0.0500848,0.0221433,0.0445382,0.030618,0.0319444,0.0323127,0.00865578,0.010328,0.0132497,0.0195461,0.0211005,0.043654,0.0115586,0.0181494,0.0241961,0.0126318,0.0176991,0.0126491,0.0194227,0.0196806,0,0,0,0,0,0,0
7,0.0272991,0,0,0,0,0.0261596,0,0,0,0,0,0.0184872,0.0189635,0.0170002,0.0245337,0,0,0.0408212,0,0.0354721,0.025084,0.0449573,0.0151586,0.00466694,0.0147113,0.0287711,0.0450693,0.0145201,0.0149883,0.0195023,0.0161576,0.0188123,0.0122395,0.0331859,0.0258956,0.0425511,0.00960785,0.00823678,0.0153383,0.0273605,0.0179894,0.0493609,0.0280109,0,0,0.0033592,0,0.0339464,0.0116302,0.0503218,0.0221755,0.0441167,0.0305556,0.0323655,0.032397,0.00856015,0.0104423,0.0130148,0.0194294,0.0210993,0.0435173,0.0115393,0.0181565,0.0241379,0.0125762,0.0161507,0.0134074,0.0202083,0.0195958,0,0,0,0,0,0,0
8,0.0274064,0,0,0,0,0.0267894,0,0,0,0,0,0.0169806,0.018961,0.016794,0.0249984,0,0,0.0415051,0,0.035402,0.0252704,0.0449488,0.0154016,0.00501585,0.0138469,0.0294703,0.0457341,0.0143001,0.0144678,0.018785,0.0159459,0.0183918,0.0125398,0.0334637,0.0242431,0.0433397,0.00998721,0.00791489,0.0153407,0.0273861,0.0179341,0.0494849,0.0281512,0,0,0.00303971,0,0.0337698,0.0113748,0.0504416,0.0222358,0.0436186,0.0305378,0.0328208,0.032369,0.00848716,0.0104584,0.0130169,0.0193637,0.0211338,0.0433437,0.0115298,0.0182856,0.0242502,0.0125145,0.0146673,0.0142482,0.021031,0.0195027,0,0,0,0,0,0,0
