Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,,x79,x81
All Timesteps RMSE,0.0349264,0,0,0,0,0.030914,0,0,0,0,0,0,0.0324935,0.0301831,0.0273217,0.015783,0,0,0.0332168,0,0.0343396,0.0236089,0.0398443,0.0264453,0.0069285,0.0142315,0.0226424,0.0452847,0.0143673,0.017774,0.0142266,0.0151143,0.0191884,0.0165749,0.0170613,0.0379076,0.0346469,0.0282519,0.0166302,0.0242694,0.0410343,0.02342,0.0139956,0.035306,0,0,0.0493617,0,0.0456028,0.0356482,0.0377755,0.0286797,0.0205055,0.0169555,0.0201528,0.0529104,0.0107609,0.0148154,0.0115409,0.0130243,0.0149826,0.0271218,0.0278369,0.0166212,0.0232509,0.0405557,0.0223503,0.0237502,0.0247775,0.026913,0,0,0,0,0,0,0
0,0.0273977,0,0,0,0,0.0424684,0,0,0,0,0,0,0.0385139,0.0191086,0.0316403,0.0165018,0,0,0.0331369,0,0.0354051,0.0192057,0.0367752,0.0275913,0.0132702,0.00912536,0.0387961,0.0654149,0.0160098,0.016943,0.0100246,0.0166754,0.0228697,0.0192237,0.0233863,0.0437029,0.0416431,0.00861086,0.00943475,0.0134406,0.0275015,0.0158284,0.0182204,0.0328564,0,0,0.0362731,0,0.035219,0.0206734,0.0400214,0.024285,0.0201694,0.0190004,0.0335576,0.0394865,0.0073999,0.0155176,0.00819144,0.00949732,0.0156926,0.0321102,0.00780979,0.0170348,0.0127967,0.0313702,0.036351,0.00376605,0.0370652,0.0162663,0,0,0,0,0,0,0
1,0.0259022,0,0,0,0,0.0409664,0,0,0,0,0,0,0.0377365,0.0193884,0.0312706,0.0161471,0,0,0.0352677,0,0.0347048,0.020877,0.0370977,0.0275075,0.0122303,0.00882474,0.036507,0.0657933,0.0155697,0.0162988,0.00965089,0.016435,0.0224467,0.0189873,0.0232849,0.042766,0.0431265,0.00917659,0.0103136,0.014176,0.0274892,0.0162483,0.0176222,0.0311166,0,0,0.0341008,0,0.0348803,0.0180719,0.0398902,0.0246722,0.0199825,0.019282,0.0312652,0.036352,0.00701426,0.0155731,0.00841893,0.00947519,0.0156834,0.0320925,0.0077584,0.017016,0.0133141,0.0278754,0.0365424,0.00469436,0.0356768,0.0148447,0,0,0,0,0,0,0
2,0.0259476,0,0,0,0,0.0409696,0,0,0,0,0,0,0.0375928,0.0193721,0.0312742,0.016087,0,0,0.0352598,0,0.034713,0.020859,0.037063,0.0275143,0.0122061,0.00886221,0.0364397,0.0658439,0.0155979,0.016321,0.00968633,0.0164418,0.0224521,0.0189869,0.0232929,0.0427197,0.0431028,0.00921419,0.0103242,0.0142285,0.0274896,0.0163048,0.0175611,0.0311426,0,0,0.0341393,0,0.034879,0.0181005,0.0398833,0.0247346,0.0199256,0.019277,0.0311987,0.0363535,0.00727092,0.0157246,0.00838811,0.00945171,0.0157275,0.0321487,0.00782297,0.0170462,0.013346,0.0279201,0.0366134,0.00467453,0.0356877,0.0148582,0,0,0,0,0,0,0
3,0.0260005,0,0,0,0,0.0410058,0,0,0,0,0,0,0.0374193,0.019451,0.0312475,0.016057,0,0,0.0352563,0,0.0346757,0.0208358,0.0370466,0.0274955,0.0122163,0.0088722,0.036407,0.0658995,0.0156138,0.0163154,0.00969306,0.0164369,0.0224396,0.0190048,0.0233028,0.0426329,0.0430753,0.00916381,0.0103431,0.0143222,0.0274906,0.0163939,0.0175217,0.0311975,0,0,0.0342062,0,0.0348696,0.018159,0.0398593,0.0248074,0.0198794,0.0192661,0.0311548,0.0363952,0.0075155,0.0158325,0.00840286,0.00942912,0.0157843,0.0321965,0.00785706,0.0170919,0.0134048,0.0279566,0.0367136,0.00463412,0.0357158,0.0148858,0,0,0,0,0,0,0
4,0.0260569,0,0,0,0,0.0410311,0,0,0,0,0,0,0.0374286,0.0194328,0.031197,0.0160535,0,0,0.0352633,0,0.0346725,0.0207782,0.0370756,0.0274702,0.0122401,0.00884628,0.0364115,0.0659529,0.0155784,0.0162324,0.00970213,0.0164008,0.0223957,0.0189872,0.0233012,0.0425385,0.0431052,0.00917315,0.0103498,0.0142628,0.0274916,0.0164117,0.0175359,0.0312553,0,0,0.0342381,0,0.0348609,0.0181995,0.0398332,0.0247942,0.0199285,0.0192736,0.0311199,0.036461,0.00749126,0.0156918,0.00838157,0.00942923,0.0157751,0.0321845,0.00782885,0.0170957,0.0134264,0.0279907,0.036799,0.00460559,0.0357326,0.0148998,0,0,0,0,0,0,0
5,0.0260891,0,0,0,0,0.0410485,0,0,0,0,0,0,0.0373038,0.019343,0.0311411,0.0160473,0,0,0.0352486,0,0.0347074,0.0207264,0.0371119,0.0274288,0.0122602,0.00879471,0.0364285,0.065997,0.0155362,0.0161366,0.00967654,0.0163409,0.0223282,0.0189526,0.0233163,0.0423982,0.04317,0.00923086,0.0103254,0.0141268,0.0275163,0.016368,0.0175718,0.0312994,0,0,0.0342471,0,0.0348602,0.0182181,0.039806,0.0247312,0.0199924,0.0194548,0.0311077,0.0365273,0.00743726,0.0155043,0.00836037,0.00944356,0.0157439,0.0321461,0.00781127,0.0170969,0.0134121,0.0280297,0.0368496,0.00457784,0.035748,0.0149086,0,0,0,0,0,0,0
6,0.0261318,0,0,0,0,0.0410772,0,0,0,0,0,0,0.0371414,0.019401,0.0311233,0.0160189,0,0,0.0352802,0,0.0346571,0.0207901,0.0371233,0.0274458,0.0122622,0.00876646,0.0364137,0.0659949,0.015508,0.016068,0.00964663,0.0163324,0.0222813,0.0189466,0.0233402,0.0423208,0.0432641,0.00915957,0.0103331,0.0141223,0.0275534,0.0163328,0.0175589,0.0313359,0,0,0.0342579,0,0.0348703,0.0182115,0.0397755,0.0247015,0.0200101,0.0197702,0.031083,0.0365875,0.00734643,0.0154257,0.00837903,0.00944772,0.0157202,0.0321391,0.00779762,0.0170876,0.0133848,0.0280884,0.0368657,0.0045828,0.0357633,0.0149286,0,0,0,0,0,0,0
7,0.0261556,0,0,0,0,0.0410988,0,0,0,0,0,0,0.0370985,0.0194639,0.0310923,0.0159938,0,0,0.0352797,0,0.0346122,0.0208563,0.0371344,0.027478,0.0122702,0.00870485,0.0364006,0.0660704,0.0154438,0.0159702,0.00959108,0.0163013,0.0222304,0.0189153,0.0233738,0.0421993,0.0432635,0.00911088,0.0103414,0.0141737,0.0275694,0.0162814,0.0175389,0.0313746,0,0,0.034242,0,0.0348911,0.0181836,0.0397659,0.0246864,0.0200042,0.0194805,0.0310749,0.0366217,0.00709053,0.0154377,0.00838491,0.00946434,0.0157022,0.0321324,0.00777725,0.0170616,0.0133476,0.0281727,0.0368228,0.00460305,0.0357751,0.0149303,0,0,0,0,0,0,0
8,0.0261838,0,0,0,0,0.0411181,0,0,0,0,0,0,0.0369725,0.0194868,0.0310272,0.0159584,0,0,0.0352649,0,0.0346006,0.02087,0.0371494,0.0274676,0.0122716,0.00863375,0.0363889,0.0661024,0.0153992,0.0158314,0.00954108,0.0162419,0.0221593,0.0188774,0.0234092,0.042025,0.0432702,0.00911949,0.0103377,0.0141142,0.0275651,0.0162811,0.0175487,0.0314151,0,0,0.034262,0,0.0348843,0.0181755,0.0397727,0.024695,0.0199935,0.0192462,0.0310715,0.0366688,0.00688305,0.0155037,0.00840824,0.0094376,0.0157156,0.0321442,0.00779921,0.0170601,0.0133354,0.0282412,0.0367329,0.00461813,0.0357781,0.0149372,0,0,0,0,0,0,0
