Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,LWRA
All Timesteps RMSE,0.0161329,0,0,0,0,0.038995,0,0,0,0,0,0,0.018944,0.0277624,0.0173564,0.0292468,0,0,0.0257226,0,0.0275189,0.0298243,0.0416248,0.0157856,0.00292124,0.0121347,0.0382726,0.0409377,0.0111645,0.00916467,0.0105389,0.012853,0.0145897,0.0138913,0.0174273,0.023644,0.0264267,0.03345,0.00581241,0.0365983,0.00715463,0.0209122,0.0353326,0,0,0.014251,0,0.0355594,0.0188164,0.0408676,0.0137991,0.0137125,0.0245213,0.0360166,0.0520688,0.0125536,0.0149588,0.01053,0.0146866,0.0158121,0.0262007,0.0097437,0.0134772,0.00721399,0.0235456,0.0276023,0.0274688,0.0412933,0.0151625,0,0,0,0.0173717
0,0.0271468,0,0,0,0,0.0616524,0,0,0,0,0,0,0.0157287,0.030853,0.0142229,0.0286141,0,0,0.03633,0,0.0270925,0.0415048,0.0399206,0.0112954,0.00427886,0.0123239,0.0346754,0.048052,0.00983559,0.00918174,0.00915674,0.0135882,0.0149138,0.0143707,0.0163926,0.0240844,0.0384718,0.0432306,0.0072219,0.0366553,0.015374,0.0189477,0.0491621,0,0,0.00608789,0,0.0368159,0.00980505,0.0392205,0.0257179,0.0113933,0.0168312,0.0294635,0.0522285,0.00329433,0.0159521,0.016113,0.0111471,0.0135012,0.0179834,0.0140087,0.0134431,0.00120093,0.0220807,0.0112822,0.0260305,0.0632507,0.0191643,0,0,0,0
1,0.0266334,0,0,0,0,0.0605666,0,0,0,0,0,0,0.0164335,0.0310789,0.0143862,0.0284593,0,0,0.0362859,0,0.0272258,0.041707,0.0399351,0.0115135,0.00443948,0.0121632,0.0345029,0.0471988,0.00961283,0.00813237,0.00903704,0.0135321,0.0142721,0.0142795,0.0164772,0.0233213,0.0380076,0.0425854,0.00669753,0.0365328,0.0147572,0.018676,0.0485769,0,0,0.00729114,0,0.0368022,0.0107025,0.0393747,0.0245594,0.011617,0.015413,0.0291184,0.0513315,0.00377645,0.0148824,0.0143515,0.0100777,0.0129052,0.0184728,0.0135539,0.0129166,0.00362379,0.0210787,0.011495,0.0264558,0.0622524,0.0187865,0,0,0,0
2,0.0265347,0,0,0,0,0.0602845,0,0,0,0,0,0,0.0163913,0.0311354,0.0145198,0.0284507,0,0,0.0361214,0,0.0272558,0.0416043,0.0399525,0.0117649,0.00449703,0.0122368,0.0342363,0.0472437,0.00945834,0.00766854,0.00905314,0.0137155,0.0139079,0.0142607,0.016539,0.0228205,0.0370791,0.042499,0.00699176,0.0364875,0.0137989,0.0184812,0.0485673,0,0,0.0074063,0,0.0366987,0.0110329,0.0396482,0.0232905,0.0118291,0.0143079,0.0287621,0.0511675,0.00418016,0.0139616,0.0126888,0.00910602,0.0121888,0.0191479,0.0128189,0.0123861,0.00449231,0.0207894,0.0116722,0.0266943,0.0620374,0.018585,0,0,0,0
3,0.0265308,0,0,0,0,0.0602528,0,0,0,0,0,0,0.015618,0.0311573,0.0145244,0.0282104,0,0,0.0358238,0,0.027268,0.0413925,0.0399304,0.0120274,0.00442469,0.0122394,0.0339452,0.0472145,0.00937221,0.00760975,0.00904504,0.0137771,0.0140812,0.0142116,0.0165281,0.0225288,0.0365206,0.0427982,0.00969752,0.0364608,0.0125913,0.0182614,0.0486634,0,0,0.00746898,0,0.0366386,0.0113024,0.0399163,0.0217992,0.0119924,0.0133199,0.0283448,0.0511084,0.00469567,0.0130519,0.0111165,0.008171,0.0113351,0.0198183,0.0120037,0.0116762,0.00501075,0.0207779,0.0119922,0.0269818,0.0618246,0.0184953,0,0,0,0
4,0.0264596,0,0,0,0,0.0601788,0,0,0,0,0,0,0.0147069,0.0312503,0.0145072,0.0281769,0,0,0.0356418,0,0.0273491,0.0414336,0.0397797,0.0121691,0.00433183,0.0122569,0.0337039,0.0470827,0.00936265,0.00789584,0.00904469,0.0134836,0.0140224,0.0141572,0.0165099,0.0221058,0.0363149,0.0429816,0.00686128,0.0364038,0.0117176,0.0179552,0.0488176,0,0,0.00752986,0,0.0365593,0.0115123,0.040185,0.0205483,0.0120686,0.0122901,0.0279663,0.0511024,0.00546765,0.0121063,0.00942826,0.00728076,0.0107785,0.0205801,0.011592,0.0112747,0.00605238,0.0209475,0.0123035,0.0272188,0.0616366,0.0184443,0,0,0,0
5,0.0262793,0,0,0,0,0.0599141,0,0,0,0,0,0,0.0144314,0.0313863,0.0144916,0.0280096,0,0,0.0360051,0,0.0274498,0.0415794,0.0396105,0.012263,0.00439962,0.0123929,0.0335322,0.0468391,0.00938324,0.00784952,0.00907101,0.01334,0.0136321,0.014172,0.0165609,0.0213948,0.0362851,0.0429268,0.00600056,0.0364241,0.0112223,0.0175267,0.0488935,0,0,0.00758997,0,0.0365428,0.0118538,0.0404361,0.0189457,0.0121881,0.0113604,0.0276668,0.0510056,0.00627146,0.0113042,0.00772326,0.00659605,0.0101706,0.0214103,0.010956,0.0107708,0.00685818,0.021293,0.0126175,0.0274432,0.0614213,0.0184078,0,0,0,0
6,0.026208,0,0,0,0,0.0596446,0,0,0,0,0,0,0.014476,0.031269,0.0146286,0.0277779,0,0,0.0359778,0,0.0273653,0.0413692,0.0394831,0.0123987,0.00445321,0.0123089,0.0332875,0.0465741,0.00937708,0.0077329,0.00910086,0.0132522,0.013202,0.0141988,0.0166222,0.0211381,0.0361824,0.042576,0.00675469,0.0365025,0.0108897,0.0170209,0.0489767,0,0,0.0075599,0,0.0365475,0.0122935,0.0406435,0.0174934,0.0123306,0.0105312,0.0273691,0.0509387,0.00699514,0.0106726,0.00606025,0.00635279,0.00959631,0.0224817,0.0103529,0.010169,0.00767786,0.0213624,0.0129365,0.0277657,0.0612194,0.0183855,0,0,0,0
7,0.0260697,0,0,0,0,0.0593945,0,0,0,0,0,0,0.0145809,0.0312058,0.0145907,0.0275299,0,0,0.0357007,0,0.027315,0.0411084,0.0393869,0.0124866,0.00446953,0.0121988,0.0330869,0.0463133,0.00924894,0.00743224,0.00905042,0.0133577,0.013203,0.0141249,0.0166349,0.0210819,0.036359,0.0426721,0.00772339,0.0365675,0.0106819,0.0167219,0.0490347,0,0,0.00754404,0,0.0365649,0.0124744,0.0407556,0.0160928,0.0125012,0.00979248,0.0270705,0.0510015,0.0078254,0.0101606,0.00451783,0.00632734,0.00912233,0.0237073,0.00984749,0.00953257,0.00872012,0.0214725,0.0132595,0.0281053,0.0610001,0.0183381,0,0,0,0
8,0.0259145,0,0,0,0,0.0591506,0,0,0,0,0,0,0.0136537,0.0312267,0.014664,0.0273507,0,0,0.035395,0,0.0273425,0.0410396,0.0392489,0.0126519,0.00443959,0.0121935,0.0328683,0.0461411,0.0092232,0.00710172,0.00905492,0.0135904,0.0136066,0.0140637,0.0165744,0.0210147,0.0366908,0.0427653,0.00845382,0.03662,0.0106043,0.0165842,0.0490429,0,0,0.00748711,0,0.036584,0.0126289,0.040786,0.0147327,0.0127464,0.00929652,0.0267719,0.0511501,0.00854794,0.00983658,0.00323477,0.00653028,0.00871859,0.025023,0.00940205,0.00890356,0.00958128,0.0215838,0.0135698,0.0283141,0.06076,0.0183319,0,0,0,0
