Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x79,x80,x77,x78,
All Timesteps RMSE,0.0186803,0,0,0,0,0.0168082,0,0,0,0,0,0,0.0294603,0.0381111,0.0115271,0.00937897,0,0,0.0289744,0,0.0327524,0.019322,0.0460027,0.0178113,0.0196427,0.0118215,0.0116384,0.0298119,0.00965739,0.0127179,0.00985718,0.0111899,0.0120623,0.009352,0.0261158,0.0177247,0.0231837,0.0278934,0.0179218,0.0162824,0.0398547,0.0154519,0.0189806,0.018904,0,0,0.0181375,0,0.0440148,0.0125038,0.0384802,0.0206556,0.0143283,0.0149999,0.0123119,0.0186623,0.018679,0.0159626,0.00872515,0.0344684,0.0151135,0.0319893,0.0128117,0.0159603,0.0182916,0.0138803,0.0229538,0.0120274,0.016957,0.0160962,0,0,0,0,0,0,0,0,0,0
0,0.0125691,0,0,0,0,0.0248607,0,0,0,0,0,0,0.00615476,0.0205165,0.00731424,0.0149272,0,0,0.0124965,0,0.0348762,0.00645735,0.0410532,0.0123806,0.0227456,0.00524059,0.0233251,0.0414588,0.00619343,0.00445637,0.00179946,0.00852511,0.00797043,0.00798279,0.0304985,0.00291707,0.0194415,0.00862869,0.00549665,0.0112323,0.0244872,0.0134593,0.0165821,0.018024,0,0,0.0110403,0,0.03711,0.0105975,0.0397251,0.0205015,0.0134612,0.00912823,0.0229642,0.0206355,0.00472355,0.0148514,0.00660651,0.00483478,0.0122566,0.0356691,0.00899044,0.0127453,0.00872683,0.00763506,0.0356873,0.0105811,0.0250469,0.0128757,0,0,0,0,0,0,0,0,0,0
1,0.0125472,0,0,0,0,0.0249214,0,0,0,0,0,0,0.00607726,0.0206245,0.00733479,0.0149041,0,0,0.0125211,0,0.0348581,0.00672342,0.0410355,0.0123941,0.0227548,0.00521462,0.0233401,0.0415529,0.00626555,0.0045721,0.00182394,0.00853564,0.00799498,0.00801712,0.0305166,0.00290098,0.0196263,0.00852638,0.00551663,0.0112431,0.0244755,0.013427,0.0165416,0.0179062,0,0,0.0115432,0,0.0371319,0.0102742,0.0397103,0.0204719,0.0135671,0.00911044,0.0229618,0.0206156,0.00467303,0.0148316,0.00662225,0.00486287,0.0122956,0.0356898,0.00898414,0.0127581,0.00872482,0.00712421,0.035608,0.0107545,0.0250314,0.0127419,0,0,0,0,0,0,0,0,0,0
2,0.0126038,0,0,0,0,0.0250062,0,0,0,0,0,0,0.00604923,0.0205501,0.00733996,0.0148825,0,0,0.0126068,0,0.0348434,0.00705984,0.0409957,0.0123945,0.0227155,0.00525926,0.0233405,0.0417353,0.00628802,0.00451109,0.00182222,0.00852424,0.00800098,0.00803883,0.0305351,0.00281717,0.0198762,0.00841982,0.00553281,0.0112688,0.0244458,0.0134085,0.0165349,0.0178641,0,0,0.0120708,0,0.0371374,0.0100248,0.0397057,0.0204444,0.0135758,0.00913429,0.0229605,0.0206461,0.00467545,0.0148199,0.00664799,0.00487825,0.0123008,0.0356966,0.00898789,0.0127727,0.00875724,0.00677999,0.0355874,0.0108959,0.0250806,0.0126782,0,0,0,0,0,0,0,0,0,0
3,0.012712,0,0,0,0,0.0251036,0,0,0,0,0,0,0.00601185,0.0204739,0.0073467,0.0148444,0,0,0.0127581,0,0.0348656,0.00707792,0.0409256,0.0123662,0.0226758,0.00528154,0.0233175,0.0420171,0.00629851,0.00451645,0.00179847,0.00851838,0.00801397,0.00805507,0.030545,0.00269413,0.020125,0.00835319,0.00551822,0.011274,0.0243922,0.0134177,0.016544,0.0178957,0,0,0.0125932,0,0.0370968,0.0097601,0.0397239,0.0204537,0.0135651,0.00917515,0.0229272,0.0206884,0.00468989,0.0148425,0.00666939,0.00485895,0.0123026,0.035703,0.00898777,0.0127788,0.00881352,0.00649951,0.0355724,0.0110564,0.0251359,0.0126627,0,0,0,0,0,0,0,0,0,0
4,0.0129041,0,0,0,0,0.0252361,0,0,0,0,0,0,0.00592355,0.0204038,0.00736382,0.0148035,0,0,0.0129565,0,0.0349317,0.00696167,0.0408797,0.0123711,0.0226399,0.00526771,0.0232811,0.0423029,0.00633204,0.00456973,0.00179866,0.00854061,0.0080169,0.00806115,0.030547,0.00257093,0.0203785,0.00830517,0.00543377,0.0112737,0.0243622,0.0134255,0.0165668,0.0180014,0,0,0.01312,0,0.0370718,0.00947881,0.0397471,0.020478,0.0135919,0.00919403,0.0228971,0.0207578,0.00468283,0.0148667,0.00669052,0.00483646,0.0123133,0.0357154,0.0090025,0.0127718,0.00882423,0.00621905,0.0355738,0.0111896,0.0252057,0.0127288,0,0,0,0,0,0,0,0,0,0
5,0.0131139,0,0,0,0,0.0253426,0,0,0,0,0,0,0.00584921,0.0202639,0.0073896,0.0147383,0,0,0.0131349,0,0.035032,0.00697824,0.0408725,0.012394,0.022607,0.00527735,0.0232532,0.0424969,0.00635878,0.00451433,0.00179969,0.00857726,0.00804984,0.00806362,0.0305521,0.00246793,0.0207312,0.00838435,0.00532207,0.011261,0.0243594,0.0134204,0.0165827,0.0181283,0,0,0.0135164,0,0.0370475,0.00921692,0.0397483,0.0204873,0.0135902,0.00917856,0.022877,0.0208118,0.00467099,0.0148677,0.00673015,0.00486403,0.0123412,0.0357111,0.00901305,0.0128,0.00881594,0.00596102,0.0355411,0.0112953,0.0252733,0.0128534,0,0,0,0,0,0,0,0,0,0
6,0.01342,0,0,0,0,0.0255111,0,0,0,0,0,0,0.00577093,0.020266,0.00739914,0.0146472,0,0,0.0134807,0,0.0350189,0.00724327,0.0408653,0.0124487,0.0225685,0.00527471,0.0231914,0.0426988,0.00637356,0.00450596,0.00179565,0.00858063,0.00806608,0.00806011,0.0305742,0.00240674,0.0212107,0.00847617,0.00510487,0.0112952,0.0243476,0.0134201,0.0165667,0.0183191,0,0,0.0138716,0,0.0369973,0.00897326,0.0397401,0.0204724,0.0135692,0.00916197,0.0228247,0.0208603,0.0046728,0.0148539,0.00674285,0.00490012,0.0123598,0.035752,0.00902531,0.0128236,0.00880148,0.00569935,0.0354591,0.0114229,0.0253997,0.0130362,0,0,0,0,0,0,0,0,0,0
7,0.0137543,0,0,0,0,0.0256663,0,0,0,0,0,0,0.00577695,0.0204766,0.00741995,0.0145365,0,0,0.013879,0,0.0349121,0.0076598,0.0408627,0.0124715,0.0225222,0.00525004,0.0230854,0.0429375,0.00638839,0.00451987,0.00179109,0.00858779,0.00808147,0.00807958,0.0305877,0.00238658,0.0217005,0.00856145,0.00477927,0.0113262,0.0243041,0.0134178,0.0165291,0.0185416,0,0,0.0141844,0,0.0368449,0.00866451,0.0397452,0.0204655,0.0135839,0.00917993,0.0227234,0.0208429,0.0046484,0.0148751,0.00671938,0.00490636,0.012375,0.0357763,0.00904201,0.0128392,0.00881381,0.00537712,0.0352031,0.0116273,0.0255348,0.0132578,0,0,0,0,0,0,0,0,0,0
8,0.0140342,0,0,0,0,0.025754,0,0,0,0,0,0,0.00581663,0.020574,0.00745149,0.0144378,0,0,0.0141869,0,0.034889,0.00804678,0.0408878,0.0124539,0.022492,0.00525495,0.0230042,0.0431716,0.00635347,0.00454373,0.00180654,0.00861212,0.0080855,0.00810383,0.0305703,0.00230792,0.0220993,0.00859146,0.0045348,0.0113213,0.0242284,0.0134209,0.0165103,0.0187369,0,0,0.0144938,0,0.0365925,0.00826851,0.0397732,0.0204664,0.0136145,0.00920557,0.0226296,0.0207798,0.00461425,0.0148815,0.00669993,0.00489802,0.0123926,0.0357897,0.00906086,0.0128614,0.00881784,0.00505179,0.034809,0.0118967,0.025625,0.0134637,0,0,0,0,0,0,0,0,0,0
