Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,LWRA
All Timesteps RMSE,0.0171454,0,0,0,0,0.0199273,0,0,0,0,0,0,0.0226474,0.0274447,0.0256107,0.012975,0,0,0.0250467,0,0.0287153,0.0251277,0.0417841,0.0269916,0.012667,0.00657291,0.0201781,0.0281824,0.0086502,0.00736946,0.00642384,0.011117,0.0148759,0.0151311,0.0191083,0.0278734,0.0217748,0.0300749,0.00642414,0.0362863,0.0101854,0.0158478,0.0209006,0,0,0.0379432,0,0.0360756,0.0251027,0.0359497,0.0123776,0.0157856,0.016321,0.0190339,0.0282972,0.00915846,0.0132952,0.00756182,0.0104307,0.012971,0.0319416,0.0111047,0.0118275,0.00870454,0.022326,0.0163311,0.0187366,0.0171594,0.015743,0,0,0.0265634
0,0.014149,0,0,0,0,0.0140499,0,0,0,0,0,0,0.0206355,0.0280067,0.0250484,0.0120342,0,0,0.0221377,0,0.0271671,0.0265397,0.0382906,0.0258525,0.0117007,0.00619242,0.0222596,0.0211644,0.00916792,0.00892478,0.00626247,0.0101884,0.0141465,0.0154417,0.0183488,0.026724,0.0198032,0.0336438,0.0103309,0.0407813,0.0127333,0.0121343,0.015923,0,0,0.0431774,0,0.0397252,0.0277887,0.0375386,0.021275,0.00773245,0.010474,0.0223216,0.0301717,0.00478844,0.0137228,0.0114937,0.00594475,0.0121881,0.01901,0.0132467,0.0130163,0.00419748,0.0204524,0.010762,0.012991,0.0133481,0.0130547,0,0,0
1,0.0139208,0,0,0,0,0.0137317,0,0,0,0,0,0,0.021001,0.0279984,0.0252205,0.0120031,0,0,0.0214721,0,0.0270841,0.0260221,0.0383465,0.0260642,0.0116965,0.0063803,0.0222287,0.0208647,0.00924556,0.00921866,0.00651287,0.0100971,0.0141661,0.0153819,0.0182057,0.0270401,0.0189325,0.033344,0.00988747,0.0407205,0.0129232,0.0121592,0.0158404,0,0,0.0420541,0,0.039736,0.0271413,0.0379852,0.0215233,0.00780883,0.0103308,0.0220095,0.0299912,0.00459478,0.0140984,0.0118403,0.00612857,0.0122299,0.018571,0.0134049,0.012906,0.00414192,0.0201019,0.0104849,0.0128788,0.0129805,0.0128887,0,0,0
2,0.0138219,0,0,0,0,0.0136379,0,0,0,0,0,0,0.0210224,0.0279945,0.0252274,0.0120634,0,0,0.0208972,0,0.027032,0.0255716,0.0385022,0.0260221,0.0117366,0.00628201,0.0222518,0.0210912,0.00911254,0.00911282,0.00643688,0.0100747,0.0142053,0.0154257,0.0181767,0.0270041,0.0182778,0.0330803,0.00930355,0.0406844,0.012839,0.0121971,0.0157529,0,0,0.0415133,0,0.0396595,0.0268675,0.0383324,0.021408,0.00797266,0.010434,0.021654,0.0298937,0.00444781,0.0142505,0.0121413,0.00648455,0.0122588,0.0183843,0.0134263,0.0127222,0.00452804,0.0200602,0.0102867,0.0129913,0.0128248,0.0127374,0,0,0
3,0.0137378,0,0,0,0,0.0135971,0,0,0,0,0,0,0.0207847,0.0279915,0.0251807,0.0121822,0,0,0.0203069,0,0.0269788,0.0250954,0.0386516,0.026062,0.0118123,0.0061635,0.0222708,0.0212334,0.00897382,0.00895752,0.00629179,0.0100732,0.0142278,0.015423,0.0181473,0.0268959,0.017817,0.0328206,0.00877638,0.0406498,0.0126753,0.0122858,0.0156822,0,0,0.0410171,0,0.0395792,0.0266817,0.0385251,0.0211101,0.00813777,0.0104389,0.0213022,0.0298271,0.0044486,0.0143218,0.0122485,0.00671771,0.0121727,0.0183726,0.0133433,0.0124953,0.00492436,0.0200183,0.0100925,0.0131684,0.012768,0.0126078,0,0,0
4,0.0136104,0,0,0,0,0.0136017,0,0,0,0,0,0,0.0206273,0.0279838,0.025069,0.012325,0,0,0.0195942,0,0.0269272,0.024586,0.0388076,0.026172,0.0119115,0.00601251,0.0222363,0.0213043,0.0088094,0.00875837,0.00610253,0.0100516,0.0141741,0.0153755,0.0181162,0.0267376,0.0175089,0.0325399,0.0083438,0.0406273,0.0124918,0.0123875,0.0155784,0,0,0.0405433,0,0.0395277,0.026489,0.0385492,0.0208978,0.00826156,0.0103405,0.0209876,0.0297293,0.00443334,0.014302,0.0121831,0.00676156,0.0119978,0.0185089,0.0132186,0.0123537,0.00513203,0.019809,0.00994219,0.0133334,0.0127641,0.0124565,0,0,0
5,0.0134196,0,0,0,0,0.0136122,0,0,0,0,0,0,0.0204052,0.0279264,0.0249772,0.0124517,0,0,0.0189293,0,0.0268303,0.0241493,0.0390031,0.0260927,0.0120456,0.00586515,0.0221641,0.0213931,0.0086162,0.00855454,0.00593472,0.0100332,0.0140904,0.0153535,0.0180672,0.026587,0.0169768,0.0322804,0.00798171,0.0406167,0.0123468,0.0124601,0.0154098,0,0,0.0402597,0,0.0394898,0.0263954,0.0384967,0.0208387,0.0083833,0.010104,0.0207572,0.0296724,0.00441058,0.0141834,0.0118689,0.00653728,0.0118249,0.0187181,0.0130733,0.0123682,0.00518175,0.0195559,0.00982277,0.0134968,0.012781,0.0122499,0,0,0
6,0.0133214,0,0,0,0,0.0137004,0,0,0,0,0,0,0.0202599,0.0278366,0.0248735,0.0125637,0,0,0.0184323,0,0.0267003,0.0238287,0.039235,0.0260657,0.0122185,0.00571508,0.0221041,0.0216335,0.00843152,0.0083487,0.00578601,0.00999232,0.0139695,0.0153423,0.0180241,0.0264062,0.016258,0.032175,0.00765233,0.0405924,0.0122132,0.012497,0.0152849,0,0,0.040214,0,0.0394295,0.0264595,0.0384492,0.0207308,0.00854757,0.00986177,0.0206289,0.029763,0.00438959,0.0139686,0.0114094,0.00605824,0.0116974,0.0190134,0.0128612,0.0124376,0.00515858,0.0195946,0.00968827,0.0137184,0.0128797,0.0120828,0,0,0
7,0.0132382,0,0,0,0,0.0136365,0,0,0,0,0,0,0.0201103,0.0278413,0.0248172,0.0125532,0,0,0.0181316,0,0.0266473,0.0236274,0.0392947,0.0261048,0.0120721,0.00564456,0.0219338,0.0218991,0.00835986,0.00827454,0.00573012,0.0100115,0.0139143,0.0153471,0.0180693,0.0262971,0.0158137,0.0321806,0.00722773,0.0405343,0.012109,0.0123366,0.0152116,0,0,0.0401132,0,0.0393693,0.0264869,0.038417,0.0204653,0.00858717,0.00960625,0.0204274,0.0297845,0.00433461,0.0136405,0.0107523,0.00541648,0.0114262,0.019473,0.0125902,0.0124325,0.00531138,0.0197304,0.00947645,0.0139635,0.0127765,0.0119467,0,0,0
8,0.0131248,0,0,0,0,0.0135271,0,0,0,0,0,0,0.0198714,0.0278902,0.0247528,0.0124808,0,0,0.0178687,0,0.0266281,0.0235413,0.0393771,0.0261459,0.0119747,0.00562639,0.0216994,0.0222471,0.00833556,0.00823464,0.00573979,0.0100428,0.0139549,0.0153577,0.018088,0.0262067,0.0156074,0.0322276,0.0069305,0.0404842,0.0118899,0.0122049,0.0150973,0,0,0.039954,0,0.039292,0.0264466,0.0383269,0.0200082,0.00865986,0.0093596,0.0201406,0.0296823,0.00431864,0.0131981,0.00985402,0.00462963,0.0110647,0.0200821,0.0121912,0.0122511,0.00552802,0.019881,0.00924319,0.0141713,0.012476,0.0117803,0,0,0
9,0.013057,0,0,0,0,0.013421,0,0,0,0,0,0,0.0198912,0.0279258,0.0247921,0.0120815,0,0,0.0176975,0,0.0265879,0.0235415,0.0392709,0.0263458,0.0117361,0.00568186,0.0212644,0.0225641,0.00847017,0.00831802,0.00587399,0.0100709,0.01429,0.015326,0.0181964,0.0262184,0.0156565,0.0323399,0.0066643,0.0404765,0.0113294,0.0120623,0.0150419,0,0,0.039824,0,0.039252,0.0264323,0.0383529,0.0194696,0.00852666,0.00887731,0.0197853,0.0295704,0.00447441,0.0125871,0.00863554,0.00355057,0.0105777,0.0209802,0.0117119,0.0118488,0.00611749,0.0200452,0.00912647,0.0143435,0.0120566,0.0116915,0,0,0
10,0.0129165,0,0,0,0,0.0132367,0,0,0,0,0,0,0.0198021,0.0279509,0.0248755,0.0115657,0,0,0.0176357,0,0.0265464,0.0236683,0.0392072,0.0266687,0.011477,0.00570749,0.0206273,0.0227947,0.00859606,0.00830889,0.00601309,0.0100331,0.014506,0.0152892,0.0183066,0.0262599,0.015551,0.0324506,0.00645663,0.0404775,0.0109417,0.0121072,0.0149274,0,0,0.0397838,0,0.0392184,0.0264969,0.0383243,0.0186477,0.00861644,0.00844785,0.0192643,0.0294131,0.00482484,0.0118946,0.00727571,0.00287049,0.0100969,0.0219397,0.0113309,0.0113746,0.00660017,0.0203131,0.00909172,0.0145367,0.0116929,0.01151,0,0,0
11,0.0127261,0,0,0,0,0.0130155,0,0,0,0,0,0,0.0198775,0.0280088,0.024982,0.0110052,0,0,0.017557,0,0.0265441,0.0237385,0.0391376,0.027088,0.0111998,0.00568423,0.0198798,0.0228556,0.0086597,0.00823291,0.00609337,0.00999915,0.0143955,0.0152766,0.0184592,0.0263277,0.015343,0.0325001,0.00620284,0.0404713,0.0106199,0.0122727,0.0147758,0,0,0.0397497,0,0.0391711,0.0265464,0.038275,0.0174201,0.00885619,0.00817191,0.0185326,0.0292312,0.00532861,0.0111524,0.00586282,0.00304417,0.00959541,0.0228935,0.0109804,0.0107548,0.00703148,0.0205605,0.00899271,0.0147183,0.0113859,0.0112515,0,0,0
12,0.0124674,0,0,0,0,0.0127908,0,0,0,0,0,0,0.0199083,0.0280371,0.0251297,0.0104422,0,0,0.0173922,0,0.0265171,0.0236647,0.0391155,0.0274588,0.0109177,0.00562343,0.019073,0.0229349,0.0086395,0.00810021,0.00612622,0.00996907,0.0142087,0.0152389,0.0185868,0.0264393,0.0153436,0.0324939,0.00583316,0.0404698,0.00993069,0.0125411,0.0145898,0,0,0.0397272,0,0.0391326,0.0265476,0.0381928,0.0161267,0.0092362,0.00805889,0.0176819,0.0290043,0.00592458,0.0104246,0.00446654,0.00390412,0.00914927,0.0237853,0.0103786,0.0100593,0.00723956,0.0207229,0.00887011,0.0149005,0.01106,0.0109166,0,0,0
13,0.0121431,0,0,0,0,0.012604,0,0,0,0,0,0,0.0197931,0.0280558,0.0251781,0.00990435,0,0,0.0172622,0,0.0264793,0.0236346,0.039151,0.0279326,0.0106594,0.00555756,0.01819,0.022989,0.0085747,0.0079227,0.00612542,0.0099111,0.0140692,0.0151018,0.0186651,0.0264618,0.0154713,0.032574,0.00563826,0.0404823,0.00927444,0.0128835,0.0143702,0,0,0.0397736,0,0.0391109,0.0266043,0.0380831,0.0149199,0.00978824,0.00809479,0.0167901,0.0287419,0.0065021,0.00977725,0.00322752,0.00489674,0.00884702,0.0247206,0.00994023,0.00950039,0.00740943,0.0208593,0.00885175,0.0151193,0.0107301,0.010552,0,0,0
14,0.0117833,0,0,0,0,0.0124357,0,0,0,0,0,0,0.019681,0.0280728,0.0252029,0.00946101,0,0,0.0173831,0,0.0264378,0.0237791,0.0391473,0.0280466,0.0104333,0.00550404,0.0173365,0.0230518,0.00847181,0.00769982,0.00608617,0.00981791,0.0139501,0.0149538,0.0186845,0.0264492,0.0153969,0.0326632,0.0055712,0.0404914,0.00881815,0.0132235,0.0141139,0,0,0.0398616,0,0.0390887,0.02674,0.037979,0.0137684,0.0104659,0.00824476,0.0159005,0.0284801,0.00704191,0.00928333,0.00226477,0.00577793,0.00866108,0.025664,0.00974573,0.00913382,0.00769696,0.021025,0.0088676,0.015315,0.0105401,0.0101918,0,0,0
15,0.0114356,0,0,0,0,0.0122638,0,0,0,0,0,0,0.0196225,0.0280776,0.0252969,0.00913895,0,0,0.0175809,0,0.0263962,0.0239419,0.0391871,0.0279138,0.0102665,0.00541585,0.0166402,0.0230323,0.00836653,0.00747101,0.00604045,0.00970321,0.0138565,0.0148533,0.0186737,0.026407,0.0153162,0.0326137,0.00572475,0.0404858,0.00857975,0.0135448,0.0138429,0,0,0.0399684,0,0.0390493,0.0269493,0.0379109,0.0127984,0.0111808,0.00847138,0.0150871,0.0283049,0.00752258,0.0089822,0.00165158,0.00649634,0.00870888,0.0265606,0.00956488,0.00894647,0.00809416,0.021218,0.0088439,0.0155219,0.0104987,0.00985342,0,0,0
16,0.0111117,0,0,0,0,0.0121517,0,0,0,0,0,0,0.0194515,0.0280515,0.0252994,0.00890242,0,0,0.0179335,0,0.0263196,0.02408,0.0393336,0.0281462,0.0101305,0.00526702,0.0161428,0.02293,0.00819626,0.00724124,0.00597689,0.0096184,0.0137725,0.0147582,0.0186546,0.0263435,0.0153568,0.0325423,0.00594986,0.0404605,0.00856499,0.0137901,0.0135943,0,0,0.0400792,0,0.0390015,0.0271134,0.0378867,0.0119362,0.0118999,0.0088001,0.0144567,0.0281154,0.00787992,0.0088774,0.00159677,0.00704983,0.00894636,0.0274686,0.00945451,0.00893165,0.00854764,0.0213601,0.00879903,0.015787,0.010585,0.00956205,0,0,0
17,0.0108506,0,0,0,0,0.0120868,0,0,0,0,0,0,0.019205,0.028028,0.0252434,0.00879567,0,0,0.0182621,0,0.0262499,0.0241587,0.0395045,0.0286885,0.0100754,0.0051391,0.0157505,0.0228264,0.00798737,0.00701326,0.00586281,0.00956985,0.0137508,0.0147767,0.0186343,0.026254,0.0155102,0.0324039,0.00613686,0.0404139,0.00866045,0.013983,0.0134055,0,0,0.0402152,0,0.0389408,0.0272994,0.0378785,0.0111438,0.0125844,0.00923947,0.0139858,0.0278535,0.00814121,0.00894279,0.00200521,0.00749406,0.00924865,0.0283292,0.00944885,0.00902866,0.00888215,0.0214771,0.00877814,0.016134,0.0106229,0.00935254,0,0,0
18,0.0106797,0,0,0,0,0.0120803,0,0,0,0,0,0,0.0189264,0.0280087,0.0252105,0.00877646,0,0,0.0184864,0,0.0262067,0.0242001,0.0396157,0.0290667,0.0100207,0.00502802,0.0154739,0.0226968,0.00781138,0.00682092,0.00570802,0.00951801,0.0138179,0.0148481,0.0185803,0.0261849,0.0154065,0.032196,0.00601935,0.0403724,0.00869236,0.0141166,0.0132791,0,0,0.0403938,0,0.0388895,0.0275406,0.0378998,0.0103922,0.0131334,0.00977489,0.0136638,0.0276249,0.00837413,0.00915711,0.00259017,0.00785895,0.00957424,0.0289827,0.00947796,0.00918131,0.00903709,0.0214845,0.00880624,0.0165428,0.0106953,0.00922469,0,0,0
19,0.0105532,0,0,0,0,0.0121288,0,0,0,0,0,0,0.0185766,0.0280164,0.0251721,0.00878836,0,0,0.0186643,0,0.026198,0.0242414,0.039697,0.0292367,0.00995384,0.00493266,0.0153561,0.0226185,0.00766812,0.0066427,0.005533,0.00946876,0.0137825,0.0149082,0.0185075,0.0261304,0.0152245,0.0320221,0.00602974,0.0403384,0.00891542,0.0141736,0.0131796,0,0,0.0405827,0,0.0388478,0.0277901,0.0379253,0.00992346,0.0135939,0.0102793,0.0134866,0.027454,0.00856621,0.00946905,0.00321577,0.00819622,0.00990088,0.0296804,0.00956772,0.00937335,0.00921477,0.0213956,0.00892261,0.016922,0.0108256,0.00913251,0,0,0
20,0.0104379,0,0,0,0,0.012203,0,0,0,0,0,0,0.018413,0.0280446,0.0251036,0.00882986,0,0,0.01882,0,0.0262022,0.0242213,0.039778,0.0293396,0.00992276,0.00491868,0.015352,0.0225864,0.0075,0.0065012,0.00537392,0.0094498,0.0135014,0.0149614,0.0184804,0.0260398,0.0149809,0.0319321,0.00596612,0.040308,0.00926025,0.0141552,0.0131107,0,0,0.0407808,0,0.0388077,0.0280035,0.037905,0.00942314,0.0139712,0.0106703,0.0134041,0.0272959,0.0087481,0.00980402,0.00383589,0.0085348,0.0102352,0.0302489,0.00968544,0.00954738,0.00934049,0.0213134,0.00905307,0.0172403,0.0109801,0.00907968,0,0,0
21,0.0103636,0,0,0,0,0.0122369,0,0,0,0,0,0,0.0184251,0.0280549,0.0250515,0.00893178,0,0,0.018877,0,0.0261948,0.024144,0.0398355,0.0292529,0.00999974,0.00490565,0.0154207,0.0226152,0.00736987,0.00648987,0.00530662,0.00949866,0.0134528,0.0150334,0.0184483,0.0259622,0.0148514,0.0318362,0.00610404,0.0402696,0.00991337,0.0140887,0.0131007,0,0,0.0409799,0,0.0387531,0.0281957,0.0377711,0.009087,0.0143207,0.0109003,0.0133805,0.027153,0.00890313,0.0101766,0.00447414,0.00883438,0.0105439,0.0309051,0.00998472,0.00985111,0.00976,0.021304,0.00914009,0.0174711,0.0110767,0.0090442,0,0,0
22,0.0103219,0,0,0,0,0.0122761,0,0,0,0,0,0,0.0183499,0.0280546,0.0250473,0.00906268,0,0,0.0189125,0,0.0261749,0.0240712,0.0398163,0.0289796,0.0101099,0.00489223,0.0154851,0.0226023,0.00730704,0.00662195,0.00530864,0.00957307,0.0135576,0.0151073,0.0184044,0.025925,0.0149047,0.0317563,0.00631539,0.040254,0.0107198,0.0139591,0.0131282,0,0,0.0411601,0,0.0387217,0.0283852,0.0375916,0.00919465,0.0146315,0.011045,0.0134053,0.0270823,0.00903821,0.0105638,0.0050009,0.00914505,0.0108207,0.0316973,0.0103589,0.0102935,0.0104428,0.0213701,0.00915523,0.0175896,0.0111178,0.00904336,0,0,0
23,0.0103201,0,0,0,0,0.0123808,0,0,0,0,0,0,0.0181755,0.0280328,0.0250315,0.00927747,0,0,0.0189543,0,0.0261424,0.0240373,0.039777,0.0288786,0.0102068,0.00487891,0.0156271,0.0225953,0.00728137,0.00679116,0.00529015,0.00962133,0.0136384,0.0151577,0.0183811,0.0258744,0.0147143,0.0317752,0.00639283,0.0402469,0.0111991,0.0139273,0.0132136,0,0,0.0413276,0,0.0387086,0.0285122,0.0374038,0.00953569,0.0147817,0.0111946,0.0134862,0.0271143,0.00909261,0.0108697,0.00530807,0.00938862,0.0110488,0.032155,0.0106136,0.0108125,0.0107153,0.0214568,0.00904257,0.0175894,0.0111396,0.00908785,0,0,0
