Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,,x81,x79
All Timesteps RMSE,0.0171002,0,0,0,0,0.0172465,0,0,0,0,0,0,0.0129187,0.0336812,0.0105814,0.010914,0,0,0.0433368,0,0.0351564,0.0379257,0.0486275,0.0171635,0.0181904,0.0113848,0.0125449,0.0313494,0.00861751,0.0124033,0.00919246,0.010669,0.0113553,0.00851324,0.025277,0.0157203,0.0326724,0.0255302,0.0157884,0.016578,0.040297,0.0149556,0.0704688,0.0159514,0,0,0.0221105,0,0.0443026,0.0148385,0.0349394,0.0223257,0.014127,0.0100014,0.0127202,0.0194183,0.00633175,0.0152984,0.0264983,0.00898055,0.0136982,0.0312856,0.0126597,0.0150841,0.0176348,0.0148729,0.0181524,0.0235317,0.0367987,0.0148709,0,0,0,0,0,0,0,0,0
0,0.0125777,0,0,0,0,0.0214782,0,0,0,0,0,0,0.00352661,0.0187583,0.00762514,0.00767133,0,0,0.0186914,0,0.0349522,0.0111307,0.0418851,0.0102648,0.0205104,0.00404537,0.0180505,0.0413322,0.00727656,0.00566875,0.00276741,0.00910102,0.00873624,0.00874816,0.0313487,0.00289932,0.0233194,0.00754528,0.00983575,0.00620639,0.0239027,0.0129188,0.0135154,0.0123191,0,0,0.019363,0,0.0370972,0.0044412,0.0376182,0.0199879,0.012608,0.00687335,0.0168962,0.020939,0.00392132,0.012578,0.00284312,0.00469524,0.0137447,0.0388565,0.0103781,0.0148036,0.00524184,0.00568863,0.0285007,0.0149719,0.0197713,0.010739,0,0,0,0,0,0,0,0,0
1,0.0123397,0,0,0,0,0.0212555,0,0,0,0,0,0,0.00349421,0.0186791,0.0076269,0.00766567,0,0,0.0183563,0,0.0350483,0.0110262,0.0417891,0.0102093,0.0205418,0.0040984,0.0181975,0.0414777,0.00736253,0.00541416,0.00284169,0.00914824,0.00875819,0.008802,0.0313771,0.00300754,0.0228247,0.00759284,0.00931906,0.00613311,0.0238938,0.0128238,0.0134684,0.0119578,0,0,0.0195614,0,0.0371943,0.00440454,0.0375611,0.0197998,0.0125637,0.00667157,0.0169666,0.0210551,0.00381267,0.0126385,0.00295314,0.00464263,0.0136507,0.0389634,0.0103762,0.0146814,0.00516519,0.00589326,0.0283909,0.0150164,0.0196342,0.0104786,0,0,0,0,0,0,0,0,0
2,0.0121464,0,0,0,0,0.0210763,0,0,0,0,0,0,0.00320562,0.0186231,0.00761202,0.00764931,0,0,0.0181,0,0.0351529,0.0108709,0.041754,0.0101501,0.020562,0.00411433,0.0183504,0.0417257,0.00741504,0.0054117,0.00288825,0.00908241,0.00870725,0.00878287,0.0314142,0.00314198,0.0226262,0.00767269,0.00872274,0.00610627,0.023851,0.0127254,0.0134989,0.0116637,0,0,0.019722,0,0.0372904,0.00438314,0.0374851,0.0195741,0.0123878,0.00653019,0.0170741,0.0211965,0.00372568,0.0126782,0.00288532,0.00457512,0.0135645,0.0389806,0.0104155,0.0146022,0.0049789,0.00594134,0.0283251,0.0149828,0.0195399,0.010266,0,0,0,0,0,0,0,0,0
3,0.0120106,0,0,0,0,0.0209265,0,0,0,0,0,0,0.00290719,0.0186747,0.00759489,0.00762402,0,0,0.0179725,0,0.0352079,0.0106878,0.0418058,0.0101106,0.0205823,0.004104,0.0184984,0.0419923,0.0074511,0.0054592,0.00290863,0.00900975,0.00867197,0.00877997,0.0314225,0.00326752,0.0226933,0.00773321,0.00812035,0.00607643,0.0238374,0.012674,0.0135124,0.0114848,0,0,0.0198449,0,0.0373993,0.00439666,0.0374296,0.0193712,0.0122128,0.00641188,0.0171777,0.0213367,0.00374624,0.0126819,0.00257456,0.00451759,0.0135086,0.038982,0.0104359,0.0145735,0.00478663,0.00589169,0.027901,0.014867,0.0194698,0.0101409,0,0,0,0,0,0,0,0,0
4,0.0119726,0,0,0,0,0.0208567,0,0,0,0,0,0,0.00263291,0.0187356,0.00755735,0.00760721,0,0,0.0179245,0,0.0352841,0.0104861,0.041862,0.0100984,0.020603,0.00408535,0.0186344,0.0422175,0.00744257,0.00544868,0.00287073,0.00895984,0.00864171,0.00876541,0.031395,0.00341341,0.0229304,0.00791449,0.00749355,0.00605095,0.0238789,0.0125739,0.0134926,0.0114243,0,0,0.0200266,0,0.0375721,0.00441873,0.0373709,0.0191737,0.0121572,0.00631577,0.0172496,0.0214589,0.00386448,0.0126739,0.00223322,0.00450702,0.0134577,0.0390452,0.0104114,0.014516,0.00464344,0.0058161,0.0277651,0.014742,0.0194407,0.0101016,0,0,0,0,0,0,0,0,0
5,0.0119867,0,0,0,0,0.0208828,0,0,0,0,0,0,0.00238127,0.0188598,0.00751208,0.00765992,0,0,0.0179234,0,0.0354118,0.0102926,0.0419242,0.0100623,0.0206064,0.00408657,0.018695,0.0424257,0.00741788,0.00543052,0.00280812,0.00892679,0.00858994,0.00870334,0.0313687,0.00358233,0.0231698,0.00825248,0.00684798,0.00603738,0.0239297,0.012462,0.0134474,0.0113911,0,0,0.0201972,0,0.0376898,0.00436872,0.0373598,0.0190145,0.0120652,0.00622171,0.0172649,0.021503,0.00384808,0.0126393,0.00223823,0.00451978,0.0133997,0.0390845,0.010385,0.0144325,0.00450037,0.0058538,0.0278045,0.0145662,0.0194571,0.0100908,0,0,0,0,0,0,0,0,0
6,0.0119437,0,0,0,0,0.020947,0,0,0,0,0,0,0.0022703,0.0189517,0.00746684,0.00772406,0,0,0.0180276,0,0.0355531,0.0101483,0.0420053,0.0100142,0.0206201,0.00410716,0.0187599,0.0424111,0.00737586,0.00542231,0.0027856,0.00888256,0.00854861,0.0086337,0.0313143,0.00364255,0.0234585,0.00855888,0.00623727,0.00597303,0.0239587,0.0123538,0.0134266,0.0114816,0,0,0.020436,0,0.0377436,0.00427876,0.0373513,0.0188536,0.0119266,0.00608321,0.0173143,0.0213505,0.00391044,0.0126021,0.00226429,0.00456821,0.0133077,0.0389619,0.0103376,0.0143318,0.00437267,0.00573285,0.0279239,0.0142817,0.0194707,0.0101905,0,0,0,0,0,0,0,0,0
7,0.0118573,0,0,0,0,0.021069,0,0,0,0,0,0,0.00217025,0.0190514,0.00743662,0.00776586,0,0,0.0179687,0,0.0355544,0.00995443,0.0421084,0.0100001,0.0206518,0.0041342,0.018851,0.0428196,0.00732626,0.00537545,0.00277338,0.00885324,0.00850308,0.00855939,0.0312738,0.00372428,0.0236717,0.00875637,0.00556928,0.00603771,0.0239842,0.0123168,0.0134844,0.0114839,0,0,0.0205748,0,0.0378311,0.00421416,0.0373486,0.0187353,0.0117858,0.00591712,0.0174102,0.0213343,0.00358644,0.0125624,0.00226859,0.00457283,0.0132175,0.0387198,0.0103087,0.0142917,0.00417921,0.00560411,0.027913,0.0139765,0.0195408,0.0101256,0,0,0,0,0,0,0,0,0
8,0.0117304,0,0,0,0,0.0211729,0,0,0,0,0,0,0.00189742,0.0191169,0.00746217,0.00778929,0,0,0.0177885,0,0.0356219,0.00972592,0.0421803,0.0100185,0.0206632,0.00414375,0.0189503,0.0434166,0.00732529,0.00537263,0.00278498,0.00886218,0.00849313,0.00855451,0.0312623,0.00377216,0.0239,0.00898492,0.00505509,0.00610151,0.0239936,0.0123062,0.0135508,0.0114597,0,0,0.0205616,0,0.037927,0.00419561,0.0373942,0.0186346,0.0117008,0.00578672,0.0175103,0.0213303,0.00333076,0.0125905,0.00231938,0.00448683,0.0131644,0.0386708,0.0103096,0.0142699,0.00390685,0.00536846,0.0279267,0.0137954,0.0196433,0.0100029,0,0,0,0,0,0,0,0,0
