Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x75,x76,RTHI
All Timesteps RMSE,0.0141121,0,0,0,0,0.0188974,0,0,0,0.0354219,0.0254531,0.0280374,0.0227299,0,0,0.0228528,0,0.0326893,0.0147206,0.0400994,0.0260966,0.00727455,0.0121149,0.0388597,0.0442615,0.0184002,0.0172706,0.0148663,0.00856582,0.0144236,0.0123853,0.0166494,0.0388384,0.0313899,0.0188698,0.0112896,0.0110056,0.0251214,0.00880958,0.0192225,0.0161822,0,0,0.017798,0,0.0344694,0.0136893,0.0381458,0.00714434,0.012907,0.014946,0.0368587,0.0278389,0.0154783,0.00849246,0.0126556,0.00934298,0.0306309,0.00901454,0.00955686,0.011646,0.0167298,0.0293648,0.0126589,0.017798,0.0134362,0,0,0,0,0,0.0112012
0,0.0245778,0,0,0,0,0.0424262,0,0,0,0.0362478,0.0324591,0.0274464,0.0251963,0,0,0.0241405,0,0.0383545,0.0199101,0.0416023,0.023701,0.0101639,0.0126522,0.0487347,0.0452492,0.0199341,0.0198257,0.015177,0.00878522,0.0136212,0.0124351,0.0155629,0.0405946,0.0283207,0.0378505,0.019191,0.012052,0.0384953,0.00643488,0.0222799,0.0206642,0,0,0.0215382,0,0.0389314,0.0118456,0.0374137,0.00559673,0.00892418,0.018122,0.0475633,0.035625,0.0157697,0.00828382,0.0130519,0.0110044,0.0297438,0.0086859,0.0110927,0.0141256,0.0160799,0.0318846,0.00723449,0.040779,0.0198535,0,0,0,0,0,0
1,0.0239153,0,0,0,0,0.0415717,0,0,0,0.0359433,0.0323535,0.0271579,0.0251399,0,0,0.0238345,0,0.0384503,0.0196726,0.041676,0.024629,0.0100086,0.0126053,0.0484657,0.0446056,0.0198034,0.0195251,0.0150317,0.00882699,0.0136329,0.0123743,0.0155802,0.0403368,0.0270372,0.0378289,0.0190618,0.0117341,0.0383111,0.00649121,0.0221724,0.0202878,0,0,0.0214837,0,0.0391709,0.0115594,0.0373574,0.0056867,0.00881985,0.0180767,0.0473168,0.0348337,0.0156979,0.0082252,0.0128934,0.011213,0.0295064,0.00879344,0.0113164,0.0137183,0.0153466,0.031798,0.00725308,0.039929,0.0194617,0,0,0,0,0,0.00984354
2,0.0238369,0,0,0,0,0.0413035,0,0,0,0.0358094,0.0322214,0.0271276,0.0249939,0,0,0.0236313,0,0.0385085,0.019514,0.0416366,0.0242249,0.00996541,0.012682,0.0483889,0.0444452,0.0197748,0.0195865,0.0150751,0.00890093,0.013682,0.012358,0.0155599,0.0401832,0.0266557,0.0377499,0.018975,0.0116078,0.0383415,0.00655773,0.0221125,0.0202706,0,0,0.0215303,0,0.0391264,0.0115574,0.037344,0.00577401,0.00883387,0.0180288,0.0472079,0.0346398,0.0156593,0.00821988,0.0128735,0.0112514,0.0295209,0.00883876,0.0113542,0.0134942,0.0151244,0.0310645,0.00725908,0.0395752,0.0195495,0,0,0,0,0,0.00971887
3,0.0238435,0,0,0,0,0.0411965,0,0,0,0.0356567,0.032075,0.0270244,0.0249465,0,0,0.0235759,0,0.0385417,0.0194524,0.041592,0.024934,0.00996715,0.0127235,0.048351,0.0444515,0.0197441,0.0196462,0.0151064,0.0089392,0.0137676,0.0123119,0.0155884,0.0400847,0.0265711,0.0376393,0.0189365,0.01148,0.0383802,0.00652889,0.0221205,0.0203191,0,0,0.0215933,0,0.0391049,0.0116418,0.0373214,0.00586869,0.00887705,0.0180524,0.0471608,0.0345903,0.0156793,0.0081851,0.0128956,0.0113262,0.0296019,0.00886865,0.0114388,0.0133362,0.0149562,0.0305976,0.00722062,0.0393784,0.019555,0,0,0,0,0,0.00966957
4,0.0239125,0,0,0,0,0.0411869,0,0,0,0.0355771,0.0319436,0.0269694,0.0249376,0,0,0.0235694,0,0.0385552,0.019457,0.0415568,0.0254079,0.00999349,0.0127429,0.0483431,0.0445628,0.0197736,0.0196568,0.0151277,0.00893769,0.013849,0.0122753,0.0156164,0.040034,0.0265083,0.0375608,0.0189591,0.0113547,0.0384491,0.00648589,0.0221347,0.0204185,0,0,0.0216706,0,0.0391301,0.0117186,0.0373098,0.00599008,0.00892454,0.018115,0.0471582,0.0346013,0.0157304,0.00803114,0.0129071,0.0114455,0.0296664,0.00891452,0.0115409,0.0132436,0.0148888,0.0304139,0.00716507,0.039308,0.0195739,0,0,0,0,0,0.00975362
5,0.0216964,0,0,0,0,0.0404218,0,0,0,0.0348968,0.0299656,0.0269937,0.0239075,0,0,0.0190426,0,0.0278361,0.0244282,0.0412029,0.0256889,0.00868905,0.0126708,0.0447768,0.0490672,0.0196412,0.019363,0.0150524,0.00875925,0.0135227,0.0121977,0.0157217,0.0390313,0.0268854,0,0.0304015,0.0111696,0.038513,0.00673152,0.0212222,0.0190943,0,0,0.022153,0,0.0392832,0.0119153,0.0374706,0.00586167,0.0101616,0.0176532,0.043208,0.0340482,0.0156335,0.00785042,0.0127746,0.0108116,0.0296504,0.00875857,0.0107618,0.0127914,0.01546,0.0300188,0.00705545,0.0390422,0.0175151,0,0,0,0,0,0.0100228
6,0.0237632,0,0,0,0,0.0396699,0,0,0,0.0356701,0.0318264,0.0270963,0.0248471,0,0,0.0232945,0,0.0385592,0.0193572,0.041467,0.0254852,0.00994856,0.0128031,0.0482651,0.0437023,0.019861,0.0196638,0.015226,0.00889223,0.0138602,0.0122574,0.0156444,0.0400472,0.026387,0.0375341,0.018991,0.0111448,0.0386487,0.00642523,0.0220627,0.0202636,0,0,0.0224842,0,0.0391029,0.0121212,0.037359,0.00626569,0.00898792,0.0182507,0.0471233,0.0336498,0.0157172,0.00811911,0.0128879,0.0116671,0.0296722,0.00900126,0.0117387,0.0129773,0.0138259,0.0305376,0.00712273,0.0377653,0.0201032,0,0,0,0,0,0.0101697
7,0.0234695,0,0,0,0,0.039332,0,0,0,0.0356735,0.0317134,0.0271195,0.0248564,0,0,0.0235065,0,0.0386152,0.019504,0.0414649,0.0255074,0.00989863,0.0127624,0.0481875,0.0434373,0.0198295,0.0195762,0.0152168,0.00883794,0.013815,0.0122971,0.0156638,0.0400166,0.0262885,0.0374981,0.0191113,0.0110755,0.0386619,0.00637679,0.022061,0.020117,0,0,0.0224144,0,0.0391798,0.0121216,0.0373404,0.00632067,0.00900526,0.0183209,0.0470679,0.033289,0.0156822,0.00813134,0.0129214,0.0117788,0.0296616,0.00902454,0.0118574,0.0128415,0.0133757,0.0305843,0.00721396,0.037501,0.0198696,0,0,0,0,0,0.0102242
8,0.0232066,0,0,0,0,0.0388386,0,0,0,0.035721,0.0315775,0.0271315,0.0248665,0,0,0.0237238,0,0.0386898,0.0196746,0.0414508,0.0255674,0.0098595,0.0127147,0.0481124,0.0430272,0.0198173,0.0194435,0.0151999,0.00878866,0.0137838,0.0123263,0.0156912,0.0399976,0.0261355,0.0374324,0.0192618,0.0109941,0.0386643,0.00628775,0.0220728,0.0199474,0,0,0.0224171,0,0.0391822,0.012143,0.0373166,0.00632706,0.00904053,0.0183518,0.0469971,0.032814,0.0156418,0.00794058,0.0129439,0.0118425,0.0296532,0.00904487,0.0119141,0.0127754,0.0128351,0.0306584,0.00729602,0.0369888,0.0197216,0,0,0,0,0,0.0102356
