Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,RFIN
All Timesteps RMSE,0,0.0323341,0,0,0,0,0.0332505,0,0,0,0,0,0,0.0242481,0.0281094,0.0109421,0.0187607,0,0,0.0297441,0,0.0361646,0.0207147,0.0514434,0.0154109,0.0208241,0.0112639,0.0203671,0.0381581,0.011325,0.0136327,0.0112173,0.0105592,0.0113901,0.021305,0.0263431,0.0410184,0.0283902,0.0234895,0.0175509,0.0227214,0.0361033,0.0244891,0.0729428,0.0388167,0,0,0.0597259,0,0.0418771,0.0413241,0.036338,0.0206997,0.0157613,0.0247658,0.0469314,0.0117533,0.0167039,0.0122529,0.0148838,0.0218795,0.031044,0.0181459,0.029638,0.0256811,0.0416637,0.0616953,0.0185297,0.0350192,0.0285317,0,0,0,0,0,0,0.0456255
0,0,0.0263891,0,0,0,0,0.016068,0,0,0,0,0,0,0.00552679,0.0202254,0.00792808,0.0152699,0,0,0.0232538,0,0.0359872,0.0130515,0.0471478,0.00939553,0.0245114,0.00570852,0.0125896,0.0454809,0.0056627,0.00466493,0.00663912,0.00885929,0.00954372,0.00728762,0.0301617,0.00628864,0.0270764,0.00766176,0.00469837,0.0145406,0.0230126,0.0212918,0.0201048,0.0287293,0,0,0.0970915,0,0.0740768,0.0435363,0.0236215,0.014263,0.023085,0.0139953,0.0832361,0.00548449,0.014818,0.0151986,0.0146377,0.0178299,0.0400687,0.0148481,0.0167076,0.0165408,0.087568,0.0746989,0.0199025,0.0120683,0.0224874,0,0,0,0,0,0,0
1,0,0.0267459,0,0,0,0,0.0163197,0,0,0,0,0,0,0.00534668,0.0203039,0.00762698,0.015261,0,0,0.0255081,0,0.0355924,0.0147427,0.0473195,0.00904726,0.0243027,0.00582589,0.0131918,0.0461817,0.00558591,0.00500198,0.00678095,0.00867612,0.00935801,0.0069759,0.0300119,0.00614771,0.0290686,0.00811454,0.00514883,0.0125247,0.0229518,0.0192525,0.0198319,0.0290031,0,0,0.0976035,0,0.0752088,0.0435543,0.0211587,0.0145897,0.0214629,0.0148724,0.0827687,0.00504352,0.0147875,0.0141575,0.0134516,0.0165991,0.039914,0.0138417,0.0152777,0.0145739,0.0878879,0.0744453,0.0200696,0.0123548,0.0229204,0,0,0,0,0,0,0
2,0,0.0113761,0,0,0,0,0.0314642,0,0,0,0,0,0,0.00564807,0.0186837,0.00990424,0.014401,0,0,0.0327114,0,0.037328,0.0197386,0.0448655,0.01055,0.0248642,0.00898435,0.00712871,0.0525314,0.00844434,0.00854764,0.00987345,0.0109885,0.0120644,0.00849686,0.0311894,0.00857589,0.0372798,0.00710112,0.00863709,0.0130245,0.0377691,0.0191151,0.0185844,0.0271578,0,0,0.0709226,0,0.087981,0.0437288,0.0205943,0.0151722,0.0202986,0.00798811,0.055773,0,0.0141153,0.0137169,0.0129994,0.0158205,0.0406842,0.0139903,0.0142067,0.014521,0.0687248,0.0912041,0.0274395,0.03161,0.0130894,0,0,0,0,0,0,0
3,0,0.0110734,0,0,0,0,0.0312425,0,0,0,0,0,0,0.00558379,0.0185669,0.00997794,0.0145752,0,0,0.0325656,0,0.037414,0.0195839,0.0448142,0.0105876,0.0249222,0.00904158,0.00697472,0.0524515,0.0085051,0.00862852,0.00993606,0.0111197,0.0122016,0.00865531,0.0313184,0.0086048,0.0371602,0.00715815,0.00856226,0.013446,0.0380811,0.0191315,0.018771,0.0265238,0,0,0.07143,0,0.0882888,0.0437311,0.0204639,0.0149937,0.0207819,0.00778579,0.0554171,0.00532608,0.0141954,0.0141299,0.0132851,0.0159919,0.0408146,0.0139889,0.0142556,0.0148788,0.0686887,0.0909217,0.0277229,0.0312818,0.0125749,0,0,0,0,0,0,0
4,0,0.0107522,0,0,0,0,0.0311035,0,0,0,0,0,0,0.00558145,0.018599,0.0100055,0.0146276,0,0,0.0326714,0,0.0373725,0.019645,0.0447845,0.0105995,0.0249365,0.00907802,0.00692444,0.0525756,0.00851588,0.00867132,0.00995933,0.0111722,0.0122575,0.00869603,0.0313311,0.00860371,0.0372556,0.00709734,0.00861743,0.0133632,0.0383491,0.0191862,0.0188395,0.0260567,0,0,0.071796,0,0.0884882,0.0437688,0.0205684,0.0150298,0.020626,0.00773366,0.0551496,0.00531244,0.0140953,0.0139578,0.013227,0.0159295,0.0408268,0.0139954,0.0142428,0.0148304,0.0686846,0.0907737,0.0279396,0.0310744,0.0122043,0,0,0,0,0,0,0
5,0,0.0104987,0,0,0,0,0.0310362,0,0,0,0,0,0,0.00557346,0.0186106,0.00999958,0.014504,0,0,0.0327909,0,0.0373703,0.0196781,0.0447961,0.0105423,0.0250128,0.00908256,0.00680369,0.052686,0.00849262,0.00868756,0.00993975,0.0111563,0.0122918,0.00869279,0.0313032,0.00866161,0.0373653,0.00702675,0.00868994,0.0121131,0.0385053,0.0193696,0.0186357,0.0256932,0,0,0.0720975,0,0.0886753,0.0437458,0.02124,0.0151835,0.0193849,0.00757815,0.0548977,0,0.0135085,0.0128355,0.0127428,0.0157753,0.0408843,0.0143057,0.014406,0.0136186,0.0685765,0.0906714,0.0280775,0.0309683,0.0119274,0,0,0,0,0,0,0
6,0,0.0103361,0,0,0,0,0.0310877,0,0,0,0,0,0,0.00559049,0.0186195,0.0100029,0.0144255,0,0,0.0327614,0,0.0373561,0.019645,0.0447293,0.0104802,0.0250974,0.00911436,0.00670246,0.0528182,0.00851765,0.0086081,0.00993559,0.0111697,0.0123275,0.00872188,0.0313001,0.00871359,0.0373702,0.00700423,0.00871659,0.012076,0.0385637,0.0193755,0.0185584,0.0254894,0,0,0.072273,0,0.0889471,0.0437334,0.0212351,0.0151666,0.0191776,0.00733524,0.0546741,0.00492975,0.013503,0.0126807,0.0126166,0.0157314,0.0409463,0.0144003,0.0143753,0.0134365,0.0684077,0.0904482,0.0281045,0.0310031,0.0116911,0,0,0,0,0,0,0
7,0,0.0101748,0,0,0,0,0.0312443,0,0,0,0,0,0,0.00561283,0.018588,0.00998796,0.0143292,0,0,0.032842,0,0.0373814,0.0196997,0.0446854,0.010478,0.0252046,0.00908172,0.00661602,0.0530653,0.00847987,0.00853957,0.00990164,0.0111687,0.0123375,0.00872642,0.031292,0.00878889,0.0374902,0.00702827,0.00876452,0.0113249,0.0385238,0.0194779,0.0184189,0.0253687,0,0,0.0723551,0,0.0892058,0.0437221,0.0215939,0.015299,0.0181459,0.00713871,0.054456,0.00483038,0.0132146,0.0118082,0.0120933,0.015576,0.0409699,0.0146392,0.0144673,0.0125764,0.0682169,0.0903267,0.0280567,0.0311276,0.0115143,0,0,0,0,0,0,0
8,0,0.0102077,0,0,0,0,0.0315362,0,0,0,0,0,0,0.00559776,0.0185091,0.0099694,0.0141316,0,0,0.0330033,0,0.03747,0.0197793,0.0447034,0.0105165,0.0253594,0.00901076,0.00654589,0.0533133,0.00837067,0.00851617,0.00984002,0.0111153,0.0123127,0.00871293,0.0312461,0.00888322,0.0376626,0.00710239,0.00884032,0.00985988,0.0385459,0.0197953,0.0181477,0.0255472,0,0,0.0723335,0,0.0891232,0.0436947,0.0225475,0.0156087,0.0162683,0.00688778,0.0542891,0,0.0126516,0.0100609,0.0111674,0.0154743,0.040968,0.0151064,0.0148956,0.0108028,0.0679812,0.0903129,0.0280573,0.0313997,0.0115375,0,0,0,0,0,0,0
