Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,RTOE,x73,x74,REAR
All Timesteps RMSE,0.020218,0.014849,0,0,0,0,0,0,0.0579876,0.0242138,0.0205778,0.00699416,0,0,0.0369711,0,0.0456685,0.0155232,0.0524335,0.0297558,0.00894042,0.0412102,0.012457,0.0266537,0.030352,0.0641563,0.0338088,0.0700874,0.036056,0.0220022,0.0181536,0.0371417,0.0448763,0.0313276,0.042213,0.00913591,0.00700783,0.0273875,0.0055,0.00567798,0.0223077,0,0.0444194,0,0.0292965,0.0224201,0.0319992,0.00969139,0.0254235,0.00506349,0.0141868,0.0301969,0.00400545,0.0152787,0.00441206,0.00463217,0.00599249,0.0209476,0.00475664,0.00712103,0.0239714,0.0137102,0.0121709,0.020403,0.0206029,0,0,0,0,0,0,0.00976564,0,0,0
0,0.0225604,0.0237596,0,0,0,0,0,0,0.0580368,0.0228502,0.0170743,0.00158003,0,0,0.0576331,0,0.0424609,0.0219215,0.0517676,0.0220864,0.00352692,0.0396376,0.014858,0.0302361,0.0305183,0.0654744,0.0352902,0.0668118,0.0353555,0.0195981,0.0140488,0.0362712,0.0433511,0.0485834,0.0336434,0.00878646,0.00558208,0.0213411,0.00649953,0.00476763,0.0287191,0,0.0790109,0,0.0354101,0.036684,0.0332019,0.0116517,0.0241231,0.00285424,0.0140223,0.0160356,0.00183694,0.0144026,0.00325158,0.00428244,0.00741507,0.0217295,0.00378299,0.0102126,0.0290391,0.0157047,0.0113481,0.0229985,0.0196084,0,0,0,0,0,0,0,0,0,0
1,0.0243493,0.0259688,0,0,0,0,0,0,0.0581453,0.0226551,0.0169857,0.00219848,0,0,0.0569974,0,0.042658,0.0218406,0.0518649,0.0222335,0.00346485,0.0395702,0.0127068,0.0324277,0.0304159,0.0657509,0.0351723,0.066895,0.035372,0.0191374,0.0141441,0.0362827,0.0438613,0.048539,0.034393,0.00890525,0.00730158,0.0210524,0.00722786,0.00405723,0.0314778,0,0.0787853,0,0.0354152,0.0366683,0.0330033,0.0105195,0.0242619,0.00251003,0.0119775,0.0152391,0.00228811,0.0146942,0.00393753,0.00446543,0.00656745,0.0208458,0.00366929,0.00915655,0.0307253,0.0160127,0.0112757,0.0252326,0.0209162,0,0,0,0,0,0,0.00663369,0,0,0
2,0.0223752,0.0237537,0,0,0,0,0,0,0.0580095,0.0224026,0.0171207,0.00176466,0,0,0.0563144,0,0.042668,0.0214194,0.0517859,0.0220176,0.00350593,0.0395123,0.0142901,0.0301882,0.0304427,0.0659464,0.0350469,0.0667275,0.0353604,0.0189751,0.0139944,0.0362482,0.0435137,0.0474603,0.034399,0.0086365,0.00597101,0.0210971,0.0063409,0.00485293,0.0286763,0,0.0767895,0,0.0352909,0.0359279,0.0331625,0.011005,0.0242703,0.00316477,0.013439,0.0154704,0.00191059,0.0145109,0.00291118,0.00399201,0.00760419,0.0217428,0.00391415,0.0101714,0.0286615,0.0158433,0.0112254,0.0230359,0.0195003,0,0,0,0,0,0,0,0,0,0
3,0.0222138,0.0236446,0,0,0,0,0,0,0.057895,0.022428,0.0171162,0.00184642,0,0,0.0558123,0,0.0428418,0.0212035,0.0518039,0.0219855,0.00357404,0.0394681,0.0138495,0.0301023,0.0304487,0.0657855,0.0348909,0.0667113,0.0353324,0.0190386,0.0139865,0.0362249,0.0435667,0.0469059,0.0344765,0.00857124,0.00591902,0.0210461,0.00634638,0.00457904,0.0285489,0,0.0756856,0,0.0350679,0.03553,0.0332066,0.0110668,0.0243001,0.00325245,0.013055,0.0150465,0.00195448,0.0145903,0.00285426,0.00404472,0.00770731,0.0217865,0.00398262,0.0102689,0.0284262,0.0152899,0.0109542,0.0229422,0.0194197,0,0,0,0,0,0,0,0,0,0
4,0.0219754,0.0234645,0,0,0,0,0,0,0.057811,0.022297,0.0169816,0.00194458,0,0,0.0551291,0,0.0429279,0.0208502,0.0518068,0.0219266,0.00364769,0.0394954,0.0134736,0.0299381,0.0304784,0.0657446,0.0348273,0.0667067,0.0353494,0.0191128,0.0139978,0.0362319,0.0436736,0.0460222,0.0345789,0.00853042,0.00574194,0.0210819,0.00634393,0.00428146,0.028253,0,0.0745942,0,0.0348542,0.0352347,0.033221,0.0110744,0.0242524,0.0032634,0.0126553,0.0146844,0.00193053,0.014503,0.00292966,0.0041173,0.00773959,0.0218601,0.00402,0.01028,0.0281616,0.0146997,0.010559,0.0228334,0.0193021,0,0,0,0,0,0,0,0,0,0
5,0.0214403,0.0228423,0,0,0,0,0,0,0.0579693,0.022354,0.0169231,0.00212643,0,0,0.0544347,0,0.0427121,0.020457,0.0517627,0.0219224,0.00379056,0.0395732,0.0132075,0.0294534,0.0305385,0.065872,0.0348475,0.0666929,0.0354387,0.0191972,0.0139891,0.0362657,0.043853,0.0451239,0.0346457,0.00843842,0.00558149,0.0212719,0.00631214,0.00409255,0.0275302,0,0.0735801,0,0.0347373,0.0350839,0.0332204,0.0111228,0.0241548,0.00316163,0.0123573,0.014536,0.0019536,0.0144021,0.00318338,0.0042847,0.00761362,0.0219329,0.00398565,0.010203,0.027868,0.0140257,0.0100409,0.0223766,0.0189774,0,0,0,0,0,0,0,0,0,0
6,0.0207988,0.0222478,0,0,0,0,0,0,0.0584735,0.0224415,0.0170357,0.00239303,0,0,0.0536007,0,0.0426834,0.0201148,0.0517532,0.0219968,0.00394886,0.0396914,0.0129611,0.0288789,0.0307408,0.0657414,0.0348949,0.0667189,0.0355297,0.0192574,0.0139812,0.0363306,0.043964,0.044345,0.0347217,0.00825941,0.00786619,0.021501,0.00720256,0.0038891,0.0267013,0,0.0729974,0,0.0347029,0.0351259,0.0330569,0.0103705,0.0241877,0.00280171,0.0121119,0.0146483,0.00240167,0.0144199,0.00400732,0.00460697,0.00681043,0.0210966,0.00417324,0.00944558,0.0276509,0.0133864,0.00959673,0.021786,0.0185307,0,0,0,0,0,0,0.00705049,0,0,0
7,0.0200541,0.021541,0,0,0,0,0,0,0.058775,0.0224289,0.016936,0.00230876,0,0,0.0526681,0,0.0427666,0.0196679,0.0517769,0.0220448,0.00401308,0.0397821,0.0129653,0.0282384,0.0307663,0.065769,0.0347868,0.0667524,0.0355161,0.0192063,0.0139241,0.0363208,0.0439154,0.0433072,0.0348492,0.00809267,0.00641625,0.0217219,0.0063069,0.00384239,0.0258565,0,0.0727023,0,0.0347191,0.0352352,0.0331215,0.010792,0.0241342,0.00332055,0.0120379,0.0149064,0.00191634,0.0140521,0.00303496,0.00408598,0.00770594,0.0221077,0.00398256,0.0102357,0.0275264,0.0130489,0.00942819,0.0210973,0.0179943,0,0,0,0,0,0,0,0,0,0
8,0.019289,0.0207079,0,0,0,0,0,0,0.0587967,0.0223129,0.0168487,0.00248399,0,0,0.0516856,0,0.0428745,0.0192688,0.0518228,0.0220317,0.00399541,0.0398475,0.0127886,0.0275922,0.0305755,0.0658981,0.0346371,0.0667378,0.0355251,0.0192255,0.0139118,0.0363302,0.0438344,0.0426334,0.0349935,0.00801591,0.00599845,0.0219364,0.00637167,0.00375686,0.0248886,0,0.0727139,0,0.0347861,0.0354794,0.0330355,0.0107685,0.0241997,0.00347578,0.0117924,0.0152698,0.00178868,0.01447,0.00282091,0.00388415,0.00786089,0.022092,0.00407351,0.0102607,0.0275024,0.0129554,0.00948621,0.0203315,0.0174454,0,0,0,0,0,0,0,0,0,0
