Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x74,,LTIB,x73
All Timesteps RMSE,0.0378276,0.0369296,0,0,0,0,0,0,0.110549,0.0235851,0.00300413,0,0,0.0450924,0,0.0483346,0.0222342,0.0447362,0.0225569,0.00883055,0.0178718,0.00689741,0.0568136,0.0152134,0.0264057,0.0165013,0.0142186,0.0150602,0.022271,0.0209297,0.0361536,0.0445318,0.0122838,0.0107969,0.0261606,0.0117491,0.00343901,0.0307467,0,0,0.0232404,0,0.0286793,0.0164596,0.0349219,0.0165708,0.0236864,0.00771964,0.00841746,0.0401347,0.00421682,0.0134176,0.00621958,0.00569447,0.00826594,0.0179715,0.00749517,0.0107404,0.0109528,0.024334,0.016489,0.0150945,0.0456293,0.0401489,0,0,0,0,0,0,0,0,0.054831,0
0,0.0428109,0.0467554,0,0,0,0,0,0,0.0247087,0.0213577,0.00198399,0,0,0.031826,0,0.0593311,0.0194824,0.0485329,0.0250218,0.00427673,0.0254932,0.00905635,0.0686383,0.0125861,0.02174,0.0239245,0.00978908,0.104292,0.0190585,0.0232986,0.0290528,0.0492571,0.015939,0.0119843,0.0287169,0.00729253,0.00160072,0.0403864,0,0,0.0369824,0,0.025706,0.0231139,0.0341937,0.00839462,0.0301679,0.011404,0.0142335,0.0435112,0.00229862,0.0143856,0.00552558,0.00593638,0.00848358,0.0208355,0.00399394,0.00791643,0.0164839,0.0183619,0.0216425,0.0201942,0.0596266,0.0485914,0,0,0,0,0,0,0,0,0,0
1,0,0.051879,0,0,0,0,0,0,0,0.0222704,0.00261381,0,0,0.0281572,0,0.0573752,0.0200142,0.048007,0.0270431,0.00261746,0.0254178,0.00558109,0.0797953,0.0122573,0.0209341,0.0240606,0.0084128,0.106515,0.0210854,0.0263425,0.0377986,0.0481616,0.0158182,0.0120761,0.0287093,0.00746036,0.00172613,0.0402211,0,0,0.0325469,0,0.025102,0.0211516,0.0336704,0.00858328,0.0292477,0.0120075,0.00997647,0.0384044,0.00305677,0.0151966,0.00590185,0.00632506,0.00851667,0.0212079,0.00374998,0.00790655,0.0165531,0.0168976,0.019814,0.0192031,0.0634844,0.054259,0,0,0,0,0,0,0,0,0,0
2,0.0381808,0.0424158,0,0,0,0,0,0,0.0286771,0.0216844,0.00211347,0,0,0.0231248,0,0.0578967,0.016532,0.0479903,0.0283157,0.00372055,0.0255542,0.0084279,0.0662477,0.0118694,0.0218826,0.0240215,0,0.108436,0.0192038,0.0171914,0.0331214,0.048202,0.0141218,0.012144,0.0284946,0.00724199,0.00163501,0.0383387,0,0,0.0321949,0,0.0254795,0.0216402,0.0340093,0.0085434,0.0296653,0.0116179,0.0134075,0.0428165,0.00258006,0.0143243,0.00541614,0.00583771,0.00865185,0.0206997,0.00398394,0.00828864,0.0169868,0.0165816,0.0208813,0.0204941,0.0553139,0.0445054,0,0,0,0,0,0,0,0,0,0
3,0,0.0506844,0,0,0,0,0,0,0.0307194,0.0224994,0.00263392,0,0,0.0273045,0,0.0574126,0.0198381,0.0476167,0.0297055,0.00250427,0.0245223,0.0058352,0.0786413,0.0113662,0.0222935,0.0234168,0,0.101164,0.0190334,0.0148502,0.0369784,0.0482384,0.0160605,0.0123657,0.0287196,0.00744504,0.00147654,0.0394465,0,0,0.0327453,0,0.025217,0.021737,0.0337149,0.00800385,0.028883,0.011914,0.0100894,0.0378271,0.00320031,0.0149518,0.0059228,0.00647766,0.00838098,0.0206809,0.00378237,0.00789796,0.0169048,0.0167603,0.020364,0.0198231,0.0626445,0.0530519,0,0,0,0,0,0,0,0,0,0
4,0.0351685,0.0379831,0,0,0,0,0,0,0.0401461,0.0220876,0.00299468,0,0,0.0223967,0,0.0577194,0.0160843,0.0473491,0.0313865,0.00311609,0.0266689,0.0088185,0.0622636,0.0131544,0.0213113,0.0258303,0,0,0.0159122,0.00514566,0.0330986,0.0484255,0.013737,0.0124347,0.0286394,0.00739559,0.00209462,0.0371659,0,0,0.0324081,0,0.0255103,0.0221394,0.0340858,0.00798667,0.0293485,0.0117383,0.0140531,0.0414555,0.00294617,0.0142813,0.00572792,0.00634408,0.00860649,0.0203091,0.00401868,0.00829267,0.01735,0.0157152,0.0215584,0.0206619,0.0508755,0.0408825,0,0,0,0,0,0,0,0,0,0
5,0.0343164,0.0368232,0,0,0,0,0,0,0.0419548,0.022176,0.00295525,0,0,0.0221429,0,0.0576744,0.0157268,0.0472949,0.0332504,0.00315104,0.0264678,0.0087803,0.0608684,0.0140493,0.0214993,0.0262509,0,0,0.0158713,0.006506,0.0327412,0.0484589,0.0137194,0.0124225,0.0286783,0.00739804,0.00187256,0.0366813,0,0,0.0325086,0,0.0255449,0.0223006,0.0338096,0.00766215,0.0292456,0.0113567,0.0138335,0.0408679,0.0029037,0.0141977,0.0056415,0.00620607,0.00834093,0.0201661,0.0039778,0.00806529,0.0170859,0.01564,0.0217963,0.0207245,0.0497494,0.0397784,0,0,0,0,0,0,0,0,0,0
6,0.0332775,0.0357283,0,0,0,0,0,0,0.0349658,0.0223084,0.00186189,0,0,0.0216903,0,0.0576616,0.0151614,0.0471841,0.0344379,0.00379773,0.0262774,0.00886114,0.059214,0.014938,0.0211914,0.0269361,0,0.011318,0.0190347,0.0124121,0.0321515,0.0484958,0.0138957,0.0123946,0.0287193,0.00750881,0.00149361,0.0359491,0,0,0.0326696,0,0.0256028,0.022325,0.0334111,0.00733873,0.0293436,0.0106143,0.0133942,0.0399905,0.00266178,0.0140589,0.00537623,0.00584219,0.00798933,0.0199237,0.00398129,0.0077608,0.0167643,0.0154193,0.0219808,0.0209322,0.0485364,0.038684,0,0,0,0,0,0,0,0,0.0118012,0
7,0.0323514,0.0349139,0,0,0,0,0,0,0.0263682,0.0224218,0.00145226,0,0,0.0211332,0,0.0576673,0.0147789,0.0468891,0.035127,0.00376761,0.026273,0.00893349,0.0579936,0.0157122,0.0210923,0.027491,0,0.0111549,0.0186218,0.0105601,0.0315944,0.0485015,0.0141064,0.0123245,0.0287459,0.00777265,0.00149871,0.0354867,0,0,0.0328057,0,0.025661,0.0221474,0.0333622,0.00728967,0.0295364,0.0102475,0.0130678,0.0396232,0.00268568,0.0141655,0.00530995,0.00578039,0.00785693,0.0198286,0.00395753,0.00763615,0.016501,0.0153272,0.0221696,0.021082,0.0476351,0.0376441,0,0,0,0,0,0,0,0,0.0122636,0
8,0.0317467,0.0344193,0,0,0,0,0,0,0,0.0225773,0.00116149,0,0,0.0204861,0,0.0576849,0.0147885,0.0467657,0.0372475,0.00367193,0.0259243,0.009103,0.0570547,0.0162037,0.0209046,0.0276002,0,0.0118333,0.0193829,0.012177,0.0309261,0.048426,0.0143553,0.0123463,0.0287309,0.00784162,0.00138826,0.0351418,0,0,0.0328364,0,0.0257271,0.0220642,0.033218,0.00723579,0.0296858,0.00973615,0.0127439,0.0393845,0.00272041,0.0142807,0.00524238,0.00569116,0.0077415,0.0196759,0.00398857,0.00754269,0.0165131,0.015151,0.0224131,0.0212901,0.0469213,0.036827,0,0,0,0,0,0,0,0,0.011264,0
