Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,
All Timesteps RMSE,0.0434632,0.0643238,0,0,0,0,0,0,0.0176164,0.0264542,0.0241773,0.022928,0,0.049775,0,0.0452252,0.0228271,0.0483387,0.0296302,0.00948588,0.0258558,0.0292046,0.0285194,0.0153212,0.0252306,0.02421,0.0211768,0.0202116,0.00823594,0.0250779,0.0363422,0.0372453,0.0424597,0.00939831,0.0293341,0.0251763,0.035291,0.0234078,0.0705055,0,0,0.0262996,0,0.0269728,0.0261,0.0347467,0.0424352,0.0266836,0.0573624,0.0286715,0.102328,0.0157505,0.0180431,0.0321356,0.0315752,0.0320788,0.0163552,0.0169516,0.0316605,0.0216471,0.0562471,0.0233461,0.0227176,0.0638064,0.0375934,0,0,0,0,0,0,0,0
0,0.0519344,0.0565439,0,0,0,0,0,0,0.0163452,0.0263255,0.0240331,0.0163167,0,0.0190467,0,0.0407987,0.016368,0.0490971,0.0282565,0.0124645,0.0239974,0.0170964,0.0201382,0.0143649,0.0241261,0.0218036,0.0102472,0.0134622,0.0062965,0.0250805,0.0327301,0.0203266,0.0378241,0.0111954,0.0296084,0.0261754,0.0353958,0.0162074,0.0833759,0,0,0.0585109,0,0.0311406,0.042991,0.0343092,0.0409043,0.0244604,0.0588134,0.0193046,0.111761,0.0160109,0.0174509,0.0310234,0.0321728,0.0328774,0.0176574,0.0180822,0.0317433,0.0224055,0.0803554,0.0181203,0.0184679,0.0664716,0.0497071,0,0,0,0,0,0,0,0
1,0.0514791,0.0566221,0,0,0,0,0,0,0.0164059,0.0262764,0.0240321,0.0163229,0,0.0186409,0,0.0407095,0.0161675,0.0491021,0.0281101,0.0124383,0.0242502,0.0171611,0.0195513,0.01434,0.0244733,0.0219305,0.0103625,0.0135574,0.00625714,0.0250018,0.0327409,0.0199932,0.0378483,0.0108993,0.0298229,0.0265928,0.0356626,0.0162216,0.0838223,0,0,0.0409778,0,0.0321909,0.0362166,0.0343175,0.0411237,0.0244406,0.058978,0.0194228,0.113333,0.0161041,0.0175198,0.0311256,0.0322917,0.0329337,0.017626,0.0181285,0.0318648,0.0224832,0.0789348,0.015933,0.0191248,0.0668669,0.0493682,0,0,0,0,0,0,0,0
2,0.0508351,0.0563567,0,0,0,0,0,0,0.0165469,0.0262019,0.0240259,0.0163307,0,0.018081,0,0.0406921,0.015959,0.0491014,0.0280575,0.0124282,0.0242465,0.0172478,0.0190561,0.0142631,0.0245521,0.0218664,0.0103722,0.0135788,0.00623387,0.0250052,0.0327951,0.0197466,0.0379255,0.0108502,0.0299007,0.0265784,0.0357641,0.0160418,0.0834455,0,0,0.0400496,0,0.0319407,0.0357911,0.0343038,0.0412402,0.0244239,0.0590846,0.0194915,0.113059,0.0161229,0.0175408,0.03115,0.0323396,0.032926,0.0176166,0.0181518,0.0319307,0.0224081,0.0785217,0.016303,0.0189977,0.0667877,0.0486945,0,0,0,0,0,0,0,0
3,0.0503374,0.0561765,0,0,0,0,0,0,0.0166379,0.0262941,0.0240349,0.0163258,0,0.017439,0,0.0407985,0.015738,0.0491125,0.0280525,0.0124184,0.024241,0.0173282,0.0186272,0.0141736,0.0244572,0.0217903,0.0103965,0.0135965,0.00622143,0.0250227,0.0328394,0.019366,0.0380258,0.0108196,0.0299866,0.026532,0.0358321,0.0157723,0.0832945,0,0,0.0392292,0,0.0317095,0.0354162,0.0342892,0.0413285,0.0243975,0.0592035,0.0195402,0.113028,0.0161587,0.017539,0.0311724,0.0323864,0.0329191,0.0176185,0.0181651,0.0319752,0.0223615,0.0782233,0.0168545,0.0189644,0.0667314,0.0484484,0,0,0,0,0,0,0,0
4,0.0499688,0.056269,0,0,0,0,0,0,0.0166716,0.0263731,0.0240374,0.0163042,0,0.0168519,0,0.0408607,0.0154946,0.0491008,0.0280534,0.0123881,0.0241856,0.0174178,0.018302,0.0140837,0.0242673,0.0216829,0.0104039,0.0135819,0.00617864,0.025044,0.032891,0.0189508,0.0381379,0.0107641,0.0300512,0.0264608,0.0359155,0.0157095,0.0832916,0,0,0.0384434,0,0.0314409,0.0349826,0.034286,0.0414283,0.0243669,0.0593373,0.019639,0.1134,0.0161869,0.0174926,0.0311812,0.0324042,0.0329438,0.0176235,0.0181695,0.0320142,0.022301,0.0780936,0.0174833,0.0190874,0.0669856,0.0481462,0,0,0,0,0,0,0,0
5,0.049521,0.0563509,0,0,0,0,0,0,0.016624,0.0263868,0.024021,0.0163116,0,0.0163389,0,0.040863,0.0153353,0.0490902,0.0280924,0.0123524,0.0241067,0.0175325,0.0179665,0.0139981,0.0242447,0.0216092,0.0104004,0.0135831,0.00615627,0.0250372,0.032931,0.0185355,0.0382238,0.0106762,0.0300555,0.0263979,0.0359681,0.0157281,0.0834641,0,0,0.0377805,0,0.0312359,0.0345403,0.0342842,0.0415039,0.0243198,0.0594014,0.0197709,0.113905,0.016208,0.0174634,0.0311864,0.0323981,0.0330116,0.0176275,0.0181545,0.032024,0.0222342,0.0780896,0.0176029,0.0191123,0.067232,0.047959,0,0,0,0,0,0,0,0
6,0.0492552,0.0563891,0,0,0,0,0,0,0.0166044,0.0264113,0.0240519,0.0163109,0,0.0158377,0,0.0408986,0.0152866,0.0491008,0.0281142,0.0123081,0.0240799,0.017676,0.0176158,0.0139398,0.0243543,0.0216038,0.0103995,0.0135889,0.00612986,0.0250246,0.0329426,0.0181037,0.0383114,0.0105879,0.0300384,0.0263169,0.0359675,0.0157074,0.0835879,0,0,0.0372227,0,0.0310437,0.0341223,0.0342791,0.0415312,0.0242165,0.0593887,0.0198899,0.114471,0.0162297,0.0174504,0.0311764,0.0324139,0.0331246,0.017621,0.0181559,0.0320192,0.0222192,0.0781221,0.0175644,0.0189765,0.0674333,0.0475979,0,0,0,0,0,0,0,0
7,0.0491022,0.0564899,0,0,0,0,0,0,0.0166667,0.0264672,0.0241222,0.0162938,0,0.0153451,0,0.0409879,0.0152325,0.0490862,0.0281134,0.0122803,0.0240955,0.017764,0.0172346,0.0139217,0.0245456,0.0216079,0.0104116,0.0136258,0.00615218,0.0249922,0.0329839,0.0176327,0.038402,0.0105239,0.0300324,0.0262242,0.0359723,0.0157072,0.0835791,0,0,0.0367711,0,0.0308304,0.0337412,0.0342864,0.0415656,0.0241585,0.0593764,0.0199831,0.114994,0.0162606,0.0174475,0.0311316,0.0324493,0.0331301,0.0176077,0.0181748,0.0320307,0.0222093,0.0781832,0.0176929,0.0188336,0.0676195,0.0472825,0,0,0,0,0,0,0,0
8,0.0488539,0.0566025,0,0,0,0,0,0,0.0167808,0.0265458,0.0241948,0.0162584,0,0.014842,0,0.041056,0.0152002,0.0490722,0.0280714,0.0122871,0.0241176,0.0178159,0.016792,0.0139361,0.0245367,0.0216358,0.0104109,0.0137261,0.00615727,0.0249703,0.0330377,0.017156,0.0385074,0.0104846,0.0300483,0.0262854,0.0359735,0.0157126,0.0834885,0,0,0.0362883,0,0.0307199,0.0333476,0.034288,0.0416008,0.0241271,0.0594079,0.0200091,0.115466,0.0163007,0.0174556,0.031093,0.0324609,0.0330343,0.0175947,0.0182125,0.0320414,0.0221859,0.0782814,0.017799,0.0187163,0.0677924,0.047088,0,0,0,0,0,0,0,0
