Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75,REAR
All Timesteps RMSE,0.0159555,0.012653,0,0,0,0,0,0,0.0299714,0.024139,0.00897762,0.00384942,0,0,0.0344245,0,0.0455014,0.0153058,0.0455146,0.0139817,0.00906662,0.0129619,0.00912841,0.0198929,0.0089449,0.0252318,0.01345,0.0121724,0.0102563,0.00534197,0.0232745,0.0177582,0.0289088,0.0417277,0.00977972,0.00851768,0.0271178,0.00712854,0.004547,0.0189454,0,0.0361091,0,0.02887,0.0189963,0.0332456,0.0125158,0.0242551,0.00564118,0.0117491,0.0184216,0.00388773,0.0131118,0.0044904,0.00442076,0.00697646,0.0183075,0.00573671,0.00871001,0.0107311,0.0190415,0.0147745,0.0120131,0.0125038,0.0153592,0,0,0,0,0,0,0,0,0,0
0,0.0264991,0.0314558,0,0,0,0,0,0,0.0287501,0.0249332,0.00814077,0.00387642,0,0,0.0405999,0,0.0385185,0.0213752,0.0435654,0.012007,0.010911,0.0111203,0.00251334,0.0395256,0.00704231,0.0256092,0.0103766,0.0125684,0.0092245,0.00414286,0.0237516,0.0153141,0.0412836,0.0383603,0.0128044,0.00312238,0.0266253,0.00716977,0.00404822,0.0186956,0,0.0147514,0,0.0291672,0.0110335,0.034098,0.0126804,0.0250617,0.00424368,0.00268873,0.0118143,0.0029972,0.0100904,0.00370579,0.00247071,0.0059787,0.0152767,0.00582999,0.00730111,0.00216187,0.00937942,0.0146804,0.00891468,0.0335654,0.02777,0,0,0,0,0,0,0,0,0,0
1,0.0231882,0.0258885,0,0,0,0,0,0,0.0288602,0.0231678,0.00796406,0.0048568,0,0,0.0424768,0,0.040836,0.0191553,0.0434031,0.0121272,0.00995998,0.0109191,0.00387676,0.034613,0.00675642,0.0257915,0.0101619,0.0126087,0.00929803,0.00433097,0.0238802,0.0157553,0.0383039,0.0357118,0.0116359,0.00304138,0.0262615,0.00735761,0.00468742,0.0185881,0,0.0165088,0,0.0292218,0.0118098,0.0338593,0.0130757,0.024475,0.00404764,0.00586458,0.00864222,0.00306391,0.0105063,0.00345835,0.00241416,0.00609371,0.0153443,0.00578971,0.00758646,0.00247231,0.0103253,0.0159819,0.0089254,0.0280378,0.0253594,0,0,0,0,0,0,0,0,0,0
2,0.0222919,0.0247839,0,0,0,0,0,0,0.0285479,0.0232147,0.00778292,0.00502516,0,0,0.0421688,0,0.0406592,0.0189675,0.0433564,0.0118767,0.00996887,0.0108873,0.00401721,0.0336371,0.00677211,0.0258167,0.0102181,0.0126284,0.00916908,0.00429769,0.0238787,0.0155292,0.0380302,0.035536,0.0117198,0.00309896,0.0262125,0.00746174,0.00468362,0.0178833,0,0.0165483,0,0.0293817,0.0119805,0.033894,0.0132404,0.0244208,0.00388222,0.0060586,0.00824805,0.00309075,0.0104239,0.00343936,0.00247901,0.00614712,0.0152329,0.00588524,0.0076612,0.00239486,0.0103667,0.0165515,0.00955593,0.0271505,0.0244163,0,0,0,0,0,0,0,0,0,0
3,0.0221215,0.0239812,0,0,0,0,0,0,0.0285011,0.0233251,0.00779245,0.0052007,0,0,0.0420542,0,0.0405957,0.0189815,0.043417,0.011677,0.00992696,0.0109741,0.00409612,0.0329727,0.00686589,0.0258336,0.0102954,0.0127126,0.00903398,0.00432121,0.0239178,0.0154896,0.0379979,0.0353532,0.0117986,0.00310854,0.0262282,0.00749511,0.00465298,0.0176966,0,0.0166852,0,0.0296913,0.0120347,0.0338636,0.0132874,0.0241732,0.00391839,0.00620823,0.00791185,0.00303053,0.0102611,0.00338842,0.00248097,0.00609226,0.0151485,0.00595841,0.00758192,0.00224012,0.0104445,0.0169496,0.0100095,0.0266292,0.0239583,0,0,0,0,0,0,0,0,0,0
4,0.0214551,0.0230719,0,0,0,0,0,0,0.0286887,0.0234223,0.00791293,0.00550129,0,0,0.0420559,0,0.0405191,0.019223,0.0435883,0.0114747,0.00993191,0.0110011,0.00421686,0.0321977,0.0069749,0.0258841,0.0103,0.0126923,0.00892811,0.00429866,0.0239615,0.0155849,0.0380351,0.0352218,0.0119718,0.00288729,0.0261747,0.00740476,0.00481685,0.017619,0,0.016805,0,0.0298418,0.0120356,0.0337366,0.0131879,0.0238588,0.00396156,0.0063863,0.0073866,0.00300328,0.0102209,0.00335156,0.00244403,0.00597398,0.0150229,0.00628255,0.00740804,0.00202685,0.0103137,0.0174167,0.0104538,0.0261709,0.0233737,0,0,0,0,0,0,0,0,0,0
5,0.0203693,0.0221742,0,0,0,0,0,0,0.0286316,0.0234896,0.0079852,0.00582532,0,0,0.0421538,0,0.040376,0.0195092,0.0436513,0.0113743,0.0100096,0.0110078,0.00441436,0.0316642,0.00702114,0.0258993,0.0102424,0.0127259,0.00894197,0.00429747,0.0239767,0.0156787,0.0380984,0.0351514,0.0121588,0.00257473,0.0260777,0.00731606,0.00477352,0.0172948,0,0.0169535,0,0.0299148,0.0120915,0.0336595,0.013128,0.024043,0.00387423,0.00664008,0.0067904,0.00299154,0.0103464,0.00328787,0.00240649,0.00586875,0.0149473,0.00713773,0.00729444,0.00201712,0.010419,0.0179924,0.0108506,0.0258352,0.0226917,0,0,0,0,0,0,0,0,0,0
6,0.0199877,0.0216348,0,0,0,0,0,0,0.0285607,0.0236456,0.00798941,0.00590078,0,0,0.0423492,0,0.0403262,0.0197547,0.0436181,0.0110111,0.00999312,0.0110023,0.00455631,0.0314523,0.00696342,0.0258392,0.0102105,0.0127914,0.00897338,0.00429779,0.0240021,0.0158961,0.0382895,0.0351237,0.01222,0.00255951,0.0260303,0.00742612,0.00474236,0.017091,0,0.0171649,0,0.0301558,0.0122003,0.033708,0.0132737,0.0241351,0.00380176,0.00684041,0.006527,0.00295084,0.0104438,0.00330157,0.00238376,0.0058512,0.0148484,0.00719289,0.00734872,0.00192988,0.0105752,0.0185533,0.0111253,0.0256712,0.0225342,0,0,0,0,0,0,0,0,0,0
7,0.0192966,0.0209069,0,0,0,0,0,0,0.0287902,0.0239806,0.0078258,0.0057867,0,0,0.0424491,0,0.0402234,0.0200268,0.0436944,0.0113762,0.0100356,0.0109247,0.00470648,0.0308928,0.00676207,0.0258416,0.0101909,0.0127824,0.00891023,0.00427498,0.0239641,0.016162,0.038459,0.0351138,0.0123017,0.00284556,0.0261166,0.00770866,0.00472521,0.0166528,0,0.0175455,0,0.0304889,0.0124122,0.0336876,0.0135889,0.0239389,0.00384713,0.00704395,0.0060385,0.00287653,0.0104398,0.00338096,0.00234674,0.00597968,0.0147061,0.00647588,0.0075109,0.00164385,0.0107147,0.0191139,0.0115282,0.0253221,0.0218801,0,0,0,0,0,0,0,0,0,0
8,0.0190191,0.0204016,0,0,0,0,0,0,0.0291124,0.0242008,0.00768381,0.00585102,0,0,0.0426071,0,0.0400893,0.0202407,0.0437458,0.0116373,0.00992672,0.0109335,0.0047618,0.0306574,0.00679821,0.025837,0.0102572,0.0127269,0.00859411,0.00420267,0.0239547,0.0162465,0.0386767,0.0350089,0.0124076,0.00288624,0.0259531,0.00773112,0.00473678,0.0166805,0,0.0177047,0,0.030538,0.0122912,0.0336906,0.0135751,0.0234399,0.00385745,0.00714809,0.00567179,0.00286407,0.0103341,0.00338154,0.00228647,0.00591555,0.0144254,0.00623271,0.00741012,0.00147878,0.0106563,0.0195456,0.0119421,0.0249507,0.0216655,0,0,0,0,0,0,0,0,0,0
9,0.0186503,0.0198856,0,0,0,0,0,0,0.0292641,0.0242622,0.00752234,0.00595424,0,0,0.0428448,0,0.0399191,0.020511,0.043774,0.0117255,0.0097968,0.0112846,0.00485866,0.0304794,0.00704487,0.0258745,0.010306,0.012688,0.00850179,0.004147,0.0239645,0.0163276,0.0389956,0.0347816,0.0126324,0.0026645,0.0258721,0.00751071,0.00477923,0.0165048,0,0.017952,0,0.0306254,0.0122042,0.0336381,0.0133526,0.0232483,0.00376582,0.00724855,0.00521565,0.00287015,0.010251,0.00333539,0.00227171,0.00579575,0.0142915,0.00622783,0.00715922,0.00167345,0.010654,0.0198464,0.0122075,0.024505,0.0213341,0,0,0,0,0,0,0,0,0,0
10,0.0181703,0.0194015,0,0,0,0,0,0,0.0292887,0.0241871,0.00741168,0.00600642,0,0,0.0431896,0,0.0397679,0.0208343,0.0438482,0.0117509,0.00972105,0.0114331,0.00496726,0.0303195,0.00711491,0.0259476,0.0102841,0.0126346,0.00861798,0.00409971,0.0239317,0.0164754,0.0394244,0.0345029,0.0128269,0.00247182,0.0258314,0.00726239,0.00486407,0.0162022,0,0.018471,0,0.0307873,0.0122088,0.0335009,0.0131379,0.0232679,0.00374272,0.00733018,0.0048077,0.0029313,0.0101399,0.00330289,0.00233616,0.00571949,0.0145486,0.00622198,0.00696503,0.00206478,0.0108657,0.0204442,0.012452,0.0240647,0.020838,0,0,0,0,0,0,0,0,0,0
