Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,,LTHIP,LTIBI
All Timesteps RMSE,0.0190917,0.0260085,0,0,0,0,0,0,0.0291846,0.0247961,0.0129631,0.0048913,0,0,0.0584258,0,0.0468653,0.0294026,0.0416952,0.0193516,0.00680096,0.0222448,0.0100901,0.0338382,0.0143806,0.104086,0.0811222,0.018795,0.0155005,0.026062,0.0193323,0.0462117,0.0405034,0.0149868,0.0167054,0.0276815,0.026973,0.00448562,0.0284878,0,0,0.0310848,0,0.0290216,0.0181976,0.0352476,0.0366837,0.0213088,0.0121792,0.0119187,0.0466994,0.0069068,0.0142584,0.0057799,0.00969599,0.0176494,0.0248855,0.0169442,0.0235237,0.0138216,0.0343635,0.0133218,0.0114679,0.0329463,0.0223759,0,0,0,0,0,0,0,0,0.0238795,0.0109339
0,0.00873295,0.0174268,0,0,0,0,0,0,0.0320251,0.0269205,0.0126529,0.00405791,0,0,0.012327,0,0.04614,0.0127243,0.0422739,0.0165583,0.00655481,0.00996778,0.0128656,0.0302295,0.00633315,0.025689,0.010737,0.0163143,0.0119488,0.0268505,0.0222459,0.0151971,0.0371856,0.0127814,0.0121262,0.0227645,0.0101349,0.00298622,0.0152501,0,0,0.0619103,0,0.0336875,0.0313699,0.0361314,0.0189668,0.0181476,0.00870933,0.0163504,0.0242789,0.0048303,0.0144536,0.00752542,0.00938499,0.0104395,0.0223355,0.00628028,0.0142245,0.0147437,0.0242963,0.0123594,0.00984834,0.0211095,0.00708577,0,0,0,0,0,0,0,0,0,0
1,0.00872682,0.017857,0,0,0,0,0,0,0.032074,0.0267725,0.0125769,0.00399802,0,0,0.0125123,0,0.0459648,0.0129748,0.0421363,0.0163355,0.00652109,0.009945,0.0127461,0.0306839,0.00620729,0.0257645,0.0106738,0.0163265,0.0119201,0.0269157,0.0222097,0.0155013,0.0373669,0.0126048,0.0121609,0.0226986,0.00995051,0.00297668,0.0152084,0,0,0.0598624,0,0.033685,0.0302992,0.0361623,0.0188104,0.0182644,0.00877292,0.0161244,0.0242008,0.00477887,0.0145323,0.00757521,0.00933805,0.0104151,0.0224493,0.00671611,0.0141738,0.0144573,0.0236548,0.0121992,0.00973628,0.0215498,0.00745636,0,0,0,0,0,0,0,0,0,0
2,0.00887836,0.018461,0,0,0,0,0,0,0.0320901,0.0267173,0.0121106,0.00413596,0,0,0.0128238,0,0.0459783,0.0129597,0.0421196,0.0162591,0.00646639,0.00985573,0.0126765,0.0311503,0.00596743,0.025964,0.0104436,0.0163167,0.0123865,0.0269474,0.0221075,0.01572,0.0375796,0.0123632,0.0121565,0.0226961,0.00989301,0.00286465,0.0153292,0,0,0.0575942,0,0.0337977,0.029208,0.0361528,0.0186651,0.0182607,0.00888734,0.0159808,0.0242927,0.00475895,0.0145961,0.00759861,0.00932419,0.0104221,0.0225446,0.00676427,0.0141444,0.0143809,0.0230994,0.0119147,0.00958047,0.0221447,0.00802948,0,0,0,0,0,0,0,0,0,0
3,0.00922867,0.0194152,0,0,0,0,0,0,0.0320272,0.0266103,0.0114615,0.00446786,0,0,0.0132586,0,0.0460568,0.0128632,0.0422643,0.0162177,0.00645148,0.00978364,0.0125905,0.0320376,0.00579862,0.0261548,0.0102334,0.016374,0.0124272,0.0269512,0.0219502,0.0160967,0.0377471,0.01215,0.0120184,0.0226407,0.00986948,0.00277291,0.0152966,0,0,0.0547458,0,0.0339147,0.0277694,0.0361486,0.0185019,0.0182027,0.0090103,0.0158677,0.0235162,0.00473943,0.014689,0.00759039,0.00934696,0.0104181,0.0226261,0.00672224,0.0140404,0.0144391,0.0222143,0.0120333,0.00969335,0.0230724,0.00857754,0,0,0,0,0,0,0,0,0,0
4,0.00953406,0.0201586,0,0,0,0,0,0,0.032124,0.0264866,0.011562,0.00424085,0,0,0.0135359,0,0.0460962,0.0128924,0.0424008,0.0161315,0.00634145,0.00972214,0.0126108,0.0325616,0.00557993,0.0263015,0.0100722,0.0163024,0.0128822,0.0269612,0.0221225,0.016487,0.0378585,0.0118822,0.0117751,0.0225492,0.00980318,0.00280372,0.015484,0,0,0.0523752,0,0.0340391,0.0265077,0.0361057,0.0182763,0.0180638,0.00909926,0.0158455,0.023684,0.00479416,0.0147511,0.00755043,0.00940902,0.0104157,0.0226782,0.00671317,0.0138814,0.0143994,0.0214828,0.0118124,0.00933528,0.0237533,0.00941561,0,0,0,0,0,0,0,0,0,0
5,0.0100056,0.0204267,0,0,0,0,0,0,0.0320244,0.0266751,0.0109783,0.00301311,0,0,0.0135038,0,0.0462755,0.012849,0.0424502,0.0157822,0.00677591,0.00925482,0.00997023,0.0326537,0.00571462,0.026135,0.00977096,0.0164972,0.0128279,0.0272397,0.0206891,0.0166372,0.0380855,0.0114259,0.0286238,0.022418,0.0349614,0.00305958,0.0153874,0,0,0.0491816,0,0.0342242,0.0248561,0.0335186,0.0390604,0.0190884,0.0134221,0.0135139,0.0224435,0.00858335,0.0134957,0.00523724,0.0108554,0.0192586,0.0321002,0.0220502,0.0246782,0.0240576,0.0205837,0.0118721,0.00924898,0.0241501,0.00994195,0,0,0,0,0,0,0,0,0,0
6,0.0113168,0.0250488,0,0,0,0,0,0,0.0327186,0.0269686,0.0108047,0.00389599,0,0,0.0149687,0,0.0462696,0.0137767,0.0430545,0.0162379,0.00560398,0.00917975,0.0134122,0.0372177,0.00532937,0.026476,0.00972127,0.0166163,0.0134645,0.0272924,0.0228705,0.0191582,0.0383643,0.0114535,0.0124258,0.0225721,0.0100548,0.00287233,0.01519,0,0,0.0443863,0,0.0341787,0.0223686,0.0362721,0.0182664,0.0178191,0.00945494,0.0165145,0.018517,0.00514911,0.0149371,0.00770515,0.00996582,0.0104737,0.0226712,0.0068868,0.0139695,0.0144695,0.0172127,0.0126395,0.0097771,0.028391,0.0111998,0,0,0,0,0,0,0,0,0,0
7,0.0119751,0.0258416,0,0,0,0,0,0,0.0323742,0.0269025,0.0108222,0.00390206,0,0,0.0155594,0,0.0462379,0.0137295,0.0425349,0.0163857,0.00558102,0.00892575,0.0135701,0.0379806,0.00508166,0.0266708,0.00979853,0.0165943,0.0129092,0.0269896,0.0223534,0.019771,0.0385646,0.0112016,0.0125164,0.0224647,0.0102645,0.00293397,0.0156031,0,0,0.0400234,0,0.0344297,0.0200584,0.0361864,0.0184473,0.0177291,0.00939182,0.0166419,0.018439,0.00525743,0.0150301,0.00774544,0.010242,0.0104305,0.0225322,0.00712478,0.0140036,0.0144387,0.0161151,0.0119541,0.00894258,0.0288767,0.0123423,0,0,0,0,0,0,0,0,0,0
8,0.012876,0.0264095,0,0,0,0,0,0,0.0323865,0.026815,0.0107274,0.00377819,0,0,0.0160779,0,0.0462219,0.0136875,0.0423264,0.0163006,0.00553158,0.00936414,0.0136964,0.0385931,0.00488783,0.0268059,0.00959972,0.0165757,0.0121361,0.0268528,0.0223508,0.0204002,0.0387462,0.0109987,0.0123225,0.0224529,0.0104446,0.002984,0.0164456,0,0,0.0388517,0,0.0342814,0.0193623,0.0360804,0.0185235,0.0176647,0.00927473,0.0166878,0.0197553,0.00530637,0.0151845,0.00761224,0.010453,0.0103001,0.0223464,0.00712881,0.0138786,0.0142051,0.0160108,0.0114625,0.00855113,0.0290946,0.0136939,0,0,0,0,0,0,0,0,0,0
