Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,
All Timesteps RMSE,0.0215349,0.0210896,0,0,0,0,0,0,0.0310937,0.0242679,0.0128442,0.0060045,0,0,0.0575467,0,0.0471159,0.0298046,0.0418181,0.0190715,0.00542665,0.023611,0.0137336,0.0409652,0.0143171,0.107156,0.020704,0.0235889,0.0260486,0.0394041,0.0222804,0.0255175,0.0227415,0.0476539,0.0409699,0.0153076,0.0131496,0.0276717,0.0227021,0.00537429,0.0289422,0,0,0.0310437,0,0.0288818,0.0194738,0.0348743,0.032529,0.0215507,0.013375,0.0153431,0.0376166,0.00708386,0.0148088,0.00708192,0.00953291,0.0164195,0.0228079,0.0142709,0.0216109,0.0116256,0.0311891,0.011549,0.0106851,0.0248042,0.0247636,0,0,0,0,0,0,0
0,0.032774,0.0279918,0,0,0,0,0,0,0.0288918,0.0229419,0.0138143,0.00663937,0,0,0.0857578,0,0.0451412,0.0468565,0.0400545,0.0211127,0.00522425,0.0207812,0.0171032,0.063462,0.0101449,0.104021,0.0166431,0.0231831,0.019632,0.0156661,0.0120446,0.0286181,0.0241929,0.0742805,0.0350176,0.0222536,0.0139067,0.0267409,0.0141864,0.00528597,0.0246096,0,0,0.0517764,0,0.0312014,0.0342703,0.0372756,0.0254431,0.0201006,0.00866268,0.0192726,0.019698,0.00585549,0.0158609,0.00892285,0.0073868,0.00936866,0.021279,0.00535197,0.0160263,0.016459,0.0302665,0.0123204,0.00860921,0.0274242,0.0309958,0,0,0,0,0,0,0
1,0.0276315,0.0297784,0,0,0,0,0,0,0.0283626,0.0221492,0.0137782,0.00603695,0,0,0.0437355,0,0.0419606,0.0214442,0.0400577,0.0208462,0.00556598,0.0206338,0.0136502,0.0483163,0.0103717,0.104127,0.0167114,0.0228454,0.0196202,0.0153092,0.0119583,0.0286667,0.0224781,0.043183,0.0363801,0.00954775,0.0285065,0.0273883,0.0286395,0.00554535,0.0146347,0,0,0.0496235,0,0.0309587,0.0336319,0.0351145,0.0293195,0.0220197,0.0122516,0.015873,0.0259019,0.00752425,0.0133975,0.00648315,0.0108646,0.0161533,0.0324137,0.0207024,0.0185481,0.0278625,0.0306318,0.0104603,0.00913842,0.0290786,0.0256761,0,0,0,0,0,0,0
2,0.0313157,0.0271404,0,0,0,0,0,0,0.0287312,0.0228465,0.0139718,0.00646114,0,0,0.083734,0,0.0450534,0.0459664,0.0400375,0.0211528,0.0052003,0.0210118,0.0164921,0.0620297,0.0100684,0.103945,0.0167472,0.0231656,0.0197244,0.0157142,0.0120227,0.028662,0.0239192,0.0725777,0.0355956,0.0222992,0.0141719,0.0268501,0.0144114,0.00504908,0.0240728,0,0,0.0503711,0,0.0311152,0.0335863,0.0373671,0.0254396,0.020126,0.00884454,0.018629,0.0207791,0.00573868,0.0159456,0.00904045,0.00746615,0.00941363,0.0213341,0.00546224,0.016103,0.0169312,0.0301922,0.0112029,0.00847372,0.0268427,0.0302851,0,0,0,0,0,0,0
3,0.0258221,0.0289671,0,0,0,0,0,0,0.0286024,0.022107,0.0139613,0.00618039,0,0,0.0441478,0,0.0419401,0.0220013,0.0402853,0.0211588,0.00513597,0.0211272,0.0148596,0.0467869,0.0100214,0.103944,0.0167773,0.0233324,0.0195624,0.0156575,0.0118342,0.0285086,0.0235611,0.0429922,0.0368957,0.0100076,0.00953572,0.0275747,0.0117792,0.00514866,0.0137948,0,0,0.04845,0,0.0309916,0.0331706,0.0370683,0.0223968,0.0210377,0.00635609,0.016654,0.026974,0.00602094,0.013957,0.00610337,0.00664427,0.00930245,0.0212767,0.00565262,0.0147812,0.013907,0.0312931,0.00951789,0.00911475,0.028727,0.0242456,0,0,0,0,0,0,0
4,0.0304224,0.0264797,0,0,0,0,0,0,0.0286504,0.0230109,0.0140978,0.00637977,0,0,0.0856591,0,0.0456125,0.0472388,0.0400597,0.0213499,0.00524542,0.0212215,0.0158899,0.0618075,0.0100507,0.103942,0.0167772,0.0232557,0.0197066,0.0157171,0.0119786,0.0286272,0.0236425,0.0739097,0.035783,0.0230861,0.0140151,0.027163,0.0146958,0.00479833,0.0238067,0,0,0.0493238,0,0.0312322,0.0332715,0.0374291,0.0256969,0.0199711,0.00903089,0.0180029,0.0218963,0.00560265,0.0160774,0.00922018,0.00767311,0.00967406,0.0213564,0.00565875,0.016291,0.017027,0.0310595,0.0104875,0.00868704,0.0266002,0.0296398,0,0,0,0,0,0,0
5,0.0299681,0.0261978,0,0,0,0,0,0,0.0287492,0.0230643,0.0140821,0.00620431,0,0,0.0850802,0,0.0455598,0.0470661,0.040016,0.0212893,0.00519105,0.0212114,0.0155392,0.0611357,0.0100613,0.103936,0.0167911,0.0232793,0.0197346,0.0157037,0.0119872,0.0285908,0.0239045,0.073326,0.0359093,0.0231118,0.0146594,0.0272859,0.0149308,0.00461645,0.0236492,0,0,0.049044,0,0.0312295,0.033307,0.0375242,0.0261837,0.0198605,0.00951593,0.0176576,0.0224881,0.00543825,0.01645,0.00972279,0.00783576,0.00985653,0.0215187,0.00556248,0.0164789,0.0176558,0.0306815,0.0104508,0.0087736,0.0265635,0.0293501,0,0,0,0,0,0,0
6,0.0275315,0.0262792,0,0,0,0,0,0,0.0284844,0.0225624,0.0138917,0.00566045,0,0,0.0710992,0,0.0434886,0.0390737,0.0400676,0.0208903,0.00556352,0.0208903,0.0122746,0.0566663,0.0103522,0.104067,0.0168008,0.0230126,0.0196516,0.01531,0.0118867,0.0285362,0.0227689,0.0631188,0.0364206,0.018893,0.0292682,0.0276507,0.0293405,0.00502362,0.0202487,0,0,0.047902,0,0.0313519,0.0329472,0.0351485,0.0301026,0.0217849,0.0124885,0.0145316,0.0245205,0.00771558,0.0137535,0.00698436,0.0110257,0.0164095,0.0328891,0.0212375,0.0192249,0.0284636,0.0305281,0.00979313,0.00905797,0.0265839,0.0273188,0,0,0,0,0,0,0
7,0.0290754,0.0257428,0,0,0,0,0,0,0.0288535,0.0231076,0.013984,0.00596312,0,0,0.0840545,0,0.0455392,0.0467173,0.0401052,0.0210399,0.00515855,0.0212029,0.0145934,0.0603861,0.0101036,0.10397,0.0169379,0.023346,0.0196641,0.0156595,0.0118963,0.0284089,0.0242438,0.0723493,0.0361379,0.0232513,0.0131856,0.0276202,0.0141853,0.00444068,0.023482,0,0,0.0477156,0,0.031473,0.0324713,0.0373852,0.0249737,0.0201407,0.00871044,0.0165317,0.0232035,0.00571408,0.0157677,0.00879303,0.0076483,0.00988721,0.0214804,0.00577228,0.0160209,0.0162555,0.0295877,0.0100776,0.00892579,0.0265168,0.0290224,0,0,0,0,0,0,0
8,0.0283978,0.0254612,0,0,0,0,0,0,0.0289855,0.0231423,0.013941,0.00579509,0,0,0.083252,0,0.0455649,0.0464115,0.0401455,0.0209617,0.00513718,0.0211505,0.0141873,0.0599274,0.0101548,0.104195,0.0169956,0.0233157,0.0196051,0.0156056,0.0118599,0.028367,0.0243353,0.0716602,0.0362634,0.0232813,0.0133661,0.0274639,0.0141029,0.00425382,0.0233704,0,0,0.0469276,0,0.0311212,0.0317237,0.0373694,0.0249147,0.0201167,0.00868431,0.016113,0.0235456,0.00587717,0.0158341,0.0088469,0.00764966,0.00978179,0.0215544,0.00571747,0.0159839,0.0163079,0.029136,0.0100682,0.00920245,0.0265354,0.0287627,0,0,0,0,0,0,0
