Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,
All Timesteps RMSE,0.0115418,0.00822727,0,0,0,0,0,0,0.0108024,0.0188133,0.0180818,0.00909723,0,0,0.00882102,0,0.0182512,0.00503002,0.0470029,0.0336501,0.0109753,0.0421101,0.0163398,0.0140734,0.0200203,0.0313317,0.021045,0.0142621,0.0218814,0.0218669,0.0101433,0.0195368,0.0151264,0.0108713,0.00801137,0.003666,0.0124345,0.0180975,0.0101753,0.00727914,0.0109848,0,0,0.0116278,0,0.0168329,0.00551466,0.0424431,0.0100749,0.0182991,0.0131784,0.017875,0.0204831,0.00711593,0.0251649,0.00912218,0.00631368,0.00997432,0.0280185,0.0100768,0.0100712,0.0123621,0.0128322,0.00763689,0.00671322,0.0111146,0.0102764,0,0,0,0,0,0,0,0,0
0,0.0178571,0.0134334,0,0,0,0,0,0,0.00668076,0.0169627,0.0267169,0.00880948,0,0,0.0155807,0,0.0164451,0.00534805,0.0385185,0.044431,0.0136661,0.0240368,0.028956,0.016211,0.0217073,0.0296444,0.023622,0.0199243,0.0173177,0.0164281,0.00770052,0.023508,0.0093363,0.0108767,0.00543463,0.00325202,0.0100664,0.0171513,0.00848296,0.00589277,0.0147775,0,0,0.00460214,0,0.016361,0.00870898,0.0408759,0.00705037,0.0154353,0.0100959,0.0309584,0.0289573,0.00572928,0.0289938,0.00735795,0.00610385,0.00999746,0.0346358,0.00964996,0.0108809,0.0114573,0.021891,0.0103387,0.00683524,0.0142198,0.0162581,0,0,0,0,0,0,0,0,0
1,0.0181424,0.0137281,0,0,0,0,0,0,0.00685445,0.0167758,0.027293,0.00905387,0,0,0.0159457,0,0.0165993,0.00537307,0.0387322,0.0452939,0.0137414,0.0242089,0.0291875,0.0158424,0.0216991,0.029942,0.0235918,0.0199988,0.0171714,0.0163169,0.0077329,0.023432,0.00931851,0.0116393,0.00550028,0.00318801,0.0113039,0.0171479,0.00897464,0.00627209,0.0152908,0,0,0.00472172,0,0.0163563,0.00885049,0.0409399,0.00738177,0.0157802,0.0103391,0.0310422,0.0300597,0.00579956,0.0288975,0.00708353,0.00609406,0.0105475,0.0345098,0.0101665,0.0115683,0.0129783,0.0225352,0.0105466,0.00693213,0.0144438,0.0165038,0,0,0,0,0,0,0,0,0
2,0.018557,0.0142023,0,0,0,0,0,0,0.0068899,0.0165801,0.0274491,0.00939377,0,0,0.0161574,0,0.0167479,0.0054709,0.0389958,0.0456359,0.013904,0.0242339,0.0296105,0.0161866,0.0218637,0.0300865,0.0235695,0.0201837,0.0171571,0.0163053,0.00775025,0.0234044,0.00926639,0.0119419,0.00563218,0.0032191,0.0118084,0.0171136,0.00938012,0.00683222,0.0158295,0,0,0.00464482,0,0.0163716,0.00880031,0.0410525,0.007842,0.0161052,0.0107376,0.0312076,0.0312579,0.00577748,0.0287424,0.00726076,0.00597876,0.0114033,0.0347347,0.0106796,0.0125048,0.0138155,0.0229695,0.0106476,0.0069717,0.0147394,0.0167628,0,0,0,0,0,0,0,0,0
3,0.01886,0.0146011,0,0,0,0,0,0,0.00702142,0.0163784,0.0274371,0.0097376,0,0,0.0163017,0,0.0169681,0.00556598,0.0392877,0.0457941,0.0140613,0.0242433,0.0300591,0.0167222,0.02206,0.0301541,0.0235145,0.0203653,0.017193,0.0163376,0.00776209,0.0233962,0.00934048,0.0119698,0.00581028,0.00318777,0.012211,0.0170877,0.0095094,0.00740486,0.0162546,0,0,0.00459342,0,0.0163876,0.00874462,0.0411109,0.00792376,0.0163686,0.0110792,0.0314095,0.0325213,0.00564763,0.0284815,0.0075317,0.00576862,0.0120532,0.0347731,0.010991,0.0132751,0.0144236,0.0236979,0.0107014,0.00697083,0.0149817,0.0169041,0,0,0,0,0,0,0,0,0
4,0.0190542,0.0148785,0,0,0,0,0,0,0.00708916,0.0163178,0.0273486,0.00996149,0,0,0.0163795,0,0.0170222,0.00570111,0.0395741,0.0457949,0.0142639,0.0241219,0.0304299,0.017307,0.0221078,0.0300396,0.0233768,0.0205739,0.0171725,0.0163293,0.00778369,0.0233734,0.00943326,0.0120937,0.00592878,0.00324978,0.0127358,0.0170931,0.00937556,0.00776195,0.0165926,0,0,0.00457878,0,0.0164588,0.00860393,0.0411461,0.00774993,0.0165945,0.011174,0.0316327,0.0336574,0.00545726,0.0282093,0.00756903,0.0055195,0.0123316,0.0347823,0.011052,0.0136338,0.0150537,0.0246355,0.0106564,0.00699693,0.0151708,0.0169971,0,0,0,0,0,0,0,0,0
5,0.0190695,0.0149445,0,0,0,0,0,0,0.00705146,0.01629,0.0272357,0.0101402,0,0,0.0162851,0,0.0170767,0.0057255,0.039762,0.0457052,0.0144579,0.0242617,0.0308438,0.0176728,0.0220945,0.0299216,0.0231884,0.0207258,0.017169,0.0162943,0.00780511,0.0233499,0.00944316,0.0123155,0.00604761,0.00327583,0.0133076,0.0171336,0.00912518,0.00797553,0.0167725,0,0,0.00454272,0,0.0165209,0.00834325,0.0412047,0.00740446,0.0167668,0.011269,0.0319667,0.0346208,0.00522793,0.0280034,0.00728413,0.00525363,0.0123418,0.0348238,0.0109757,0.0136617,0.0155959,0.0253299,0.010581,0.00696688,0.0151671,0.0169945,0,0,0,0,0,0,0,0,0
6,0.0189339,0.0148271,0,0,0,0,0,0,0.0070377,0.0162003,0.0270621,0.0102603,0,0,0.0160325,0,0.017206,0.00567434,0.0397567,0.0455438,0.0146116,0.0243257,0.0312473,0.0178264,0.0221423,0.0298283,0.0230082,0.0208436,0.0171969,0.0163236,0.00785336,0.0233761,0.00955114,0.0126122,0.00616276,0.0032951,0.0138557,0.0171225,0.00894291,0.00806472,0.0167986,0,0,0.0044381,0,0.0164928,0.00811115,0.0413033,0.00710366,0.0168209,0.0111753,0.0323712,0.035315,0.0049805,0.0279447,0.00681636,0.00500574,0.0121499,0.0348649,0.0108691,0.0133875,0.0160152,0.0257055,0.0104905,0.00699186,0.0149981,0.0168425,0,0,0,0,0,0,0,0,0
7,0.0185895,0.01448,0,0,0,0,0,0,0.00694735,0.0161053,0.0268571,0.0102813,0,0,0.0157454,0,0.0173912,0.00572573,0.0395982,0.0453215,0.0146703,0.0242832,0.0315397,0.0177569,0.0221549,0.0296684,0.0229471,0.0209104,0.0172001,0.0164984,0.00792985,0.0234417,0.00968221,0.012597,0.00629547,0.00329657,0.014184,0.0171518,0.00883464,0.00805506,0.0165985,0,0,0.00432385,0,0.016451,0.00781434,0.0413797,0.00693708,0.0168324,0.0111298,0.0327444,0.0357388,0.00480641,0.0279973,0.00647328,0.0048887,0.0120039,0.0348502,0.0108524,0.0131041,0.0162209,0.0256857,0.0103688,0.00699381,0.0146236,0.0164765,0,0,0,0,0,0,0,0,0
8,0.0183103,0.0143252,0,0,0,0,0,0,0.00685528,0.0162455,0.0266151,0.010004,0,0,0.0151719,0,0.017392,0.00569692,0.0394825,0.044992,0.0145512,0.024201,0.0313363,0.0170649,0.022056,0.0294737,0.0230783,0.0208722,0.0172225,0.016672,0.00799078,0.0235515,0.00973219,0.0120239,0.00637432,0.00329298,0.014367,0.0171166,0.00882989,0.00773397,0.0167588,0,0,0.00466408,0,0.016537,0.00760152,0.0413835,0.00693766,0.0166227,0.0111059,0.0326643,0.0365133,0.00472651,0.0280664,0.00642306,0.00492412,0.0119912,0.035108,0.0109369,0.0129918,0.0163118,0.0258475,0.0102235,0.0069145,0.0146217,0.0161743,0,0,0,0,0,0,0,0,0
