Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74
All Timesteps RMSE,0.0107666,0.0080412,0,0,0,0,0,0,0.01093,0.019025,0.0181544,0.00967603,0,0,0.0122654,0,0.017527,0.00595718,0.0455075,0.0339375,0.0106709,0.0335036,0.0134992,0.016395,0.0207469,0.0330985,0.0219734,0.0158083,0.0226656,0.0223576,0.0106494,0.021691,0.014541,0.0138893,0.00723863,0.00369986,0.0115081,0.0192061,0.0095528,0.00752662,0.0103968,0,0,0.0236134,0,0.0168921,0.00713099,0.0425479,0.00921168,0.0177743,0.0131598,0.0146229,0.0205997,0.00655504,0.0259971,0.00828517,0.00613024,0.00994606,0.0293811,0.00998228,0.010212,0.0116577,0.00899398,0.00718243,0.00673614,0.0113313,0.01,0,0,0,0,0,0,0,0
0,0.00600126,0.00539136,0,0,0,0,0,0,0.00777784,0.0189412,0.0188125,0.00704788,0,0,0.00417739,0,0.0151938,0.00257517,0.0395347,0.0361928,0.0125322,0.029525,0.0107561,0.00627458,0.0228426,0.0376253,0.0236474,0.0190319,0.0236659,0.0235917,0.0113206,0.0292485,0.012126,0.00773854,0.00536211,0.0025525,0.0108011,0.0174156,0.00983041,0.00377882,0.00340951,0,0,0.0224182,0,0.0156454,0.00670783,0.0422086,0.00899344,0.0164932,0.0133631,0.0112658,0.0233553,0.00611661,0.0295997,0.00843365,0.00635517,0.0125559,0.0369996,0.0120664,0.0129451,0.012043,0.0105838,0.00382988,0.00322718,0.00792777,0.00532062,0,0,0,0,0,0,0,0
1,0.00598991,0.00542721,0,0,0,0,0,0,0.00795878,0.0189107,0.0188703,0.00711417,0,0,0.00415433,0,0.0152477,0.00255314,0.0395768,0.0362308,0.0125785,0.0294553,0.0107689,0.00606705,0.0228603,0.0376033,0.0235788,0.0190397,0.0235832,0.0235282,0.0113112,0.0292974,0.0120918,0.00766228,0.00542777,0.00246777,0.0103518,0.0174369,0.00985305,0.00376996,0.00340396,0,0,0.0222819,0,0.015662,0.00669375,0.0422655,0.00893736,0.0164889,0.013343,0.0113567,0.0232357,0.00606695,0.0294724,0.00806366,0.00630786,0.0126638,0.0365264,0.0120904,0.0130329,0.0114358,0.0104834,0.00387244,0.00319863,0.00791174,0.00524252,0,0,0,0,0,0,0,0
2,0.00594579,0.00543933,0,0,0,0,0,0,0.00783998,0.0188866,0.0188745,0.00717751,0,0,0.00414997,0,0.0153526,0.00254982,0.039568,0.0362326,0.0126024,0.029407,0.0108195,0.00582616,0.0227717,0.0377429,0.0235386,0.0190398,0.0235473,0.02349,0.0112911,0.0292779,0.0121789,0.00751027,0.00548557,0.00242016,0.0103233,0.017445,0.00981013,0.0038116,0.00340031,0,0,0.0221381,0,0.0156452,0.00664177,0.0423072,0.00889942,0.0164639,0.0133393,0.0114251,0.0230829,0.00605667,0.0294866,0.00777898,0.00629355,0.0125986,0.0364661,0.0120652,0.0129518,0.0114326,0.010385,0.00394252,0.00316819,0.0079522,0.00517738,0,0,0,0,0,0,0,0
3,0.00587144,0.00547742,0,0,0,0,0,0,0.00778165,0.0189317,0.0188237,0.00720951,0,0,0.00422528,0,0.015356,0.00251702,0.0395185,0.0361696,0.0126179,0.0293947,0.0108533,0.00560456,0.0227169,0.0377898,0.0235011,0.019012,0.0235502,0.0234798,0.0113037,0.0292723,0.0122925,0.00744739,0.00552538,0.00247231,0.0103621,0.0174195,0.00976937,0.00388782,0.00340183,0,0,0.0219815,0,0.0155902,0.00655782,0.0423121,0.00888143,0.0164512,0.0133552,0.0114624,0.0229181,0.00604443,0.0295245,0.0076805,0.00630522,0.0125252,0.0364989,0.0120357,0.0128809,0.0115138,0.0103194,0.00398849,0.003123,0.00803397,0.00512519,0,0,0,0,0,0,0,0
4,0.00581799,0.0055314,0,0,0,0,0,0,0.00777223,0.0189202,0.0187651,0.00725912,0,0,0.00426631,0,0.0153744,0.00249016,0.0394622,0.0360712,0.0126281,0.0293952,0.0108826,0.00542941,0.0227048,0.0377168,0.0234735,0.0189646,0.0235404,0.0234366,0.011328,0.0292976,0.0123389,0.0074478,0.00554489,0.00249287,0.0103851,0.0174395,0.00976052,0.0039523,0.00338901,0,0,0.0217718,0,0.0155717,0.00648896,0.0423281,0.00886957,0.0164398,0.0133549,0.0115112,0.0227135,0.00608668,0.0295357,0.00772202,0.0063192,0.0125007,0.0364806,0.0120316,0.0128635,0.011538,0.0102633,0.00398534,0.00311348,0.0081098,0.00510289,0,0,0,0,0,0,0,0
5,0.00580098,0.00556048,0,0,0,0,0,0,0.00779151,0.0188744,0.0187251,0.00731514,0,0,0.00424428,0,0.0154916,0.0024904,0.0394128,0.0359689,0.0126128,0.0293885,0.0108946,0.00527091,0.0225963,0.0376751,0.0234773,0.018928,0.023533,0.0234214,0.0113813,0.0293453,0.0123407,0.00738162,0.00556157,0.00244716,0.0103236,0.0174972,0.00977676,0.00403667,0.00339132,0,0,0.0215015,0,0.0155709,0.00640317,0.0423543,0.0088428,0.016437,0.0133548,0.0115456,0.0224901,0.00611093,0.0295171,0.00776856,0.00633,0.0125272,0.0364117,0.0120627,0.0128887,0.0114546,0.0101679,0.00397962,0.00314798,0.00814739,0.00510795,0,0,0,0,0,0,0,0
6,0.00580631,0.00560008,0,0,0,0,0,0,0.00785447,0.0188544,0.0187051,0.0073344,0,0,0.00424523,0,0.015559,0.00247227,0.0393894,0.0358976,0.0125814,0.0294081,0.0108789,0.0051656,0.0225198,0.0377015,0.0234897,0.0189035,0.0235662,0.023447,0.011434,0.0293626,0.0123423,0.00731919,0.00558051,0.00241791,0.010173,0.0175245,0.00979422,0.00414548,0.00339325,0,0,0.021212,0,0.015496,0.00625762,0.0423606,0.00880798,0.0164683,0.0133743,0.0115422,0.0222583,0.00610975,0.0295188,0.00783423,0.00635546,0.0125834,0.0363782,0.0120909,0.0129437,0.0112532,0.0100402,0.00392919,0.00313666,0.00818053,0.00510409,0,0,0,0,0,0,0,0
7,0.00576886,0.00565948,0,0,0,0,0,0,0.0079365,0.0188574,0.0186893,0.00733099,0,0,0.00426256,0,0.0155926,0.00241439,0.0393655,0.0358598,0.0125933,0.029475,0.0108292,0.00510759,0.0225193,0.0377557,0.023483,0.0189062,0.0235948,0.0234715,0.0114395,0.0293707,0.0124077,0.00734763,0.0056003,0.00238842,0.0101673,0.017565,0.00979314,0.00421255,0.00338751,0,0,0.0209021,0,0.0154383,0.00612175,0.042346,0.00880071,0.0165059,0.0134078,0.01151,0.0220274,0.00615313,0.0295672,0.00813851,0.00639044,0.0126029,0.0365048,0.0120801,0.0130055,0.0112563,0.00990714,0.00388419,0.00310841,0.00824063,0.00507828,0,0,0,0,0,0,0,0
8,0.00572207,0.00570596,0,0,0,0,0,0,0.00801064,0.0188409,0.018723,0.00737535,0,0,0.00430234,0,0.0156224,0.00236201,0.0393534,0.0358957,0.0126166,0.0295536,0.0108011,0.00509067,0.0225165,0.0377706,0.0234565,0.0189162,0.0235937,0.0234472,0.011414,0.0293747,0.0124227,0.00738855,0.00561084,0.00238252,0.0102921,0.0176402,0.00974202,0.00427132,0.00340931,0,0,0.0205703,0,0.0154554,0.00603692,0.0423433,0.00877759,0.016531,0.0134199,0.0114728,0.0217908,0.00623855,0.0296441,0.0083871,0.00646312,0.0125113,0.036785,0.0120312,0.0129547,0.0114558,0.00984863,0.00393216,0.00312238,0.00831223,0.00505314,0,0,0,0,0,0,0,0
