Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII,x75,x76
All Timesteps RMSE,0.00748645,0.00522971,0,0,0,0,0,0,0.0188343,0.0321607,0.0122344,0.00839262,0,0,0.00953125,0,0.0140489,0.00488749,0.0400403,0.015827,0.0138723,0.00803401,0.00579347,0.0110386,0.00783843,0.0144476,0.0101173,0.043576,0.0120392,0.0118852,0.01148,0.0321749,0.0253986,0.00828537,0.0132133,0.00376265,0.0173596,0.0209318,0.0204416,0.00508725,0.00719077,0,0,0.00779133,0,0.0154762,0.00449062,0.0393413,0.0288108,0.0244071,0.0186271,0.00780711,0.00773737,0.0116291,0.0264763,0.0156533,0.0152432,0.0311785,0.0128304,0.0160308,0.0247535,0.00583441,0.00308327,0.00228132,0.00556241,0.00834085,0,0,0,0,0,0,0,0,0.0168723,0,0
0,0.0100881,0.0097516,0,0,0,0,0,0,0.0106287,0.0337693,0.00408991,0.00522738,0,0,0.0118271,0,0.0131056,0.00921299,0.0386642,0.00578708,0.0145227,0.0078505,0.00418476,0.00560988,0.00587075,0.00827354,0.00783665,0.0445089,0.00876806,0.00558373,0.00986589,0.0355084,0.0125425,0.00749887,0.0139666,0.00571372,0.0110457,0.0209263,0.00829628,0.00322409,0.00704284,0,0,0.00392091,0,0.0149577,0.00345544,0.0410453,0.0179732,0.0281475,0.00903686,0.0128408,0.00715988,0.00587462,0.0236694,0.00411759,0.00678214,0.0262377,0.0027411,0.00750788,0.0195506,0.0016566,0.00304459,0.00289302,0.00932585,0.00968613,0,0,0,0,0,0,0,0,0,0,0
1,0.0101365,0.00993168,0,0,0,0,0,0,0.0108517,0.0339838,0.00395331,0.00618788,0,0,0.0113323,0,0.01336,0.00872261,0.0383002,0.00611129,0.0153838,0.00753117,0.004849,0.00567213,0.00574524,0.00827977,0.00814027,0.0443313,0.00864764,0.00553962,0.00942672,0.0354572,0.0128638,0.00694135,0.0140106,0.00557285,0.0103795,0.0209714,0.00799076,0.00312643,0.00709944,0,0,0.00384607,0,0.0150229,0.00315189,0.041679,0.0187487,0.0283628,0.00603254,0.0129373,0.00770731,0.00551695,0.0245938,0.00405491,0.00649666,0.0280788,0.00345673,0.00830462,0.0193241,0.00255335,0.00293591,0.00291551,0.00955679,0.009914,0,0,0,0,0,0,0,0,0,0,0
2,0.0101655,0.00987542,0,0,0,0,0,0,0.011432,0.0339152,0.00373327,0.00650035,0,0,0.0109141,0,0.0134693,0.00881391,0.0381142,0.00611678,0.0155067,0.00726698,0.00510466,0.0055835,0.00567465,0.00823937,0.00814038,0.0442057,0.00857134,0.00548185,0.00946425,0.0353973,0.0134595,0.00718229,0.0139425,0.0055008,0.0100362,0.0209104,0.00827106,0.00265924,0.00719822,0,0,0.00465413,0,0.0150837,0.00339606,0.0417844,0.0181461,0.0280699,0.00376594,0.013147,0.00769552,0.00590674,0.0247426,0.00446449,0.00735865,0.0301008,0.0051345,0.00931374,0.0183973,0.00256491,0.00326683,0.00305021,0.00941243,0.00990011,0,0,0,0,0,0,0,0,0,0,0
3,0.0100191,0.009686,0,0,0,0,0,0,0.0118657,0.0337378,0.00354638,0.00667571,0,0,0.0107183,0,0.0135581,0.00923309,0.0380784,0.00572267,0.0156348,0.00719571,0.00549882,0.00535102,0.00560101,0.00826982,0.00789623,0.0440088,0.00861208,0.00547137,0.00950325,0.0353399,0.013878,0.00753638,0.0138321,0.00538467,0.00857188,0.0207742,0.0085006,0.00246859,0.00723269,0,0,0.00617225,0,0.0151865,0.00408943,0.0417076,0.0169524,0.0276262,0.00128604,0.013716,0.00713684,0.00610087,0.0240928,0.00462766,0.00922013,0.0328556,0.00793762,0.0113716,0.0162762,0.00203547,0.00357157,0.00313977,0.0091539,0.00999267,0,0,0,0,0,0,0,0,0,0,0
4,0.00998029,0.009605,0,0,0,0,0,0,0.0122884,0.0336195,0.00342558,0.00699532,0,0,0.0104441,0,0.0136302,0.00944651,0.0378752,0.0057971,0.0157541,0.00716837,0.00573982,0.00531962,0.00542968,0.00819175,0.0076355,0.0438629,0.00861211,0.00544522,0.00947198,0.0353116,0.0144634,0.00722987,0.0137688,0.00516771,0.00676305,0.0207509,0.00950925,0.00180996,0.00728416,0,0,0.00718962,0,0.0152758,0.00447004,0.041732,0.0169315,0.0276288,0.00490968,0.0139408,0.00682402,0.00631266,0.0239725,0.00439851,0.0122438,0.0354161,0.0109007,0.01475,0.0138434,0.00207596,0.00365157,0.00318003,0.00905133,0.00998563,0,0,0,0,0,0,0,0,0,0,0
5,0.0100252,0.00947109,0,0,0,0,0,0,0.0129528,0.0334942,0.00330481,0.00737129,0,0,0.0100783,0,0.0136812,0.00943168,0.0375366,0.00633325,0.0158282,0.00713758,0.00576218,0.00544964,0.00522374,0.00801952,0.00764711,0.0437593,0.00844977,0.00538017,0.00947756,0.0352989,0.015246,0.00648666,0.0137252,0.00491188,0.00573113,0.0206707,0.0112183,0.00165113,0.00740154,0,0,0.00805425,0,0.0152933,0.00472291,0.0418109,0.0179935,0.0277275,0.00930929,0.0137385,0.00669868,0.00677382,0.0243636,0.0044264,0.0156207,0.0376225,0.0135639,0.0183707,0.0114877,0.00230914,0.00366988,0.00327681,0.0089492,0.009882,0,0,0,0,0,0,0,0,0,0,0
6,0.0100672,0.00925225,0,0,0,0,0,0,0.0138219,0.0334441,0.00317548,0.00775831,0,0,0.00969516,0,0.0136989,0.00905682,0.0370474,0.00698076,0.0159132,0.00713141,0.00583852,0.00560084,0.00500242,0.00769638,0.00733305,0.0436474,0.00819232,0.00529981,0.0095779,0.0352731,0.0161789,0.00580261,0.0137158,0.00475299,0.00685704,0.0206409,0.013416,0.00194912,0.00750244,0,0,0.00865321,0,0.0153056,0.00480533,0.0421302,0.0198753,0.0278876,0.0134148,0.0133454,0.00671711,0.00715782,0.0248056,0.00502029,0.0187115,0.0392384,0.0156529,0.0216702,0.0102713,0.00264098,0.00378279,0.00334224,0.00876935,0.00996112,0,0,0,0,0,0,0,0,0,0,0
7,0.0101064,0.00892181,0,0,0,0,0,0,0.0146572,0.0335603,0.00309855,0.00813046,0,0,0.00922283,0,0.0137489,0.00839261,0.0364354,0.00766872,0.0159507,0.00706946,0.00590538,0.00571195,0.00479269,0.00726226,0.0070277,0.043595,0.0082401,0.00522015,0.00960232,0.0352153,0.0173138,0.00498924,0.0137736,0.00474592,0.00966548,0.0206998,0.0157866,0.00263493,0.00765364,0,0,0.00904989,0,0.0153259,0.00469514,0.042688,0.0222291,0.0281211,0.0175794,0.0128508,0.00696977,0.00738861,0.0256608,0.00615285,0.021436,0.0403118,0.0172411,0.0246969,0.010597,0.00312272,0.00409476,0.00340387,0.00840746,0.010196,0,0,0,0,0,0,0,0,0,0,0
8,0.00954133,0.0097717,0,0,0,0,0,0,0.0135506,0.0329309,0.00280781,0.00977217,0,0,0.0108313,0,0.0136706,0.010186,0.0368678,0.00826712,0.0167384,0.00726034,0.00916503,0.00524923,0.0048113,0.00790632,0.00716417,0.0436737,0.00819295,0.00512212,0.00941925,0.034864,0.0163235,0.00704977,0.0134475,0.00492257,0.0124487,0.0203753,0.0120897,0.00549762,0.00674452,0,0,0.0093482,0,0.0152632,0.00552026,0.0427419,0.0196628,0.0308837,0.00667183,0.016674,0.0061903,0.0138338,0,0.013995,0.0133213,0.0368364,0.0111445,0.0142558,0.0181708,0.00289161,0.00407772,0.00344414,0.0096921,0.00932687,0,0,0,0,0,0,0,0,0,0,0
