Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,LTHIA,RTHI,IMUR_M,RTHIA,RTHII
All Timesteps RMSE,0.0100392,0.0140818,0,0,0,0,0,0.040282,0.0375646,0.0320886,0.014645,0,0,0.0162506,0,0.01323,0.00551376,0.0374576,0.0340282,0.0109007,0.0143533,0.0180039,0.0196254,0.0270863,0.0123677,0.0428452,0.0175388,0.02216,0.0188879,0.0255617,0.0420108,0.0136604,0.0127086,0.00614087,0.0255092,0.0209813,0.0234627,0.0129534,0.00951099,0,0,0.0307479,0,0.0141563,0.0128415,0.0342914,0.0297682,0.0227772,0.0242921,0.0174342,0.0135139,0.0149143,0.0190845,0.0322826,0.0146353,0.0208411,0.0279087,0.0144014,0.0088726,0.00738098,0.0138275,0.00851631,0,0,0,0,0,0,0,0,0,0.0171444,0.022185,0,0.0441017,0.0194909
0,0.00961985,0.0162747,0,0,0,0,0,0.0300133,0.0380201,0.0243336,0.0176004,0,0,0.0232018,0,0.0124557,0.00785993,0.0388327,0.0363688,0.0141434,0.0134716,0.0233603,0.0185307,0.0119267,0.0164537,0.0381826,0.0103369,0.00922374,0.0147613,0.0139564,0.0413397,0.0189537,0.0129906,0.00810065,0.0193623,0.0220593,0.0179086,0.0118344,0.012546,0,0,0.0283387,0,0.0142266,0.0141288,0.0315287,0.0255564,0.0225617,0.0202509,0.0248954,0.0179261,0.0107285,0.0117104,0.0305915,0.00685924,0.0136689,0.0221269,0.0134011,0.0100065,0.00769417,0.0168088,0.00874252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00962679,0.0165227,0,0,0,0,0,0.0290075,0.0381134,0.0236106,0.0169548,0,0,0.0240432,0,0.0125493,0.00770491,0.0383226,0.0340783,0.014257,0.0177943,0.0229585,0.0189334,0.0154949,0.0197011,0.0379,0.0139979,0.0130918,0.0162636,0.0126457,0.037255,0.0193074,0.0132585,0.00829932,0.0205847,0.0219386,0.0192091,0.011886,0.0126657,0,0,0.0300893,0,0.014157,0.0148748,0.0314233,0.0270173,0.022688,0.0220269,0.0246595,0.0176884,0.0118693,0.0124205,0.0303042,0.00693241,0.0141256,0.0221064,0.0134942,0.0110243,0.00809944,0.0169088,0.00881635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00957744,0.016437,0,0,0,0,0,0.0282742,0.0381685,0.0239815,0.0170836,0,0,0.0243783,0,0.0124854,0.0076982,0.0375591,0.0329,0.0144301,0.0214003,0.0229011,0.0189628,0.0184299,0.0229814,0.0379983,0.0169664,0.0159962,0.0169505,0.0120459,0.0339137,0.0193353,0.0134471,0.00839189,0.02123,0.0219305,0.0199546,0.0120204,0.0125399,0,0,0.0312659,0,0.0141299,0.0152644,0.0313007,0.0274853,0.0225315,0.0231768,0.0247258,0.0173767,0.0127233,0.0127954,0.0300716,0.00688864,0.0144242,0.0224247,0.013754,0.0115271,0.008305,0.0166937,0.00891244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0093618,0.016175,0,0,0,0,0,0.02831,0.0382756,0.0250695,0.01743,0,0,0.0244687,0,0.0124752,0.00781224,0.0370447,0.0322293,0.014438,0.0244339,0.0230754,0.0189763,0.0210354,0,0.0379909,0.0195114,0.0182091,0.0171345,0.0119011,0.0312949,0.0193675,0.0135648,0.00820236,0.0214326,0.0218525,0.0202651,0.0123733,0.0121317,0,0,0.0320152,0,0.0140653,0.0154396,0.0312471,0.0275147,0.0222345,0.023969,0.0248043,0.016987,0.0132388,0.0128214,0.029745,0.00667477,0.0143907,0.0232673,0.0138856,0.0117995,0.0084239,0.0163563,0.00881879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00915188,0.0159158,0,0,0,0,0,0.0296707,0.0384018,0.0267142,0.0177342,0,0,0.0245599,0,0.0124978,0.00775803,0.0368927,0.0326396,0.0144099,0.0258879,0.0229298,0.0189835,0.0223421,0,0.0373542,0.0207599,0.0191896,0.0169212,0.0121469,0.030245,0.0194622,0.0136414,0.00819511,0.0213902,0.0218025,0.0202559,0.0126924,0.0117069,0,0,0.0325095,0,0.0140322,0.0154907,0.0311974,0.0275138,0.0219185,0.0245397,0.0248414,0.0166655,0.0132878,0.0126493,0.0294376,0.00647159,0.0141843,0.0237164,0.0140054,0.0119145,0.00852969,0.016063,0.00871875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00909117,0.0158114,0,0,0,0,0,0.0320797,0.0382209,0.0284001,0.017459,0,0,0.0246633,0,0.0124548,0.00756505,0.0370735,0.0340645,0.0144237,0.0262175,0.0228402,0.0188165,0.0223985,0,0.0374199,0.0210858,0.0197592,0.0168258,0.0126337,0.0308314,0.019493,0.01356,0.00814046,0.0212741,0.0217807,0.0199373,0.0127613,0.011462,0,0,0.0327884,0,0.0140369,0.0154562,0.0312091,0.0274025,0.0215685,0.0248369,0.0249132,0.0164883,0.013472,0.012357,0.0292102,0.0061643,0.0138087,0.0238314,0.0140943,0.0118888,0.0085738,0.0159378,0.00870281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00914533,0.0157608,0,0,0,0,0,0.0350059,0.0380093,0.0301025,0.0168117,0,0,0.0249081,0,0.0124844,0.00731855,0.0375839,0.0350959,0.0142918,0.0256885,0.0229179,0.0187951,0.0213931,0,0.0381368,0.0208981,0.0201817,0.0164936,0.0132805,0.0327003,0.0195711,0.0133805,0.00814713,0.0214684,0.021665,0.0196252,0.0126585,0.0113828,0,0,0.0329427,0,0.0139829,0.0154277,0.0312613,0.0268247,0.0212025,0.0249086,0.0249408,0.01639,0.0138514,0.0119036,0.0290663,0.00592969,0.0133141,0.0241628,0.0140887,0.0119304,0.00862424,0.015857,0.00879089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00917955,0.0156183,0,0,0,0,0,0.038412,0.0379558,0.0318909,0.0162016,0,0,0.0251228,0,0.0125367,0.00739182,0.0383622,0.035257,0.0138383,0.0245163,0.0228482,0.018959,0.019861,0,0.0386309,0.0204345,0.0208345,0.0163606,0.014191,0.0359137,0.0196886,0.0134043,0.00816173,0.0216044,0.0215636,0.019332,0.0125049,0.0112697,0,0,0.0330801,0,0.013926,0.0154031,0.0313476,0.0258593,0.0208944,0.0249209,0.0247958,0.0161712,0.0142041,0.0113316,0.0290626,0.00584185,0.0127727,0.0247611,0.0140924,0.0121416,0.00873087,0.0156297,0.00887079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0102114,0.014897,0,0,0,0,0,0.0429262,0.0381271,0.034368,0.0165701,0,0,0.0260263,0,0.0126433,0.00719411,0.0384601,0.0369961,0.0144047,0.0231373,0.0207012,0.0199705,0.0179469,0,0.0376228,0.0195024,0.0208348,0.0161125,0.0160156,0.0402128,0.0199238,0.0137269,0.00834556,0.0329094,0.0215403,0.0193668,0.00875813,0.011909,0,0,0.0329613,0,0.0139393,0.0153389,0.0314705,0.0137046,0.0156232,0.0255156,0.0239131,0.0157909,0.0148765,0.0178673,0,0.0154841,0.0159603,0.0401778,0.0142529,0.012338,0.00883545,0.0143309,0.0102258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
