Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHII,IMUR_M,RTHII,LTHIA,RTHIA
All Timesteps RMSE,0.0129672,0.00985747,0,0,0,0,0,0.0337544,0.0344945,0.0282935,0.00945249,0,0,0.0228989,0,0.0128977,0.0151894,0.0386812,0.0309764,0.00988112,0.0116208,0.0118157,0.0233644,0.0130416,0.0342914,0.0151534,0.0188037,0.0172133,0.0226579,0.0371384,0.0239715,0.0106887,0.00786853,0.0149287,0.0213213,0.0151168,0.00832649,0.0123032,0,0,0.0368728,0,0.0141033,0.0132668,0.0338412,0.0211942,0.023736,0.0145378,0.0121262,0.0161029,0.00934604,0.0125305,0.0112733,0.0279048,0.00975002,0.0126991,0.0189352,0.0204716,0.00550796,0.00763759,0.00975006,0.0139826,0,0,0,0,0,0,0,0,0.0127026,0,0.0119732,0.0162874,0.0166743
0,0.0145972,0.0115475,0,0,0,0,0,0.0312219,0.0354752,0.0240861,0.0147646,0,0,0.028213,0,0.0127982,0.016614,0.0365334,0.0337472,0.0114233,0.0151169,0.0159343,0.0272802,0.0177431,0.0270914,0.0101972,0.0101729,0.0152086,0.013941,0.0439327,0.0259861,0.0116348,0.00986486,0.00275852,0.0219871,0.0161601,0.00993564,0.015692,0,0,0.049244,0,0.0134858,0.017397,0.0323421,0.0303193,0.0204488,0.0131044,0.0189247,0.0194224,0.00750146,0.00967217,0.0104216,0.0257299,0.00745193,0.0182506,0.00980261,0.022826,0.0101665,0.0108849,0.0113855,0.0151388,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.014683,0.0113644,0,0,0,0,0,0.0314053,0.0350936,0.0248116,0.0143225,0,0,0.0285157,0,0.0126797,0.0161782,0.0361294,0.0326669,0.0111705,0.0187035,0.0153351,0.0270437,0.0196238,0.0266485,0.0135694,0.0115485,0.0168558,0.013053,0.04064,0.0259319,0.0114318,0.0101444,0.0026611,0.0217011,0.0152654,0.0101774,0.0157244,0,0,0.0487408,0,0.0133119,0.0171171,0.0320967,0.029467,0.0206434,0.0130397,0.0183435,0.0189854,0.00721848,0.00855683,0.0100251,0.0259806,0.0070633,0.0175119,0.00995231,0.0223531,0.00993898,0.010816,0.0109954,0.015327,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0149316,0.0113247,0,0,0,0,0,0.0306709,0.0348632,0.0259073,0.0145935,0,0,0.0287772,0,0.0125419,0.0156291,0.035873,0.0320375,0.0112939,0.0220525,0.0154296,0.0266587,0.0215122,0.0265222,0.0167411,0.0141475,0.017545,0.0125545,0.0373228,0.0256274,0.0111356,0.0101301,0.00376786,0.0215925,0.0147121,0.0105901,0.0158515,0,0,0.0484314,0,0.0132648,0.0169525,0.0319109,0.0290041,0.020564,0.0133515,0.0185016,0.0187958,0.00686373,0.00779144,0.00989394,0.0260859,0.00678922,0.0172006,0.0106048,0.0220576,0.0102306,0.0107684,0.0107619,0.0156328,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0151504,0.0113126,0,0,0,0,0,0.0300113,0.0347798,0.026983,0.0147056,0,0,0.0290151,0,0.0124458,0.0154094,0.035875,0.0318333,0.0114766,0.0242853,0.0156525,0.0263662,0.0227486,0.0265496,0.0187337,0.0161098,0.0175393,0.0124221,0.0346355,0.0253558,0.0110915,0.0101778,0.00465313,0.0215176,0.0141581,0.0111437,0.0159337,0,0,0.0482951,0,0.0132208,0.0169034,0.0318549,0.0285435,0.0204203,0.0137061,0.0188762,0.0187757,0.00647113,0.0072667,0.00974016,0.026087,0.0065899,0.0168219,0.0113682,0.0219443,0.0104422,0.0106796,0.010598,0.0158561,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.015263,0.0112694,0,0,0,0,0,0.0305959,0.0347801,0.0279495,0.0145302,0,0,0.029061,0,0.0124263,0.015553,0.0361407,0.0317947,0.011604,0.0253881,0.0157646,0.026178,0.0232192,0.0266583,0.019806,0.0174576,0.017276,0.0125261,0.0324579,0.0252336,0.0112195,0.0101764,0.00463019,0.0215099,0.0135691,0.0114468,0.0159297,0,0,0.0480721,0,0.0132303,0.0169467,0.0318751,0.0280688,0.0203389,0.0139956,0.0190804,0.0188026,0.00605954,0.00691621,0.00959916,0.0261208,0.00632542,0.0165493,0.012147,0.0220362,0.0103797,0.0105865,0.0104773,0.0159705,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0153564,0.0110662,0,0,0,0,0,0.0317605,0.0347026,0.0289137,0.0139601,0,0,0.0291731,0,0.01234,0.0158285,0.0366985,0.0322261,0.0115698,0.0254799,0.0157675,0.0258558,0.0229723,0.0269124,0.0203394,0.018703,0.0169169,0.0128329,0.0312021,0.0251495,0.0111998,0.010224,0.00423512,0.0214326,0.0129369,0.0117106,0.0158447,0,0,0.0477078,0,0.0131837,0.0168701,0.031933,0.0274462,0.0201861,0.0142743,0.0192007,0.018705,0.0056399,0.00659609,0.00950784,0.0262011,0.00600302,0.016316,0.0128553,0.0219944,0.010238,0.0103603,0.0102024,0.0160625,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0154374,0.0108832,0,0,0,0,0,0.0335947,0.0348895,0.0297851,0.0134931,0,0,0.0291422,0,0.0122879,0.0167174,0.0375567,0.0332137,0.0114548,0.0247476,0.0155989,0.0256061,0.0219612,0.0273162,0.020456,0.0199067,0.016475,0.0134251,0.0317999,0.0252664,0.0113531,0.0101122,0.00453891,0.0213677,0.0123708,0.0117409,0.0157932,0,0,0.0473568,0,0.0131561,0.0167996,0.0320647,0.0268413,0.0200497,0.0146441,0.0190365,0.0187096,0.00534038,0.00634417,0.00943409,0.0263457,0.00572444,0.0160358,0.0134944,0.0219424,0.0100935,0.0102826,0.00988119,0.0161382,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.015547,0.0107466,0,0,0,0,0,0.0371981,0.035085,0.030881,0.0131249,0,0,0.0290434,0,0.0122608,0.017611,0.038493,0.0330122,0.0113157,0.0232831,0.0151324,0.0253822,0.0200311,0.0279376,0.0200896,0.0207865,0.0163912,0.0143731,0.0344888,0.0253842,0.0115623,0.0100366,0.00467714,0.0213429,0.0118163,0.0115574,0.0157733,0,0,0.0469531,0,0.01316,0.0166846,0.032351,0.0261942,0.0200374,0.0149727,0.0186069,0.0187652,0.00505539,0.00600436,0.00927109,0.0265825,0.00534596,0.0157021,0.0138651,0.0219025,0.00993569,0.0102646,0.00948835,0.0162246,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0152205,0.0107003,0,0,0,0,0,0.0363536,0.0348401,0.0306342,0.011402,0,0,0.0288331,0,0.012023,0.0184621,0.0384579,0.0327877,0.0112854,0.013255,0.0126537,0.0247228,0.0135194,0.0293909,0.0141164,0.0164316,0.0154117,0.0188727,0.0346961,0.0255747,0.011392,0.00999291,0.00493557,0.0212206,0.010969,0.0111843,0.0150583,0,0,0.0450895,0,0.0131778,0.0156992,0.0330728,0.0250712,0.0202162,0.0150689,0.0167135,0.0183697,0.00458449,0.00553643,0.00887121,0.0267672,0.00502958,0.0148842,0.0127601,0.0210439,0.00958197,0.0101911,0.00906545,0.0159447,0,0,0,0,0,0,0,0,0.0126109,0,0,0,0
